ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PORTUGUESE	POSITIVE_THINK_MONOLINGUALS_MEAN	POSITIVE_FEEL_MONOLINGUALS_MEAN	POSITIVE_THINK_BILINGUALS_MEAN	POSITIVE_FEEL_BILINGUALS_MEAN	NEGATIVE_THINK_MONOLINGUALS_MEAN	NEGATIVE_FEEL_MONOLINGUALS_MEAN	NEGATIVE_THINK_BILINGUALS_MEAN	NEGATIVE_FEEL_BILINGUALS_MEAN	EMOTION_TYPE	EMOTION_POLARITY	EMOTION_CONDITION	ORTHOGRAPHIC_SIMILARITY
Ferre-2022-160-63	63			cheat	fraude	0.61	0.89	0.62	0.2	8.69	7.24	7.64	6.51	2	2	1	0
Ferre-2022-160-64	64			disadvantage	desvantagem	0.6	0.71	0.76	0.31	8.02	6.07	6.95	4.49	2	2	1	0.67
Ferre-2022-160-65	65	75	DISGRACE	disgrace	desgraça	0.92	0.31	0.39	0.14	8.6	6.65	8.24	5.43	2	2	1	0.63
Ferre-2022-160-66	66	1308	DOUBT	doubt	dúvida	1.03	0.69	2.5	0.32	7.56	5.93	5.29	4.74	2	2	1	0.17
Ferre-2022-160-67	67			exile	exílio	1	0.67	1.26	0.39	7.82	5.81	6.86	4.16	2	2	1	0.5
Ferre-2022-160-68	68			extinction	extinção	1.52	0.89	0.95	0.26	7.82	6.71	7.43	4.89	2	2	1	0.6
Ferre-2022-160-69	69			failure	fracasso	0.79	0.38	0.9	0.23	9.11	7.95	7.64	6.31	2	2	1	0.25
Ferre-2022-160-70	70			loss	perda	0.9	0.35	0.76	0.29	8.21	7.18	8.17	7.14	2	2	1	0
Ferre-2022-160-71	71			negativity	negatividade	0.34	0.53	0.57	0.11	9.27	7.15	8.02	6.03	2	2	1	0.67
Ferre-2022-160-72	72			poverty	pobreza	0.66	0.42	0.51	0.26	8.51	8.07	8.37	6.31	2	2	1	0.29
Ferre-2022-160-73	73	390	PUNISHMENT	punishment	punição	1.05	0.84	0.83	0.29	8.34	7.29	8.1	5.91	2	2	1	0.4
Ferre-2022-160-74	74			rejection	rejeição	0.53	0.55	0.74	0.09	8.55	7.29	8.17	7.14	2	2	1	0.56
Ferre-2022-160-75	75			sadistic	sádico	1.02	1.15	0.98	0.25	8.2	5.94	7.65	4.41	2	2	1	0.38
Ferre-2022-160-76	76			stereotype	estereótipo	1.66	0.89	1.21	0.43	7.24	5.87	6.83	4.23	2	2	1	0.64
Ferre-2022-160-77	77			uncertain	incerto	1.9	0.96	1.71	0.66	5.79	4.62	5.79	4.23	2	2	1	0.56
Ferre-2022-160-78	78			unfaithful	infiel	0.5	0.33	0.52	0.09	8.89	7.56	8.43	6.53	2	2	1	0.4
Ferre-2022-160-79	79			unstable	instável	0.92	0.76	0.52	0.26	7.81	6.27	6.9	4.57	2	2	1	0.38
Ferre-2022-160-80	80	1390	WRONG	wrong	errado	0.92	0.84	1.12	0.37	7.94	5.75	6.88	4.69	2	2	1	0.17
Ferre-2022-160-81	81			debut	estréia	5.53	3.11	4.25	1.68	1.57	1.72	1.69	1.04	0	0	0	0
Ferre-2022-160-82	82			motto	lema	4.67	4.11	5.07	1.76	1.92	0.91	0.96	0.57	0	0	0	0
Ferre-2022-160-83	83			odd	ímpar	2.16	2.33	3.13	1.44	4.48	3.93	3.73	1.78	0	0	0	0
Ferre-2022-160-84	84			phase	fase	2.95	2.15	3.74	1.24	2.85	2.25	3	1.62	0	0	0	0.6
Ferre-2022-160-85	85			suitable	adequado	5.67	4.11	5.55	2.51	2.08	1.18	1	0.74	0	0	0	0
Ferre-2022-160-86	86			underlying	subjacente	2.05	1.09	1.78	0.61	4.43	3.19	2.54	0.61	0	0	0	0
Ferre-2022-160-87	87			rampant	galopante	2.1	0.94	1.45	1.36	6.1	4.53	4.1	0.91	0	0	0	0.56
Ferre-2022-160-88	88			attempt	tentativa	4.55	3.25	4.69	2.65	2.92	2.49	2.55	1.53	0	0	0	0.11
Ferre-2022-160-89	89			random	aleatória	3.68	2.8	3.24	1.86	3.13	1.8	2.48	1.2	0	0	0	0.11
Ferre-2022-160-90	90			average	média	3.37	2.2	2.83	0.63	4	3.85	3.48	1.74	0	0	0	0.14
Ferre-2022-160-91	91	2755	BUSY	busy	ocupado	3.44	2.67	3.19	1.91	5.23	3.76	4.55	2.69	0	0	0	0.14
Ferre-2022-160-92	92			input	entrada	3.95	2.84	3.55	1.77	2.31	1.55	1.67	0.71	0	0	0	0.14
Ferre-2022-160-93	93			naive	ingênuo	1.6	1.19	2.43	1.71	6.77	5.31	5.63	2.96	0	0	0	0.14
Ferre-2022-160-94	94			guidance	orientação	7.07	5.6	6.37	3.21	1.33	0.98	1.1	0.33	0	0	0	0.2
Ferre-2022-160-95	95			fade	dessaparecimento	2.18	1.33	2.15	1	4.56	3.35	4.18	2.44	0	0	0	0.13
Ferre-2022-160-96	96			emphasis	ênfase	4.31	2.93	4.13	1.91	2.24	1.2	1.41	0.54	0	0	0	0.25
Ferre-2022-160-97	97			feasible	factível	5.38	3.72	4.52	1.43	2.12	1.53	1.33	0.07	0	0	0	0.25
Ferre-2022-160-98	98			previous	anterior	2.31	1.55	2.74	0.83	1.87	1.36	2.12	0.57	0	0	0	0.25
Ferre-2022-160-99	99			rate	taxa	3.2	1.71	2.95	1.12	2.64	1.31	2.88	1.7	0	0	0	0.25
Ferre-2022-160-100	100			reminder	lembrete	4.42	2.71	4.76	2.74	2.18	1.51	1.4	1.09	0	0	0	0.25
Ferre-2022-160-101	101			act	ato	3.98	3.22	4.37	2.27	3.34	2.27	2.12	1.39	0	0	0	0.33
Ferre-2022-160-102	102	1062	LAW	law	lei	4.44	2.76	5.24	2.91	4.08	3.42	3.6	1.51	0	0	0	0.33
Ferre-2022-160-103	103			trend	tendência	4.13	2.51	3.86	2.17	2.82	2.05	2.21	1.49	0	0	0	0.33
Ferre-2022-160-104	104			viable	viável	5.28	4	6.07	2.97	1.76	1.12	0.93	0.8	0	0	0	0.33
Ferre-2022-160-105	105			leadership	liderança	7.85	6.58	6.14	4.09	1.79	1.56	1.76	1.12	0	0	0	0.4
Ferre-2022-160-106	106			manageable	manejável	5.92	4.45	5.08	2.12	2.23	1.35	1.65	0.48	0	0	0	0.4
Ferre-2022-160-107	107	1558	SIMILAR	similar	semelhante	4.81	2.93	4.26	1.94	2.32	1.76	2.74	1.49	0	0	0	0.4
Ferre-2022-160-108	108			withdrawal	retirada	1.56	0.87	1.84	0.78	6.84	5.62	4.52	1.57	0	0	0	0.4
Ferre-2022-160-109	109			past	passado	3.05	2.73	3.79	2.74	3.5	3.73	3.31	2.66	0	0	0	0.43
Ferre-2022-160-110	110			reign	reinado	4.57	3.25	3.3	1.67	3.2	2.64	2.7	0.67	0	0	0	0.43
Ferre-2022-160-111	111			sovereign	soberano	4.43	2.69	2.13	0.87	2.65	1.71	3.92	1.2	0	0	0	0.44
Ferre-2022-160-112	112			dissent	divergência	2.3	1.46	3.73	1.94	4.84	3.46	2.86	1.28	0	0	0	0.27
Ferre-2022-160-113	113			resemblance	semelhança	4.87	3.18	4.1	2.24	2.08	1.33	2.59	0.83	0	0	0	0.46
Ferre-2022-160-114	114			genre	gênero	3.71	2.73	4.07	1.82	1.61	0.87	1.54	1.24	0	0	0	0.5
Ferre-2022-160-115	115			hypothesis	hipótese	3.71	1.85	4.26	1.56	2.76	1.85	1.74	1.35	0	0	0	0.5
Ferre-2022-160-116	116	3971	METHOD	method	método	3.32	2.29	3.57	2.43	1.95	1.31	1.14	0.91	0	0	0	0.5
Ferre-2022-160-117	117			negotiable	negociável	4.8	4	4.88	2.89	2.62	1.76	2	1.09	0	0	0	0.5
Ferre-2022-160-118	118			notion	noção	3.02	2.31	5.14	2.29	2.14	1.45	1.12	0.65	0	0	0	0.5
Ferre-2022-160-119	119			palpable	palpável	3.21	2.71	3.9	1.66	2	1.09	1.62	0.4	0	0	0	0.5
Ferre-2022-160-120	120			philosophy	filosofia	5.07	3.96	5.36	2.86	2.16	1.4	1.6	0.77	0	0	0	0.5
Ferre-2022-160-121	121			prophecy	profecia	4.86	3.74	3.76	1.2	2.66	2.07	3.07	1.37	0	0	0	0.5
Ferre-2022-160-122	122			psychic	psíquico	3.74	3.51	3.17	2.09	3.51	2.27	4	1.24	0	0	0	0.5
Ferre-2022-160-123	123			rationing	racionamento	3	1.61	3.28	1.21	4.27	3.46	3.39	2.21	0	0	0	0.5
Ferre-2022-160-124	124			reaction	reação	3.77	2.53	4.14	2.51	3.23	1.87	2.62	1.74	0	0	0	0.5
Ferre-2022-160-125	125			renounce	renúncia	2.19	1.61	2.21	0.55	4.73	3.45	4.87	2.03	0	0	0	0.5
Ferre-2022-160-126	126			resource	recurso	5.73	4.09	4.64	2.09	1.53	1.15	1.67	0.94	0	0	0	0.5
Ferre-2022-160-127	127			tactical	tático	4.21	2.84	4.66	2.41	2.84	1.52	2.12	1.26	0	0	0	0.5
Ferre-2022-160-128	128	2433	THEORY	theory	teoria	3.72	2.49	3.64	1.49	2.23	1.13	1.74	1.17	0	0	0	0.5
