ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Needham-1897-262-85	85	False	false	4	3069	FALSE
Needham-1897-262-86	86	Elephant	elephant	4	1290	ELEPHANT
Needham-1897-262-87	87	Fat (not lean)	fat (not lean)	4	323	FAT (ORGANIC SUBSTANCE)
Needham-1897-262-88	88	Far	far	4	1406	FAR
Needham-1897-262-89	89	Father	father	4	1217	FATHER
Needham-1897-262-90	90	Fear	fear	4	781	FEAR (FRIGHT)
Needham-1897-262-91	91	Feather	feather	4	1201	FEATHER
Needham-1897-262-92	92	Female	female	4	2105	FEMALE PERSON
Needham-1897-262-93	93	Finger	finger	4	1303	FINGER
Needham-1897-262-94	94	Fire	fire	4	221	FIRE
Needham-1897-262-95	95	Fire-place	fire-place	4	185	FIREPLACE
Needham-1897-262-96	96	Fire-gun	fire-gun	4	1172	SHOOT
Needham-1897-262-97	97	Fish	fish	4	227	FISH
Needham-1897-262-98	98	Flame	flame	4	889	FLAME
Needham-1897-262-99	99	Flea	flea	4	2241	WILD CAT
Needham-1897-262-100	100	Flint striker	flint striker	4	737	LIGHT (IGNITE)
Needham-1897-262-101	101	Fly, v.	fly, v	4	1441	FLY (MOVE THROUGH AIR)
Needham-1897-262-102	102	Fog	fog	4	249	FOG
Needham-1897-262-103	103	Foot	foot	4	1301	FOOT
Needham-1897-262-104	104	Forget	forget	4	1523	FORGET
Needham-1897-262-105	105	Forest	forest	4	420	FOREST
Needham-1897-262-106	106	Forehead	forehead	4	123	FOREHEAD
Needham-1897-262-107	107	Fowl	fowl	4	265	FOWL
Needham-1897-262-108	108	Friend	friend	4	1325	FRIEND
Needham-1897-262-109	109	Get up, v. (rise)	get up, v (rise)	4	1512	RISE (ONESELF)
Needham-1897-262-110	110	Gild	girl	4	1646	GIRL
Needham-1897-262-111	111	Vie, v.	give	4	1447	GIVE
Needham-1897-262-112	112	Go away, v.	go away, v	4		
Needham-1897-262-113	113	Goat	goat	4	1502	GOAT
Needham-1897-262-114	114	gong	gong	4	2502	GONG
Needham-1897-262-115	115	Good	good	4	1035	GOOD
Needham-1897-262-116	116	Granary	granary	4	3657	GRANARY
Needham-1897-262-117	117	Gun	gun	4	1566	GUN
Needham-1897-262-118	118	Gunpowder	gunpowder	4	1798	GUNPOWDER
Needham-1897-262-119	119	Flint for *gunpowder	flint for ditto	4		
Needham-1897-262-120	120	Hail	hail	4	609	HAIL
Needham-1897-262-121	121	Hair	hair	4	2648	HAIR (HEAD)
Needham-1897-262-122	122	Hand	hand	4	1277	HAND
Needham-1897-262-123	123	Hat	hat	4	771	HAT
Needham-1897-262-124	124	He	he	5	2642	HE OR SHE
Needham-1897-262-125	125	Here	here	5	136	HERE
