ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	DIACL_ID	DIACL_CATEGORY	DIACL_NOTE
Carling-2017-112e-1	1	1337	PIG	pig	5001	Farm animals	
Carling-2017-112e-2	2	265	FOWL	chicken / fowl	5002	Farm animals	
Carling-2017-112e-3	3	2009	DOG	dog	5003	Farm animals	
Carling-2017-112e-4	4	1208	CAT	cat	5004	Farm animals	
Carling-2017-112e-5	5	1502	GOAT	goat	5006	Farm animals	
Carling-2017-112e-6	6	934	BUFFALO	buffalo	5005	Wild animals	
Carling-2017-112e-7	7	665	BEE	bee	5007	Wild animals	
Carling-2017-112e-8	8	1820	BEAR	bear	5008	Wild animals	
Carling-2017-112e-9	9	846	TIGER	tiger	5009	Wild animals	
Carling-2017-112e-10	10	3154	WILD BOAR	pig (wild)	5010	Wild animals	
Carling-2017-112e-11	11	3271	FLYING SQUIRREL	flying squirrel	5011	Wild animals	
Carling-2017-112e-12	12	1793	BAT	bat / fruit bat	5012	Wild animals	
Carling-2017-112e-13	13	937	BIRD	bird	5013	Wild animals	
Carling-2017-112e-14	14	730	SNAKE	snake (e.g. cobra)	5014	Wild animals	
Carling-2017-112e-15	15	227	FISH	fish	5015	Wild animals	
Carling-2017-112e-16	16	1490	RAT	rat	5016	Wild animals	
Carling-2017-112e-17	17	2348	CRAB	crab	5017	Wild animals	
Carling-2017-112e-18	18	1013	FRESHWATER EEL	(freshwater) eel	5018	Wild animals	
Carling-2017-112e-19	19	1350	MONKEY	monkey	5019	Wild animals	
Carling-2017-112e-20	20	942	HONEY	honey	5020	Products	
Carling-2017-112e-21	21	1524	WINE	wine (rice)	5021	Products	
Carling-2017-112e-22	22	1274	SALT	salt	5022	Products	
Carling-2017-112e-23	23	862	SUGAR	sugar	5023	Products	
Carling-2017-112e-24	24	2769	PORK	pork	5024	Products	
Carling-2017-112e-25	25	634	MEAT	meat (food)	5025	Products	
Carling-2017-112e-26	26	2551	ORGANIC FAT OR OIL	oil / grease	5026	Products	
Carling-2017-112e-27	27	133	WEAVE	to weave	5027	Activities	
Carling-2017-112e-28	28	1457	SEW	to sew	5028	Activities	
Carling-2017-112e-29	29	748	SOW SEEDS	to sow	5029	Activities	
Carling-2017-112e-30	30	1100	COOK (SOMETHING)	to cook	5030	Activities	
Carling-2017-112e-31	31	1261	SING	to sing	5031	Activities	
Carling-2017-112e-32	32	1879	DANCE	to dance	5032	Activities	
