ID	NUMBER	PAGE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Backstrom-1992-210b-1	1	219	body	1480	BODY
Backstrom-1992-210b-2	2	219	head	1256	HEAD
Backstrom-1992-210b-3	3	219	hair	1040	HAIR
Backstrom-1992-210b-4	4	219	face	1560	FACE
Backstrom-1992-210b-5	5	219	eye	1248	EYE
Backstrom-1992-210b-6	6	219	ear	1247	EAR
Backstrom-1992-210b-7	7	220	nose	1221	NOSE
Backstrom-1992-210b-8	8	220	mouth	674	MOUTH
Backstrom-1992-210b-9	9	220	teeth	1380	TOOTH
Backstrom-1992-210b-10	10	220	tongue	1205	TONGUE
Backstrom-1992-210b-11	11	220	breast	1402	BREAST
Backstrom-1992-210b-12	12	220	belly	1251	BELLY
Backstrom-1992-210b-13	13	220	arm	1673	ARM
Backstrom-1992-210b-14	14	220	elbow	981	ELBOW
Backstrom-1992-210b-15	15	220	palm	1183	PALM OF HAND
Backstrom-1992-210b-16	16	220	finger	1303	FINGER
Backstrom-1992-210b-17	17	220	fingernail	1258	FINGERNAIL
Backstrom-1992-210b-18	18	220	leg	1297	LEG
Backstrom-1992-210b-19	19	220	skin	763	SKIN
Backstrom-1992-210b-20	20	220	bone	1394	BONE
Backstrom-1992-210b-21	21	220	heart	1223	HEART
Backstrom-1992-210b-22	22	221	blood	946	BLOOD
Backstrom-1992-210b-23	23	221	urine	1142	URINE
Backstrom-1992-210b-24	24	221	feces	675	FAECES (EXCREMENT)
Backstrom-1992-210b-25	25	221	village	930	VILLAGE
Backstrom-1992-210b-26	26	221	house	1252	HOUSE
Backstrom-1992-210b-27	27	221	roof	769	ROOF
Backstrom-1992-210b-28	28	221	door	1567	DOOR
Backstrom-1992-210b-29	29	221	firewood	10	FIREWOOD
Backstrom-1992-210b-30	30	221	broom	245	BROOM
Backstrom-1992-210b-31	31	221	mortar	224	MORTAR CRUSHER
Backstrom-1992-210b-32	32	221	pestle	225	PESTLE
Backstrom-1992-210b-33	33	221	hammer	1481	HAMMER
Backstrom-1992-210b-34	34	221	knife	1352	KNIFE
Backstrom-1992-210b-35	35	221	axe	677	AXE
Backstrom-1992-210b-36	36	221	rope	1218	ROPE
Backstrom-1992-210b-37	37	222	thread	1161	THREAD
