ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	COMMUNITY_LABEL	COMMUNITY_ID	COMMUNITY_URL	SUBGRAPH_ID	SUBGRAPH_URL	FREQUENCY	DEGREE	WEIGHTED_DEGREE	RANK
List-2014-1280-1	965	WORLD	1	world	country	2	http://clics.lingpy.org/browse.php?community=cluster_2_country	45	http://clics.lingpy.org/browse.php?community=network_world_45&view=part	240	45	123	44
List-2014-1280-2	626	LAND	2	earth, land	country	2	http://clics.lingpy.org/browse.php?community=cluster_2_country	38	http://clics.lingpy.org/browse.php?community=network_earth, land_38&view=part	315	62	201	4
List-2014-1280-3	1228	EARTH (SOIL)	3	earth=ground, soil	country	2	http://clics.lingpy.org/browse.php?community=cluster_2_country	43	http://clics.lingpy.org/browse.php?community=network_earth=ground, soil_43&view=part	292	41	177	8
List-2014-1280-4	2	DUST	4	dust	smoke (noun)	66	http://clics.lingpy.org/browse.php?community=cluster_66_smoke (noun)	28	http://clics.lingpy.org/browse.php?community=network_dust_28&view=part	269	22	53	460
List-2014-1280-5	640	MUD	5	mud	swamp	150	http://clics.lingpy.org/browse.php?community=cluster_150_swamp	14	http://clics.lingpy.org/browse.php?community=network_mud_14&view=part	306	32	68	286
List-2014-1280-6	671	SAND	6	sand	edge	30	http://clics.lingpy.org/browse.php?community=cluster_30_edge	30	http://clics.lingpy.org/browse.php?community=network_sand_30&view=part	245	19	31	790
List-2014-1280-7	2118	MOUNTAIN OR HILL	7	mountain, hill	stone, rock	162	http://clics.lingpy.org/browse.php?community=cluster_162_stone, rock	28	http://clics.lingpy.org/browse.php?community=network_mountain, hill_28&view=part	399	55	74	236
List-2014-1280-8	618	PRECIPICE	8	cliff, precipice	stone, rock	162	http://clics.lingpy.org/browse.php?community=cluster_162_stone, rock	5	http://clics.lingpy.org/browse.php?community=network_cliff, precipice_5&view=part	307	37	55	419
List-2014-1280-9	652	PLAIN	9	plain, field	pasture	28	http://clics.lingpy.org/browse.php?community=cluster_28_pasture	15	http://clics.lingpy.org/browse.php?community=network_plain, field_15&view=part	349	46	86	163
List-2014-1280-10	921	VALLEY	10	valley	pasture	28	http://clics.lingpy.org/browse.php?community=cluster_28_pasture	11	http://clics.lingpy.org/browse.php?community=network_valley_11&view=part	227	21	29	821
List-2014-1280-11	622	ISLAND	11	island	whale	202	http://clics.lingpy.org/browse.php?community=cluster_202_whale	0	http://clics.lingpy.org/browse.php?community=network_island_0&view=part	219	27	26	883
List-2014-1280-12	166	MAINLAND	12	mainland	country	2	http://clics.lingpy.org/browse.php?community=cluster_2_country	24	http://clics.lingpy.org/browse.php?community=network_mainland_24&view=part	149	15	46	559
List-2014-1280-13	113	SHORE	13	shore	edge	30	http://clics.lingpy.org/browse.php?community=cluster_30_edge	28	http://clics.lingpy.org/browse.php?community=network_shore_28&view=part	332	47	72	252
List-2014-1280-14	1155	CAVE	14	cave	hole	84	http://clics.lingpy.org/browse.php?community=cluster_84_hole	7	http://clics.lingpy.org/browse.php?community=network_cave_7&view=part	256	21	40	641
List-2014-1280-15	948	WATER	15	water	river, stream, brook	65	http://clics.lingpy.org/browse.php?community=cluster_65_river, stream, brook	8	http://clics.lingpy.org/browse.php?community=network_water_8&view=part	250	40	78	216
List-2014-1280-16	1474	SEA	16	sea	sea	127	http://clics.lingpy.org/browse.php?community=cluster_127_sea	15	http://clics.lingpy.org/browse.php?community=network_sea_15&view=part	215	24	62	353
List-2014-1280-17	258	CALM	17	calm (of sea)	calm (of sea)	102	http://clics.lingpy.org/browse.php?community=cluster_102_calm (of sea)	7	http://clics.lingpy.org/browse.php?community=network_calm (of sea)_7&view=part	208	14	28	842
List-2014-1280-18	259	ROUGH (OF SEA)	18	rough (of sea)	tide	151	http://clics.lingpy.org/browse.php?community=cluster_151_tide	2	http://clics.lingpy.org/browse.php?community=network_rough (of sea)_2&view=part	184	14	21	984
List-2014-1280-19	1768	FOAM	19	foam	soap	258	http://clics.lingpy.org/browse.php?community=cluster_258_soap	0	http://clics.lingpy.org/browse.php?community=network_foam_0&view=part	238	19	21	976
List-2014-1280-20	645	OCEAN	20	ocean	sea	127	http://clics.lingpy.org/browse.php?community=cluster_127_sea	11	http://clics.lingpy.org/browse.php?community=network_ocean_11&view=part	188	18	52	478
List-2014-1280-21	624	LAKE	21	lake	gulf, bay	129	http://clics.lingpy.org/browse.php?community=cluster_129_gulf, bay	14	http://clics.lingpy.org/browse.php?community=network_lake_14&view=part	240	28	67	304
List-2014-1280-22	663	BAY	22	gulf, bay	gulf, bay	129	http://clics.lingpy.org/browse.php?community=cluster_129_gulf, bay	7	http://clics.lingpy.org/browse.php?community=network_gulf, bay_7&view=part	145	29	34	756
List-2014-1280-23	623	LAGOON	23	lagoon	gulf, bay	129	http://clics.lingpy.org/browse.php?community=cluster_129_gulf, bay	8	http://clics.lingpy.org/browse.php?community=network_lagoon_8&view=part	143	15	42	623
List-2014-1280-24	660	REEF	24	reef	stone, rock	162	http://clics.lingpy.org/browse.php?community=cluster_162_stone, rock	12	http://clics.lingpy.org/browse.php?community=network_reef_12&view=part	104	7	12	1155
List-2014-1280-25	1662	CAPE	25	headland, point	beak	41	http://clics.lingpy.org/browse.php?community=cluster_41_beak	40	http://clics.lingpy.org/browse.php?community=network_headland, point_40&view=part	129	31	42	624
List-2014-1280-26	978	WAVE	26	wave	tide	151	http://clics.lingpy.org/browse.php?community=cluster_151_tide	2	http://clics.lingpy.org/browse.php?community=network_wave_2&view=part	234	19	26	879
List-2014-1280-27	891	TIDE	27	tide	tide	151	http://clics.lingpy.org/browse.php?community=cluster_151_tide	2	http://clics.lingpy.org/browse.php?community=network_tide_2&view=part	125	18	26	891
List-2014-1280-28	1026	LOW TIDE	28	lowtide	tide	151	http://clics.lingpy.org/browse.php?community=cluster_151_tide	0	http://clics.lingpy.org/browse.php?community=network_lowtide_0&view=part	116	10	12	1154
List-2014-1280-29	613	HIGH TIDE	29	hightide	tide	151	http://clics.lingpy.org/browse.php?community=cluster_151_tide	2	http://clics.lingpy.org/browse.php?community=network_hightide_2&view=part	114	15	19	1019
List-2014-1280-30	666	RIVER	30	river, stream, brook	river, stream, brook	65	http://clics.lingpy.org/browse.php?community=cluster_65_river, stream, brook	6	http://clics.lingpy.org/browse.php?community=network_river, stream, brook_6&view=part	433	59	88	154
List-2014-1280-31	1982	WHIRLPOOL	31	whirlpool	gulf, bay	129	http://clics.lingpy.org/browse.php?community=cluster_129_gulf, bay	0	http://clics.lingpy.org/browse.php?community=network_whirlpool_0&view=part	208	6	6	1232
List-2014-1280-32	2144	SPRING OR WELL	32	spring, well	river, stream, brook	65	http://clics.lingpy.org/browse.php?community=cluster_65_river, stream, brook	13	http://clics.lingpy.org/browse.php?community=network_spring, well_13&view=part	382	31	43	587
List-2014-1280-33	1145	SWAMP	33	swamp	swamp	150	http://clics.lingpy.org/browse.php?community=cluster_150_swamp	9	http://clics.lingpy.org/browse.php?community=network_swamp_9&view=part	271	26	43	595
List-2014-1280-34	943	WATERFALL	34	waterfall	river, stream, brook	65	http://clics.lingpy.org/browse.php?community=cluster_65_river, stream, brook	0	http://clics.lingpy.org/browse.php?community=network_waterfall_0&view=part	212	10	12	1143
List-2014-1280-35	420	FOREST	35	woods, forest	tree	4	http://clics.lingpy.org/browse.php?community=cluster_4_tree	18	http://clics.lingpy.org/browse.php?community=network_woods, forest_18&view=part	289	23	35	719
List-2014-1280-36	1803	WOOD	36	wood	tree	4	http://clics.lingpy.org/browse.php?community=cluster_4_tree	31	http://clics.lingpy.org/browse.php?community=network_wood_31&view=part	251	46	161	16
List-2014-1280-37	2125	STONE OR ROCK	37	stone, rock	stone, rock	162	http://clics.lingpy.org/browse.php?community=cluster_162_stone, rock	12	http://clics.lingpy.org/browse.php?community=network_stone, rock_12&view=part	375	34	51	481
List-2014-1280-38	6	EARTHQUAKE	38	earthquake	stir, mix	92	http://clics.lingpy.org/browse.php?community=cluster_92_stir, mix	0	http://clics.lingpy.org/browse.php?community=network_earthquake_0&view=part	205	4	5	1250
List-2014-1280-39	1732	SKY	39	sky	smoke (noun)	66	http://clics.lingpy.org/browse.php?community=cluster_66_smoke (noun)	30	http://clics.lingpy.org/browse.php?community=network_sky_30&view=part	256	37	59	383
List-2014-1280-40	1343	SUN	40	sun	day	16	http://clics.lingpy.org/browse.php?community=cluster_16_day	23	http://clics.lingpy.org/browse.php?community=network_sun_23&view=part	245	33	63	338
List-2014-1280-41	1313	MOON	41	moon	moon	170	http://clics.lingpy.org/browse.php?community=cluster_170_moon	2	http://clics.lingpy.org/browse.php?community=network_moon_2&view=part	246	20	61	366
List-2014-1280-42	1430	STAR	42	star	firefly	267	http://clics.lingpy.org/browse.php?community=cluster_267_firefly	0	http://clics.lingpy.org/browse.php?community=network_star_0&view=part	247	27	28	834
List-2014-1280-43	1654	LIGHTNING	43	lightning	thunder	136	http://clics.lingpy.org/browse.php?community=cluster_136_thunder	3	http://clics.lingpy.org/browse.php?community=network_lightning_3&view=part	250	9	35	724
List-2014-1280-44	1150	THUNDER	44	thunder	thunder	136	http://clics.lingpy.org/browse.php?community=cluster_136_thunder	3	http://clics.lingpy.org/browse.php?community=network_thunder_3&view=part	261	11	26	869
List-2014-1280-45	2007	BOLT (OF LIGHTNING)	45	lightning (as striking)	thunder	136	http://clics.lingpy.org/browse.php?community=cluster_136_thunder	3	http://clics.lingpy.org/browse.php?community=network_lightning (as striking)_3&view=part	222	11	44	581
List-2014-1280-46	858	STORM	46	storm	air	111	http://clics.lingpy.org/browse.php?community=cluster_111_air	6	http://clics.lingpy.org/browse.php?community=network_storm_6&view=part	262	21	29	816
List-2014-1280-47	1733	RAINBOW	47	rainbow	arrow	133	http://clics.lingpy.org/browse.php?community=cluster_133_arrow	0	http://clics.lingpy.org/browse.php?community=network_rainbow_0&view=part	245	18	19	1005
List-2014-1280-48	630	LIGHT (RADIATION)	48	light (noun)	white	22	http://clics.lingpy.org/browse.php?community=cluster_22_white	36	http://clics.lingpy.org/browse.php?community=network_light (noun)_36&view=part	289	43	118	62
List-2014-1280-49	11	DARKNESS	49	darkness	dark (in color)	63	http://clics.lingpy.org/browse.php?community=cluster_63_dark (in color)	9	http://clics.lingpy.org/browse.php?community=network_darkness_9&view=part	316	15	51	483
List-2014-1280-50	1388	SHADE	50	shade, shadow	mind	43	http://clics.lingpy.org/browse.php?community=cluster_43_mind	9	http://clics.lingpy.org/browse.php?community=network_shade, shadow_9&view=part	285	16	23	938
List-2014-1280-51	1977	DEW	51	dew	dew	177	http://clics.lingpy.org/browse.php?community=cluster_177_dew	0	http://clics.lingpy.org/browse.php?community=network_dew_0&view=part	227	14	18	1026
List-2014-1280-52	27	AIR	52	air	air	111	http://clics.lingpy.org/browse.php?community=cluster_111_air	20	http://clics.lingpy.org/browse.php?community=network_air_20&view=part	207	25	59	387
List-2014-1280-53	960	WIND	53	wind	air	111	http://clics.lingpy.org/browse.php?community=cluster_111_air	6	http://clics.lingpy.org/browse.php?community=network_wind_6&view=part	259	46	81	193
List-2014-1280-54	1489	CLOUD	54	cloud	smoke (noun)	66	http://clics.lingpy.org/browse.php?community=cluster_66_smoke (noun)	19	http://clics.lingpy.org/browse.php?community=network_cloud_19&view=part	273	26	46	546
List-2014-1280-55	249	FOG	55	fog	smoke (noun)	66	http://clics.lingpy.org/browse.php?community=cluster_66_smoke (noun)	18	http://clics.lingpy.org/browse.php?community=network_fog_18&view=part	254	17	34	738
List-2014-1280-56	658	RAIN (PRECIPITATION)	56	rain (noun)	river, stream, brook	65	http://clics.lingpy.org/browse.php?community=cluster_65_river, stream, brook	6	http://clics.lingpy.org/browse.php?community=network_rain (noun)_6&view=part	257	34	44	579
List-2014-1280-57	784	SNOW	57	snow (noun)	dew	177	http://clics.lingpy.org/browse.php?community=cluster_177_dew	2	http://clics.lingpy.org/browse.php?community=network_snow (noun)_2&view=part	183	13	25	908
List-2014-1280-58	617	ICE	58	ice	dew	177	http://clics.lingpy.org/browse.php?community=cluster_177_dew	2	http://clics.lingpy.org/browse.php?community=network_ice_2&view=part	226	21	34	748
List-2014-1280-59	952	WEATHER	59	weather	day	16	http://clics.lingpy.org/browse.php?community=cluster_16_day	27	http://clics.lingpy.org/browse.php?community=network_weather_27&view=part	182	24	62	355
List-2014-1280-60	221	FIRE	60	fire	candle	68	http://clics.lingpy.org/browse.php?community=cluster_68_candle	31	http://clics.lingpy.org/browse.php?community=network_fire_31&view=part	253	40	95	133
List-2014-1280-61	889	FLAME	61	flame (noun)	candle	68	http://clics.lingpy.org/browse.php?community=cluster_68_candle	15	http://clics.lingpy.org/browse.php?community=network_flame (noun)_15&view=part	239	20	39	658
List-2014-1280-62	778	SMOKE (EXHAUST)	62	smoke (noun)	smoke (noun)	66	http://clics.lingpy.org/browse.php?community=cluster_66_smoke (noun)	21	http://clics.lingpy.org/browse.php?community=network_smoke (noun)_21&view=part	243	19	42	614
List-2014-1280-63	646	ASH	63	ashes	smoke (noun)	66	http://clics.lingpy.org/browse.php?community=cluster_66_smoke (noun)	22	http://clics.lingpy.org/browse.php?community=network_ashes_22&view=part	242	21	24	921
List-2014-1280-64	67	EMBERS	64	embers	embers	180	http://clics.lingpy.org/browse.php?community=cluster_180_embers	2	http://clics.lingpy.org/browse.php?community=network_embers_2&view=part	240	13	38	675
List-2014-1280-65	141	BURN (SOMETHING)	65	burn (vb trans)	burn (vb trans)	104	http://clics.lingpy.org/browse.php?community=cluster_104_burn (vb trans)	10	http://clics.lingpy.org/browse.php?community=network_burn (vb trans)_10&view=part	294	34	85	171
List-2014-1280-66	1428	BURNING	66	burn (vb intrans)	burn (vb trans)	104	http://clics.lingpy.org/browse.php?community=cluster_104_burn (vb trans)	7	http://clics.lingpy.org/browse.php?community=network_burn (vb intrans)_7&view=part	250	25	47	536
List-2014-1280-67	737	LIGHT (IGNITE)	67	light, kindle, ignite	burn (vb trans)	104	http://clics.lingpy.org/browse.php?community=cluster_104_burn (vb trans)	7	http://clics.lingpy.org/browse.php?community=network_light, kindle, ignite_7&view=part	311	82	107	90
List-2014-1280-68	127	EXTINGUISH	68	extinguish	extinguish	110	http://clics.lingpy.org/browse.php?community=cluster_110_extinguish	8	http://clics.lingpy.org/browse.php?community=network_extinguish_8&view=part	258	34	46	552
List-2014-1280-69	1133	MATCH	69	match (noun)	candle	68	http://clics.lingpy.org/browse.php?community=cluster_68_candle	15	http://clics.lingpy.org/browse.php?community=network_match (noun)_15&view=part	212	10	16	1073
List-2014-1280-70	10	FIREWOOD	70	firewood	tree	4	http://clics.lingpy.org/browse.php?community=cluster_4_tree	31	http://clics.lingpy.org/browse.php?community=network_firewood_31&view=part	252	27	73	248
List-2014-1280-71	1188	CHARCOAL	71	charcoal	embers	180	http://clics.lingpy.org/browse.php?community=cluster_180_embers	2	http://clics.lingpy.org/browse.php?community=network_charcoal_2&view=part	238	9	31	791
List-2014-1280-72	765	MOVE	72	move	stir, mix	92	http://clics.lingpy.org/browse.php?community=cluster_92_stir, mix	12	http://clics.lingpy.org/browse.php?community=network_move_12&view=part	303	91	115	68
List-2014-1280-73	1445	TURN (SOMETHING)	73	turn over	turn over	101	http://clics.lingpy.org/browse.php?community=cluster_101_turn over	22	http://clics.lingpy.org/browse.php?community=network_turn over_22&view=part	286	30	59	380
