ID	NUMBER	ENGLISH	GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	BUCK_1949_1110
Tryon-1995-1310-57	01.750	RAIN (noun)	RAIN (noun)	658	RAIN (PRECIPITATION)	Buck-1949-1110-38
Tryon-1995-1310-58	01.760	SNOW (noun)	SNOW (noun)	784	SNOW	Buck-1949-1110-39
Tryon-1995-1310-59	01.770	ICE	ICE	617	ICE	Buck-1949-1110-40
Tryon-1995-1310-60	01.780	WEATHER	WEATHER	952	WEATHER	Buck-1949-1110-41
Tryon-1995-1310-61	01.810	FIRE	FIRE	221	FIRE	Buck-1949-1110-42
Tryon-1995-1310-62	01.820	FLAME (noun)	FLAME (noun)	889	FLAME	Buck-1949-1110-43
Tryon-1995-1310-63	01.830	SMOKE (noun)	SMOKE (noun)	778	SMOKE (EXHAUST)	Buck-1949-1110-44
Tryon-1995-1310-64	01.840	ASHES	ASHES	646	ASH	Buck-1949-1110-45
Tryon-1995-1310-65	01.841	EMBERS	EMBERS	67	EMBERS
Tryon-1995-1310-66	01.851	BURN (vb trans)	BURN (vb trans)	141	BURN (SOMETHING)
Tryon-1995-1310-67	01.852	BURN (vb intrans)	BURN (vb intrans)	1428	BURNING
Tryon-1995-1310-68	01.860	LIGHT, KINDLE, IGNITE 	LIGHT, KINDLE, IGNITE 	737	LIGHT (IGNITE)	Buck-1949-1110-47
Tryon-1995-1310-69	01.861	EXTINGUISH	EXTINGUISH	127	EXTINGUISH
Tryon-1995-1310-70	01.870	MATCH (noun)	MATCH (noun)	1133	MATCH	Buck-1949-1110-48
Tryon-1995-1310-71	01.880	FIREWOOD	FIREWOOD	10	FIREWOOD
Tryon-1995-1310-72	01.890	CHARCOAL	CHARCOAL	1188	CHARCOAL
Tryon-1995-1310-73	02.100	PERSON, HUMAN BEING	PERSON, HUMAN BEING	683	PERSON	Buck-1949-1110-49
Tryon-1995-1310-74	02.210	MAN (vs. woman)	MAN (vs. woman)	1554	MAN	Buck-1949-1110-50
Tryon-1995-1310-75	02.220	WOMAN	WOMAN	962	WOMAN	Buck-1949-1110-51
Tryon-1995-1310-76	02.230	MALE	MALE	1553	MALE	Buck-1949-1110-52
Tryon-1995-1310-77	02.240	FEMALE	FEMALE	1551	FEMALE	Buck-1949-1110-53
Tryon-1995-1310-78	02.250	BOY	BOY	1366	BOY	Buck-1949-1110-55
Tryon-1995-1310-79	02.251	YOUNG MAN (adolescent)	YOUNG MAN (adolescent)	76	YOUNG MAN
Tryon-1995-1310-80	02.260	GIRL	GIRL	1646	GIRL	Buck-1949-1110-56
Tryon-1995-1310-81	02.261	YOUNG WOMAN (adolescent)	YOUNG WOMAN (adolescent)	77	YOUNG WOMAN
Tryon-1995-1310-82	02.270	CHILD	CHILD	1304	CHILD (YOUNG HUMAN)	Buck-1949-1110-57
Tryon-1995-1310-83	02.280	INFANT, BABY	INFANT, BABY	1289	BABY	Buck-1949-1110-58
Tryon-1995-1310-84	02.310	HUSBAND	HUSBAND	1200	HUSBAND	Buck-1949-1110-59
Tryon-1995-1310-85	02.320	WIFE	WIFE	1199	WIFE	Buck-1949-1110-60
Tryon-1995-1310-86	02.330	MARRY	MARRY	203	MARRY	Buck-1949-1110-61
Tryon-1995-1310-87	02.340	MARRIAGE, WEDDING	MARRIAGE, WEDDING	3182	MARRIAGE OR WEDDING	Buck-1949-1110-62
Tryon-1995-1310-88	02.341	DIVORCE	DIVORCE	3672	DIVORCE (SEPARATE)
Tryon-1995-1310-89	02.350	FATHER	FATHER	1217	FATHER	Buck-1949-1110-63
Tryon-1995-1310-90	02.360	MOTHER	MOTHER	1216	MOTHER	Buck-1949-1110-64
Tryon-1995-1310-91	02.370	PARENTS	PARENTS	505	PARENTS	Buck-1949-1110-65
Tryon-1995-1310-92	02.380	MARRIED MAN	MARRIED MAN	424	MARRIED MAN
Tryon-1995-1310-93	02.390	MARRIED WOMAN	MARRIED WOMAN	426	MARRIED WOMAN
Tryon-1995-1310-94	02.410	SON	SON	1620	SON	Buck-1949-1110-66
Tryon-1995-1310-95	02.420	DAUGHTER	DAUGHTER	1357	DAUGHTER	Buck-1949-1110-67
Tryon-1995-1310-96	02.430	OFFSPRING (son or daughter)	OFFSPRING (son or daughter)	1801	CHILD (DESCENDANT)	Buck-1949-1110-68
Tryon-1995-1310-97	02.440	BROTHER	BROTHER	1262	BROTHER	Buck-1949-1110-69
