ID	NUMBER	ENGLISH	GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	BUCK_1949_1110
Tryon-1995-1310-281	04.250	LIP	LIP	478	LIP	Buck-1949-1110-180
Tryon-1995-1310-282	04.260	TONGUE	TONGUE	1205	TONGUE	Buck-1949-1110-181
Tryon-1995-1310-283	04.270	TOOTH	TOOTH	1380	TOOTH	Buck-1949-1110-182
Tryon-1995-1310-284	04.271	GUMS	GUMS	139	GUMS
Tryon-1995-1310-285	04.272	MOLAR TEETH	MOLAR TEETH	1049	MOLAR TOOTH
Tryon-1995-1310-286	04.280	NECK	NECK	1333	NECK	Buck-1949-1110-183
Tryon-1995-1310-287	04.281	NAPE OF NECK	NAPE OF NECK	1347	NAPE (OF NECK)
Tryon-1995-1310-288	04.290	THROAT	THROAT	1346	THROAT	Buck-1949-1110-184
Tryon-1995-1310-289	04.300	SHOULDER	SHOULDER	1482	SHOULDER
Tryon-1995-1310-290	04.301	SHOULDERBLADE	SHOULDERBLADE	172	SHOULDERBLADE
Tryon-1995-1310-291	04.302	COLLARBONE	COLLARBONE	1994	COLLARBONE
Tryon-1995-1310-292	04.310	ARM	ARM	1673	ARM	Buck-1949-1110-186
Tryon-1995-1310-293	04.312	ARMPIT	ARMPIT	1886	ARMPIT
Tryon-1995-1310-294	04.320	ELBOW	ELBOW	981	ELBOW	Buck-1949-1110-187
Tryon-1995-1310-295	04.321	WRIST	WRIST	799	WRIST
Tryon-1995-1310-296	04.330	HAND	HAND	1277	HAND	Buck-1949-1110-188
Tryon-1995-1310-297	04.331	PALM OF HAND	PALM OF HAND	1183	PALM OF HAND
Tryon-1995-1310-298	04.340	FINGER	FINGER	1303	FINGER	Buck-1949-1110-189
Tryon-1995-1310-299	04.342	THUMB	THUMB	1781	THUMB	Buck-1949-1110-190
Tryon-1995-1310-300	04.344	FINGERNAIL	FINGERNAIL	1258	FINGERNAIL
Tryon-1995-1310-301	04.345	CLAW	CLAW	72	CLAW
Tryon-1995-1310-302	04.350	LEG	LEG	1297	LEG	Buck-1949-1110-191
Tryon-1995-1310-303	04.351	THIGH	THIGH	800	THIGH
Tryon-1995-1310-304	04.352	CALF OF LEG	CALF OF LEG	498	CALF OF LEG
Tryon-1995-1310-305	04.360	KNEE	KNEE	1371	KNEE	Buck-1949-1110-192
Tryon-1995-1310-306	04.370	FOOT	FOOT	1301	FOOT	Buck-1949-1110-193
Tryon-1995-1310-307	04.371	ANKLE	ANKLE	803	ANKLE
Tryon-1995-1310-308	04.372	HEEL	HEEL	980	HEEL
Tryon-1995-1310-309	04.374	FOOTPRINT	FOOTPRINT	318	FOOTPRINT
Tryon-1995-1310-310	04.380	TOE	TOE	1389	TOE	Buck-1949-1110-194
Tryon-1995-1310-311	04.392	WING	WING	1257	WING	Buck-1949-1110-196
Tryon-1995-1310-312	04.393	FEATHER (see also body hair)	FEATHER (see also body hair)	1201	FEATHER	Buck-1949-1110-197
Tryon-1995-1310-313	04.400	CHEST	CHEST	1592	CHEST
Tryon-1995-1310-314	04.410	BREAST (of woman)	BREAST (of woman)	1402	BREAST	Buck-1949-1110-199
Tryon-1995-1310-315	04.412	NIPPLE, TEAT	NIPPLE, TEAT	796	NIPPLE
Tryon-1995-1310-316	04.420	UDDER	UDDER	154	UDDER	Buck-1949-1110-200
Tryon-1995-1310-317	04.430	NAVEL	NAVEL	1838	NAVEL	Buck-1949-1110-201
Tryon-1995-1310-318	04.440	HEART	HEART	1223	HEART	Buck-1949-1110-202
Tryon-1995-1310-319	04.441	LUNG	LUNG	688	LUNG
Tryon-1995-1310-320	04.450	LIVER	LIVER	1224	LIVER	Buck-1949-1110-203
Tryon-1995-1310-321	04.451	KIDNEY	KIDNEY	489	KIDNEY
Tryon-1995-1310-322	04.452	SPLEEN	SPLEEN	1744	SPLEEN
Tryon-1995-1310-323	04.460	STOMACH	STOMACH	819	STOMACH	Buck-1949-1110-204
Tryon-1995-1310-324	04.461	INTESTINES, GUTS	INTESTINES, GUTS	1991	INTESTINES
Tryon-1995-1310-325	04.462	WAIST	WAIST	1681	WAIST
Tryon-1995-1310-326	04.463	HIP	HIP	1745	HIP
Tryon-1995-1310-327	04.464	BUTTOCKS	BUTTOCKS	834	BUTTOCKS
Tryon-1995-1310-328	04.470	WOMB	WOMB	804	WOMB	Buck-1949-1110-205
Tryon-1995-1310-329	04.490	TESTICLE	TESTICLE	797	TESTICLES	Buck-1949-1110-207
Tryon-1995-1310-330	04.492	PENIS	PENIS	1222	PENIS	Buck-1949-1110-208
Tryon-1995-1310-331	04.510	BREATHE, BREATH	BREATHE, BREATH	3183	BREATH OR BREATHE	Buck-1949-1110-209
Tryon-1995-1310-332	04.520	YAWN, GAPE	YAWN, GAPE	1028	YAWN	Buck-1949-1110-210
Tryon-1995-1310-333	04.521	HICCOUGH	HICCOUGH	162	HICCOUGH
Tryon-1995-1310-334	04.530	COUGH	COUGH	879	COUGH	Buck-1949-1110-211
Tryon-1995-1310-335	04.540	SNEEZE	SNEEZE	1621	SNEEZE	Buck-1949-1110-212
Tryon-1995-1310-336	04.550	PERSPIRE	PERSPIRE	126	SWEAT (PERSPIRE)	Buck-1949-1110-213
Tryon-1995-1310-337	04.560	SPIT	SPIT	1440	SPIT	Buck-1949-1110-214
Tryon-1995-1310-338	04.570	VOMIT	VOMIT	1278	VOMIT	Buck-1949-1110-215
Tryon-1995-1310-339	04.580	BITE	BITE	1403	BITE	Buck-1949-1110-216
Tryon-1995-1310-340	04.590	LICK	LICK	319	LICK	Buck-1949-1110-217
Tryon-1995-1310-341	04.591	DRIBBLE	DRIBBLE	268	DRIBBLE
Tryon-1995-1310-342	04.610	SLEEP	SLEEP	1585	SLEEP	Buck-1949-1110-218
Tryon-1995-1310-343	04.612	SNORE	SNORE	1983	SNORE
Tryon-1995-1310-344	04.620	DREAM	DREAM	2374	DREAM	Buck-1949-1110-219
Tryon-1995-1310-345	04.630	WAKE UP	WAKE UP	1602	WAKE UP	Buck-1949-1110-220
Tryon-1995-1310-346	04.640	BREAK WIND	BREAK WIND	1159	FART	Buck-1949-1110-221
Tryon-1995-1310-347	04.650	URINATE	URINATE	592	PISS	Buck-1949-1110-222
Tryon-1995-1310-348	04.660	DEFECATE	DEFECATE	676	SHIT (DEFECATE)	Buck-1949-1110-223
Tryon-1995-1310-349	04.670	HAVE SEXUAL INTERCOURSE	HAVE SEXUAL INTERCOURSE	549	COPULATE	Buck-1949-1110-224
Tryon-1995-1310-350	04.680	SHIVER	SHIVER	52	SHIVER
Tryon-1995-1310-351	04.690	BATHE	BATHE	138	BATHE
Tryon-1995-1310-352	04.710	BEGET (of father)	BEGET (of father)	1152	BEGET	Buck-1949-1110-225
Tryon-1995-1310-353	04.720	BORN (to be)	BORN (to be)	1090	BE BORN	Buck-1949-1110-226
Tryon-1995-1310-354	04.730	PREGNANT	PREGNANT	1123	PREGNANT	Buck-1949-1110-227
Tryon-1995-1310-355	04.732	CONCEIVE	CONCEIVE	1087	CONCEIVE	Buck-1949-1110-228
Tryon-1995-1310-356	04.740	LIVE, LIVING, LIFE	LIVE, LIVING, LIFE	3184	BE ALIVE OR LIFE	Buck-1949-1110-229
Tryon-1995-1310-357	04.750	DEATH, DIE	DEATH, DIE	3186	BE DEAD OR DEATH OR DIE	Buck-1949-1110-230
Tryon-1995-1310-358	04.751	DROWNED	DROWNED	3187	DROWNED
Tryon-1995-1310-359	04.760	KILL	KILL	1417	KILL	Buck-1949-1110-231
Tryon-1995-1310-360	04.770	CORPSE	CORPSE	767	CORPSE	Buck-1949-1110-232
Tryon-1995-1310-361	04.780	BURY (the dead)	BURY (the dead)	1719	BURY	Buck-1949-1110-233
Tryon-1995-1310-362	04.790	GRAVE, TOMB	GRAVE, TOMB	1773	GRAVE	Buck-1949-1110-234
Tryon-1995-1310-363	04.810	STRONG, MIGHTY, POWERFUL	STRONG, MIGHTY, POWERFUL	3188	MIGHTY OR POWERFUL OR STRONG	Buck-1949-1110-235
Tryon-1995-1310-364	04.820	WEAK	WEAK	1601	WEAK	Buck-1949-1110-236
Tryon-1995-1310-365	04.830	WELL, HEALTH	WELL, HEALTH	1364	HEALTHY	Buck-1949-1110-237
Tryon-1995-1310-366	04.840	SICK, SICKNESS	SICK, SICKNESS	1847	SICK	Buck-1949-1110-238
Tryon-1995-1310-367	04.841	FEVER	FEVER	1534	FEVER
Tryon-1995-1310-368	04.842	GOITER	GOITER	1957	GOITER
Tryon-1995-1310-369	04.843	COLD (catarrh)	COLD (catarrh)	102	COMMON COLD (DISEASE)
Tryon-1995-1310-370	04.850	WOUND, SORE	WOUND, SORE	1109	WOUND	Buck-1949-1110-239
Tryon-1995-1310-371	04.852	BRUISE	BRUISE	1148	BRUISE
Tryon-1995-1310-372	04.853	SWELLING	SWELLING	1903	SWELLING
Tryon-1995-1310-373	04.854	ITCH	ITCH	3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)
Tryon-1995-1310-374	04.855	BLISTER	BLISTER	1584	BLISTER
Tryon-1995-1310-375	04.856	BOIL (n)	BOIL (n)	793	BOIL (OF SKIN)
Tryon-1995-1310-376	04.857	PUS	PUS	1808	PUS
Tryon-1995-1310-377	04.858	SCAR	SCAR	497	SCAR
Tryon-1995-1310-378	04.860	CURE, HEAL	CURE, HEAL	499	CURE	Buck-1949-1110-240
Tryon-1995-1310-379	04.870	PHYSICAN	PHYSICAN	597	PHYSICIAN	Buck-1949-1110-241
Tryon-1995-1310-380	04.880	MEDICINE, DRUG	MEDICINE, DRUG	1372	MEDICINE	Buck-1949-1110-242
Tryon-1995-1310-381	04.890	POISON	POISON	655	POISON	Buck-1949-1110-243
Tryon-1995-1310-382	04.910	TIRED, WEARY	TIRED, WEARY	1757	TIRED	Buck-1949-1110-244
Tryon-1995-1310-383	04.912	REST	REST	168	REST
Tryon-1995-1310-384	04.920	LAZY	LAZY	1564	LAZY	Buck-1949-1110-245
Tryon-1995-1310-385	04.930	BALD	BALD	1125	BALD	Buck-1949-1110-246
Tryon-1995-1310-386	04.940	LAME	LAME	320	LAME	Buck-1949-1110-247
Tryon-1995-1310-387	04.950	DEAF	DEAF	996	DEAF	Buck-1949-1110-248
Tryon-1995-1310-388	04.960	DUMB	DUMB	1666	MUTE	Buck-1949-1110-249
Tryon-1995-1310-389	04.970	BLIND	BLIND	1653	BLIND	Buck-1949-1110-250
Tryon-1995-1310-390	04.980	DRUNK	DRUNK	1463	DRUNK	Buck-1949-1110-251
Tryon-1995-1310-391	04.990	NAKED, BARE	NAKED, BARE	590	NAKED	Buck-1949-1110-252
Tryon-1995-1310-392	05.110	EAT	EAT	1336	EAT	Buck-1949-1110-253
Tryon-1995-1310-393	05.120	FOOD	FOOD	256	FOOD	Buck-1949-1110-254
Tryon-1995-1310-394	05.121	COOKED	COOKED	269	COOKED
Tryon-1995-1310-395	05.122	RAW	RAW	1959	RAW
Tryon-1995-1310-396	05.123	RIPE	RIPE	178	RIPE
Tryon-1995-1310-397	05.124	GREEN, UNRIPE	GREEN, UNRIPE	2300	GREEN OR UNRIPE
Tryon-1995-1310-398	05.125	ROTTEN	ROTTEN	1728	ROTTEN
Tryon-1995-1310-399	05.130	DRINK	DRINK	1401	DRINK	Buck-1949-1110-255
Tryon-1995-1310-400	05.140	HUNGER	HUNGER	1864	HUNGER	Buck-1949-1110-256
Tryon-1995-1310-401	05.141	FAMINE	FAMINE	199	FAMINE
Tryon-1995-1310-402	05.150	THIRST	THIRST	848	THIRST	Buck-1949-1110-257
Tryon-1995-1310-403	05.160	SUCK	SUCK	1421	SUCK	Buck-1949-1110-258
Tryon-1995-1310-404	05.180	CHEW	CHEW	321	CHEW
Tryon-1995-1310-405	05.181	SWALLOW	SWALLOW	897	SWALLOW
Tryon-1995-1310-406	05.190	CHOKE	CHOKE	129	CHOKE
Tryon-1995-1310-407	05.210	COOK	COOK	1100	COOK (SOMETHING)	Buck-1949-1110-260
Tryon-1995-1310-408	05.220	BOIL (vb)	BOIL (vb)	792	BOIL (OF LIQUID)	Buck-1949-1110-261
Tryon-1995-1310-409	05.230	ROAST, FRY	ROAST, FRY	2146	ROAST OR FRY	Buck-1949-1110-262
Tryon-1995-1310-410	05.240	BAKE	BAKE	183	BAKE	Buck-1949-1110-263
Tryon-1995-1310-411	05.250	OVEN	OVEN	1143	OVEN	Buck-1949-1110-265
Tryon-1995-1310-412	05.260	POT, COOKING VESSEL	POT, COOKING VESSEL	1462	POT	Buck-1949-1110-266
Tryon-1995-1310-413	05.270	KETTLE	KETTLE	854	KETTLE	Buck-1949-1110-267
Tryon-1995-1310-414	05.280	PAN	PAN	31	PAN	Buck-1949-1110-268
Tryon-1995-1310-415	05.310	DISH	DISH	481	DISH	Buck-1949-1110-269
Tryon-1995-1310-416	05.320	PLATE	PLATE	480	PLATE	Buck-1949-1110-270
Tryon-1995-1310-417	05.330	BOWL	BOWL	1530	BOWL	Buck-1949-1110-271
Tryon-1995-1310-418	05.340	PITCHER, JUG	PITCHER, JUG	270	JUG	Buck-1949-1110-272
Tryon-1995-1310-419	05.350	CUP, DRINKING VESSEL	CUP, DRINKING VESSEL	476	CUP	Buck-1949-1110-273
Tryon-1995-1310-420	05.360	SAUCER	SAUCER	271	SAUCER	Buck-1949-1110-274
Tryon-1995-1310-421	05.370	SPOON	SPOON	1378	SPOON	Buck-1949-1110-275
Tryon-1995-1310-422	05.380	KNIFE (cutlery)	KNIFE	3210	KNIFE (FOR EATING)
Tryon-1995-1310-423	05.390	FORK (cutlery)	FORK	1302	FORK	Buck-1949-1110-276
Tryon-1995-1310-424	05.391	TONGS	TONGS	272	TONGS
Tryon-1995-1310-425	05.410	MEAL (a)	MEAL (a)	1526	MEAL	Buck-1949-1110-277
Tryon-1995-1310-426	05.420	BREAKFAST	BREAKFAST	1322	BREAKFAST	Buck-1949-1110-278
Tryon-1995-1310-427	05.430	LUNCH	LUNCH	768	LUNCH	Buck-1949-1110-279
Tryon-1995-1310-428	05.440	DINNER	DINNER	1833	DINNER (SUPPER)	Buck-1949-1110-280
Tryon-1995-1310-429	05.450	SUPPER	SUPPER	1833	DINNER (SUPPER)	Buck-1949-1110-281
Tryon-1995-1310-430	05.460	PEEL	PEEL	275	PEEL
Tryon-1995-1310-431	05.470	SIEVE, STRAIN	SIEVE, STRAIN	3448	SIEVE OR STRAIN
Tryon-1995-1310-432	05.480	SCRAPE	SCRAPE	1767	SCRAPE
Tryon-1995-1310-433	05.490	STIR, MIX	STIR, MIX	2017	MIX
Tryon-1995-1310-434	05.510	BREAD	BREAD	1368	BREAD	Buck-1949-1110-282
Tryon-1995-1310-435	05.530	DOUGH	DOUGH	273	DOUGH	Buck-1949-1110-284
Tryon-1995-1310-436	05.540	KNEAD	KNEAD	274	KNEAD	Buck-1949-1110-285
Tryon-1995-1310-437	05.550	MEAL, FLOUR	MEAL, FLOUR	1594	FLOUR	Buck-1949-1110-286
Tryon-1995-1310-438	05.560	CRUSH, GRIND	CRUSH, GRIND	1033	GRIND	Buck-1949-1110-287
Tryon-1995-1310-439	05.570	MILL	MILL	636	MILL	Buck-1949-1110-288
Tryon-1995-1310-440	05.580	MORTAR (bowl)	MORTAR	224	MORTAR
Tryon-1995-1310-441	05.590	PESTLE	PESTLE	225	PESTLE
Tryon-1995-1310-442	05.610	MEAT	MEAT	634	MEAT	Buck-1949-1110-289
Tryon-1995-1310-443	05.630	SAUSAGE	SAUSAGE	1874	SAUSAGE	Buck-1949-1110-292
Tryon-1995-1310-444	05.640	SOUP, BROTH	SOUP, BROTH	1547	SOUP	Buck-1949-1110-293
Tryon-1995-1310-445	05.650	VEGETABLES	VEGETABLES	924	VEGETABLES	Buck-1949-1110-294
Tryon-1995-1310-446	05.660	BEAN	BEAN	832	BEAN	Buck-1949-1110-295
Tryon-1995-1310-447	05.700	POTATO	POTATO	593	POTATO
Tryon-1995-1310-448	05.710	FRUIT	FRUIT	1507	FRUIT	Buck-1949-1110-299
Tryon-1995-1310-449	05.712	BUNCH	BUNCH	1966	BUNCH
Tryon-1995-1310-450	05.750	FIG	FIG	322	FIG	Buck-1949-1110-303
Tryon-1995-1310-451	05.760	GRAPE	GRAPE	920	GRAPE	Buck-1949-1110-304
Tryon-1995-1310-452	05.770	NUT	NUT	191	NUT	Buck-1949-1110-305
Tryon-1995-1310-453	05.780	OLIVE	OLIVE	1154	OLIVE	Buck-1949-1110-306
Tryon-1995-1310-454	05.790	OIL	OIL	1484	OIL (ORGANIC SUBSTANCE)	Buck-1949-1110-307
Tryon-1995-1310-455	05.791	GREASE, FAT	GREASE, FAT	323	FAT (ORGANIC SUBSTANCE)
Tryon-1995-1310-456	05.810	SALT	SALT	1274	SALT	Buck-1949-1110-309
Tryon-1995-1310-457	05.820	PEPPER	PEPPER	1385	PEPPER	Buck-1949-1110-310
Tryon-1995-1310-458	05.821	CHILLI PEPPER	CHILLI PEPPER	919	CHILI PEPPER
Tryon-1995-1310-459	05.840	HONEY	HONEY	942	HONEY	Buck-1949-1110-312
Tryon-1995-1310-460	05.850	SUGAR	SUGAR	862	SUGAR	Buck-1949-1110-313
Tryon-1995-1310-461	05.860	MILK (noun)	MILK (noun)	635	MILK	Buck-1949-1110-314
Tryon-1995-1310-462	05.870	MILK (vb)	MILK (vb)	93	DRAW MILK	Buck-1949-1110-315
Tryon-1995-1310-463	05.880	CHEESE	CHEESE	1569	CHEESE	Buck-1949-1110-316
Tryon-1995-1310-464	05.890	BUTTER	BUTTER	1245	BUTTER	Buck-1949-1110-317
Tryon-1995-1310-465	05.900	BEVERAGE, DRINK	BEVERAGE, DRINK	731	BEVERAGE
Tryon-1995-1310-466	05.910	MEAD	MEAD	941	MEAD	Buck-1949-1110-318
Tryon-1995-1310-467	05.920	WINE	WINE	1524	WINE	Buck-1949-1110-319
Tryon-1995-1310-468	05.930	BEER	BEER	1639	BEER	Buck-1949-1110-320
Tryon-1995-1310-469	05.940	FERMENTED DRINK	FERMENTED DRINK	404	ALCOHOL (FERMENTED DRINK)
Tryon-1995-1310-470	05.970	EGG	EGG	744	EGG
Tryon-1995-1310-471	05.971	EGG YOLK	EGG YOLK	1556	YOLK
Tryon-1995-1310-472	06.110	PUT ON (clothes)	PUT ON (clothes)	158	PUT ON	Buck-1949-1110-321
Tryon-1995-1310-473	06.120	CLOTHING, CLOTHES	CLOTHING, CLOTHES	1895	CLOTHES	Buck-1949-1110-322
Tryon-1995-1310-474	06.130	TAILOR	TAILOR	881	TAILOR	Buck-1949-1110-323
Tryon-1995-1310-475	06.210	CLOTH 	CLOTH 	1616	CLOTH	Buck-1949-1110-324
Tryon-1995-1310-476	06.220	WOOL	WOOL	964	WOOL	Buck-1949-1110-325
Tryon-1995-1310-477	06.230	LINEN, FLAX	LINEN, FLAX	3462	FLAX OR LINEN	Buck-1949-1110-326
Tryon-1995-1310-478	06.240	COTTON	COTTON	1850	COTTON	Buck-1949-1110-327
Tryon-1995-1310-479	06.250	SILK	SILK	1641	SILK	Buck-1949-1110-328
Tryon-1995-1310-480	06.270	FELT	FELT	325	FELT	Buck-1949-1110-330
Tryon-1995-1310-481	06.280	FUR	FUR	580	FUR
Tryon-1995-1310-482	06.290	LEATHER	LEATHER	629	LEATHER	Buck-1949-1110-331
Tryon-1995-1310-483	06.310	SPIN	SPIN	121	SPIN	Buck-1949-1110-332
Tryon-1995-1310-484	06.320	SPINDLE	SPINDLE	277	SPINDLE	Buck-1949-1110-333
Tryon-1995-1310-485	06.330	WEAVE	WEAVE	133	WEAVE	Buck-1949-1110-334
Tryon-1995-1310-486	06.340	LOOM	LOOM	1787	LOOM	Buck-1949-1110-335
Tryon-1995-1310-487	06.350	SEW	SEW	1457	SEW	Buck-1949-1110-336
Tryon-1995-1310-488	06.360	NEEDLE	NEEDLE	1382	NEEDLE (FOR SEWING)
Tryon-1995-1310-489	06.370	AWL	AWL	278	AWL	Buck-1949-1110-337
Tryon-1995-1310-490	06.380	THREAD	THREAD	1161	THREAD	Buck-1949-1110-338
Tryon-1995-1310-491	06.390	DYE	DYE	157	DYE	Buck-1949-1110-339
Tryon-1995-1310-492	06.410	CLOAK	CLOAK	326	CLOAK	Buck-1949-1110-340
Tryon-1995-1310-493	06.411	PONCHO	PONCHO	327	PONCHO
Tryon-1995-1310-494	06.420	WOMAN'S DRESS	WOMAN'S DRESS	474	DRESS	Buck-1949-1110-342
Tryon-1995-1310-495	06.430	COAT	COAT	603	COAT	Buck-1949-1110-343
Tryon-1995-1310-496	06.440	SHIRT	SHIRT	1622	SHIRT	Buck-1949-1110-344
Tryon-1995-1310-497	06.450	COLLAR	COLLAR	2012	COLLAR	Buck-1949-1110-345
Tryon-1995-1310-498	06.460	SKIRT	SKIRT	1600	SKIRT	Buck-1949-1110-346
Tryon-1995-1310-499	06.461	GRASS-SKIRT	GRASS-SKIRT	328	GRASS-SKIRT
Tryon-1995-1310-500	06.480	TROUSERS	TROUSERS	809	TROUSERS	Buck-1949-1110-348
Tryon-1995-1310-501	06.490	STOCKING, SOCK	STOCKING, SOCK	329	STOCKING	Buck-1949-1110-349
Tryon-1995-1310-502	06.510	SHOE	SHOE	1381	SHOE	Buck-1949-1110-350
Tryon-1995-1310-503	06.520	BOOT	BOOT	585	BOOT	Buck-1949-1110-351
Tryon-1995-1310-504	06.540	SHOEMAKER, COBBLER	SHOEMAKER, COBBLER	875	SHOEMAKER	Buck-1949-1110-353
Tryon-1995-1310-505	06.550	HAT, CAP	HAT, CAP	2130	HEADGEAR	Buck-1949-1110-354
Tryon-1995-1310-506	06.570	BELT, GIRDLE	BELT, GIRDLE	772	BELT	Buck-1949-1110-355
Tryon-1995-1310-507	06.580	GLOVE	GLOVE	867	GLOVE	Buck-1949-1110-356
Tryon-1995-1310-508	06.590	VEIL	VEIL	1151	VEIL	Buck-1949-1110-357
Tryon-1995-1310-509	06.610	POCKET	POCKET	1851	POCKET	Buck-1949-1110-358
Tryon-1995-1310-510	06.620	BUTTON	BUTTON	757	BUTTON	Buck-1949-1110-359
Tryon-1995-1310-511	06.630	PIN	PIN	64	PIN	Buck-1949-1110-360
Tryon-1995-1310-512	06.710	ORNAMENT, ADORNMENT	ORNAMENT, ADORNMENT	917	ORNAMENT	Buck-1949-1110-361
Tryon-1995-1310-513	06.720	JEWEL	JEWEL	1029	JEWEL	Buck-1949-1110-362
Tryon-1995-1310-514	06.730	RING (for finger)	RING (for finger)	1374	RING	Buck-1949-1110-363
Tryon-1995-1310-515	06.740	BRACELET	BRACELET	1754	BRACELET	Buck-1949-1110-364
Tryon-1995-1310-516	06.750	NECKLACE	NECKLACE	1961	NECKLACE	Buck-1949-1110-365
Tryon-1995-1310-517	06.760	BEADS	BEADS	1860	BEAD
Tryon-1995-1310-518	06.770	EARRING	EARRING	770	EARRING
Tryon-1995-1310-519	06.780	HEADBAND, HEADDRESS	HEADBAND, HEADDRESS	3457	HEADBAND OR HEADDRESS
Tryon-1995-1310-520	06.790	TATTOO	TATTOO	68	TATTOO
Tryon-1995-1310-521	06.810	HANDKERCHIEF, RAG	HANDKERCHIEF, RAG	1020	HANDKERCHIEF	Buck-1949-1110-366
Tryon-1995-1310-522	06.820	TOWEL	TOWEL	1021	TOWEL	Buck-1949-1110-367
Tryon-1995-1310-523	06.910	COMB	COMB	1475	COMB	Buck-1949-1110-369
Tryon-1995-1310-524	06.920	BRUSH	BRUSH	1821	BRUSH	Buck-1949-1110-370
Tryon-1995-1310-525	06.921	BRAID	BRAID	1043	BRAID
Tryon-1995-1310-526	06.930	RAZOR	RAZOR	151	RAZOR	Buck-1949-1110-371
Tryon-1995-1310-527	06.940	OINTMENT	OINTMENT	1926	OINTMENT	Buck-1949-1110-372
Tryon-1995-1310-528	06.950	SOAP	SOAP	788	SOAP	Buck-1949-1110-373
Tryon-1995-1310-529	06.960	MIRROR	MIRROR	1171	MIRROR	Buck-1949-1110-374
Tryon-1995-1310-530	07.110	DWELL, LIVE	DWELL, LIVE	363	DWELL (LIVE, RESIDE)	Buck-1949-1110-375
Tryon-1995-1310-531	07.120	HOUSE	HOUSE	1252	HOUSE	Buck-1949-1110-376
Tryon-1995-1310-532	07.130	HUT	HUT	1678	HUT	Buck-1949-1110-378
Tryon-1995-1310-533	07.131	GARDEN-HOUSE	GARDEN-HOUSE	403	GARDEN-HOUSE
Tryon-1995-1310-534	07.140	TENT	TENT	1316	TENT	Buck-1949-1110-379
Tryon-1995-1310-535	07.150	YARD, COURT	YARD, COURT	736	YARD	Buck-1949-1110-380
Tryon-1995-1310-536	07.160	MEN'S HOUSE	MEN'S HOUSE	408	MEN'S HOUSE
Tryon-1995-1310-537	07.170	COOKHOUSE	COOKHOUSE	334	COOKHOUSE
Tryon-1995-1310-538	07.180	MEETING HOUSE	MEETING HOUSE	335	MEETING HOUSE
Tryon-1995-1310-539	07.210	ROOM	ROOM	1450	ROOM	Buck-1949-1110-381
Tryon-1995-1310-540	07.220	DOOR, GATE	DOOR, GATE	1567	DOOR	Buck-1949-1110-382
Tryon-1995-1310-541	07.221	DOORPOST, JAMB	DOORPOST, JAMB	80	DOORPOST
Tryon-1995-1310-542	07.230	LOCK (n)	LOCK (n)	1596	LOCK	Buck-1949-1110-383
Tryon-1995-1310-543	07.231	LATCH, DOOR-BOLT	LATCH, DOOR-BOLT	1012	LATCH
Tryon-1995-1310-544	07.240	KEY	KEY	1472	KEY	Buck-1949-1110-384
Tryon-1995-1310-545	07.250	WINDOW	WINDOW	1375	WINDOW	Buck-1949-1110-385
Tryon-1995-1310-546	07.260	FLOOR	FLOOR	1632	FLOOR	Buck-1949-1110-386
Tryon-1995-1310-547	07.270	WALL	WALL	3830	WALL	Buck-1949-1110-387
Tryon-1995-1310-548	07.310	FIREPLACE	FIREPLACE	185	FIREPLACE	Buck-1949-1110-389
Tryon-1995-1310-549	07.320	STOVE	STOVE	859	STOVE	Buck-1949-1110-390
Tryon-1995-1310-550	07.330	CHIMNEY	CHIMNEY	1305	CHIMNEY	Buck-1949-1110-391
Tryon-1995-1310-551	07.370	LADDER	LADDER	1464	LADDER
Tryon-1995-1310-552	07.420	BED	BED	1663	BED	Buck-1949-1110-393
Tryon-1995-1310-553	07.421	PILLOW	PILLOW	1044	PILLOW
Tryon-1995-1310-554	07.422	BLANKET	BLANKET	806	BLANKET
Tryon-1995-1310-555	07.430	CHAIR	CHAIR	1476	CHAIR	Buck-1949-1110-394
Tryon-1995-1310-556	07.440	TABLE	TABLE	1775	TABLE	Buck-1949-1110-395
Tryon-1995-1310-557	07.450	LAMP, TORCH	LAMP, TORCH	2131	TORCH OR LAMP	Buck-1949-1110-396
Tryon-1995-1310-558	07.460	CANDLE	CANDLE	1273	CANDLE	Buck-1949-1110-397
Tryon-1995-1310-559	07.470	SHELF	SHELF	745	SHELF
Tryon-1995-1310-560	07.480	TROUGH	TROUGH	205	TROUGH
Tryon-1995-1310-561	07.510	ROOF	ROOF	769	ROOF
Tryon-1995-1310-562	07.520	THATCH	THATCH	279	THATCH
Tryon-1995-1310-563	07.530	RIDGEPOLE	RIDGEPOLE	280	RIDGEPOLE
Tryon-1995-1310-564	07.540	RAFTER	RAFTER	829	RAFTER
Tryon-1995-1310-565	07.550	BEAM	BEAM	1132	BEAM
Tryon-1995-1310-566	07.560	POST, POLE	POST, POLE	281	POST
Tryon-1995-1310-567	07.570	BOARD	BOARD	1227	BOARD
Tryon-1995-1310-568	07.580	ARCH	ARCH	876	ARCH
Tryon-1995-1310-569	07.610	MASON	MASON	877	MASON
Tryon-1995-1310-570	07.620	BRICK	BRICK	1006	BRICK
Tryon-1995-1310-571	07.630	MORTAR (paste)	MORTAR	1731	MORTAR BINDER
Tryon-1995-1310-572	07.640	ADOBE	ADOBE	901	ADOBE
