ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	SEMANTIC_CATEGORY	TYPICALITY	FAMILIARITY	AOA	IMAGEABILITY	LEXICAL_AVAILABILITY	FREQUENCY	WORD_LENGTH
Izura-2005-499-1	1	Abundante	abundant			intelligence	2.76	5.56	7.92	4.12	1.399	23	4
Izura-2005-499-2	2	Alma	soul	SOUL	811	intelligence	2.96	5.48	6.8	2.52	1.983	165	2
Izura-2005-499-3	3	Amistad	friendship			intelligence	3.48	6.52	5.34	3.56	2.348	53	3
Izura-2005-499-4	4	Amor	love	LOVE	923	intelligence	3.8	6.52	5.02	3.96	2.042	378	2
Izura-2005-499-5	5	Analizar	to analyse			intelligence	5.52	4.08	8.76	2.76	2.113	25	4
Izura-2005-499-6	6	Aplicado	conscientious			intelligence	5.04	3.08	8.24	3.24	1.55	12	4
Izura-2005-499-7	7	Aprender	to learn	LEARN	504	intelligence	6.04	6.04	5.18	3.6	8.345	27	3
Izura-2005-499-8	8	Aprendiz	learner			intelligence	5.72	4.92	10.16	3.28	3.398	30	5
Izura-2005-499-9	9	Aprobado	pass			intelligence	4.6	5.56	6.88	5.08	1.427	3	4
Izura-2005-499-10	10	Aprobar	to pass			intelligence	5.08	6.48	6.64	4.48	3.124	3	3
Izura-2005-499-11	11	Atención	attention			intelligence	5.4	6.44	5.44	3.28	1.815	158	3
Izura-2005-499-12	12	Atento	attentive 	ATTENTIVE	1908	intelligence	5.36	6.16	5.56	3.88	1.47	18	3
Izura-2005-499-13	13	Cabeza	head	HEAD	1256	intelligence	5.84	6.6	4.2	6.72	5.958	416	3
Izura-2005-499-14	14	Capacidad	capacity			intelligence	5.92	6.16	8.13	3.48	4.713	114	4
Izura-2005-499-15	15	Carisma	charisma			intelligence	3.76	4.44	11.32	3.24	1.47	0	3
Izura-2005-499-16	16	Carrera	career			intelligence	4.48	6.52	8.84	4.72	2.268	77	3
Izura-2005-499-17	17	Cerebro	brain	BRAIN	1583	intelligence	6.12	5.4	7.04	5.48	23.892	87	3
Izura-2005-499-18	18	Ciencia	science			intelligence	5.16	5.32	8.36	3.52	3.037	203	2
Izura-2005-499-19	19	Científico	scientist			intelligence	5.12	4.64	8.52	6.24	2.268	85	4
Izura-2005-499-20	20	Comprender	to understand	UNDERSTAND	1536	intelligence	6	6	6.52	3.6	2.972	67	3
Izura-2005-499-21	21	Concentración	concentration			intelligence	5.2	6	8	3.64	1.635	40	4
Izura-2005-499-22	22	Conocer	to know	KNOW	3626	intelligence	5.56	5.88	5.92	3.36	3.845	104	3
Izura-2005-499-23	23	Conocimiento	consciousness			intelligence	6.08	5.52	6.84	3.24	2.265	203	5
