ID	NUMBER	CHINESE	CHINESE_SIMPLIFIED	PINYIN	ENGLISH	GUSTATORY_MEAN	VISUAL_MEAN	AUDITORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Chen-2019-171-69	69	涼	凉	liang2	cool	4.136363636	2.076923077	0.416666667	1.9375	4.941176471	Haptic	0.334934768	2483	COLD (OF WEATHER)
Chen-2019-171-70	70	亮	亮	liang4	bright	0.02020202	4.919191919	0.898989899	0.03030303	0.204301075	Visual	0.806685267	679	BRIGHT
Chen-2019-171-71	71	寥寥	寥寥	liao2-liao2	sparse	0.523809524	4.25	2	0	0.090909091	Visual	0.619107678	207	SPARSE
Chen-2019-171-72	72	烈	烈	lie4	scorching	3.666666667	3.727272727	1	3.705882353	2	Visual	0.193426043		
Chen-2019-171-73	73	粼粼	粼粼	lin2-lin2	clear (of water)	0	4.75	0.35	0	0.538461538	Visual	0.842428377	1147	PURE
Chen-2019-171-74	74	嶙嶙	嶙嶙	lin2-lin2	jagged (of peaks)	0.222222222	2.65	1.333333333	0.058823529	1.181818182	Visual	0.475777197		
Chen-2019-171-75	75	凜凜	凛凛	lin2-lin2	cold	0.35	2.333333333	0.583333333	0.208333333	2.384615385	Haptic	0.371403566	2932	COLD (CHILL)
Chen-2019-171-76	76	綠	绿	 lv4	green	0	5	0.142857143	0.142857143	0	Visual	0.945945946	1425	GREEN
Chen-2019-171-77	77	麻	麻	ma2	trembling	4.75	0.952380952	1.117647059	1.388888889	4.769230769	Haptic	0.294098196		
Chen-2019-171-78	78	滿	满	man3	full	0.791666667	5	1.285714286	0.571428571	4	Visual	0.380173735	1429	FULL
Chen-2019-171-79	79	漫漫	漫漫	man4-man4 	boundless	0.041666667	2.19047619	0.416666667	0.045454545	0	Visual	0.813014662		
Chen-2019-171-80	80	茫茫	茫茫	mang2-mang2	vast	0.3	4.636363636	1.208333333	0.764705882	0.0625	Visual	0.656042365		
Chen-2019-171-81	81	密	密	mi4	dense	1	4.909090909	2	0.333333333	3.555555556	Visual	0.387842466		
Chen-2019-171-82	82	綿綿	绵绵	mian2-mian2 	continuous	2.6	3.05	0.916666667	0.333333333	4.25	Haptic	0.351270553		
Chen-2019-171-83	83	漠漠	漠漠	mo4-mo4	misty	0.411764706	2.5	0.35	0	0.291666667	Visual	0.703545317		
Chen-2019-171-84	84	木	木	mu4	numb	2.461538462	2.727272727	0.25	0.6875	3.291666667	Haptic	0.32296388	2216	BECOME NUMB
Chen-2019-171-85	85	嫩	嫩	nen4	tender	3.875	4.458333333	1.05	0.3	4.5	Haptic	0.296122209	1954	GENTLE
Chen-2019-171-86	86	膩	腻	ni4	greasy	4.666666667	2	3.166666667	3.136363636	1.818181818	Gustatory	0.192622951	955	GREASY
Chen-2019-171-87	87	蔫	蔫	nian1	withering	0.85	2.454545455	0.45	0.75	1.333333333	Visual	0.343368804		
Chen-2019-171-88	88	黏	黏	nian2	sticky	1.95	2.555555556	2.222222222	0.363636364	5	Haptic	0.38344263	3703	STICKY
Chen-2019-171-89	89	濃	浓	nong2	intense taste/concentrated	4.301075269	2.053763441	0.191919192	2.737373737	1.131313131	Gustatory	0.394525262		
Chen-2019-171-90	90	暖	暖	nuan3	warm	2.5	4.5	1.117647059	0.875	4.666666667	Haptic	0.277588373	1232	WARM
Chen-2019-171-91	91	胖	胖	pang4	fat	0	4.8125	0	0	2.8125	Visual	0.631147541	1279	FAT (OBESE)
Chen-2019-171-92	92	偏	偏	pian2	inclined to one side	0.15	3.944444444	1.388888889	0.461538462	0.8	Visual	0.562567319		
Chen-2019-171-93	93	破	破	po4	broken	0.294117647	3.272727273	3	0.15	2	Visual	0.358240545	3191	BROKEN (SHATTERED)
Chen-2019-171-94	94	齊	齐	qi2	neat	0.333333333	4.611111111	2.555555556	0	1.8	Visual	0.495818399		
Chen-2019-171-95	95	乾	乾	gan1	dry	2.161290323	2.559139785	0.303030303	0.383838384	4.424242424	Haptic	0.419182713	1398	DRY
Chen-2019-171-96	96	淺	浅	qian3	shallow	1.208333333	3.461538462	1	1.428571429	1.941176471	Visual	0.272305533	193	SHALLOW
Chen-2019-171-97	97	強	强	qiang2	strong	2.416666667	3.461538462	5	2.125	1.846153846	Auditory	0.212389381		
Chen-2019-171-98	98	青	青	qing1	green	0.538461538	5	0	0.615384615	0.277777778	Visual	0.777408638	2382	BLUE OR GREEN
Chen-2019-171-99	99	清	清	qing1	limpid	2.941176471	4.833333333	3.611111111	3.25	0.3125	Visual	0.302434892		
Chen-2019-171-100	100	輕	轻	qing1	light	1.7	1.764705882	4.055555556	0.772727273	4	Auditory	0.267048832	1052	LIGHT (WEIGHT)
Chen-2019-171-101	101	全	全	quan2	full	1	3.1	0.1875	0.227272727	0.1	Visual	0.650086186	1429	FULL
Chen-2019-171-102	102	熱	热	re4	hot	3.416666667	2.35	0.136363636	1.095238095	5	Haptic	0.405361524	1286	HOT
Chen-2019-171-103	103	融融	融融	rong2-rong2	harmonious	0.541666667	1.153846154	0.45	0	0.764705882	Visual	0.396480908		
Chen-2019-171-104	104	柔	柔	rou2	soft	2.692307692	4.333333333	4.333333333	0.80952381	5	Haptic	0.244079368		
Chen-2019-171-105	105	軟	软	ruan3	soft	2.333333333	0.923076923	1.615384615	0	5	Haptic	0.506493506	1856	SOFT
Chen-2019-171-106	106	銳	锐	rui4	sharp	2.25	3.625	3.538461538	1.176470588	4.411764706	Haptic	0.215661878	1396	SHARP
Chen-2019-171-107	107	臊	臊	sao1	of urine's smell	2.303030303	0.333333333	0.262626263	2.505050505	0.408602151	Olfactory	0.385783957		
Chen-2019-171-108	108	澀	涩	se4	astringent	5	0.833333333	0.904761905	1.538461538	1.952380952	Gustatory	0.407341092	3837	ASTRINGENT
Chen-2019-171-109	109	森森	森森	sen1-sen1	dense	0	3.941176471	0.7	0.555555556	0.384615385	Visual	0.706133516		
Chen-2019-171-110	110	羶	膻	shan1	of mutton's smell	4.182795699	0.376344086	0.070707071	4.121212121	0.282828283	Gustatory	0.455184851		
Chen-2019-171-111	111	閃閃	闪闪	shan3-shan3	sparkling	0	4.833333333	0.333333333	0	0	Visual	0.935483871		
Chen-2019-171-112	112	深	深	shen1	deep	0.888888889	4.388888889	2.722222222	0.409090909	4.416666667	Haptic	0.312463083	1593	DEEP
Chen-2019-171-113	113	濕	湿	shi1	wet	1.8	3.25	0	1.95	4.958333333	Haptic	0.414634146	1726	WET
Chen-2019-171-114	114	瘦	瘦	shou4	thin	0	5	0.041666667	0	2.461538462	Visual	0.666381888	1400	THIN (SLIM)
Chen-2019-171-115	115	鬆	松	song1	shaggy	0	1.375	0.791666667	0.125	4.541666667	Haptic	0.664634146		
Chen-2019-171-116	116	酥	酥	su1	crisp/flaky	4.916666667	1.2	2.833333333	0.944444444	4.363636364	Gustatory	0.278594453		
Chen-2019-171-117	117	素	素	su4	plain	3.454545455	3.692307692	0.846153846	1.611111111	0.764705882	Visual	0.282346563	652	PLAIN
Chen-2019-171-118	118	酸	酸	suan1 	sour	4.97979798	0.393939394	0.182795699	4.11827957	0.171717172	Gustatory	0.488302062	1906	SOUR
Chen-2019-171-119	119	燙	烫	tang4	scalding	3.2	1.352941176	0	0.181818182	5	Haptic	0.513623379		
Chen-2019-171-120	120	滔滔	滔滔	tao1-tao1	surging	0	2.769230769	3.545454545	0	0.888888889	Auditory	0.492179916		
Chen-2019-171-121	121	疼	疼	teng2	painful	0	1.833333333	0.4	0	4.944444444	Haptic	0.688854489	1129	PAINFUL
Chen-2019-171-122	122	甜	甜	tian2	sweet	5	1.032258065	0.565656566	2.353535354	0.121212121	Gustatory	0.537746014	717	SWEET
Chen-2019-171-123	123	亭亭	亭亭	ting2-ting2	erect	0.047619048	4.625	0	0	0.166666667	Visual	0.955719557		
Chen-2019-171-124	124	痛	痛	tong4	painful	0.161616162	1.232323232	0.537634409	0.043010753	4.464646465	Haptic	0.68667139	1129	PAINFUL
Chen-2019-171-125	125	凸	凸	tu1	protruding	0.166666667	4.2	0.291666667	0	5	Haptic	0.517687662		
