ID	NUMBER	GLOSS	OMEGAWIKI
Samarin-1969-218-157	157	smooth	5487
Samarin-1969-218-158	158	snake	3388
Samarin-1969-218-159	159	snow	3455
Samarin-1969-218-160	160	some	5499
Samarin-1969-218-161	161	spear*	408915
Samarin-1969-218-162	162	spit	6051
Samarin-1969-218-163	163	split	6048
Samarin-1969-218-164	164	squeeze	6017
Samarin-1969-218-165	165	stab/pierce	6045
	165	stab/pierce	1511162
Samarin-1969-218-166	166	stand	6053
Samarin-1969-218-167	167	star	6041
Samarin-1969-218-168	168	stick	5662
Samarin-1969-218-169	169	stone	3633
Samarin-1969-218-170	170	straight	5994
Samarin-1969-218-171	171	suck	6027
Samarin-1969-218-172	172	sun	5850
Samarin-1969-218-173	173	swell	6454
Samarin-1969-218-174	174	swim	6050
Samarin-1969-218-175	175	tail	5468
Samarin-1969-218-176	176	ten*	6312
Samarin-1969-218-177	177	that	1149393
Samarin-1969-218-178	178	there	858309
Samarin-1969-218-179	179	they	352331
Samarin-1969-218-180	180	thick	5503
Samarin-1969-218-181	181	thin	5990
Samarin-1969-218-182	182	think	6021
Samarin-1969-218-183	183	this	5458
Samarin-1969-218-184	184	thou	5459
Samarin-1969-218-185	185	three	156096
Samarin-1969-218-186	186	throw	6072
Samarin-1969-218-187	187	tie	844574
Samarin-1969-218-188	188	tongue	5440
Samarin-1969-218-189	189	tooth	5946
Samarin-1969-218-190	190	tree	3854
Samarin-1969-218-191	191	turn	6526
Samarin-1969-218-192	192	twenty*	7013
Samarin-1969-218-193	193	two	6248
Samarin-1969-218-194	194	vomit	5617
Samarin-1969-218-195	195	walk	6054
Samarin-1969-218-196	196	warm	5485
Samarin-1969-218-197	197	wash	6069
Samarin-1969-218-198	198	water	4118
Samarin-1969-218-199	199	we	5455
Samarin-1969-218-200	200	wet	7027
Samarin-1969-218-201	201	what?	5491
Samarin-1969-218-202	202	when?	5493
Samarin-1969-218-203	203	where?	5492
Samarin-1969-218-204	204	white	5825
Samarin-1969-218-205	205	who?	5490
Samarin-1969-218-206	206	wide	5502
Samarin-1969-218-207	207	wife	5429
Samarin-1969-218-208	208	wind	4160
Samarin-1969-218-209	209	wing	5528
Samarin-1969-218-210	210	wipe	6070
Samarin-1969-218-211	211	with	5844
Samarin-1969-218-212	212	woman	4165
Samarin-1969-218-213	213	woods	1533
Samarin-1969-218-214	214	work*	471303
Samarin-1969-218-215	215	worm	5466
Samarin-1969-218-216	216	ye	5456
Samarin-1969-218-217	217	year	5478
Samarin-1969-218-218	218	yellow	6031
