ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	PAGENUMBER	ENGLISH	CHINESE	NUMBERINSOURCE
SatterthwaitePhillips-2011-423-1	619	ANIMAL	1	167	animal	动物	14
SatterthwaitePhillips-2011-423-2	587	ANT	2	167	ant	蚂蚁	25
SatterthwaitePhillips-2011-423-3	1673	ARM	3	167	arm	胳膊 [B = 胳毙]	102,6
SatterthwaitePhillips-2011-423-4	977	ARROW	4	167	arrow	箭	166
SatterthwaitePhillips-2011-423-5	1894	ASHAMED	5	167	ashamed	惭愧	258
SatterthwaitePhillips-2011-423-6	646	ASH	6	168	ashes	烟灰 [B = 灰]	152
SatterthwaitePhillips-2011-423-7	825	AWAKE	7	168	awaken	醒	300
SatterthwaitePhillips-2011-423-8	1291	BACK	8	168	back	背	114
SatterthwaitePhillips-2011-423-9	1292	BAD	9	168	bad	坏	320
SatterthwaitePhillips-2011-423-10	1927	BAMBOO	10	168	bamboo	竹子	60
SatterthwaitePhillips-2011-423-11	868	BANANA	11	169	banana	香蕉；芭蕉 [B = 香蕉]	138
SatterthwaitePhillips-2011-423-12	1204	BARK	12	169	bark	树皮	55
SatterthwaitePhillips-2011-423-13	932	BARLEY	13	169	barley	大麦	349
SatterthwaitePhillips-2011-423-14	1793	BAT	14	169	bat>>	蝙蝠	44
SatterthwaitePhillips-2011-423-15	1090	BE BORN	15	169	be born, to	出生	251
SatterthwaitePhillips-2011-423-16	1132	BEAM	16	170	beam	横梁 [B = 梁]	157
SatterthwaitePhillips-2011-423-17	832	BEAN	17	170	bean	豆	145
SatterthwaitePhillips-2011-423-18	1820	BEAR	18	170	bear	熊	39
SatterthwaitePhillips-2011-423-19	1427	BEAUTIFUL	19	170	beautiful	漂亮 [B = meili]	358
SatterthwaitePhillips-2011-423-20	1663	BED	20	170	bed	床	159
SatterthwaitePhillips-2011-423-21	665	BEE	21	171	bee	蜜蜂	29
SatterthwaitePhillips-2011-423-22	2242	BEETLE	22	171	beetle	甲虫	386
SatterthwaitePhillips-2011-423-23	2245	BELCH	23	171	belch	打嗝	278
SatterthwaitePhillips-2011-423-24	2246	BELL	24	171	bell	铃	169
SatterthwaitePhillips-2011-423-25	1251	BELLY	25	171	belly*	肚子	110
SatterthwaitePhillips-2011-423-26	1202	BIG	26	172	big	大	404
SatterthwaitePhillips-2011-423-27	1759	OLDER BROTHER	27	172	big brother	哥哥	401
SatterthwaitePhillips-2011-423-28	1758	OLDER SISTER	28	172	big sister	姐姐	407
SatterthwaitePhillips-2011-423-29	937	BIRD	29	172	bird *	鸟	15
SatterthwaitePhillips-2011-423-30	1403	BITE	30	172	bite	咬	325
SatterthwaitePhillips-2011-423-31	887	BITTER	31	173	bitter	苦	266
SatterthwaitePhillips-2011-423-32	163	BLACK	32	173	black	黑	65
SatterthwaitePhillips-2011-423-33	946	BLOOD	33	173	blood*	血	127
SatterthwaitePhillips-2011-423-34			34	173	blow (out)%	?	?
SatterthwaitePhillips-2011-423-35	176	BLOW (THE TRUMPET)	35	173	blow [of person]	吹	335
SatterthwaitePhillips-2011-423-36	175	BLOW (OF WIND)	36	174	blow [of wind]	刮	351
SatterthwaitePhillips-2011-423-37	837	BLUE	37	174	blue	蓝	71
SatterthwaitePhillips-2011-423-38	1844	BOAT	38	174	boat	船	169,1
SatterthwaitePhillips-2011-423-39	792	BOIL (OF LIQUID)	39	174	boil	煮（＝开水）	340
SatterthwaitePhillips-2011-423-40	1394	BONE	40	174	bone*	骨头	126
SatterthwaitePhillips-2011-423-41	994	BOW	41	175	bow	弓	165
