ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	PAGENUMBER	ENGLISH	CHINESE	NUMBERINSOURCE
SatterthwaitePhillips-2011-423-42	1530	BOWL	42	175	bowl	碗	147
SatterthwaitePhillips-2011-423-43	1366	BOY	43	175	boy	男孩 [B = 男青年]	253
SatterthwaitePhillips-2011-423-44	1583	BRAIN	44	175	brain>>	脑子 [B= 脑髓]	119
SatterthwaitePhillips-2011-423-45	1531	BRANCH	45	175	branch	树枝	53
SatterthwaitePhillips-2011-423-46	680	BREAK (DESTROY OR GET DESTROYED)	46	176	break	弄坏 [B = pohuai]	317
SatterthwaitePhillips-2011-423-47	1119	DIVIDE	47	176	break （branch）	断（小枝）	361
SatterthwaitePhillips-2011-423-48	1402	BREAST	48	176	breast	奶 [B = 乳房]	116
SatterthwaitePhillips-2011-423-49	1407	BREATHE	49	176	breathe	呼吸	242
SatterthwaitePhillips-2011-423-50	679	BRIGHT	50	176	bright	明亮 [B = liang]	248
SatterthwaitePhillips-2011-423-51	1840	BUILD	51	177	build	建筑	375
SatterthwaitePhillips-2011-423-52	141	BURN (SOMETHING)	52	177	burn	燃烧	247
SatterthwaitePhillips-2011-423-53	834	BUTTOCKS	53	177	butt>>	屁股	115
SatterthwaitePhillips-2011-423-54	1869	BUY	54	177	buy	买	295
SatterthwaitePhillips-2011-423-55	1273	CANDLE	55	177	candle	蜡烛	336
SatterthwaitePhillips-2011-423-56	1208	CAT	56	177	cat	猫	289
SatterthwaitePhillips-2011-423-57	702	CATCH	57	177	catch	捉	?
SatterthwaitePhillips-2011-423-58	2247	CATERPILLAR	58	178	caterpillar	毛虫	380
SatterthwaitePhillips-2011-423-59	1153	CATTLE	59	178	cattle>>	牛	47
SatterthwaitePhillips-2011-423-60	1155	CAVE	60	178	cave	山洞	294,1
SatterthwaitePhillips-2011-423-61	1318	CHICKEN	61	178	chicken>>	鸡	19
SatterthwaitePhillips-2011-423-62	72	CLAW	62	178	claw	爪子	109,5
SatterthwaitePhillips-2011-423-63	1399	CLAY	63	179	clay>>	黏土	91
SatterthwaitePhillips-2011-423-64	589	CLOSED	64	179	close	关闭	225
SatterthwaitePhillips-2011-423-65	1895	CLOTHES	65	179	clothes	衣服	302,5
SatterthwaitePhillips-2011-423-66	1489	CLOUD	66	179	cloud*	云	74
SatterthwaitePhillips-2011-423-67	2151	COARSE	67	179	coarse	粗糙	274
SatterthwaitePhillips-2011-423-68	1575	COCKROACH	68	180	cockroach>>	蟑螂	30
SatterthwaitePhillips-2011-423-69	1287	COLD (OF TEMPERATURE)	69	180	cold	冷	232
SatterthwaitePhillips-2011-423-70	1613	COLOR	70	180	color	颜色	64,5
SatterthwaitePhillips-2011-423-71	1446	COME	71	180	come	来	328
SatterthwaitePhillips-2011-423-72	269	COOKED	72	180	cooked	熟 （肉 ＝ 不生）	382
SatterthwaitePhillips-2011-423-73	879	COUGH	73	180	cough	咳嗽	243
SatterthwaitePhillips-2011-423-74	913	CROW	74	181	crow>>	乌鸦	17
SatterthwaitePhillips-2011-423-75	1839	CRY	75	181	cry	哭	282
SatterthwaitePhillips-2011-423-76	496	CUCUMBER	76	181	cucumber	黄瓜	395
SatterthwaitePhillips-2011-423-77	476	CUP	77	181	cup	杯子 [B = 茶杯]	237
SatterthwaitePhillips-2011-423-78	1432	CUT	78	181	cut	切	345
SatterthwaitePhillips-2011-423-79	1879	DANCE	79	181	dance	跳舞	285
SatterthwaitePhillips-2011-423-80	706	DARK	80	182	dark	暗	378
SatterthwaitePhillips-2011-423-81	1357	DAUGHTER	81	182	daughter	女儿	901
SatterthwaitePhillips-2011-423-82	1225	DAY (NOT NIGHT)	82	182	day*	白天	78
SatterthwaitePhillips-2011-423-83	1593	DEEP	83	182	deep	深	410
SatterthwaitePhillips-2011-423-84	2014	GO DOWN, DESCEND	84	182	descend	下（去）[B = xia (shan)]	311
SatterthwaitePhillips-2011-423-85	1494	DIE	85	182	die	死	267
SatterthwaitePhillips-2011-423-86	584	DIFFICULT	86	182	difficult	难	218
SatterthwaitePhillips-2011-423-87	1418	DIG	87	182	dig	挖	292
SatterthwaitePhillips-2011-423-88	2009	DOG	88	183	dog *	狗	51
SatterthwaitePhillips-2011-423-89	1567	DOOR	89	183	door	门	155
SatterthwaitePhillips-2011-423-90	1920	DREAM	90	183	dream (n)	梦	352
SatterthwaitePhillips-2011-423-91	814	DRESS UP	91	183	dress, to	穿	302
SatterthwaitePhillips-2011-423-92	1401	DRINK	92	183	drink	喝	402
SatterthwaitePhillips-2011-423-93	908	DRUM	93	183	drum	鼓	168
SatterthwaitePhillips-2011-423-94	1463	DRUNK	94	183	drunk	醉	259
SatterthwaitePhillips-2011-423-95	1398	DRY	95	184	dry	干	246
SatterthwaitePhillips-2011-423-96	1360	DUCK	96	184	duck>>	鸭子	18
SatterthwaitePhillips-2011-423-97	1397	DULL	97	184	dull	钝	220
SatterthwaitePhillips-2011-423-98	1247	EAR	98	184	ear*	耳朵	101
SatterthwaitePhillips-2011-423-99	672	EARLY	99	184	early	早	299
SatterthwaitePhillips-2011-423-100	1705	EIGHT	100	185	192	八	8
SatterthwaitePhillips-2011-423-101	2159	GROUND	101	185	earth	地；土地 [B = 地（天地）]	73
SatterthwaitePhillips-2011-423-102	1228	EARTH (SOIL)	102	185	earth%	土地	73,1
SatterthwaitePhillips-2011-423-103	686	EASY	103	185	easy	容易	214
SatterthwaitePhillips-2011-423-104	1336	EAT	104	185	eat	吃	178
SatterthwaitePhillips-2011-423-105	744	EGG	105	185	egg*	（鸡）蛋	20
SatterthwaitePhillips-2011-423-106	1076	EMERGE, APPEAR	106	185	emerge	出	271
SatterthwaitePhillips-2011-423-107	749	ENTER	107	186	enter	进（去）[B = jinlai]	392
SatterthwaitePhillips-2011-423-108	1629	EVENING	108	186	evening	晚上	309
SatterthwaitePhillips-2011-423-109	127	EXTINGUISH	109	186	extinguish	灭	255
SatterthwaitePhillips-2011-423-110	1248	EYE	110	186	eye*	眼睛	96
SatterthwaitePhillips-2011-423-111	1280	FALL	111	186	fall	落	308
SatterthwaitePhillips-2011-423-112	1406	FAR	112	187	far	远	172
SatterthwaitePhillips-2011-423-113	1159	FART	113	187	fart, to	放屁 ［B = 屁]	280
SatterthwaitePhillips-2011-423-114	1631	FAST	114	187	fast	快	191
SatterthwaitePhillips-2011-423-115	1279	FAT (OBESE)	115	187	fat [of person]	胖	182
SatterthwaitePhillips-2011-423-116			116	187	fat* [of meat]	肥肉	137
SatterthwaitePhillips-2011-423-117	1217	FATHER	117	187	father	爸爸	412
SatterthwaitePhillips-2011-423-118	1419	FEAR (BE AFRAID)	118	187	fear, to	害怕 [B = pa]	270
SatterthwaitePhillips-2011-423-119	1201	FEATHER	119	188	feather*	羽毛	22
SatterthwaitePhillips-2011-423-120	1242	FEW	120	188	few	少	12
SatterthwaitePhillips-2011-423-121	212	FIELD	121	188	field	田	288
SatterthwaitePhillips-2011-423-122	1303	FINGER	122	188	finger	手指	107
SatterthwaitePhillips-2011-423-123	221	FIRE	123	188	fire	火	150
SatterthwaitePhillips-2011-423-124	227	FISH	124	188	fish*	鱼	38
SatterthwaitePhillips-2011-423-125	493	FIVE	125	188	five	五	5
SatterthwaitePhillips-2011-423-126			126	189	fix	修理	319
SatterthwaitePhillips-2011-423-127	1633	FLAT	127	189	flat	扁平 [B = ping]	287
SatterthwaitePhillips-2011-423-128	2191	LOW (HEIGHT)	128	189	flavor	味道	265
SatterthwaitePhillips-2011-423-129	956	FLEE	129	189	flee	逃跑 [B = tao]	324
SatterthwaitePhillips-2011-423-130	1574	FLOAT	130	189	float	漂流 [B = 浮]	353
SatterthwaitePhillips-2011-423-131	2003	FLOW	131	189	flow	流 [B = liu (shui)]	419
SatterthwaitePhillips-2011-423-132	239	FLOWER	132	190	flower	花	62
SatterthwaitePhillips-2011-423-133	1504	FLY (INSECT)	133	190	fly (n)>>	苍蝇	26
SatterthwaitePhillips-2011-423-134	1441	FLY (MOVE THROUGH AIR)	134	190	fly, to	飞	190
SatterthwaitePhillips-2011-423-135	249	FOG	135	190	fog>>	雾	85
SatterthwaitePhillips-2011-423-136	1301	FOOT	136	190	foot*	脚	113
SatterthwaitePhillips-2011-423-137	1523	FORGET	137	190	forget	忘记	202
SatterthwaitePhillips-2011-423-138	1500	FOUR	138	191	four	四	4
SatterthwaitePhillips-2011-423-139	376	FRAGRANT	139	191	fragrant	香	264
SatterthwaitePhillips-2011-423-140	1325	FRIEND	140	191	friend	朋友	304
SatterthwaitePhillips-2011-423-141	503	FROG	141	191	frog	青蛙	35
SatterthwaitePhillips-2011-423-142	1507	FRUIT	142	191	fruit	水果 [B = 果子]	57
SatterthwaitePhillips-2011-423-143	1429	FULL	143	191	full	满	236
SatterthwaitePhillips-2011-423-144	580	FUR	144	191	fur	（动物的）毛	238
SatterthwaitePhillips-2011-423-145	1602	WAKE UP	145	192	get up	起床	301
SatterthwaitePhillips-2011-423-146	1646	GIRL	146	192	girl	女孩 [B = 女青年]	254
SatterthwaitePhillips-2011-423-147	1447	GIVE	147	192	give	给	296,5
SatterthwaitePhillips-2011-423-148	1195	GIVE BIRTH	148	192	give birth, to	生 [B = sheng (haizi)]	252
SatterthwaitePhillips-2011-423-149	695	GO	149	192	go	去	305,6
SatterthwaitePhillips-2011-423-150	1035	GOOD	150	193	good	好	405
SatterthwaitePhillips-2011-423-151	411	GOURD	151	193	gourd	瓜	263
SatterthwaitePhillips-2011-423-152	1383	GRANDFATHER	152	193	grandfather (pat)	爷爷	384
SatterthwaitePhillips-2011-423-153	1618	GRANDSON	153	193	grandson	孙子	200
SatterthwaitePhillips-2011-423-154	606	GRASS	154	193	grass	草	63
SatterthwaitePhillips-2011-423-155	1425	GREEN	155	194	green	绿	69
SatterthwaitePhillips-2011-423-156	1033	GRIND	156	194	grind	磨	348
SatterthwaitePhillips-2011-423-157	1334	GUTS	157	194	guts* (intestine)	肠	123
SatterthwaitePhillips-2011-423-158	1040	HAIR	158	194	hair (human head)	头发	95
SatterthwaitePhillips-2011-423-159	189	BODY HAIR	159	194	hair (on body)%	（人身体上的）毛	129
SatterthwaitePhillips-2011-423-160	1277	HAND	160	194	hand*	手	105
SatterthwaitePhillips-2011-423-161	1884	HARD	161	195	hard	硬	413
SatterthwaitePhillips-2011-423-162	1607	HATE	162	195	hate	恨	?
SatterthwaitePhillips-2011-423-163	1607	HATE	163	195	hate	讨厌（人）	390
SatterthwaitePhillips-2011-423-164	1211	HE	164	195	he	他	181
SatterthwaitePhillips-2011-423-165	1256	HEAD	165	195	head*	头	94
SatterthwaitePhillips-2011-423-166	1408	HEAR	166	195	hear	听见	369
SatterthwaitePhillips-2011-423-167	1223	HEART	167	196	heart*	心脏 [B = 心]	120
SatterthwaitePhillips-2011-423-168	1210	HEAVY	168	196	heavy	重	219
SatterthwaitePhillips-2011-423-169	136	HERE	169	196	here	这里	329
SatterthwaitePhillips-2011-423-170	602	HIDE, CONCEAL	170	196	hide	躲藏 [B = duo]	272
SatterthwaitePhillips-2011-423-171	1265	HIGH	171	196	high (of place)	高	418
SatterthwaitePhillips-2011-423-172	1433	HIT	172	196	hit	打	321
SatterthwaitePhillips-2011-423-173	1667	HOLE	173	196	hole [in cloth]	洞	162
SatterthwaitePhillips-2011-423-174	942	HONEY	174	197	honey>>	蜂蜜	30,1
SatterthwaitePhillips-2011-423-175	1071	HOOK	175	197	hook	钩子	164
SatterthwaitePhillips-2011-423-176	1393	HORN (KERATINIZED SKIN)	176	197	horn*	角	48
SatterthwaitePhillips-2011-423-177	615	HORSE	177	197	horse	马	49
SatterthwaitePhillips-2011-423-178	1286	HOT	178	197	hot	热	230
SatterthwaitePhillips-2011-423-179	1252	HOUSE	179	197	house	房子 [B = 房屋]	153
SatterthwaitePhillips-2011-423-180	1634	HUNDRED	180	197	hundred	百	11
SatterthwaitePhillips-2011-423-181	1209	I	181	198	I	我	173
SatterthwaitePhillips-2011-423-182	1533	BE HUNGRY	182	198	hungry	饿	176
SatterthwaitePhillips-2011-423-183	1435	HUNT	183	198	hunt	狩猎 [B = da lie]	224
SatterthwaitePhillips-2011-423-184	1129	PAINFUL	184	198	hurt	疼 [B = tengtong]	211
SatterthwaitePhillips-2011-423-185	1200	HUSBAND	185	198	husband	丈夫	362
SatterthwaitePhillips-2011-423-186	620	INSECT	186	199	insect	虫子	24
SatterthwaitePhillips-2011-423-187	1606	INSIDE	187	199	inside	里面	415
SatterthwaitePhillips-2011-423-188	149	ITCHY	188	199	itchy	痒	208
SatterthwaitePhillips-2011-423-189	999	JOINT	189	199	joint	关节	108
SatterthwaitePhillips-2011-423-190	1829	JUMP	190	199	jump	跳	337
SatterthwaitePhillips-2011-423-191	1135	KICK	191	199	kick	踢	326
SatterthwaitePhillips-2011-423-192	489	KIDNEY	192	199	kidney>>	肾	124
SatterthwaitePhillips-2011-423-193	1417	KILL	193	200	kill	杀	268
SatterthwaitePhillips-2011-423-194	1352	KNIFE	194	200	knife	刀子 [B = 刀]	167
SatterthwaitePhillips-2011-423-195	1410	KNOW (SOMETHING)	195	200	know [info]	知道	341
SatterthwaitePhillips-2011-423-196	2248	KNOW (SOMEBODY)	196	200	know [sb]	认识	343
SatterthwaitePhillips-2011-423-197	624	LAKE	197	200	lake	湖	381
SatterthwaitePhillips-2011-423-198	477	LATE	198	200	late	晚	310
SatterthwaitePhillips-2011-423-199	1355	LAUGH	199	201	laugh	笑（有声的）	388
SatterthwaitePhillips-2011-423-200	628	LEAF	200	201	leaf	叶子	54
SatterthwaitePhillips-2011-423-201	2250	LEAF (LEAFLIKE OBJECT)	201	201	leaf (of tree, cf. 402)%	树叶 [B only]	?
SatterthwaitePhillips-2011-423-202	949	WATER LEECH	202	201	leech	水蛭	33
SatterthwaitePhillips-2011-423-203	244	LEFT	203	201	left	左	197
SatterthwaitePhillips-2011-423-204	1297	LEG	204	201	leg	大腿 [B = 腿]	112
SatterthwaitePhillips-2011-423-205	319	LICK	205	202	lick	添	290
SatterthwaitePhillips-2011-423-206	215	LIE DOWN	206	202	lie down	躺	315
SatterthwaitePhillips-2011-423-207	601	LIE (MISLEAD)	207	202	lie, to tell	说谎	260
SatterthwaitePhillips-2011-423-208	1052	LIGHT WEIGHT	208	202	light	轻	215
SatterthwaitePhillips-2011-423-209	1654	LIGHTNING	209	202	lightning>>	闪电	82
SatterthwaitePhillips-2011-423-210	1117	LIKE	210	202	like	喜欢	283
SatterthwaitePhillips-2011-423-211	478	LIP	211	203	lip>>	唇	98,5
SatterthwaitePhillips-2011-423-212	842	LIQUOR	212	203	liquor	酒	142
SatterthwaitePhillips-2011-423-213	1608	LISTEN	213	203	listen	听（音乐）	368
SatterthwaitePhillips-2011-423-214	1760	YOUNGER BROTHER	214	203	little brother	弟弟	409
SatterthwaitePhillips-2011-423-215	1761	YOUNGER SISTER	215	205	little sister	妹妹	406
SatterthwaitePhillips-2011-423-216	1224	LIVER	216	205	liver*	肝	121
SatterthwaitePhillips-2011-423-217	1203	LONG	217	205	long	长	196
SatterthwaitePhillips-2011-423-218	1819	LOOK	218	205	look at	看	307
SatterthwaitePhillips-2011-423-219	1392	LOUSE	219	205	louse*	虱子	27
SatterthwaitePhillips-2011-423-220	688	LUNG	220	205	lung>>	肺	125
SatterthwaitePhillips-2011-423-221	1554	MAN	221	205	man	男人	387
SatterthwaitePhillips-2011-423-222	1198	MANY	222	205	many	多	13
SatterthwaitePhillips-2011-423-223	1835	MARROW	223	205	marrow	骨髓	128
SatterthwaitePhillips-2011-423-224	203	MARRY	224	205	marry, to	结婚	249
SatterthwaitePhillips-2011-423-225	634	MEAT	225	205	meat	肉	203
SatterthwaitePhillips-2011-423-226	634	MEAT	226	206	meat*	肉	136
SatterthwaitePhillips-2011-423-227	1372	MEDICINE	227	206	medicine	药	900
SatterthwaitePhillips-2011-423-228	2243	REPAIR	228	206	mend (clothes)	补	414
SatterthwaitePhillips-2011-423-229	2244	METAL	229	206	metal	金属	296
SatterthwaitePhillips-2011-423-230	635	MILK FLUID	230	206	milk	牛奶	141
SatterthwaitePhillips-2011-423-231	1350	MONKEY	231	206	monkey	猴子	42
SatterthwaitePhillips-2011-423-232	1313	MOON	232	207	moon*	月亮	76
SatterthwaitePhillips-2011-423-233	1339	MORNING	233	207	morning	早上 ［早晨］	298
SatterthwaitePhillips-2011-423-234			234	207	mortar	研钵	148
SatterthwaitePhillips-2011-423-235	1509	MOSQUITO	235	207	mosquito>>	蚊子	28
SatterthwaitePhillips-2011-423-236	1216	MOTHER	236	207	mother	妈妈	379
SatterthwaitePhillips-2011-423-237	639	MOUNTAIN	237	207	mountain*	山	86
SatterthwaitePhillips-2011-423-238	674	MOUTH	238	208	mouth*	嘴巴	98
SatterthwaitePhillips-2011-423-239	640	MUD	239	208	mud>>	泥巴 ［B = 泥土]	102,5
SatterthwaitePhillips-2011-423-240	641	MUSHROOM	240	208	mushroom	蘑菇	63,5
SatterthwaitePhillips-2011-423-241	642	MUSIC	241	208	music	音乐	394
SatterthwaitePhillips-2011-423-242	1258	FINGERNAIL	242	209	nail*	指甲	109
SatterthwaitePhillips-2011-423-243	1405	NAME	243	209	name	名子	201
SatterthwaitePhillips-2011-423-244	1838	NAVEL	244	209	navel	肚脐	111
SatterthwaitePhillips-2011-423-245	1942	NEAR	245	209	near	近	175
SatterthwaitePhillips-2011-423-246	1333	NECK	246	209	neck*	脖子	102
SatterthwaitePhillips-2011-423-247	1382	NEEDLE (FOR SEWING)	247	210	needle	针	160
SatterthwaitePhillips-2011-423-248	539	NEST	248	210	nest>>	巢	23
SatterthwaitePhillips-2011-423-249	388	FISHNET	249	210	net	（鱼）网	399
SatterthwaitePhillips-2011-423-250	1231	NEW	250	210	new	新	212
SatterthwaitePhillips-2011-423-251	1233	NIGHT	251	210	night*	夜里 [夜晚]	79
SatterthwaitePhillips-2011-423-252	1483	NINE	252	211	nine	九	9
SatterthwaitePhillips-2011-423-253	1269	NO	253	211	no%	不 [B = bu (shi)]	?
SatterthwaitePhillips-2011-423-254	1221	NOSE	254	211	nose*	鼻子	97
SatterthwaitePhillips-2011-423-255	1240	NOT	255	211	not	不	400
SatterthwaitePhillips-2011-423-256	1376	NOW	256	211	now	现在	177
SatterthwaitePhillips-2011-423-257			257	212	oar	划桨（名词）	169,2
SatterthwaitePhillips-2011-423-258	2112	OLD (AGED)	258	212	old [person]	老 （人老）	188
SatterthwaitePhillips-2011-423-259	2113	OLD (USED)	259	212	old [thing]	旧	217
SatterthwaitePhillips-2011-423-260	1493	ONE	260	212	one	一	1
SatterthwaitePhillips-2011-423-261	1156	OPEN	261	212	open	打开	227
SatterthwaitePhillips-2011-423-262	15	OTTER	262	212	otter	水獭	43
SatterthwaitePhillips-2011-423-263	762	OUTSIDE	263	212	outside	外面	403
SatterthwaitePhillips-2011-423-264	1183	PALM OF HAND	264	213	palm	手掌 [B = 手心]	106
SatterthwaitePhillips-2011-423-265	1222	PENIS	265	213	penis	阴茎 [B = 男生殖器]	117
SatterthwaitePhillips-2011-423-266	683	PERSON	266	213	person	人	186
SatterthwaitePhillips-2011-423-267	225	PESTLE	267	213	pestle	杵 [B = 杵棒]	149
SatterthwaitePhillips-2011-423-268			268	213	phlegm>>	痰	132,5
SatterthwaitePhillips-2011-423-269	371	PICK UP	269	214	pick	摘	262
SatterthwaitePhillips-2011-423-270	1337	PIG	270	214	pig	猪	50
SatterthwaitePhillips-2011-423-271	1853	DOVE	271	214	pigeon	鸽子	16
SatterthwaitePhillips-2011-423-272	1740	PINE	272	214	pine	松树	56
SatterthwaitePhillips-2011-423-273	592	PISS	273	214	piss	尿	134
SatterthwaitePhillips-2011-423-274	399	PLANTAIN	274	214	plantain	大蕉	NAN
SatterthwaitePhillips-2011-423-275	1921	PLOUGH	275	214	plough (n)	犁	318
SatterthwaitePhillips-2011-423-276	655	POISON	276	215	poison	毒药	291
SatterthwaitePhillips-2011-423-277	1455	PULL	277	215	pull	拉	331
SatterthwaitePhillips-2011-423-278	864	PUMPKIN	278	215	pumpkin	南瓜	367
SatterthwaitePhillips-2011-423-279	1452	PUSH	279	215	push	推	330
SatterthwaitePhillips-2011-423-280	998	PUT	280	215	put	放 [B = fangzhi]	334
SatterthwaitePhillips-2011-423-281	1253	RAIN (RAINING)	281	215	rain, to%	下雨 [B = xia (yu)]	363
SatterthwaitePhillips-2011-423-282	658	RAIN (PRECIPATION)	282	216	rain>>	雨	81
SatterthwaitePhillips-2011-423-283	1733	RAINBOW	283	216	rainbow>>	彩虹 [B = 虹]	80
SatterthwaitePhillips-2011-423-284	1490	RAT	284	216	rat	老鼠	45
SatterthwaitePhillips-2011-423-285	1959	RAW	285	216	raw	生（肉）	383
SatterthwaitePhillips-2011-423-286	156	RED	286	216	red	红	67
SatterthwaitePhillips-2011-423-287	1095	LET GO OR SET FREE	287	216	release	释放	350
SatterthwaitePhillips-2011-423-288	707	REMEMBER	288	217	remember	记得	199
SatterthwaitePhillips-2011-423-289	142	RETURN HOME	289	217	return	回	312
SatterthwaitePhillips-2011-423-290	1191	COOKED RICE	290	217	rice (cooked)	饭	146
SatterthwaitePhillips-2011-423-291	926	RICE	291	217	rice plant	稻	61
SatterthwaitePhillips-2011-423-292	367	RIDE	292	217	ride	骑	323
SatterthwaitePhillips-2011-423-293	1019	RIGHT	293	217	right	右	194
SatterthwaitePhillips-2011-423-294	178	RIPE	294	218	ripe	熟	206
SatterthwaitePhillips-2011-423-295	666	RIVER	295	218	river*	江 [B = 河］	88
SatterthwaitePhillips-2011-423-296	667	ROAD	296	218	road	路	169,4
SatterthwaitePhillips-2011-423-297	769	ROOF	297	218	roof	屋顶	154
SatterthwaitePhillips-2011-423-298	670	ROOT	298	218	root	根	59
SatterthwaitePhillips-2011-423-299	1218	ROPE	299	218	rope	绳	163
SatterthwaitePhillips-2011-423-300	1728	ROTTEN	300	219	rotten	腐烂 [B = lan (gua = of gourd)]	205
SatterthwaitePhillips-2011-423-301	1395	ROUND	301	219	round	圆	293
SatterthwaitePhillips-2011-423-302	1519	RUN	302	219	run	跑	192
SatterthwaitePhillips-2011-423-303	1274	SALT	303	219	salt	盐	143
SatterthwaitePhillips-2011-423-304	1091	SALTY	304	219	salty	咸	370
SatterthwaitePhillips-2011-423-305	1436	SCRATCH	305	219	scratch	抓	209
SatterthwaitePhillips-2011-423-306	1409	SEE	306	220	see	看见 [B = 见]	332
SatterthwaitePhillips-2011-423-307	714	SEED	307	220	seed	种子	58
SatterthwaitePhillips-2011-423-308	1762	STONE (OF FRUIT)	308	220	seed/pit% [B = 核]	核	58,1
SatterthwaitePhillips-2011-423-309	1571	SELL	309	220	sell	卖	297
SatterthwaitePhillips-2011-423-310	1704	SEVEN	310	220	seven	七	7
SatterthwaitePhillips-2011-423-311	1457	SEW	311	220	sew	缝纫 [B = feng]	355
SatterthwaitePhillips-2011-423-312	1388	SHADE	312	221	shadow	影子	93
SatterthwaitePhillips-2011-423-313	193	SHALLOW	313	221	shallow	浅	397
SatterthwaitePhillips-2011-423-314	1396	SHARP	314	221	sharp	快（刀）	?
SatterthwaitePhillips-2011-423-315	1396	SHARP	315	221	sharp	锋利	216
SatterthwaitePhillips-2011-423-316	1834	SHE	316	221	she	她	372
SatterthwaitePhillips-2011-423-317	1331	SHEEP	317	221	sheep>>	羊	46
SatterthwaitePhillips-2011-423-318	598	SHELL	318	222	shell>>	（蛋）壳	37
SatterthwaitePhillips-2011-423-319	676	SHIT	319	222	shit	屎	135
SatterthwaitePhillips-2011-423-320	1172	SHOOT	320	222	shoot	射	222
SatterthwaitePhillips-2011-423-321	1645	SHORT	321	222	short (of length)	短	198
SatterthwaitePhillips-2011-423-322	2191	LOW (HEIGHT)	322	222	short (of stature)	矮	421
SatterthwaitePhillips-2011-423-323	1482	SHOULDER	323	222	shoulder>>	肩膀	103
SatterthwaitePhillips-2011-423-324	1847	SICK	324	222	sick	病	187
SatterthwaitePhillips-2011-423-325	759	SILVER	325	223	silver	银 [B = 银子]	92
SatterthwaitePhillips-2011-423-326	1261	SING	326	223	sing	唱 [B = chang ge]	284
SatterthwaitePhillips-2011-423-327	1416	SIT	327	223	sit	坐	306
