ID	NUMBER	GLOSS	CHINESE	FORM	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zhao-2006-201-1	1	the sky	天	xe⁵⁵ȵi⁴⁴	184:1	1732	SKY
Zhao-2006-201-2	2	the sun	太阳	mi⁴⁴phi³³phi³³	184:1	1343	SUN
Zhao-2006-201-3	3	the star	星星	ɕɛ⁵⁵tsi³³	184:1	1430	STAR
Zhao-2006-201-4	4	the moon	月亮	mi⁵⁵ua⁴⁴	184:1	1313	MOON
Zhao-2006-201-5	5	the cloud	云	vʋ²¹	184:1	1489	CLOUD
Zhao-2006-201-6	6	the earth	土地	tɕi³³	184:1	1228	EARTH (SOIL)
Zhao-2006-201-7	7	the mountain	山	sʋ⁴⁴	184:1	639	MOUNTAIN
Zhao-2006-201-8	8	the stone	石头	tso⁴²khui⁵⁵	184:1	857	STONE
Zhao-2006-201-9	9	the sand	沙子	sɔ⁵⁵	184:1	671	SAND
Zhao-2006-201-10	10	the road	路	thu⁴⁴	184:1	667	ROAD
Zhao-2006-201-11	11	the forest	森林	tsɯ³³ɕua³⁵	184:1	420	FOREST
Zhao-2006-201-12	12	the ocean	海	kɔ²¹	184:1	645	OCEAN
Zhao-2006-201-13	13	the lake	湖	ku²¹	184:1	624	LAKE
Zhao-2006-201-14	14	the river	河	kʋ³⁵	184:1	3311	FLOWING BODY OF WATER
Zhao-2006-201-15	15	the fog	雾	u⁵⁵lu⁵⁵	184:1	249	FOG
Zhao-2006-201-16	16	the snow	雪	ɕy⁴⁴	184:1	784	SNOW
Zhao-2006-201-17	17	the wind	风	pi³⁵si³⁵	184:1	960	WIND
Zhao-2006-201-18	18	the rain	雨	u³³ɕi⁴⁴	184:1	658	RAIN (PRECIPITATION)
Zhao-2006-201-19	19	the ice	冰	piɯ⁴⁴	184:1	617	ICE
Zhao-2006-201-20	20	the water	水	ɕy³³	184:1	948	WATER
Zhao-2006-201-21	21	the fire	火	xui³³	184:1	221	FIRE
Zhao-2006-201-22	22	the ashes	草木灰	xua⁴²lɔ⁴²ɕu⁵⁵	184:1	646	ASH
Zhao-2006-201-23	23	the head	头	tɯ²¹pɔ³³	184:1	1256	HEAD
Zhao-2006-201-24	24	the hair	头发	tɯ²¹ma³⁵	184:1	2648	HAIR (HEAD)
Zhao-2006-201-25	25	the ear	耳朵	ȵi⁴⁴to³³	184:1	1247	EAR
Zhao-2006-201-26	26	the eye	眼睛	ui³³	184:1	1248	EYE
Zhao-2006-201-27	27	the nose	鼻子	pi³³fʋ⁴⁴tɯ²¹	184:1	1221	NOSE
Zhao-2006-201-28	28	the mouth	嘴	tɕy³³kɛ⁵⁵ne²¹	184:1	674	MOUTH
Zhao-2006-201-29	29	the tongue	舌头	tse⁴²	184:1	1205	TONGUE
Zhao-2006-201-30	30	the tooth	牙齿	tsi⁴⁴pa⁴⁴	184:1	1380	TOOTH
Zhao-2006-201-31	31	the wisdom tooth	大牙	tɔ³³ŋɛ²¹	184:1		
Zhao-2006-201-32	32	the neck	脖子	pɔ³⁵tsi⁴⁴ku⁴⁴	184:2	1333	NECK
Zhao-2006-201-33	33	the breast	乳房	pa⁴²	184:2	1402	BREAST
Zhao-2006-201-34	34	the back	背	tɔ³³kɔ³³ɕi³⁵	184:2	1291	BACK
Zhao-2006-201-35	35	the hand	手	sɯ⁴⁴	184:2	1277	HAND
Zhao-2006-201-36	36	the leg	腿	ko⁴⁴	184:2	1297	LEG
Zhao-2006-201-37	37	the knee	膝盖	ɔ⁴⁴liɔ⁴⁴ui²¹kɛ³³	184:2	1371	KNEE
Zhao-2006-201-38	38	the foot	脚	ko⁴⁴	184:2	1301	FOOT
Zhao-2006-201-39	40	the bone	骨头	kua⁴⁴tɯ²¹	184:2	1394	BONE
Zhao-2006-201-40	39	the skin	皮肤	pe²¹	184:2	763	SKIN
Zhao-2006-201-41	41	the heart	心	ɕi³⁵	184:2	1223	HEART
Zhao-2006-201-42	42	the liver	肝	ka³⁵	184:2	1224	LIVER
Zhao-2006-201-43	43	the meat	肉	kɛ²¹	184:2	2615	FLESH OR MEAT
Zhao-2006-201-44	44	the blood	血	ɕua⁴⁴	184:2	946	BLOOD
Zhao-2006-201-45	45	the intestines	肠子	tso²¹	184:2	1991	INTESTINES
Zhao-2006-201-46	46	the belly	肚子	fʋ⁴⁴	184:2	1251	BELLY
