ID	NUMBER	ENGLISH	PROTO_INDO_EUROPEAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mallory-2006-100-1	1	I	*h₁eĝ	1209	I
Mallory-2006-100-2	2	You	*túh<sub>x</sub>	1215	THOU
Mallory-2006-100-3	3	We	*wéi	1212	WE
Mallory-2006-100-4	4	This	*so	1214	THIS
Mallory-2006-100-5	5	That	*k̂ı́s	78	THAT
Mallory-2006-100-6	6	Who	*k<sup>w</sup>ós	1235	WHO
Mallory-2006-100-7	7	What	*k<sup>w</sup>ı́d	1236	WHAT
Mallory-2006-100-8	8	Not	*ne	1240	NOT
Mallory-2006-100-9	9	All	*wik̂-	98	ALL
Mallory-2006-100-10	10	Many	*pélh₁us	1198	MANY
Mallory-2006-100-11	11	One	*h₁oin-	1493	ONE
Mallory-2006-100-12	12	Two	*dwéh₃(u)	1498	TWO
Mallory-2006-100-13	13	Big	*meĝh<sub>a</sub>-	1202	BIG
Mallory-2006-100-14	14	long	*dl̥h₁ghós	1203	LONG
Mallory-2006-100-15	15	Small	*pau-	1246	SMALL
Mallory-2006-100-16	16	Woman	*g<sup>w</sup>énh a	962	WOMAN
Mallory-2006-100-17	17	Man	*h₁nē ́r	1554	MAN
Mallory-2006-100-18	18	Person	*dhĝhm-ón-	683	PERSON
Mallory-2006-100-19	19	Fish	*dhĝhuh<sub>x</sub>-	227	FISH
Mallory-2006-100-20	20	Bird	*h<sub>a</sub>ewei-	937	BIRD
Mallory-2006-100-21	21	Dog	*k̂(u)wōn	2009	DOG
Mallory-2006-100-22	22	Louse	*lu-	1392	LOUSE
Mallory-2006-100-23	23	Tree	*dóru	906	TREE
Mallory-2006-100-24	24	Seed	*seh₁men-	714	SEED
Mallory-2006-100-25	25	Leaf	*bhel-	2250	LEAF (LEAFLIKE OBJECT)
Mallory-2006-100-26	26	Root	*wr(h<sub>a</sub>)d-	670	ROOT
Mallory-2006-100-27	27	Bark	*lóubho/eh<sub>a</sub>-	1204	BARK
Mallory-2006-100-28	28	Skin	*péln-	763	SKIN
Mallory-2006-100-29	29	Flesh	*(s)kwéh<sub>x</sub>tis	2259	FLESH
Mallory-2006-100-30	30	Blood	*h₁ésh₂̥r	946	BLOOD
Mallory-2006-100-31	31	Bone	*h₂óst	1394	BONE
Mallory-2006-100-32	32	Grease	*sélpes-	323	FAT (ORGANIC SUBSTANCE)
Mallory-2006-100-33	33	Egg	*h<sub>a</sub>ō(w)iom	744	EGG
Mallory-2006-100-34	34	Horn	*k̂er-	1393	HORN (ANATOMY)
Mallory-2006-100-35	35	Tail	*puk(eh<sub>a</sub>)-	1220	TAIL
Mallory-2006-100-36	36	Feather	*pet(e)r-	1201	FEATHER
Mallory-2006-100-37	37	Hair	*k̂ripo-	1040	HAIR
Mallory-2006-100-38	38	Head	*k̂rrē ́h	1256	HEAD
Mallory-2006-100-39	39	Ear	*h<sub>a</sub>óus-	1247	EAR
Mallory-2006-100-40	40	Eye	*h₃ok w	1248	EYE
Mallory-2006-100-41	41	Nose	*h<sub>x</sub>náss	1221	NOSE
Mallory-2006-100-42	42	Mouth	*h ₁/₄óh₁(e)s-	674	MOUTH
Mallory-2006-100-43	43	Tooth	*h₁dónt-	1380	TOOTH
Mallory-2006-100-44	44	Tongue	*dn̥ghuh<sub>a</sub>-	1205	TONGUE
Mallory-2006-100-45	45	Claw	*h₃nogh(w)-	72	CLAW
Mallory-2006-100-46	46	Foot	*pē ́ds	1301	FOOT
Mallory-2006-100-47	47	Knee	*gónu	1371	KNEE
Mallory-2006-100-48	48	Hand	*ĝhes-r-	1277	HAND
Mallory-2006-100-49	49	Belly	*udero-	1251	BELLY
Mallory-2006-100-50	50	Neck	*moni-	1333	NECK
Mallory-2006-100-51	51	Breasts	*psténos/speno-	1402	BREAST
Mallory-2006-100-52	52	Heart	*k̂ē ́rd	1223	HEART
Mallory-2006-100-53	53	Liver	*yék<sup>w</sup>r̥(t)	1224	LIVER
Mallory-2006-100-54	54	Drink	*peh₃(i)-	1401	DRINK
Mallory-2006-100-55	55	Eat	*h₁édmi	1336	EAT
Mallory-2006-100-56	56	Bite	*denk̂-	1403	BITE
Mallory-2006-100-57	57	See	*derk̂-	1409	SEE
Mallory-2006-100-58	58	Hear	*k̂leu-	1408	HEAR
Mallory-2006-100-59	59	Know	*weid-	1410	KNOW (SOMETHING)
Mallory-2006-100-60	60	Sleep	*swep-	1585	SLEEP
Mallory-2006-100-61	61	Die	*mer-	1494	DIE
Mallory-2006-100-62	62	Kill	*nek̂-	1417	KILL
Mallory-2006-100-63	63	Swim	*pleu-	1439	SWIM
Mallory-2006-100-64	64	Fly	*pet-	1441	FLY (MOVE THROUGH AIR)
Mallory-2006-100-65	65	Walk	*h₁ei-	1443	WALK
Mallory-2006-100-66	66	Come	*g<sup>w</sup>em-	1446	COME
Mallory-2006-100-67	67	Lie	*k̂ei-	1411	LIE (REST)
Mallory-2006-100-68	68	Sit	*sed-	1416	SIT
Mallory-2006-100-69	69	Stand	*(s)teh₂-	1442	STAND
Mallory-2006-100-70	70	Give	*deh₃-	1447	GIVE
Mallory-2006-100-71	71	Say	*wek<sup>w</sup>-	1458	SAY
Mallory-2006-100-72	72	Sun	*séh<sub>a</sub>ul	1343	SUN
Mallory-2006-100-73	73	Moon	*méh₁nōt	1313	MOON
Mallory-2006-100-74	74	Star	*h₂stē ́r	1430	STAR
Mallory-2006-100-75	75	Water	*wódr̥	948	WATER
Mallory-2006-100-76	76	Rain	*h₁wers-	1253	RAIN (RAINING)
Mallory-2006-100-77	77	Stone	*h₄ék̂mōn	857	STONE
Mallory-2006-100-78	78	Sand	*samh̥<sub>x</sub>dhos	671	SAND
Mallory-2006-100-79	79	Earth	*dhéĝhōm	1228	EARTH (SOIL)
Mallory-2006-100-80	80	Cloud	*nébhes-	1489	CLOUD
Mallory-2006-100-81	81	Smoke	*dhuh₂mós	778	SMOKE (EXHAUST)
Mallory-2006-100-82	82	Fire	*péh₂ur	221	FIRE
Mallory-2006-100-83	83	Ash	*h₂éh<sub>x</sub>ōs	646	ASH
Mallory-2006-100-84	84	Burn	*dheg<sup>w</sup>h-	141	BURN (SOMETHING)
Mallory-2006-100-85	85	Path	*póntōh₂s	2252	PATH
Mallory-2006-100-86	86	Mountain	*g<sup>w</sup>orh<sub>x</sub>-	639	MOUNTAIN
Mallory-2006-100-87	87	Red	*h₁reudh-	156	RED
Mallory-2006-100-88	88	Green	*k̂yeh₁-	1425	GREEN
Mallory-2006-100-89	89	Yellow	*ghel-	1424	YELLOW
Mallory-2006-100-90	90	White	*h₄elbhósr	1335	WHITE
Mallory-2006-100-91	91	Black	*k<sup>w</sup>r̥snós	163	BLACK
Mallory-2006-100-92	92	Night	*nek<sup>w</sup>t-	1233	NIGHT
Mallory-2006-100-93	93	Hot	*g<sup>w</sup>hermós	1286	HOT
Mallory-2006-100-94	94	Cold	*gel-	1287	COLD
Mallory-2006-100-95	95	Full	*pl̥h₁nós	1429	FULL
Mallory-2006-100-96	96	New	*néwos	1231	NEW
Mallory-2006-100-97	97	Good	*h₁(e)su-	1035	GOOD
Mallory-2006-100-98	98	Round	*serk-	1395	ROUND
Mallory-2006-100-99	99	Dry	*saus-	1398	DRY
Mallory-2006-100-100	100	Name	*h₁nómn̥	1405	NAME
