ID	NUMBER	ENGLISH	HUANG_1992_1820	CONCEPTICON_ID	CONCEPTICON_GLOSS	COVERAGE
Sagart-2019-250-95	95	the horse	268	615	HORSE	0.45
Sagart-2019-250-96	96	hot	1062	1286	HOT	1
Sagart-2019-250-97	97	the house	494	1252	HOUSE	0.98
Sagart-2019-250-98	98	hundred	824	1634	HUNDRED	0.51
Sagart-2019-250-99	99	to hunt	1230	1435	HUNT	0.98
Sagart-2019-250-100	100	the husband	247	1200	HUSBAND	0.49
Sagart-2019-250-101	101	I [first person singular]	928	1209	I	0.98
Sagart-2019-250-102	102	the ice	17	617	ICE	0.52
Sagart-2019-250-103	103	inside	715	1606	INSIDE	0.98
Sagart-2019-250-104	104	to kill	1602	1417	KILL	1
Sagart-2019-250-105	105	to knead	1594	274	KNEAD	0.43
Sagart-2019-250-106	106	the knee	101	1371	KNEE	0.98
Sagart-2019-250-107	107	knife	549	1352	KNIFE	0.43
Sagart-2019-250-108	108	to know (something)	1798	1410	KNOW (SOMETHING)	0.55
Sagart-2019-250-109	109	the lake	31	624	LAKE	0.57
Sagart-2019-250-110	110	late	1019	477	LATE	0.94
Sagart-2019-250-111	111	to laugh	1735	1355	LAUGH	1
Sagart-2019-250-112	112	the leaf	376	628	LEAF	1
Sagart-2019-250-113	113	to learn	1742	504	LEARN	0.49
Sagart-2019-250-114	114	left	710	244	LEFT	0.96
Sagart-2019-250-115	115	to lick	1674	319	LICK	1
Sagart-2019-250-116	116	to lie down	1661	215	LIE DOWN	0.48
Sagart-2019-250-117	117	light (of weight)	1015	1052	LIGHT (WEIGHT)	0.98
Sagart-2019-250-118	118	the lip (the lips)	85	478	LIP	0.98
Sagart-2019-250-119	119	the liver	145	1224	LIVER	1
Sagart-2019-250-120	120	long	972	1203	LONG	1
Sagart-2019-250-121	121	the louse	356	1392	LOUSE	1
Sagart-2019-250-122	122	the lung	143	688	LUNG	0.98
Sagart-2019-250-123	123	the man (male human)	173	2106	MALE PERSON	0.96
Sagart-2019-250-124	124	many	987	1198	MANY	0.96
Sagart-2019-250-125	125	to marry (a man marries a woman)	1578	2164	MARRY (AS MAN)	0.42
Sagart-2019-250-126	126	the meat	443	634	MEAT	1
Sagart-2019-250-127	127	middle	708	1093	MIDDLE	0.92
Sagart-2019-250-128	128	the moon	4	1313	MOON	0.98
Sagart-2019-250-129	129	morning	749	1339	MORNING	0.96
Sagart-2019-250-130	130	the mosquito	360	1509	MOSQUITO	0.58
Sagart-2019-250-131	131	the mother	219	1216	MOTHER	0.64
Sagart-2019-250-132	132	the mountain	23	639	MOUNTAIN	1
Sagart-2019-250-133	133	the mouse or rat	320	2139	MUROID (MOUSE OR RAT)	1
Sagart-2019-250-134	134	the mouth	84	674	MOUTH	0.98
Sagart-2019-250-135	135	the mud	46	640	MUD	0.92
Sagart-2019-250-136	136	the nail (fingernail or claw)	113	2128	CLAW OR NAIL	1
Sagart-2019-250-137	137	the name	687	1405	NAME	1
Sagart-2019-250-138	138	narrow	977	1267	NARROW	0.9
Sagart-2019-250-139	139	near	975	1942	NEAR	0.98
Sagart-2019-250-140	140	the neck	89	1333	NECK	1
Sagart-2019-250-141	141	the needle (for sewing)	578	1382	NEEDLE (FOR SEWING)	0.96
Sagart-2019-250-142	142	new	1050	1231	NEW	0.98
Sagart-2019-250-143	143	nine	805	1483	NINE	0.88
Sagart-2019-250-144	144	the nit	357	267	NIT	0.33
Sagart-2019-250-145	145	noon	750	12	MIDDAY	0.49
Sagart-2019-250-146	146	the nose	80	1221	NOSE	1
Sagart-2019-250-147	147	old (of person)	1058	2112	OLD (AGED)	0.96
Sagart-2019-250-148	148	one	797	1493	ONE	0.98
Sagart-2019-250-149	149	the otter	317	15	OTTER	0.35
Sagart-2019-250-150	150	outside	714	762	OUTSIDE	0.96
Sagart-2019-250-151	151	the pig	284	1337	PIG	0.98
Sagart-2019-250-152	152	to plant (vegetals, rice)	1774	1486	PLANT (SOMETHING)	0.43
Sagart-2019-250-153	153	to play	1703	1413	PLAY	0.98
Sagart-2019-250-154	154	to pull	1568	1455	PULL	0.59
Sagart-2019-250-155	155	to push	1689	1452	PUSH	0.96
Sagart-2019-250-156	156	the rain	10	658	RAIN (PRECIPITATION)	0.98
Sagart-2019-250-157	157	the rainbow	11	1733	RAINBOW	0.49
Sagart-2019-250-158	158	red	1007	156	RED	0.96
Sagart-2019-250-159	159	to reside (live)	1452	363	DWELL (LIVE, RESIDE)	0.94
Sagart-2019-250-160	160	the rice plant	439	2026	RICE PLANT	0.39
Sagart-2019-250-161	161	right	711	1019	RIGHT	1
Sagart-2019-250-162	162	the river	30	666	RIVER	0.55
Sagart-2019-250-163	163	the road	38	667	ROAD	0.98
Sagart-2019-250-164	164	the root	375	670	ROOT	1
Sagart-2019-250-165	165	the rope	619	1218	ROPE	0.96
Sagart-2019-250-166	166	round	990	1395	ROUND	0.94
Sagart-2019-250-167	167	to run	1544	1519	RUN	0.49
Sagart-2019-250-168	168	the salt	61	1274	SALT	0.98
Sagart-2019-250-169	169	salty	1076	1091	SALTY	0.49
Sagart-2019-250-170	170	the sand	44	671	SAND	0.94
Sagart-2019-250-171	171	to scratch	1530	1436	SCRATCH	0.98
Sagart-2019-250-172	172	the sea	32	1474	SEA	0.46
Sagart-2019-250-173	173	to see	1471	1409	SEE	0.98
Sagart-2019-250-174	174	the seed	405	714	SEED	0.96
Sagart-2019-250-175	175	seven	803	1704	SEVEN	0.88
Sagart-2019-250-176	176	sharp	1020	1396	SHARP	0.96
Sagart-2019-250-177	177	the sheep	275	1331	SHEEP	0.49
Sagart-2019-250-178	178	to shoot (an arrow)	1611	1172	SHOOT	0.98
Sagart-2019-250-179	179	short	973	1645	SHORT	0.92
Sagart-2019-250-180	180	the shoulder	90	1482	SHOULDER	0.98
Sagart-2019-250-181	181	shy	1365	487	SHY	0.43
Sagart-2019-250-182	182	the sickle	624	341	SICKLE	0.46
Sagart-2019-250-183	183	to sing	1184	1261	SING	0.94
Sagart-2019-250-184	184	six	802	1703	SIX	0.88
Sagart-2019-250-185	185	the skin	120	763	SKIN	0.98
Sagart-2019-250-186	186	the sky	1	1732	SKY	0.96
Sagart-2019-250-187	187	to sleep	1646	1585	SLEEP	0.96
Sagart-2019-250-188	188	small	965	1246	SMALL	1
Sagart-2019-250-189	189	to smell (perceive odor) [transitive]	1707	1586	SMELL (PERCEIVE)	0.92
Sagart-2019-250-190	190	the smoke	19	778	SMOKE (EXHAUST)	1
Sagart-2019-250-191	191	smooth	1037	1234	SMOOTH	0.56
Sagart-2019-250-192	192	the snake	347	730	SNAKE	1
Sagart-2019-250-193	193	the snow	12	784	SNOW	0.9
Sagart-2019-250-194	194	soft	1035	1856	SOFT	1
Sagart-2019-250-195	195	the son	220	1620	SON	1
Sagart-2019-250-196	196	the sparrow	336	1854	SPARROW	0.42
Sagart-2019-250-197	197	the spider	361	843	SPIDER	0.96
Sagart-2019-250-198	198	to spit	1688	1440	SPIT	0.98
Sagart-2019-250-199	199	to stand	1784	1442	STAND	1
Sagart-2019-250-200	200	the star	5	1430	STAR	1
Sagart-2019-250-201	201	to steal	1686	713	STEAL	0.96
Sagart-2019-250-202	202	the stick	586	1295	STICK	0.94
Sagart-2019-250-203	203	the stone (a piece of)	43	857	STONE	1
Sagart-2019-250-204	204	straight	1003	1404	STRAIGHT	0.94
Sagart-2019-250-205	205	the sun	2	1343	SUN	1
Sagart-2019-250-206	206	the tail	267	1220	TAIL	1
Sagart-2019-250-207	207	ten	806	1515	TEN	0.9
Sagart-2019-250-208	208	that	947	78	THAT	0.52
Sagart-2019-250-209	209	there	950	1937	THERE	0.52
Sagart-2019-250-210	210	thick	980	1244	THICK	0.94
Sagart-2019-250-211	211	the thigh	100	471	UPPER LEG (THIGH)	0.9
Sagart-2019-250-212	212	thin (object)	981	2249	THIN (OF SHAPE OF OBJECT)	0.94
Sagart-2019-250-213	213	to think (reflect)	1726	1415	THINK (REFLECT)	0.98
Sagart-2019-250-214	214	this	942	1214	THIS	0.53
Sagart-2019-250-215	215	thou [second person singular]	931	1215	THOU	0.94
Sagart-2019-250-216	216	three	799	492	THREE	0.98
Sagart-2019-250-217	217	to throw	1687	1456	THROW	0.98
Sagart-2019-250-218	218	the thunder	8	1150	THUNDER	0.98
Sagart-2019-250-219	219	the tiger	304	846	TIGER	0.54
Sagart-2019-250-220	220	today	738	1283	TODAY	0.53
Sagart-2019-250-221	221	tomorrow	742	1329	TOMORROW	0.54
Sagart-2019-250-222	222	the tongue	139	1205	TONGUE	1
Sagart-2019-250-223	223	the tooth (front)	137	1380	TOOTH	1
Sagart-2019-250-224	224	the tree	372	906	TREE	0.96
Sagart-2019-250-225	225	twenty	816	1710	TWENTY	0.38
Sagart-2019-250-226	226	two	798	1498	TWO	0.98
Sagart-2019-250-227	227	to vomit	1535	1278	VOMIT	0.98
Sagart-2019-250-228	228	to walk	1815	1443	WALK	1
Sagart-2019-250-229	229	the water	47	948	WATER	1
Sagart-2019-250-230	230	we [first person plural inclusive]	930	1131	WE (INCLUSIVE)	0.53
Sagart-2019-250-231	231	wet	1029	1726	WET	1
Sagart-2019-250-232	232	what	954	1236	WHAT	0.52
Sagart-2019-250-233	233	the wheat	410	1077	WHEAT	0.46
Sagart-2019-250-234	234	where	955	1237	WHERE	0.53
Sagart-2019-250-235	235	white	1006	1335	WHITE	1
Sagart-2019-250-236	236	who	953	1235	WHO	1
Sagart-2019-250-237	237	the wife	248	1199	WIFE	0.53
Sagart-2019-250-238	238	the wind	9	960	WIND	1
Sagart-2019-250-239	239	the wing	298	1257	WING	0.92
Sagart-2019-250-240	240	to wipe	1163	1454	WIPE	0.96
Sagart-2019-250-241	241	the wolf	324	522	WOLF	0.42
Sagart-2019-250-242	242	the woman	174	962	WOMAN	0.98
Sagart-2019-250-243	243	the wood (material)	511	1803	WOOD	0.5
Sagart-2019-250-244	244	to sow (broadcast, scatter seeds)	1597	748	SOW SEEDS	0.32
Sagart-2019-250-245	245	the year	777	1226	YEAR	0.98
Sagart-2019-250-246	246	yellow	1008	1424	YELLOW	0.96
Sagart-2019-250-247	247	yesterday	739	1174	YESTERDAY	0.54
Sagart-2019-250-248	248	you [second person plural]	933	1213	YOU	0.52
Sagart-2019-250-249	249	young	1059	1207	YOUNG	0.46
Sagart-2019-250-250	250	the shit	151	676	SHIT (DEFECATE)	0.92
