ID	NUMBER	ENGLISH	KANJI	KANA	ROMAJI	CONCEPTICON_ID	CONCEPTICON_GLOSS
Huisman-2025-255-38	38	to count	数える	かぞえる	kazoeru	1420	COUNT
Huisman-2025-255-39	39	to cry	泣く	なく	naku	1839	CRY
Huisman-2025-255-40	40	to cut	切る	きる	kiru	1432	CUT
Huisman-2025-255-41	41	day	昼	ひる	hiru	1225	DAY (NOT NIGHT)
Huisman-2025-255-42	42	to die	死ぬ	しぬ	shinu	1494	DIE
Huisman-2025-255-43	43	to dig	掘る	ほる	horu	1418	DIG
Huisman-2025-255-44	44	dirty	汚い	きたない	kitanai	1230	DIRTY
Huisman-2025-255-45	45	to do	為る	する	suru	813	DO
Huisman-2025-255-46	46	dog	犬	いぬ	inu	2009	DOG
Huisman-2025-255-47	47	dream	夢	ゆめ	yume	1920	DREAM (SOMETHING)
Huisman-2025-255-48	48	to drink	飲む	のむ	nomu	1401	DRINK
Huisman-2025-255-49	49	dry	乾く	かわく	kawaku	1398	DRY
Huisman-2025-255-50	50	dust	埃	ほこり	hokori	2	DUST
Huisman-2025-255-51	51	ear	耳	みみ	mimi	1247	EAR
Huisman-2025-255-52	52	earth, soil	土	つち	tsuchi	1228	EARTH (SOIL)
Huisman-2025-255-53	53	to eat	食う	くう	kuu	1336	EAT
Huisman-2025-255-54	54	egg	卵	たまご	tamago	744	EGG
Huisman-2025-255-55	55	eight	八つ	やっつ	yattsu	1705	EIGHT
Huisman-2025-255-56	56	eye	目	め	me	1248	EYE
Huisman-2025-255-57	57	to fall	落ちる	おちる	ochiru	1280	FALL
Huisman-2025-255-58	58	far	遠い	とおい	tooi	1406	FAR
Huisman-2025-255-59	59	fat, grease	油	あぶら	abura	323	FAT (ORGANIC SUBSTANCE)
Huisman-2025-255-60	60	father	父	ちち	chichi	1217	FATHER
Huisman-2025-255-61	61	to fear	怖がる	こわがる	kowagaru	1419	FEAR (BE AFRAID)
Huisman-2025-255-62	62	feather	羽	はね	hane	1201	FEATHER
Huisman-2025-255-63	63	few	少ない	すくない	sukunai	1242	FEW
Huisman-2025-255-64	64	to fight	戦う	たたかう	tatakau	1423	FIGHT
Huisman-2025-255-65	65	fire	火	ひ	hi	221	FIRE
Huisman-2025-255-66	66	fish	魚	さかな	sakana	227	FISH
Huisman-2025-255-67	67	five	五つ	いつつ	itsutsu	493	FIVE
Huisman-2025-255-68	68	flesh, meat	肉	にく	niku	2615	FLESH OR MEAT
Huisman-2025-255-69	69	to float	浮かぶ	うかぶ	ukabu	1574	FLOAT
Huisman-2025-255-70	70	to flow	流れる	ながれる	nagareru	2003	FLOW
Huisman-2025-255-71	71	flower	花	はな	hana	239	FLOWER
Huisman-2025-255-72	72	fly	蝿	はえ	hae	1504	FLY (INSECT)
Huisman-2025-255-73	73	to fly	飛ぶ	とぶ	tobu	1441	FLY (MOVE THROUGH AIR)
Huisman-2025-255-74	74	fog	霧	きり	kiri	249	FOG
Huisman-2025-255-75	75	forest	森	もり	mori	420	FOREST
Huisman-2025-255-76	76	four	四つ	よっつ	yottsu	1500	FOUR
Huisman-2025-255-77	77	to freeze	凍る	こおる	kooru	1431	FREEZE
Huisman-2025-255-78	78	fruit	実	み	mi	1507	FRUIT
Huisman-2025-255-79	79	full	一杯	いっぱい	ippai	1429	FULL
Huisman-2025-255-80	80	to give	与える	あたえる	ataeru	1447	GIVE
Huisman-2025-255-81	81	to go	行く	いく	iku	695	GO
Huisman-2025-255-82	82	good	良い	よい	yoi	1035	GOOD
Huisman-2025-255-83	83	grass	草	くさ	kusa	606	GRASS
Huisman-2025-255-84	84	green	青い	あおい	aoi	1425	GREEN
Huisman-2025-255-85	85	to grind	挽く	ひく	hiku	1033	GRIND
Huisman-2025-255-86	86	to grow	生える	はえる	haeru	479	GROW
Huisman-2025-255-87	87	guts	腸	はらわた	harawata	1334	GUTS
Huisman-2025-255-88	88	hair	髪	かみ	kami	1040	HAIR
Huisman-2025-255-89	89	hand	手	て	te	1277	HAND
Huisman-2025-255-90	90	hard	硬い	かたい	katai	1884	HARD
Huisman-2025-255-91	91	head	頭	あたま	atama	1256	HEAD
Huisman-2025-255-92	92	to hear	聞く	きく	kiku	1408	HEAR
Huisman-2025-255-93	93	heart	心臓	しんぞう	shinzou	1223	HEART
Huisman-2025-255-94	94	heavy	重い	おもい	omoi	1210	HEAVY
Huisman-2025-255-95	95	here	此処	ここ k	oko	136	HERE
Huisman-2025-255-96	96	to hide	隠れる	かくれる	kakureru	2486	HIDE
Huisman-2025-255-97	97	to hold	持つ	もつ	motsu	1448	HOLD
Huisman-2025-255-98	98	horn	角	つの	tsuno	1393	HORN (ANATOMY)
Huisman-2025-255-99	99	house	家	いえ	ie	1252	HOUSE
Huisman-2025-255-100	100	how?	如何	どう	dou	1239	HOW
Huisman-2025-255-101	101	to hunt	狩る	かる	karu	1435	HUNT
Huisman-2025-255-102	102	husband	夫	おっと	otto	1200	HUSBAND
Huisman-2025-255-103	103	I	私	わたし	watashi	1209	I
Huisman-2025-255-104	104	ice	氷	こおり	koori	617	ICE
