ID	NUMBER	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH
Smeltzer-1995-300-87	87	froid	1287	COLD	cold
Smeltzer-1995-300-88	88	rouge	156	RED	red
Smeltzer-1995-300-89	89	noir	163	BLACK	black
Smeltzer-1995-300-90	90	blanc	1335	WHITE	white
Smeltzer-1995-300-91	91	haute taille	3346	TALL (PERSON)	tall (of people)
Smeltzer-1995-300-92	92	petite taille	1645	SHORT	short (of people)
Smeltzer-1995-300-93	93	longue	1203	LONG	long
Smeltzer-1995-300-94	94	an / année	1226	YEAR	year
Smeltzer-1995-300-95	95	maison	1252	HOUSE	house
Smeltzer-1995-300-96	96	marmite	3653	COOKING POT	cooking pot
Smeltzer-1995-300-97	97	escabeau	2058	STOOL	stool
Smeltzer-1995-300-98	98	village	930	VILLAGE	village
Smeltzer-1995-300-99	99	corde	1218	ROPE	rope
Smeltzer-1995-300-100	100	couteau	1352	KNIFE	knife
Smeltzer-1995-300-101	101	coeur	1223	HEART	heart
Smeltzer-1995-300-102	102	foie	1224	LIVER	liver
Smeltzer-1995-300-103	103	intestins	1991	INTESTINES	intestines
Smeltzer-1995-300-104	104	urine	1142	URINE	urine
Smeltzer-1995-300-105	105	os	1394	BONE	bone
Smeltzer-1995-300-106	106	vent	960	WIND	wind
Smeltzer-1995-300-107	107	sentier	2252	PATH	path
Smeltzer-1995-300-108	108	montagne	639	MOUNTAIN	mountain
Smeltzer-1995-300-109	109	fleuve	666	RIVER	river
Smeltzer-1995-300-110	110	poisson	227	FISH	fish
Smeltzer-1995-300-111	111	tortue	112	TURTLE	turtle
Smeltzer-1995-300-112	112	lance	945	SPEAR	spear
Smeltzer-1995-300-113	113	guerre	935	WAR	war
Smeltzer-1995-300-114	114	animal	619	ANIMAL	animal
Smeltzer-1995-300-115	115	sel	1274	SALT	salt
Smeltzer-1995-300-116	116	humain	683	PERSON	person
Smeltzer-1995-300-117	117	semence	714	SEED	seed
Smeltzer-1995-300-118	118	venir	1446	COME	to come
Smeltzer-1995-300-119	119	voir	1409	SEE	to see
Smeltzer-1995-300-120	120	voler			to fly / to steal
Smeltzer-1995-300-121	121	accoucher	1195	GIVE BIRTH	to give birth
Smeltzer-1995-300-122	122	fendre	1437	SPLIT	to split
Smeltzer-1995-300-123	123	donner	1447	GIVE	to give
Smeltzer-1995-300-124	124	voler			to fly / to steal
Smeltzer-1995-300-125	125	tuer	1417	KILL	to kill
Smeltzer-1995-300-126	126	jouer	1413	PLAY	to play
Smeltzer-1995-300-127	127	peur	781	FEAR (FRIGHT)	fear (fright)
Smeltzer-1995-300-128	128	dire	1458	SAY	to say
Smeltzer-1995-300-129	129	montrer	1039	SHOW	to show
Smeltzer-1995-300-130	130	connaître	3626	KNOW	to know
Smeltzer-1995-300-131	131	compter	1420	COUNT	to count
Smeltzer-1995-300-132	132	marier (épouser)	203	MARRY	to marry
Smeltzer-1995-300-133	133	brûler	2102	BURN	to burn
Smeltzer-1995-300-134	134	enfler	1573	SWELL	to swell
Smeltzer-1995-300-135	135	vouloir	1784	WANT	to want
Smeltzer-1995-300-136	136	envoyer	1127	SEND	to send
Smeltzer-1995-300-137	137	partir	1752	LEAVE	to leave
Smeltzer-1995-300-138	138	mourir	1494	DIE	to die
Smeltzer-1995-300-139	139	presser			to press / to squeeze
Smeltzer-1995-300-140	140	bon	1035	GOOD	good
Smeltzer-1995-300-141	141	nouveau	1231	NEW	new
Smeltzer-1995-300-142	142	faim	1864	HUNGER	hunger
Smeltzer-1995-300-143	143	rond	1395	ROUND	round
Smeltzer-1995-300-144	144	sec	1398	DRY	dry
Smeltzer-1995-300-145	145	ciel	1732	SKY	sky
Smeltzer-1995-300-146	146	enfant	2099	CHILD	child
Smeltzer-1995-300-147	147	petit	1246	SMALL	small
Smeltzer-1995-300-148	148	beaucoup	1198	MANY	many
Smeltzer-1995-300-149	149	plein	1429	FULL	full
Smeltzer-1995-300-150	150	tous	98	ALL	all
Smeltzer-1995-300-151	151	qui?	1235	WHO	who
Smeltzer-1995-300-152	152	quoi?	1236	WHAT	what
Smeltzer-1995-300-153	153	pourquoi?	1270	WHY	why
Smeltzer-1995-300-154	154	bouche	674	MOUTH	mouth
Smeltzer-1995-300-155	155	poil	189	HAIR (BODY)	hair (body)
Smeltzer-1995-300-156	156	main	1277	HAND	hand
Smeltzer-1995-300-157	157	pied	1301	FOOT	foot
Smeltzer-1995-300-158	158	fesses	834	BUTTOCKS	buttocks
Smeltzer-1995-300-159	159	aile	1257	WING	wing
Smeltzer-1995-300-160	160	rosée	1977	DEW	dew
Smeltzer-1995-300-161	161	sable	671	SAND	sand
Smeltzer-1995-300-162	162	six	1703	SIX	six
Smeltzer-1995-300-163	163	sept	1704	SEVEN	seven
Smeltzer-1995-300-164	164	huit	1705	EIGHT	eight
Smeltzer-1995-300-165	165	neuf	1483	NINE	nine
Smeltzer-1995-300-166	166	dix	1515	TEN	ten
Smeltzer-1995-300-167	167	cultiver	1541	CULTIVATE	to cultivate
Smeltzer-1995-300-168	168	enterrer	1719	BURY	to bury
Smeltzer-1995-300-169	169	fer	621	IRON	iron
Smeltzer-1995-300-170	170	sang	946	BLOOD	blood
Smeltzer-1995-300-171	171	lèvres	478	LIP	lip
Smeltzer-1995-300-172	172	menton	1510	CHIN	chin
Smeltzer-1995-300-173	173	barbe	678	BEARD	beard
Smeltzer-1995-300-174	174	épaule	1482	SHOULDER	shoulder
