ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	INDONESIAN
Stokhof-1975-117-1	1	body	1480	BODY	badan
Stokhof-1975-117-2	2	head	1256	HEAD	kepala
Stokhof-1975-117-3	3	forehead	123	FOREHEAD	testa, dahi
Stokhof-1975-117-4	4	hair	1040	HAIR	rambut
Stokhof-1975-117-5	5	ear	1247	EAR	telinga
Stokhof-1975-117-6	6	eye	1248	EYE	mata
Stokhof-1975-117-7	7	tears	1651	TEAR (OF EYE)	air mata
Stokhof-1975-117-8	8	nose	1221	NOSE	hidung
Stokhof-1975-117-9	9	nostril	1178	NOSTRIL	lobang hidung
Stokhof-1975-117-10	10	mucus	208	NASAL MUCUS (SNOT)	ingus
Stokhof-1975-117-11	11	cheek	1730	CHEEK	pipi
Stokhof-1975-117-12	12	mouth	674	MOUTH	mulut
Stokhof-1975-117-13	13	lip	478	LIP	bibir
Stokhof-1975-117-14	14	oral cavity	2674	ORAL CAVITY	dalam mulut
Stokhof-1975-117-15	15	voice	1363	VOICE	suara
Stokhof-1975-117-16	16	language	1307	LANGUAGE	bahasa
Stokhof-1975-117-17	17	tongue	1205	TONGUE	lidah
Stokhof-1975-117-18	18	tooth	1380	TOOTH	gigi
Stokhof-1975-117-19	19	chin	1510	CHIN	dagu
Stokhof-1975-117-20	20	neck	1333	NECK	leher
Stokhof-1975-117-21	21	chest	1592	CHEST	dada
Stokhof-1975-117-22	22	breasts	1402	BREAST	susu
Stokhof-1975-117-23	23	stomach	819	STOMACH	perut
Stokhof-1975-117-24	24	navel	1838	NAVEL	pusat
Stokhof-1975-117-25	25	back	1291	BACK	belakang
Stokhof-1975-117-26	26	shoulders	1482	SHOULDER	bahu
Stokhof-1975-117-27	27	leg/foot	2098	FOOT OR LEG	kaki
Stokhof-1975-117-28	28	hand/arm	2121	ARM OR HAND	tangan
Stokhof-1975-117-29	29	skin	763	SKIN	kulit
Stokhof-1975-117-30	30	name	1405	NAME	nama
Stokhof-1975-117-31	31	man/male	2106	MALE PERSON	laki-laki
Stokhof-1975-117-32	32	woman/female	2105	FEMALE PERSON	perempuan
Stokhof-1975-117-33	33	child	1304	CHILD (YOUNG HUMAN)	anak
Stokhof-1975-117-34	34	water	948	WATER	air
Stokhof-1975-117-35	35	father	1217	FATHER	bapak
Stokhof-1975-117-36	36	mother	1216	MOTHER	ibu
Stokhof-1975-117-37	37	friend	1325	FRIEND	kawan
Stokhof-1975-117-38	38	house	1252	HOUSE	rumah
Stokhof-1975-117-39	39	fire/firewood	2675	FIRE OR FIREWOOD	api, kayu bakar
Stokhof-1975-117-40	40	fish	227	FISH	ikan
Stokhof-1975-117-41	41	garden	586	GARDEN	kebon
Stokhof-1975-117-42	42	fence	1690	FENCE	pagar
Stokhof-1975-117-43	43	banana (fruit)	868	BANANA	pisang
Stokhof-1975-117-44	44	tree/wood	2141	TREE OR WOOD	pohon, kayu
Stokhof-1975-117-45	45	animal	619	ANIMAL	binatang
Stokhof-1975-117-46	46	chicken	1318	CHICKEN	ayam
Stokhof-1975-117-47	47	bird	937	BIRD	burung
Stokhof-1975-117-48	48	egg	744	EGG	telor
Stokhof-1975-117-49	49	pig	1337	PIG	babi
Stokhof-1975-117-50	50	sun	1343	SUN	matahari
Stokhof-1975-117-51	51	moon	1313	MOON	bulan
Stokhof-1975-117-52	52	rain	658	RAIN (PRECIPITATION)	hujan
Stokhof-1975-117-53	53	island	622	ISLAND	pulau
Stokhof-1975-117-54	54	mountain	639	MOUNTAIN	gunung
Stokhof-1975-117-55	55	stone	857	STONE	batu
Stokhof-1975-117-56	56	rice (husked/in field)	926	RICE	beras, padi
Stokhof-1975-117-57	57	to eat	1336	EAT	makan
Stokhof-1975-117-58	58	to drink	1401	DRINK	minum
Stokhof-1975-117-59	59	to sit	1416	SIT	duduk
Stokhof-1975-117-60	60	to sleep	1585	SLEEP	tidur
Stokhof-1975-117-61	61	to beat	2133	STRIKE OR BEAT	pukul
Stokhof-1975-117-62	62	one	1493	ONE	satu
Stokhof-1975-117-63	63	two	1498	TWO	dua
Stokhof-1975-117-64	64	three	492	THREE	tiga
Stokhof-1975-117-65	65	four	1500	FOUR	empat
Stokhof-1975-117-66	66	five	493	FIVE	lima
Stokhof-1975-117-67	67	six	1703	SIX	enam
Stokhof-1975-117-68	68	seven	1704	SEVEN	tujuh
Stokhof-1975-117-69	69	eight	1705	EIGHT	delapan
Stokhof-1975-117-70	70	nine	1483	NINE	sembilan
Stokhof-1975-117-71	71	ten	1515	TEN	sepuluh
Stokhof-1975-117-72	72	twenty	1710	TWENTY	duapulu
Stokhof-1975-117-73	73	one hundred	1634	HUNDRED	seratus
Stokhof-1975-117-74	74	two hundred	2676	TWO HUNDRED	duaratus
Stokhof-1975-117-75	75	thousand	1843	THOUSAND	seribu
Stokhof-1975-117-76	76	ashes	646	ASH	abu
Stokhof-1975-117-77	77	big	1202	BIG	besar
Stokhof-1975-117-78	78	black	163	BLACK	hitam
Stokhof-1975-117-79	79	blood	946	BLOOD	darah
Stokhof-1975-117-80	80	bone	1394	BONE	tulang
Stokhof-1975-117-81	81	cloud	1489	CLOUD	awan
Stokhof-1975-117-82	82	cold	1287	COLD	dingin
Stokhof-1975-117-83	83	to come	1446	COME	datang
Stokhof-1975-117-84	84	dead/to die	2101	BE DEAD OR DIE	mati, meninggal
Stokhof-1975-117-85	85	dog	2009	DOG	anjing
Stokhof-1975-117-86	86	dry	1398	DRY	kering
Stokhof-1975-117-87	87	to fly	1441	FLY (MOVE THROUGH AIR)	terbang
Stokhof-1975-117-88	88	housefly	1504	FLY (INSECT)	lalat
Stokhof-1975-117-89	89	fruit	1507	FRUIT	buah
Stokhof-1975-117-90	90	to give	1447	GIVE	memberikan
Stokhof-1975-117-91	91	to go	695	GO	pergi
Stokhof-1975-117-92	92	good	1035	GOOD	baik
Stokhof-1975-117-93	93	fat/grease	1282	FAT (FROM ANIMALS)	gemuk
Stokhof-1975-117-94	94	ground	2159	GROUND	tanah
Stokhof-1975-117-95	95	knee	1371	KNEE	lutut
Stokhof-1975-117-96	96	leaf	628	LEAF	daun
Stokhof-1975-117-97	97	long	1203	LONG	panjang
Stokhof-1975-117-98	98	louse	1392	LOUSE	kutu
Stokhof-1975-117-99	99	meat	634	MEAT	daging
Stokhof-1975-117-100	100	nail/claw	2128	CLAW OR NAIL	kuku
Stokhof-1975-117-101	101	new	1231	NEW	baru
Stokhof-1975-117-102	102	night	1233	NIGHT	malam
Stokhof-1975-117-103	103	path	2252	PATH	jalan
Stokhof-1975-117-104	104	red	156	RED	merah
Stokhof-1975-117-105	105	root	670	ROOT	akar
Stokhof-1975-117-106	106	sand	671	SAND	pasir
Stokhof-1975-117-107	107	to see	1409	SEE	lihat
Stokhof-1975-117-108	108	small	1246	SMALL	kecil
Stokhof-1975-117-109	109	smoke	778	SMOKE (EXHAUST)	asap
Stokhof-1975-117-110	110	to stand	1442	STAND	berdiri
Stokhof-1975-117-111	111	star	1430	STAR	bintang
Stokhof-1975-117-112	112	warm	2272	HOT OR WARM	panas
Stokhof-1975-117-113	113	white	1335	WHITE	putih
Stokhof-1975-117-114	114	wind	960	WIND	angin
Stokhof-1975-117-115	115	i see the snake			saya lihat ular
Stokhof-1975-117-116	116	the snake sees me			ular lihat saya
Stokhof-1975-117-117	117	snake	730	SNAKE	ular
