ID	NUMBER	GLOSS	OMEGAWIKI
Swadesh-1950-215-132	132	clothing	8254
Swadesh-1950-215-133	133	cook	479132
Swadesh-1950-215-134	134	count	6026
Swadesh-1950-215-135	135	cut	6043
Swadesh-1950-215-136	136	die	6245
Swadesh-1950-215-137	137	dig	6024
Swadesh-1950-215-138	138	dirty	5483
Swadesh-1950-215-139	139	drink	5991
Swadesh-1950-215-140	140	dry	5989
Swadesh-1950-215-141	141	dull	6322
Swadesh-1950-215-142	142	fall	5622
Swadesh-1950-215-143	143	fat	5624
Swadesh-1950-215-144	144	fear	6025
Swadesh-1950-215-145	145	feather	5436
Swadesh-1950-215-146	146	few	5500
Swadesh-1950-215-147	147	fight	6030
Swadesh-1950-215-148	148	fish	1460
Swadesh-1950-215-149	149	float	6457
Swadesh-1950-215-150	150	flow	961244
Swadesh-1950-215-151	151	fly	6052
Swadesh-1950-215-152	152	freeze	6042
Swadesh-1950-215-153	153	give	6059
Swadesh-1950-215-154	154	guts	5824
Swadesh-1950-215-155	155	hear	5999
Swadesh-1950-215-156	156	hold	6060
Swadesh-1950-215-157	157	how	5494
Swadesh-1950-215-158	158	if	6076
Swadesh-1950-215-159	159	in	6077
Swadesh-1950-215-160	160	kill	6023
Swadesh-1950-215-161	161	know	6004
Swadesh-1950-215-162	162	lie	6005
Swadesh-1950-215-163	163	live	6028
Swadesh-1950-215-164	164	many	5423
Swadesh-1950-215-165	165	narrow	5566
Swadesh-1950-215-166	166	new	5484
Swadesh-1950-215-167	167	not	5495
Swadesh-1950-215-168	168	old	5482
Swadesh-1950-215-169	169	other	1406403
Swadesh-1950-215-170	170	play	6010
Swadesh-1950-215-171	171	puke	5617
Swadesh-1950-215-172	172	pull	6071
Swadesh-1950-215-173	173	push	6068
Swadesh-1950-215-174	174	right (correct)	7026
Swadesh-1950-215-175	175	river	3253
Swadesh-1950-215-176	176	rotten	7031
Swadesh-1950-215-177	177	rub	6062
Swadesh-1950-215-178	178	scratch	6047
Swadesh-1950-215-179	179	sea	6154
Swadesh-1950-215-180	180	see	6003
Swadesh-1950-215-181	181	seed	3361
Swadesh-1950-215-182	182	sew	6073
Swadesh-1950-215-183	183	sharp	5987
Swadesh-1950-215-184	184	shoot	522875
Swadesh-1950-215-185	185	sit	6022
Swadesh-1950-215-186	186	sleep	6519
Swadesh-1950-215-187	187	smell	6520
Swadesh-1950-215-188	188	smooth	5487
Swadesh-1950-215-189	189	some	5499
Swadesh-1950-215-190	190	spit	6051
Swadesh-1950-215-191	191	split	6048
Swadesh-1950-215-192	192	squeeze	6017
Swadesh-1950-215-193	193	stab	6045
Swadesh-1950-215-194	194	stand	6053
Swadesh-1950-215-195	195	stick	5662
Swadesh-1950-215-196	196	straight	5994
Swadesh-1950-215-197	197	suck	6027
Swadesh-1950-215-198	198	swell	6454
Swadesh-1950-215-199	199	thick	5503
Swadesh-1950-215-200	200	thin	5990
Swadesh-1950-215-201	201	think	6021
Swadesh-1950-215-202	202	throw	6072
Swadesh-1950-215-203	203	tie	844574
Swadesh-1950-215-204	204	turn	6526
Swadesh-1950-215-205	205	walk	6054
Swadesh-1950-215-206	206	wash	6069
Swadesh-1950-215-207	207	wet	7027
Swadesh-1950-215-208	208	when	5493
Swadesh-1950-215-209	209	wide	5502
Swadesh-1950-215-210	210	wing	5528
Swadesh-1950-215-211	211	wipe	6070
Swadesh-1950-215-212	212	with	5844
Swadesh-1950-215-213	213	woods	1533
Swadesh-1950-215-214	214	work	471303
Swadesh-1950-215-215	215	worm	5466
