ID	NUMBER	ENGLISH	TARGET	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wilkins-1996-75-1	1	claw	fingernail, toenail	72	CLAW
Wilkins-1996-75-2	2	fingernail	finger	1258	FINGERNAIL
Wilkins-1996-75-3	3	finger	hand	1303	FINGER
Wilkins-1996-75-4	4	palm	hand	1183	PALM OF HAND
Wilkins-1996-75-5	5	hand	arm	1277	HAND
Wilkins-1996-75-6	6	forearm	upperarm, arm	446	LOWER ARM
Wilkins-1996-75-7	7	upperarm	forearm, arm	431	UPPER ARM
Wilkins-1996-75-8	8	arm		1673	ARM
Wilkins-1996-75-9	9	toenail	toe	1896	FINGERNAIL OR TOENAIL
Wilkins-1996-75-10	10	toe	foot	1389	TOE
Wilkins-1996-75-11	11	sole	foot	2666	SOLE (FOOT)
Wilkins-1996-75-12	12	heel	foot	980	HEEL
Wilkins-1996-75-13	13	foot	leg	1301	FOOT
Wilkins-1996-75-14	14	calf	thigh, leg	1989	CALF
Wilkins-1996-75-15	15	shin	thigh, leg	186	SHIN
Wilkins-1996-75-16	16	thigh	shin, calf, leg	800	THIGH
Wilkins-1996-75-17	17	leg		1297	LEG
Wilkins-1996-75-18	18	to bend	elbow, knee	2004	BEND
Wilkins-1996-75-19	19	elbow	knee	981	ELBOW
Wilkins-1996-75-20	20	knee	elbow	1371	KNEE
Wilkins-1996-75-21	21	chest	belly, trunk, heart, breast	1592	CHEST
Wilkins-1996-75-22	22	belly	chest, trunk, stomach, intestines	1251	BELLY
Wilkins-1996-75-23	23	trunk	body	2667	TORSO
Wilkins-1996-75-24	24	skin	body, bark (of tree), to flay	763	SKIN
Wilkins-1996-75-25	25	skeleton	body	2668	SKELETON
Wilkins-1996-75-26	26	body	person	1480	BODY
Wilkins-1996-75-27	27	person	man (male), woman	683	PERSON
Wilkins-1996-75-28	28	man (male)	person, husband	2106	MALE PERSON
Wilkins-1996-75-29	29	husband	man (male), person	1200	HUSBAND
Wilkins-1996-75-30	30	woman	wife, person	962	WOMAN
Wilkins-1996-75-31	31	wife	woman, person	1199	WIFE
Wilkins-1996-75-32	32	cheek	jaw, chin	1730	CHEEK
Wilkins-1996-75-33	33	jaw	cheek, chin	798	JAW
Wilkins-1996-75-34	34	chin		1510	CHIN
Wilkins-1996-75-35	35	beard	chin	678	BEARD
Wilkins-1996-75-36	36	front	face	123	FOREHEAD
Wilkins-1996-75-37	37	face	front	1560	FACE
Wilkins-1996-75-38	38	top	head	1753	TOP
Wilkins-1996-75-39	39	head	top, skull	1256	HEAD
Wilkins-1996-75-40	40	mouth	lip, face	674	MOUTH
Wilkins-1996-75-41	41	lip	mouth, face	478	LIP
Wilkins-1996-75-42	42	eye	face	1248	EYE
Wilkins-1996-75-43	43	hair	head	1040	HAIR
Wilkins-1996-75-44	44	forehead	head	123	FOREHEAD
Wilkins-1996-75-45	45	ear	head	1247	EAR
Wilkins-1996-75-46	46	skull	brain, head	1605	SKULL
Wilkins-1996-75-47	47	brain	skull, bone marrow	1583	BRAIN
Wilkins-1996-75-48	48	bone marrow	brain	1835	MARROW
Wilkins-1996-75-49	49	stomach	belly	819	STOMACH
Wilkins-1996-75-50	50	intestines	belly	1991	INTESTINES
Wilkins-1996-75-51	51	inside/within	intestines, liver, heart	1460	IN
Wilkins-1996-75-52	52	liver	heart	1224	LIVER
Wilkins-1996-75-53	53	heart	liver, chest	1223	HEART
Wilkins-1996-75-54	54	breast		1402	BREAST
Wilkins-1996-75-55	55	milk	breast	635	MILK
Wilkins-1996-75-56	56	suck	breast	1421	SUCK
Wilkins-1996-75-57	57	blood	red	946	BLOOD
Wilkins-1996-75-58	58	red	blood	156	RED
Wilkins-1996-75-59	59	snot	nose	208	NASAL MUCUS (SNOT)
Wilkins-1996-75-60	60	nose		1221	NOSE
Wilkins-1996-75-61	61	egg	eye	744	EGG
Wilkins-1996-75-62	62	fruit/seed	eye	1762	STONE (OF FRUIT)
Wilkins-1996-75-63	63	round	eye	1395	ROUND
Wilkins-1996-75-64	64	testicle		797	TESTICLES
Wilkins-1996-75-65	65	breath	wind, soul/spirit	870	BREATH
Wilkins-1996-75-66	66	wind	breath, soul/spirit	960	WIND
Wilkins-1996-75-67	67	soul/spirit		811	SOUL
Wilkins-1996-75-68	68	bark (of tree)	skin	1204	BARK
Wilkins-1996-75-69	69	to flay	skin	291	PULL OFF (SKIN)
Wilkins-1996-75-70	70	to cover	skin	761	COVER
Wilkins-1996-75-71	71	to walk	leg	1443	WALK
Wilkins-1996-75-72	72	to point (with finger)	finger	2669	POINT (WITH FINGER)
Wilkins-1996-75-73	73	to see	eye	1409	SEE
Wilkins-1996-75-74	74	to smell	nose	2124	SMELL
Wilkins-1996-75-75	75	to hear	ear	1408	HEAR
