ID	NUMBER	MITTERHOFER_2013_300	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mitterhofer-2013-92-1	1		ant	587	ANT
Mitterhofer-2013-92-2	2	20	arm	1673	ARM
Mitterhofer-2013-92-3	3	124	ash(es) (ma)	646	ASH
Mitterhofer-2013-92-4	4		ball	1845	BALL
Mitterhofer-2013-92-5	5		bamboo	1927	BAMBOO
Mitterhofer-2013-92-6	6	80	bark (of tree)	1204	BARK
Mitterhofer-2013-92-7	7		basket	1539	BASKET
Mitterhofer-2013-92-8	8		bean	832	BEAN
Mitterhofer-2013-92-9	9	77	bee	665	BEE
Mitterhofer-2013-92-10	10	38	honey	942	HONEY
Mitterhofer-2013-92-11	11		begin	1806	BEGIN
Mitterhofer-2013-92-12	12	28	blood	946	BLOOD
Mitterhofer-2013-92-13	13		book	963	BOOK
Mitterhofer-2013-92-14	14	51	son/boy	2391	BOY OR SON
Mitterhofer-2013-92-15	15		case	1465	BOX
Mitterhofer-2013-92-16	16	63	cat	1208	CAT
Mitterhofer-2013-92-17	17	99	chair	1476	CHAIR
Mitterhofer-2013-92-18	18	72	chicken	1318	CHICKEN
Mitterhofer-2013-92-19	19	161	cold (weather)	2483	COLD (OF WEATHER)
Mitterhofer-2013-92-20	20		corn	506	MAIZE
Mitterhofer-2013-92-21	21	69	cow	1007	COW
Mitterhofer-2013-92-22	22		door	1567	DOOR
Mitterhofer-2013-92-23	23	37	egg	744	EGG
Mitterhofer-2013-92-24	24	64	elephant	1290	ELEPHANT
Mitterhofer-2013-92-25	25	1	eye	1248	EYE
Mitterhofer-2013-92-26	26	2	eyebrow	1173	EYEBROW
Mitterhofer-2013-92-27	27		eyelid	17	EYELID
Mitterhofer-2013-92-28	28	90	field	212	FIELD
Mitterhofer-2013-92-29	29	23	finger	1303	FINGER
Mitterhofer-2013-92-30	30		(n) forest	420	FOREST
Mitterhofer-2013-92-31	31		fox	1312	FOX
Mitterhofer-2013-92-32	32		frog	503	FROG
Mitterhofer-2013-92-33	33	52	daughter/girl	2392	DAUGHTER OR GIRL
Mitterhofer-2013-92-34	34	68	goat	1502	GOAT
Mitterhofer-2013-92-35	35		goodness	1035	GOOD
Mitterhofer-2013-92-36	36		grandmother	1496	GRANDMOTHER
Mitterhofer-2013-92-37	37		happiness	1495	HAPPY
Mitterhofer-2013-92-38	38		hate	1607	HATE
Mitterhofer-2013-92-39	39	160	hot (weather)	1286	HOT
Mitterhofer-2013-92-40	40		help (N)	1897	HELP
Mitterhofer-2013-92-41	41		herd	1143	OVEN
Mitterhofer-2013-92-42	42		here	136	HERE
Mitterhofer-2013-92-43	43	91	house	1252	HOUSE
Mitterhofer-2013-92-44	44		hundred	1634	HUNDRED
Mitterhofer-2013-92-45	45		thousand	1843	THOUSAND
Mitterhofer-2013-92-46	46	104	hunger	1864	HUNGER
Mitterhofer-2013-92-47	47	43	husband	1200	HUSBAND
Mitterhofer-2013-92-48	48		insect	620	INSECT
Mitterhofer-2013-92-49	49		journey	2393	JOURNEY
Mitterhofer-2013-92-50	50		Bena		
Mitterhofer-2013-92-51	51		grain	605	GRAIN
Mitterhofer-2013-92-52	52	111	knife	1352	KNIFE
Mitterhofer-2013-92-53	53	141	lake	624	LAKE
Mitterhofer-2013-92-54	54	81	leaf	628	LEAF
Mitterhofer-2013-92-55	55	65	lion	1386	LION
Mitterhofer-2013-92-56	56		locust	810	LOCUST
Mitterhofer-2013-92-57	57	42	man	1554	MAN
Mitterhofer-2013-92-58	58		money	1559	MONEY
Mitterhofer-2013-92-59	59		mosquito	1509	MOSQUITO
Mitterhofer-2013-92-60	60	179	near	1942	NEAR
Mitterhofer-2013-92-61	61	125	night (time)	1233	NIGHT
Mitterhofer-2013-92-62	62		Njombe		
Mitterhofer-2013-92-63	63	48	brother (older, same sex)	1759	OLDER BROTHER
Mitterhofer-2013-92-64	64		pain	1783	PAIN
Mitterhofer-2013-92-65	65		pity	1141	PITY
Mitterhofer-2013-92-66	66	107	cooking	1100	COOK (SOMETHING)
Mitterhofer-2013-92-67	67		potato	593	POTATO
Mitterhofer-2013-92-68	68	145	stone (fistsized)/rock	2125	STONE OR ROCK
Mitterhofer-2013-92-69	69	86	seed	714	SEED
Mitterhofer-2013-92-70	70		sheep	1331	SHEEP
Mitterhofer-2013-92-71	71		shoe	1381	SHOE
Mitterhofer-2013-92-72	72		us	2310	US (OBLIQUE CASE OF WE)
Mitterhofer-2013-92-73	73		song	1096	SONG
Mitterhofer-2013-92-74	73a	196a	stand up (3rd Sg)	570	STAND UP
Mitterhofer-2013-92-75	73b	196b	stand up (Imp)	570	STAND UP
Mitterhofer-2013-92-76	75	100	stool	2058	STOOL
Mitterhofer-2013-92-77	76		sunflower	1956	SUNFLOWER
Mitterhofer-2013-92-78	77		sweet potato	159	SWEET POTATO
Mitterhofer-2013-92-79	78		teacher	1038	TEACHER
Mitterhofer-2013-92-80	79		trick (V)	1902	BETRAY
Mitterhofer-2013-92-81	80		town	1391	TOWN
Mitterhofer-2013-92-82	81	79	tree	906	TREE
Mitterhofer-2013-92-83	82		truth	1638	TRUTH
Mitterhofer-2013-92-84	83	135	sky	1732	SKY
Mitterhofer-2013-92-85	84	44	woman	962	WOMAN
Mitterhofer-2013-92-86	85		wasp	1517	WASP
Mitterhofer-2013-92-87	86		you can		
Mitterhofer-2013-92-88	87		all the people		
Mitterhofer-2013-92-89	88		our cow		
Mitterhofer-2013-92-90	89		our fields	212	FIELD
Mitterhofer-2013-92-91	90		our chair		
Mitterhofer-2013-92-92	91		our chairs	1476	CHAIR
Mitterhofer-2013-92-93	92		our trees	906	TREE
