ID	NUMBER	SWADESH	ENGLISH	JAPANESE	ROMANISATION	NOTES	CONCEPTICON_ID	CONCEPTICON_GLOSS														
Huisman-2019-110-1	1	1.SG	I	私	watashi		1209	I														
Huisman-2019-110-2	2	2.SG	you	貴方	anata		1215	THOU														
Huisman-2019-110-3	3	1.PL	we	私達	watashitachi		1212	WE														
Huisman-2019-110-4	4	this1	this	これ	kore		1214	THIS														
Huisman-2019-110-5	5	this2	this	この	kono	attributive																
Huisman-2019-110-6	6	that1	that	それ	sore	medial																
Huisman-2019-110-7	7	that2	that	その	sono	medial; attributive																
Huisman-2019-110-8	8	that3	that	あれ	are	distal	78	THAT														
Huisman-2019-110-9	9	that4	that	あの	sono	distal; attributive																
Huisman-2019-110-10	10	who?	who	誰	dare		1235	WHO														
Huisman-2019-110-11	11	what?	what	何	nani		1236	WHAT														
Huisman-2019-110-12	12	not	not	～ない	-nai		1240	NOT														
Huisman-2019-110-13	13	all	all	皆	mina		98	ALL														
Huisman-2019-110-14	14	many	many	多い	ooi		1198	MANY														
Huisman-2019-110-15	15	one	one	一つ	hitotsu		1493	ONE														
Huisman-2019-110-16	16	two	two	二つ	futatsu		1498	TWO														
Huisman-2019-110-17	17	big	big	大きい	ookii		1202	BIG														
Huisman-2019-110-18	18	long	long	長い	nagai		1203	LONG														
Huisman-2019-110-19	19	small	small	小さい	chiisai		1246	SMALL														
Huisman-2019-110-20	20	woman	woman	女	onna		962	WOMAN														
Huisman-2019-110-21	21	man	man	男	otoko		1554	MAN														
Huisman-2019-110-22	22	person	person	人	hito		683	PERSON														
Huisman-2019-110-23	23	fish	fish	魚	uo		227	FISH														
Huisman-2019-110-24	24	bird	bird	鳥	tori		937	BIRD														
Huisman-2019-110-25	25	dog	dog	犬	inu		2009	DOG														
Huisman-2019-110-26	26	louse	louse	虱	shirami		310	HEAD LOUSE														
Huisman-2019-110-27	27	tree	tree	木	ki		906	TREE														
Huisman-2019-110-28	28	seed	seed	種	tane		714	SEED														
Huisman-2019-110-29	29	leaf	leaf	葉	ha		628	LEAF														
Huisman-2019-110-30	30	root	root	根	ne		670	ROOT														
Huisman-2019-110-31	31	bark	bark	皮	kawa		1204	BARK														
Huisman-2019-110-32	32	skin	skin	肌	hada		763	SKIN														
