ID	NUMBER	ENGLISH	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CLASS	MAJOR_SEMANTIC_CATEGORY	SUBCATEGORY
Kibrik-2012-122-1	1	find	найти	719	FIND	Existence	Change of state	Presence, absence, and recurrence of objects
Kibrik-2012-122-2	2	turn on	включить			Existence	Change of state	Presence, absence, and recurrence of objects
Kibrik-2012-122-3	3	turn off	выключить			Existence	Change of state	Presence, absence, and recurrence of objects
Kibrik-2012-122-4	4	go away	пропасть	1752	LEAVE	Existence	Change of state	Presence, absence, and recurrence of objects
Kibrik-2012-122-5	5	make	делать	734	MAKE	Existence	Change of state	Presence, absence, and recurrence of objects
Kibrik-2012-122-6	6	do	делать	813	DO	Other	Change of state	Presence, absence, and recurrence of activities
Kibrik-2012-122-7	7	help	помочь	1897	HELP	Other	Change of state	Presence, absence, and recurrence of activities
Kibrik-2012-122-8	8	stop	перестать	2880	HALT (STOP)	Phasal	Change of state	Presence, absence, and recurrence of activities
Kibrik-2012-122-9	9	wait	ждать	1590	WAIT (FOR)	Phasal	Change of state	Presence, absence, and recurrence of activities
Kibrik-2012-122-10	10	finish	кончить	1766	FINISH	Phasal	Change of state	Presence, absence, and recurrence of activities
Kibrik-2012-122-11	11	get	достать	694	GET	Manipulation	Change of state	Exchange and possession of objects
Kibrik-2012-122-12	12	hold	держать	1448	HOLD	Manipulation	Change of state	Exchange and possession of objects
Kibrik-2012-122-13	13	have	иметь	773	HAVE	Possession	Change of state	Exchange and possession of objects
Kibrik-2012-122-14	14	give	дать	1447	GIVE	Manipulation	Change of state	Exchange and possession of objects
Kibrik-2012-122-15	15	share	делиться	884	SHARE	Possession	Change of state	Exchange and possession of objects
Kibrik-2012-122-16	16	use	пользоваться	2072	USE (VERB)	Possession	Change of state	Exchange and possession of objects
Kibrik-2012-122-17	17	buy	купить	1869	BUY	Possession	Change of state	Exchange and possession of objects
Kibrik-2012-122-18	18	keep		1477	KEEP	Possession	Change of state	Exchange and possession of objects
Kibrik-2012-122-19	19	leave	оставить			Possession	Change of state	Exchange and possession of objects
Kibrik-2012-122-20	20	move	двигаться	2874	MOVE (ONESELF)	Motion	Change of state	Movement of objects
Kibrik-2012-122-21	21	move	двигать	765	MOVE	Motion	Change of state	Movement of objects
Kibrik-2012-122-22	22	stay	остаться	987	REMAIN	Location	Change of state	Movement of objects
Kibrik-2012-122-23	23	go	идти/уйти	695	GO	Motion	Change of state	Movement of objects
Kibrik-2012-122-24	24	come	прийти	1446	COME	Motion	Change of state	Movement of objects
