ID	NUMBER	MITTERHOFER_2013_300	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mitterhofer-2013-95-1	1		ant	587	ANT
Mitterhofer-2013-95-2	2	20	arm	1673	ARM
Mitterhofer-2013-95-3	3	124	ash(es) (ma)	646	ASH
Mitterhofer-2013-95-4	4		ball	1845	BALL
Mitterhofer-2013-95-5	5		bamboo	1927	BAMBOO
Mitterhofer-2013-95-6	6	80	bark (of tree)	1204	BARK
Mitterhofer-2013-95-7	7		basket	1539	BASKET
Mitterhofer-2013-95-8	8		bean	832	BEAN
Mitterhofer-2013-95-9	9	77	bee	665	BEE
Mitterhofer-2013-95-10	10	38	honey	942	HONEY
Mitterhofer-2013-95-11	11		begin	3447	BEGIN OR START
Mitterhofer-2013-95-12	12	28	blood	946	BLOOD
Mitterhofer-2013-95-13	13		book	963	BOOK
Mitterhofer-2013-95-14	14	51	son/boy	2391	BOY OR SON
Mitterhofer-2013-95-15	15		case	1465	BOX
Mitterhofer-2013-95-16	16	63	cat	1208	CAT
Mitterhofer-2013-95-17	17	99	chair	1476	CHAIR
Mitterhofer-2013-95-18	18	72	chicken	1318	CHICKEN
Mitterhofer-2013-95-19	19	161	cold (weather)	2483	COLD (OF WEATHER)
Mitterhofer-2013-95-20	20		corn	506	MAIZE
Mitterhofer-2013-95-21	21	69	cow	1007	COW
Mitterhofer-2013-95-22	22		door	1567	DOOR
Mitterhofer-2013-95-23	23	37	egg	744	EGG
Mitterhofer-2013-95-24	24	64	elephant	1290	ELEPHANT
Mitterhofer-2013-95-25	25	1	eye	1248	EYE
Mitterhofer-2013-95-26	26	2	eyebrow	1173	EYEBROW
Mitterhofer-2013-95-27	27		eyelid	17	EYELID
Mitterhofer-2013-95-28	28	90	field	212	FIELD
Mitterhofer-2013-95-29	29	23	finger	1303	FINGER
Mitterhofer-2013-95-30	30		(n) forest	420	FOREST
Mitterhofer-2013-95-31	31		fox	1312	FOX
Mitterhofer-2013-95-32	32		frog	503	FROG
Mitterhofer-2013-95-33	33	52	daughter/girl	2392	DAUGHTER OR GIRL
Mitterhofer-2013-95-34	34	68	goat	1502	GOAT
Mitterhofer-2013-95-35	35		goodness	1035	GOOD
Mitterhofer-2013-95-36	36		grandmother	1496	GRANDMOTHER
Mitterhofer-2013-95-37	37		happiness		
Mitterhofer-2013-95-38	38		hate	1607	HATE
Mitterhofer-2013-95-39	39	160	hot (weather)	1286	HOT
Mitterhofer-2013-95-40	40		help (N)	1897	HELP
Mitterhofer-2013-95-41	41		herd	2885	HERD (SOMETHING)
Mitterhofer-2013-95-42	42		here	136	HERE
Mitterhofer-2013-95-43	43	91	house	1252	HOUSE
Mitterhofer-2013-95-44	44		hundred	1634	HUNDRED
Mitterhofer-2013-95-45	45		thousand	1843	THOUSAND
Mitterhofer-2013-95-46	46	104	hunger	1864	HUNGER
Mitterhofer-2013-95-47	47	43	husband	1200	HUSBAND
Mitterhofer-2013-95-48	48		insect	620	INSECT
Mitterhofer-2013-95-49	49		journey	2393	JOURNEY
Mitterhofer-2013-95-50	50		Bena		
Mitterhofer-2013-95-51	51		grain	605	GRAIN
Mitterhofer-2013-95-52	52	111	knife	1352	KNIFE
Mitterhofer-2013-95-53	53	141	lake	624	LAKE
Mitterhofer-2013-95-54	54	81	leaf	628	LEAF
Mitterhofer-2013-95-55	55	65	lion	1386	LION
Mitterhofer-2013-95-56	56		locust	810	LOCUST
Mitterhofer-2013-95-57	57	42	man	1554	MAN
Mitterhofer-2013-95-58	58		money	1559	MONEY
Mitterhofer-2013-95-59	59		mosquito	1509	MOSQUITO
Mitterhofer-2013-95-60	60	179	near	1942	NEAR
Mitterhofer-2013-95-61	61	125	night (time)	1233	NIGHT
Mitterhofer-2013-95-62	62		Njombe		
Mitterhofer-2013-95-63	63	48	brother (older, same sex)	1759	OLDER BROTHER
Mitterhofer-2013-95-64	64		pain	1783	PAIN
Mitterhofer-2013-95-65	65		pity	1141	PITY
Mitterhofer-2013-95-66	66	107	cooking	1100	COOK (SOMETHING)
Mitterhofer-2013-95-67	67		potato	593	POTATO
Mitterhofer-2013-95-68	68	145	stone (fistsized)/rock	2125	STONE OR ROCK
Mitterhofer-2013-95-69	69	86	seed	714	SEED
Mitterhofer-2013-95-70	70		sheep	1331	SHEEP
Mitterhofer-2013-95-71	71		shoe	1381	SHOE
Mitterhofer-2013-95-72	72		us	2310	US (OBLIQUE CASE OF WE)
Mitterhofer-2013-95-73	73		song	1096	SONG
Mitterhofer-2013-95-74	73a	196a	stand up (3rd Sg)	570	STAND UP
Mitterhofer-2013-95-75	73b	196b	stand up (Imp)	570	STAND UP
Mitterhofer-2013-95-76	75	100	stool	2058	STOOL
Mitterhofer-2013-95-77	76		sunflower	1956	SUNFLOWER
Mitterhofer-2013-95-78	77		sweet potato	159	SWEET POTATO
Mitterhofer-2013-95-79	78		teacher	1038	TEACHER
Mitterhofer-2013-95-80	79		trick (V)	3230	DECEIVE
Mitterhofer-2013-95-81	80		town	1391	TOWN
Mitterhofer-2013-95-82	81	79	tree	906	TREE
Mitterhofer-2013-95-83	82		truth	1638	TRUTH
Mitterhofer-2013-95-84	83	135	sky	1732	SKY
Mitterhofer-2013-95-85	84	44	woman	962	WOMAN
Mitterhofer-2013-95-86	85		wasp	1517	WASP
Mitterhofer-2013-95-87	86		you can		
Mitterhofer-2013-95-88	87		all the people		
