ID	NUMBER	SEMANTIC_CATEGORY	COMRIE_1977_207	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Janhunan-2008-235-30	17b	Pronouns	015	how	1239	HOW
Janhunan-2008-235-31	18	Pronouns		together	2482	TOGETHER
Janhunan-2008-235-32	18b	Pronouns	017	all	98	ALL
Janhunan-2008-235-33	19	Pronouns	018	many	1198	MANY
Janhunan-2008-235-34	20	Pronouns	019	some	1241	SOME
Janhunan-2008-235-35	21	Pronouns	020	few	1242	FEW
Janhunan-2008-235-36	22	Pronouns	021	other	197	OTHER
Janhunan-2008-235-37	22b	Pronouns		PL		
Janhunan-2008-235-38	23	Dimension	027	big	1202	BIG
Janhunan-2008-235-39	24	Dimension		long	1203	LONG
Janhunan-2008-235-40	25	Dimension	028	wide	1243	WIDE
Janhunan-2008-235-41	26	Dimension	029	thick	1244	THICK
Janhunan-2008-235-42	27	Dimension	030	small	1246	SMALL
Janhunan-2008-235-43	28	Dimension	032	short	1645	SHORT
Janhunan-2008-235-44	29	Dimension	033	narrow	1267	NARROW
Janhunan-2008-235-45	30	Dimension	034	thin	2249	THIN (OF SHAPE OF OBJECT)
Janhunan-2008-235-46	31	Position	035	near	1942	NEAR
Janhunan-2008-235-47	32	Position	197	far	1406	FAR
Janhunan-2008-235-48	33	Position	198	right [GEN]	1019	RIGHT
Janhunan-2008-235-49	34	Position	199	left [GEN]	244	LEFT
Janhunan-2008-235-50	35	Position	200	up/on	2379	UP OR ABOVE
Janhunan-2008-235-51	36	Position		down	1326	DOWN
Janhunan-2008-235-52	37	Form	189	straight	1404	STRAIGHT
Janhunan-2008-235-53	38	Form	190	round	1395	ROUND
Janhunan-2008-235-54	39	Form	191	sharp	1396	SHARP
Janhunan-2008-235-55	40	Form	192	dull	379	BLUNT
Janhunan-2008-235-56	41	Form	193	smooth [GEN]	1234	SMOOTH
Janhunan-2008-235-57	42	Colour	172	red	156	RED
Janhunan-2008-235-58	43	Colour	173	green	1425	GREEN
Janhunan-2008-235-59	44	Colour	174	yellow	1424	YELLOW
Janhunan-2008-235-60	45	Colour	175	white	1335	WHITE
Janhunan-2008-235-61	46	Colour	176	black	163	BLACK
Janhunan-2008-235-62	47	Society	036	woman	962	WOMAN
Janhunan-2008-235-63	48	Society		young male	76	YOUNG MAN
Janhunan-2008-235-64	48b	Society	037	man	1554	MAN
Janhunan-2008-235-65	49	Society	038	person	683	PERSON
Janhunan-2008-235-66	50	Society	039	child	2099	CHILD
Janhunan-2008-235-67	51	Society	040	wife	1199	WIFE
Janhunan-2008-235-68	52	Society	041	husband	1200	HUSBAND
Janhunan-2008-235-69	53	Society	042	mother	1216	MOTHER
Janhunan-2008-235-70	54	Society	043	father	1217	FATHER
Janhunan-2008-235-71	55	Society	207	name	1405	NAME
Janhunan-2008-235-72	56	Fauna	044	animal	619	ANIMAL
Janhunan-2008-235-73	56b	Fauna		wild animal	958	WILD ANIMAL
Janhunan-2008-235-74	57	Fauna	045	fish	227	FISH
Janhunan-2008-235-75	58	Fauna	046	bird	937	BIRD
Janhunan-2008-235-76	59	Fauna	047	dog	2009	DOG
Janhunan-2008-235-77	60	Fauna	048	louse	1392	LOUSE
Janhunan-2008-235-78	61	Fauna	049	snake	730	SNAKE
Janhunan-2008-235-79	62	Fauna	050	worm	1219	WORM
Janhunan-2008-235-80	63	Flora	051	tree	906	TREE
Janhunan-2008-235-81	64	Flora	052	forest	420	FOREST
Janhunan-2008-235-82	65	Flora	053	stick	1295	STICK
Janhunan-2008-235-83	66	Flora	054	fruit	1507	FRUIT
Janhunan-2008-235-84	67	Flora	055	seed	714	SEED
Janhunan-2008-235-85	68	Flora	056	leaf	628	LEAF
Janhunan-2008-235-86	69	Flora	057	root	670	ROOT
Janhunan-2008-235-87	70	Flora	058	bark of tree	1204	BARK
Janhunan-2008-235-88	71	Flora	059	flower	239	FLOWER
Janhunan-2008-235-89	72	Flora	060	grass	606	GRASS
Janhunan-2008-235-90	73	Flora	061	rope	1218	ROPE
Janhunan-2008-235-91	74	Anatomy		leather	629	LEATHER
Janhunan-2008-235-92	74b	Anatomy	062	skin	763	SKIN
Janhunan-2008-235-93	75	Anatomy	063	meat / flesh	2615	FLESH OR MEAT
Janhunan-2008-235-94	76	Anatomy	064	blood	946	BLOOD
Janhunan-2008-235-95	77	Anatomy	065	bone	1394	BONE
Janhunan-2008-235-96	78	Anatomy	066	fat / grease	323	FAT (ORGANIC SUBSTANCE)
Janhunan-2008-235-97	79	Anatomy	067	egg	744	EGG
Janhunan-2008-235-98	80	Anatomy	068	horn	1393	HORN (ANATOMY)
Janhunan-2008-235-99	81	Anatomy	069	tail	1220	TAIL
Janhunan-2008-235-100	82	Anatomy	070	feather	1201	FEATHER
Janhunan-2008-235-101	83	Anatomy	071	hair	1040	HAIR
Janhunan-2008-235-102	83b	Anatomy		hair on head	1040	HAIR
Janhunan-2008-235-103	84	Anatomy	072	head	1256	HEAD
Janhunan-2008-235-104	85	Anatomy	073	ear	1247	EAR
Janhunan-2008-235-105	86	Anatomy	074	eye	1248	EYE
Janhunan-2008-235-106	87	Anatomy	075	nose	1221	NOSE
Janhunan-2008-235-107	88	Anatomy	076	mouth	674	MOUTH
Janhunan-2008-235-108	89	Anatomy	077	tooth	1380	TOOTH
Janhunan-2008-235-109	90	Anatomy	078	tongue	1205	TONGUE
