ID	NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	IDS_IN_SOURCE	LINKS	POLYSEMY_CLASS	FREQUENCY_CLASS	DEGREE_CLASS	RELATION_TYPE	FORWARD_SCORES	BACKWARD_SCORES
Lapesa-2014-772-11	11	accustom	verb			253:to-accustom-to-know:0 254:to-accustom-to-alienate:0 255:to-accustom-to-familiarize:0	→381 →29 →252	poli1 poli1 poli1	freqMed freqMed freqMed	LOW NOT HIGH	SYN SYN SYN	2.7 0 4.2	2.6 0.1 4.3
Lapesa-2014-772-12	12	achieve	verb			256:to-achieve-to-fail:0 257:to-achieve-to-obtain:0 258:to-achieve-to-get:0 259:to-achieve-to-win:0 260:to-achieve-to-fail:0 261:to-achieve-to-lose:0 262:to-achieve-to-accomplish:0 263:to-achieve-to-fail:0 264:to-achieve-to-accomplish:0	→251 →454 →287 →758 →251 →407 →9 →251 →9	poli1 poli1 poli1 poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax	NOT LOW LOW HIGH NOT LOW HIGH HIGH NOT	HYP SYN HYP HYP SYN ANT SYN ANT ANT	0 3.8 3.5 4.5 0 4.3 4.9 5 0	0 4.2 4.6 3.3 0 4.2 4.8 4.9 0
Lapesa-2014-772-13	13	acquire	verb	3892	ACQUIRE (SOMETHING)	368:to-hone-to-acquire:1	←321	poli2	freqMed	LOW	SYN	1.1	1.5
Lapesa-2014-772-14	14	act	noun			758:parody-act:1	←474	poli2	freqMed	LOW	HYP	3.3	3.5
Lapesa-2014-772-15	15	activity	noun			782:recreation-activity:1	←536	poli1	freqMax	HIGH	HYP	3.8	3.7
Lapesa-2014-772-16	16	actor	noun			632:cameraman-actor:1 634:cameraman-actor:1	←83 ←83	poli1 poli1	freqMin freqMin	HIGH NOT	ANT SYN	1.9 0.3	2.6 0.2
Lapesa-2014-772-17	17	add	verb	2882	ADD	523:to-sum-to-add:1 524:to-sum-to-add:1 531:to-sum-to-add:1	←648 ←648 ←648	poli1 poli1 poli1	freqMax freqMax freqMax	HIGH HIGH NOT	HYP SYN ANT	3.6 3.8 0.5	3.6 4.8 0
Lapesa-2014-772-18	18	admiration	noun			595:admiration-disgust:0 596:admiration-emotion:0 597:admiration-feeling:0 598:admiration-esteem:0 599:admiration-adoration:0 600:admiration-disgust:0	→195 →220 →259 →233 →19 →195	poli3 poli3 poli3 poli3 poli3 poli3	freqMed freqMed freqMed freqMed freqMed freqMed	NOT LOW HIGH LOW HIGH NOT	HYP HYP HYP SYN SYN SYN	0 4.3 4.9 3.9 4.4 0	0 4.8 4.8 4.5 4.2 0
Lapesa-2014-772-19	19	adoration	noun			599:admiration-adoration:1	←18	poli3	freqMed	HIGH	SYN	4.4	4.2
Lapesa-2014-772-20	20	affected	adjective			173:unaffected-affected:1	←690	poli3	freqMed	HIGH	ANT	5	5
Lapesa-2014-772-21	21	aggravation	noun			608:alleviation-aggravation:1	←30	poli2	freqMin	NOT	SYN	0.1	0
Lapesa-2014-772-22	22	agree	verb	3643	AGREE	283:to-battle-to-agree:1	←57	poli1	freqMax	LOW	ANT	4	4.2
Lapesa-2014-772-23	23	agreement	noun	3644	AGREEMENT	657:contradiction-agreement:1	←140	poli3	freqMax	HIGH	ANT	4.8	4.3
Lapesa-2014-772-24	24	aircraft	noun			601:aircraft-machine:0 602:aircraft-vehicle:0 603:aircraft-car:0 604:aircraft-airship:0 605:aircraft-plane:0 606:aircraft-car:0	→411 →739 →85 →25 →488 →85	poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax	LOW HIGH NOT LOW HIGH NOT	HYP HYP HYP SYN SYN SYN	4.6 4.8 0.3 4.2 4.8 0.8	4.4 5 0.3 4.8 4.9 0
Lapesa-2014-772-25	25	airship	noun			604:aircraft-airship:1	←24	poli1	freqMax	LOW	SYN	4.2	4.8
Lapesa-2014-772-26	26	ale	noun			825:stout-ale:1	←639	poli2	freqMin	LOW	HYP	3.5	3.5
Lapesa-2014-772-27	27	alert	verb			265:to-alert-to-warn:0 266:to-alert-to-ignore:0 267:to-alert-to-notify:0 268:to-alert-to-warn:0 269:to-alert-to-conceal:0 270:to-alert-to-ignore:0	→746 →329 →451 →746 →125 →329	poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH HIGH LOW NOT LOW NOT	SYN ANT SYN ANT ANT SYN	4.7 4.5 4.4 0 3.7 0	4.6 3.9 4.5 0 4.4 0
Lapesa-2014-772-28	28	alien	adjective			203:unknown-alien:1	←711	poli3	freqMax	NOT	ANT	0.1	0.4
Lapesa-2014-772-29	29	alienate	verb			254:to-accustom-to-alienate:1	←11	poli1	freqMed	NOT	SYN	0	0.1
Lapesa-2014-772-30	30	alleviation	noun			607:alleviation-relief:0 608:alleviation-aggravation:0 609:alleviation-comfort:0	→542 →21 →117	poli2 poli2 poli2	freqMin freqMin freqMin	HIGH NOT LOW	SYN SYN SYN	4.8 0.1 3.2	4.5 0 2.9
Lapesa-2014-772-31	31	allotment	noun			669:distribution-allotment:1 671:distribution-allotment:1	←204 ←204	poli3 poli3	freqMax freqMax	NOT HIGH	ANT SYN	0.6 4.2	0.3 3.7
Lapesa-2014-772-32	32	alone	adjective	1964	ALONE	231:unsupervised-alone:1	←725	poli2	freqMin	HIGH	HYP	4	4.6
Lapesa-2014-772-33	33	amalgamate	verb			271:to-amalgamate-to-exclude:0 272:to-amalgamate-to-combine:0 273:to-amalgamate-to-separate:0	→244 →114 →589	poli1 poli1 poli1	freqMed freqMed freqMed	LOW NOT HIGH	ANT ANT ANT	4 0 4.8	4.4 0.7 4.3
Lapesa-2014-772-34	34	animal	noun	619	ANIMAL	666:crab-animal:1 689:elephant-animal:1 692:elephant-animal:1 854:zebra-animal:1	←147 ←218 ←218 ←771	poli3 poli2 poli2 poli1	freqMed freqMax freqMax freqMin	HIGH LOW HIGH HIGH	HYP SYN HYP HYP	3.4 2.6 5 5	3.3 1.9 5 5
Lapesa-2014-772-35	35	ant	noun	587	ANT	686:elephant-ant:1 687:elephant-ant:1 688:elephant-ant:1	←218 ←218 ←218	poli2 poli2 poli2	freqMax freqMax freqMax	NOT NOT HIGH	HYP SYN ANT	0 0 2.6	0 0 2.1
Lapesa-2014-772-36	36	apparent	adjective			151:symbolic-apparent:1	←654	poli2	freqMax	LOW	ANT	2.5	2.1
Lapesa-2014-772-37	37	apple	noun	1320	APPLE	829:tomato-apple:1 832:tomato-apple:1	←670 ←670	poli2 poli2	freqMax freqMax	NOT NOT	HYP SYN	0.2 0.2	0 0.1
Lapesa-2014-772-38	38	approachability	noun			594:accessibility-approachability:1	←7	poli2	freqMax	LOW	SYN	3.2	3.8
Lapesa-2014-772-39	39	arachnid	noun			610:arachnid-mammal:0 611:arachnid-spider:0 612:arachnid-scorpion:0	→414 →621 →577	poli1 poli1 poli1	freqMin freqMin freqMin	NOT HIGH LOW	SYN SYN SYN	0.5 4.6 2.1	0.1 4.5 1.7
Lapesa-2014-772-40	40	arbitrary	adjective			80:intentional-arbitrary:1	←366	poli2	freqMed	LOW	ANT	3.6	3.5
Lapesa-2014-772-41	41	arm	verb	1673	ARM	274:to-arm-to-unfurnish:0 275:to-arm-to-disarm:0 276:to-arm-to-carry:0	→704 →190 →89	poli2 poli2 poli2	freqMax freqMax freqMax	LOW HIGH NOT	ANT ANT ANT	2.3 5 0.5	3 5 0.8
Lapesa-2014-772-42	42	arrange	verb	1568	ARRANGE	448:to-organize-to-arrange:1	←463	poli1	freqMax	HIGH	SYN	4.3	4.8
Lapesa-2014-772-43	43	arrive	verb	1387	ARRIVE	277:to-arrive-to-come:0 278:to-arrive-to-depart:0 279:to-arrive-to-reach:0	→115 →174 →530	poli2 poli2 poli2	freqMax freqMax freqMax	LOW NOT HIGH	SYN SYN SYN	3.9 0 3.5	3.9 0 3.6
Lapesa-2014-772-44	44	artist	noun			613:artist-creator:0 614:artist-painter:0 615:artist-scientist:0	→150 →467 →576	poli1 poli1 poli1	freqMax freqMax freqMax	LOW HIGH NOT	SYN SYN SYN	3.7 3.3 0.9	3.7 4.4 0.6
Lapesa-2014-772-45	45	asexuality	noun			816:sexuality-asexuality:1	←591	poli1	freqMax	HIGH	ANT	4.1	4.2
Lapesa-2014-772-46	46	assertion	noun			616:assertion-denial:0 617:assertion-statement:0 618:assertion-denial:0 619:assertion-declaration:0 620:assertion-claim:0 621:assertion-question:0	→173 →631 →173 →164 →106 →525	poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax	NOT HIGH HIGH LOW NOT LOW	HYP HYP ANT HYP ANT ANT	1.1 3.7 3.6 3.5 0.4 3	1.2 3.9 3.2 4 0.1 4.1
Lapesa-2014-772-47	47	associative	adjective			7:associative-sole:0 8:associative-related:0 9:associative-dissociative:0	→615 →540 →203	poli3 poli3 poli3	freqMin freqMin freqMin	LOW NOT HIGH	ANT ANT ANT	1.6 0.6 4.9	3.3 0.5 4.7
Lapesa-2014-772-48	48	attempt	verb			554:to-try-to-attempt:1	←683	poli3	freqMax	NOT	ANT	0	0.4
Lapesa-2014-772-49	49	automated	adjective			90:manual-automated:1	←416	poli3	freqMax	LOW	ANT	4.7	4.7
Lapesa-2014-772-50	50	automatic	adjective			88:manual-automatic:1	←416	poli3	freqMax	HIGH	ANT	4.5	4.4
Lapesa-2014-772-51	51	availability	noun			593:accessibility-availability:1	←7	poli2	freqMax	HIGH	SYN	4.1	3.5
Lapesa-2014-772-52	52	avoid	verb	3639	AVOID	555:to-try-to-avoid:1	←683	poli3	freqMax	LOW	ANT	3.9	4
Lapesa-2014-772-53	53	bang	verb			498:to-slam-to-bang:1	←606	poli3	freqMed	NOT	ANT	0.2	0.8
Lapesa-2014-772-54	54	bar	noun			802:saloon-bar:1 806:saloon-bar:1 807:saloon-bar:1	←568 ←568 ←568	poli2 poli2 poli2	freqMed freqMed freqMed	HIGH HIGH NOT	HYP SYN ANT	3.5 4.8 0	4.7 4.8 0
Lapesa-2014-772-55	55	barley	noun	932	BARLEY	622:barley-cereal:0 623:barley-oat:0 624:barley-grass:0 625:barley-grain:0 626:barley-oat:0 627:barley-grain:0	→93 →453 →296 →295 →453 →295	poli2 poli2 poli2 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed freqMed	LOW NOT LOW HIGH NOT HIGH	HYP HYP SYN HYP SYN SYN	3.1 0.8 1.5 5 1.5 3.7	4.3 2.6 2 4.8 2.4 3.7
Lapesa-2014-772-56	56	base	noun	831	BASE	705:foot-base:1	←269	poli3	freqMax	NOT	ANT	0.1	0
Lapesa-2014-772-57	57	battle	verb			280:to-battle-to-surrender:0 281:to-battle-to-fight:0 282:to-battle-to-oppose:0 283:to-battle-to-agree:0 284:to-battle-to-fight:0 285:to-battle-to-surrender:0	→651 →260 →459 →22 →260 →651	poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax	NOT NOT LOW LOW HIGH HIGH	HYP ANT HYP ANT HYP ANT	0.2 0 3.4 4 3.9 4.4	0 0 4.4 4.2 4.5 4.6
Lapesa-2014-772-58	58	be	verb	1579	BE	310:to-consist-to-be:1	←134	poli1	freqMax	HIGH	HYP	4.3	3
Lapesa-2014-772-59	59	beat	verb	1665	BEAT	521:to-strum-to-beat:1	←645	poli1	freqMin	NOT	HYP	1.7	0.8
Lapesa-2014-772-60	60	beeline	verb			589:to-zigzag-to-beeline:1	←772	poli1	freqMin	LOW	ANT	4.2	4.9
Lapesa-2014-772-61	61	beer	noun	1639	BEER	824:stout-beer:1	←639	poli2	freqMin	HIGH	HYP	4.8	4.9
Lapesa-2014-772-62	62	berry	noun	904	BERRY	629:blueberry-berry:1	←71	poli2	freqMin	LOW	HYP	4.9	4.5
Lapesa-2014-772-63	63	biblical	adjective			10:biblical-historical:0 11:biblical-religious:0 12:biblical-secular:0 13:biblical-scriptural:0 14:biblical-secular:0 15:biblical-religious:0 16:biblical-religious:0 17:biblical-unbiblical:0 18:biblical-secular:0	→316 →543 →584 →582 →584 →543 →543 →691 →584	poli2 poli2 poli2 poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax	LOW HIGH NOT LOW NOT NOT HIGH LOW HIGH	HYP HYP HYP SYN SYN ANT SYN ANT ANT	3.154 4.6 0.8 4 0.4 0.3 3.2 5 3.8	3.364 4.75 1.125 4.6 0 0.2 3.7 5 4
Lapesa-2014-772-64	64	bill	verb			286:to-bill-to-charge:0 287:to-bill-to-pay:0 288:to-bill-to-pay:0 289:to-bill-to-notify:0 290:to-bill-to-pay:0 291:to-bill-to-invoice:0 292:to-bill-to-give:0 293:to-bill-to-charge:0 294:to-bill-to-charge:0	→98 →480 →480 →451 →480 →372 →288 →98 →98	poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3	freqMed freqMed freqMed freqMed freqMed freqMed freqMed freqMed freqMed	HIGH HIGH NOT LOW NOT LOW LOW HIGH NOT	HYP ANT SYN HYP HYP SYN ANT SYN ANT	3.5 4.1 0.2 2.9 0.8 4.4 2.2 4.4 0.6	4.3 2.9 0.1 3.1 0.8 4.3 3.1 4.5 0.6
Lapesa-2014-772-65	65	biological	adjective			134:psychological-biological:1	←519	poli1	freqMax	LOW	ANT	2.1	3
Lapesa-2014-772-66	66	birthplace	noun			641:cemetery-birthplace:1	←92	poli1	freqMax	LOW	ANT	3.8	3.5
Lapesa-2014-772-67	67	blackberry	noun			628:blueberry-blackberry:1	←71	poli2	freqMin	NOT	HYP	0	0.5
Lapesa-2014-772-68	68	blend	verb			327:to-contrast-to-blend:1	←141	poli3	freqMax	LOW	ANT	4.1	3.5
Lapesa-2014-772-69	69	blink	verb	1655	BLINK	585:to-wink-to-blink:1	←760	poli3	freqMin	HIGH	HYP	3.4	3.6
Lapesa-2014-772-70	70	block	verb			343:to-devolve-to-block:1	←185	poli2	freqMed	LOW	ANT	1	0.9
Lapesa-2014-772-71	71	blueberry	noun	2809	BLUEBERRY	628:blueberry-blackberry:0 629:blueberry-berry:0 630:blueberry-fruit:0	→67 →62 →278	poli2 poli2 poli2	freqMin freqMin freqMin	NOT LOW HIGH	HYP HYP HYP	0 4.9 5	0.5 4.5 5
Lapesa-2014-772-72	72	boastful	adjective			62:humble-boastful:1	←325	poli3	freqMax	LOW	ANT	4.9	4.9
Lapesa-2014-772-73	73	boneyard	noun			639:cemetery-boneyard:1	←92	poli1	freqMax	LOW	SYN	4.3	4.7
Lapesa-2014-772-74	74	bonus	noun			702:fee-bonus:1	←258	poli2	freqMax	NOT	SYN	0.5	0.3
Lapesa-2014-772-75	75	book	noun	963	BOOK	727:leaflet-book:1	←390	poli3	freqMax	NOT	SYN	3	1.6
Lapesa-2014-772-76	76	brainy	adjective			133:psychological-brainy:1	←519	poli1	freqMax	LOW	HYP	2.6	2.625
Lapesa-2014-772-77	77	break	verb	680	BREAK (DESTROY OR GET DESTROYED)	505:to-split-to-break:1	←624	poli3	freqMax	LOW	SYN	3.5	4
Lapesa-2014-772-78	78	brief	adjective			27:concise-brief:1	←126	poli3	freqMed	LOW	HYP	4.462	3.455
Lapesa-2014-772-79	79	build	verb	1840	BUILD	438:to-make-to-build:1 519:to-structure-to-build:1	←413 ←642	poli3 poli1	freqMax freqMax	LOW HIGH	ANT HYP	0 3.4	0 4
Lapesa-2014-772-80	80	builder	noun			849:wrecker-builder:1 851:wrecker-builder:1	←766 ←766	poli2 poli2	freqMin freqMin	HIGH NOT	ANT SYN	4.8 0.1	4.9 0
Lapesa-2014-772-81	81	business	noun	2931	BUSINESS	783:recreation-business:1	←536	poli1	freqMax	LOW	ANT	3.7	4
Lapesa-2014-772-82	82	calculate	verb	2867	CALCULATE	529:to-sum-to-calculate:1	←648	poli1	freqMax	LOW	HYP	4.5	4.5
Lapesa-2014-772-83	83	cameraman	noun			631:cameraman-cinematographer:0 632:cameraman-actor:0 633:cameraman-photographer:0 634:cameraman-actor:0 635:cameraman-playwright:0 636:cameraman-photographer:0	→103 →16 →483 →16 →492 →483	poli1 poli1 poli1 poli1 poli1 poli1	freqMin freqMin freqMin freqMin freqMin freqMin	LOW HIGH HIGH NOT LOW NOT	SYN ANT SYN SYN ANT ANT	3.7 1.9 4.2 0.3 1.2 0.3	3.3 2.6 3.4 0.2 1.8 0
Lapesa-2014-772-84	84	capable	adjective			1:able-capable:1 5:able-capable:1	←2 ←2	poli1 poli1	freqMax freqMax	HIGH NOT	SYN ANT	4.5 0	4.8 0.2
Lapesa-2014-772-85	85	car	noun	1111	CAR	603:aircraft-car:1 606:aircraft-car:1	←24 ←24	poli1 poli1	freqMax freqMax	NOT NOT	HYP SYN	0.3 0.8	0.3 0
Lapesa-2014-772-86	86	careful	adjective	2758	CAREFUL	128:provident-careful:1	←517	poli3	freqMin	NOT	ANT	0.8	0.7
Lapesa-2014-772-87	87	careless	adjective			127:provident-careless:1	←517	poli3	freqMin	HIGH	ANT	3.7	2.8
Lapesa-2014-772-88	88	caress	noun			773:punch-caress:1	←521	poli3	freqMed	NOT	SYN	0.1	0
Lapesa-2014-772-89	89	carry	verb	700	CARRY	276:to-arm-to-carry:1	←41	poli2	freqMax	NOT	ANT	0.5	0.8
Lapesa-2014-772-90	90	castrate	verb	29	GELD	355:to-emasculate-to-castrate:1	←219	poli2	freqMin	LOW	SYN	3.6	3.3
Lapesa-2014-772-91	91	catalogue	verb			295:to-catalogue-to-classify:0 296:to-catalogue-to-disorganize:0 297:to-catalogue-to-delist:0 298:to-catalogue-to-organize:0 299:to-catalogue-to-disorganize:0 300:to-catalogue-to-list:0	→108 →198 →170 →463 →198 →401	poli2 poli2 poli2 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed freqMed	NOT NOT LOW HIGH HIGH LOW	ANT HYP ANT HYP ANT HYP	0 0 4.9 4.8 4.3 4.6	0 0 4.4 4.4 4.4 4.8
Lapesa-2014-772-92	92	cemetery	noun			637:cemetery-graveyard:0 638:cemetery-graveyard:0 639:cemetery-boneyard:0 640:cemetery-nursery:0 641:cemetery-birthplace:0 642:cemetery-nursery:0	→298 →298 →73 →452 →66 →452	poli1 poli1 poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax freqMax freqMax	NOT HIGH LOW NOT LOW HIGH	ANT SYN SYN SYN ANT ANT	0.1 5 4.3 0 3.8 2.8	0.1 4.9 4.7 0 3.5 3.6
Lapesa-2014-772-93	93	cereal	noun			622:barley-cereal:1	←55	poli2	freqMed	LOW	HYP	3.1	4.3
Lapesa-2014-772-94	94	certain	adjective	509	CERTAIN	200:uninsured-certain:1	←709	poli1	freqMed	LOW	ANT	1.3	1.2
Lapesa-2014-772-95	95	challenge	noun			791:rivalry-challenge:1	←560	poli1	freqMed	LOW	SYN	2.1	2.9
Lapesa-2014-772-96	96	change	noun			739:metamorphosis-change:1 742:metamorphosis-change:1 747:metamorphosis-change:1	←425 ←425 ←425	poli3 poli3 poli3	freqMin freqMin freqMin	HIGH NOT HIGH	SYN ANT HYP	4.6 0.1 4.2	4.4 0.1 4.6
Lapesa-2014-772-97	97	chaotic	adjective			223:unstructured-chaotic:1	←723	poli3	freqMin	NOT	ANT	1.2	0.9
Lapesa-2014-772-98	98	charge	verb			286:to-bill-to-charge:1 293:to-bill-to-charge:1 294:to-bill-to-charge:1 700:fee-charge:1	←64 ←64 ←64 ←258	poli3 poli3 poli3 poli2	freqMed freqMed freqMed freqMax	HIGH HIGH NOT HIGH	HYP SYN ANT SYN	3.5 4.4 0.6 4.8	4.3 4.5 0.6 4.2
Lapesa-2014-772-99	99	chastity	noun			815:sexuality-chastity:1	←591	poli1	freqMax	LOW	ANT	3.7	3.2
Lapesa-2014-772-100	100	cheap	adjective	1887	CHEAP	163:thrifty-cheap:1	←666	poli3	freqMin	HIGH	HYP	4.1	4.5
Lapesa-2014-772-101	101	chemical	adjective			19:chemical-scientific:0 20:chemical-synthetic:0 21:chemical-organic:0 721:iodine-chemical:1	→575 →656 →462 ←373	poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMin	LOW HIGH NOT HIGH	SYN SYN SYN HYP	1.9 2.8 1 4.8	1.3 2.8 0.6 4.9
Lapesa-2014-772-102	102	church	noun	1349	CHURCH	804:saloon-church:1 808:saloon-church:1 810:saloon-church:1	←568 ←568 ←568	poli2 poli2 poli2	freqMed freqMed freqMed	NOT HIGH NOT	HYP ANT SYN	0.1 3.3 0	0.1 3.2 0
Lapesa-2014-772-103	103	cinematographer	noun			631:cameraman-cinematographer:1	←83	poli1	freqMin	LOW	SYN	3.7	3.3
Lapesa-2014-772-104	104	circular	adjective	2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	105:orbital-circular:1	←460	poli2	freqMin	HIGH	HYP	4.6	3.75
Lapesa-2014-772-105	105	civic	adjective			22:civic-private:0 23:civic-public:0 24:civic-neighbor:0	→507 →520 →446	poli2 poli2 poli2	freqMed freqMed freqMed	NOT HIGH LOW	HYP HYP HYP	0.2 4.4 2	0.4 3.25 2.667
Lapesa-2014-772-106	106	claim	noun			620:assertion-claim:1	←46	poli2	freqMax	NOT	ANT	0.4	0.1
Lapesa-2014-772-107	107	clarify	verb			444:to-misconstrue-to-clarify:1	←428	poli1	freqMin	LOW	ANT	4.3	3.7
Lapesa-2014-772-108	108	classify	verb			295:to-catalogue-to-classify:1	←91	poli2	freqMed	NOT	ANT	0	0
Lapesa-2014-772-109	109	clean	adjective	704	CLEAN	58:gross-clean:1 59:gross-clean:1 176:unclean-clean:1 179:unclean-clean:1 181:unclean-clean:1 470:to-polish-to-clean:1	←301 ←301 ←692 ←692 ←692 ←495	poli2 poli2 poli3 poli3 poli3 poli3	freqMax freqMax freqMin freqMin freqMin freqMed	NOT NOT HIGH NOT NOT HIGH	SYN HYP ANT HYP SYN HYP	0 0.1 5 0 0 4.7	0.1 0 5 0 0 4.1
Lapesa-2014-772-110	110	cleanse	verb			398:to-intoxicate-to-cleanse:1	←368	poli3	freqMin	LOW	ANT	3.4	3.6
Lapesa-2014-772-111	111	clip	verb			549:to-trim-to-clip:1	←677	poli3	freqMed	LOW	HYP	4	3.9
Lapesa-2014-772-112	112	cognitive	adjective			140:psychological-cognitive:1	←519	poli1	freqMax	LOW	SYN	2.7	2.4
Lapesa-2014-772-113	113	collection	noun			667:distribution-collection:1 672:distribution-collection:1	←204 ←204	poli3 poli3	freqMax freqMax	NOT HIGH	SYN ANT	0.1 4.7	0.5 4.6
Lapesa-2014-772-114	114	combine	verb			272:to-amalgamate-to-combine:1 512:to-split-to-combine:1	←33 ←624	poli1 poli3	freqMed freqMax	NOT LOW	ANT ANT	0 5	0.7 4.4
Lapesa-2014-772-115	115	come	verb	1446	COME	277:to-arrive-to-come:1	←43	poli2	freqMax	LOW	SYN	3.9	3.9
Lapesa-2014-772-116	116	comedy	noun			757:parody-comedy:1	←474	poli2	freqMed	HIGH	HYP	4.6	4.1
Lapesa-2014-772-117	117	comfort	noun			609:alleviation-comfort:1	←30	poli2	freqMin	LOW	SYN	3.2	2.9
Lapesa-2014-772-118	118	commitment	noun			643:commitment-promise:0 644:commitment-refusal:0 645:commitment-freedom:0	→511 →538 →274	poli3 poli3 poli3	freqMax freqMax freqMax	NOT HIGH LOW	ANT ANT ANT	0.2 3.5 3.1	0.4 4 3
Lapesa-2014-772-119	119	compare	verb	3429	COMPARE	326:to-contrast-to-compare:1	←141	poli3	freqMax	HIGH	ANT	2.6	2.3
Lapesa-2014-772-120	120	compass	noun	2606	COMPASS	646:compass-instrument:0 647:compass-miss:0 648:compass-tool:0	→364 →429 →671	poli3 poli3 poli3	freqMed freqMed freqMed	HIGH NOT LOW	HYP HYP HYP	4.6 0 4.4	4.5 0 4.8
Lapesa-2014-772-121	121	competent	adjective			4:able-competent:1	←2	poli1	freqMax	LOW	SYN	4.5	4.7
Lapesa-2014-772-122	122	competition	noun			790:rivalry-competition:1	←560	poli1	freqMed	HIGH	SYN	3.9	4.5
Lapesa-2014-772-123	123	completeness	noun			649:completeness-wholeness:0 650:completeness-wholeness:0 651:completeness-incompleteness:0 652:completeness-fullness:0 653:completeness-incompleteness:0 654:completeness-emptiness:0	→757 →757 →348 →279 →348 →225	poli2 poli2 poli2 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed freqMed	HIGH NOT HIGH LOW NOT LOW	SYN ANT ANT SYN SYN ANT	4.5 0 5 4 0 4.4	4.8 0 5 3.9 0 4.4
Lapesa-2014-772-124	124	complicate	verb			516:to-streamline-to-complicate:1	←641	poli1	freqMed	HIGH	ANT	4.9	4.8
Lapesa-2014-772-125	125	conceal	verb	602	HIDE (CONCEAL)	269:to-alert-to-conceal:1	←27	poli1	freqMax	LOW	ANT	3.7	4.4
