ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	OMEGAWIKI
Alpher-1999-151-107	1456	THROW	107	to throw	6072
Alpher-1999-151-108	473	SPEAR ACTION	108	to spear	1544459
Alpher-1999-151-109	1355	LAUGH	109	to laugh	5876
Alpher-1999-151-110	1035	GOOD	110	good	443659
Alpher-1999-151-111	1292	BAD	111	bad	5650
Alpher-1999-151-112	1418	DIG	112	to dig	6024
Alpher-1999-151-113	990	CREEK	113	creek	4259
Alpher-1999-151-114	1329	TOMORROW	114	tomorrow	5808
Alpher-1999-151-115	492	THREE	115	three	156096
Alpher-1999-151-116	1942	NEAR	116	near	869106
Alpher-1999-151-117	1884	HARD	117	hard	8173
Alpher-1999-151-118	1211	HE	118	he	5454
Alpher-1999-151-119	1131	WE INCLUSIVE	119	we two inclusive	496905
Alpher-1999-151-120	1213	YOU	120	you two	5456
Alpher-1999-151-121	1307	LANGUAGE	121	language	5713
Alpher-1999-151-122	1920	DREAM	122	dream (N)	8448
Alpher-1999-151-123	135	BOOMERANG	123	boomerang	1285089
Alpher-1999-151-124	1064	SHIELD	124	shield	456348
Alpher-1999-151-125	1941	SOLDIER	125	spearthrower	867170
Alpher-1999-151-126	677	AXE	126	axe	333200
Alpher-1999-151-127	1510	CHIN	127	chin	6306
Alpher-1999-151-128	1745	HIP	128	hip	707216
Alpher-1999-151-129	1201	FEATHER	129	wing feather	5436
Alpher-1999-151-130	470	POSSUM	130	possum	1543631
Alpher-1999-151-131	472	PELICAN	131	pelican	1544449
Alpher-1999-151-132	227	FISH	132	fish	1460
Alpher-1999-151-133	1509	MOSQUITO	133	mosquito	630453
Alpher-1999-151-134	606	GRASS	134	grass	1675
Alpher-1999-151-135	640	MUD	135	mud	2428
Alpher-1999-151-136	1489	CLOUD	136	cloud	623
Alpher-1999-151-137	1388	SHADE	137	shade	5966
Alpher-1999-151-138	671	SAND	138	sand	3305
Alpher-1999-151-139	1667	HOLE	139	hole	6857
Alpher-1999-151-140	1210	HEAVY	140	heavy	5451
Alpher-1999-151-141	737	LIGHT, IGNITE	141	light	339690
Alpher-1999-151-142	1856	SOFT	142	soft	7907
Alpher-1999-151-143	1398	DRY	143	dry (N, Adj)	5989
Alpher-1999-151-144	1986	DISEASE	144	sickness	941
Alpher-1999-151-145	658	RAIN, PRECIPATION	145	rain	3100
Alpher-1999-151-146	339	DIGGING STICK	146	yamstick	1510840
Alpher-1999-151-147	1218	ROPE	147	string	5465
Alpher-1999-151-148	410	YAM	148	yam	1526651
Alpher-1999-151-149	632	LIZARD	149	goanna	2189
Alpher-1999-151-150	469	PANDANUS	150	pandanus	1543627
Alpher-1999-151-151	350	MANGROVE	151	mangrove (Avicennia sp.)	1510912
