ID	NUMBER	URL	ENGLISH	IMAGE_URL	CONCEPTICON_ID	CONCEPTICON_GLOSS
Ogden-1930-200-1	1	https://simple.wikipedia.org/wiki/Angle	angle	https://simple.wikipedia.org/wiki/File:Coordonnees_polaires_plan.png		
Ogden-1930-200-2	2	https://simple.wikipedia.org/wiki/Ant	ant	https://simple.wikipedia.org/wiki/File:Ant_(Jacob_Eckert).svg	587	ANT
Ogden-1930-200-3	3	https://simple.wikipedia.org/wiki/Apple	apple	https://simple.wikipedia.org/wiki/File:Red_Apple.jpg	1320	APPLE
Ogden-1930-200-4	4	https://simple.wikipedia.org/wiki/Arch	arch	https://simple.wikipedia.org/wiki/File:Northwestern_Arch.jpg	876	ARCH
Ogden-1930-200-5	5	https://simple.wikipedia.org/wiki/Arm	arm	https://simple.wikipedia.org/wiki/File:Arm.agr.jpg	1673	ARM
Ogden-1930-200-6	6	https://simple.wikipedia.org/wiki/Army	army	https://simple.wikipedia.org/wiki/File:Army.afnews.jpg	1561	ARMY
Ogden-1930-200-7	7	https://simple.wikipedia.org/wiki/Baby	baby	https://simple.wikipedia.org/wiki/File:Hutchens-baby.jpg	1289	BABY
Ogden-1930-200-8	8	https://simple.wikipedia.org/wiki/Bag	*bag	https://commons.wikimedia.org/wiki/Category:Locks#/media/File:%28315-365%29_Locked_%286149414678%29.jpg	2468	BAG
Ogden-1930-200-9	9	https://simple.wikipedia.org/wiki/Ball	ball	https://simple.wikipedia.org/wiki/File:Ball.agr.jpg	3228	BALL OR SPHERE
Ogden-1930-200-10	10	https://simple.wikipedia.org/wiki/Band	band	https://simple.wikipedia.org/wiki/File:Kante_berlin05_1.JPG		
Ogden-1930-200-11	11	https://simple.wikipedia.org/wiki/Basin	basin	https://simple.wikipedia.org/wiki/File:Baptismal_Font_Magdeburg.jpg	1530	BOWL
Ogden-1930-200-12	12	https://simple.wikipedia.org/wiki/Basket	basket	https://simple.wikipedia.org/wiki/File:Baskets_four_styles.jpg	1539	BASKET
Ogden-1930-200-13	13	https://simple.wikipedia.org/wiki/Bath	bath	https://simple.wikipedia.org/wiki/File:Clawfoot_bathtub.jpg		
Ogden-1930-200-14	14	https://simple.wikipedia.org/wiki/Bed	bed	https://simple.wikipedia.org/wiki/File:Bed.agr.jpg	1663	BED
Ogden-1930-200-15	15	https://simple.wikipedia.org/wiki/Bee	bee	https://simple.wikipedia.org/wiki/File:Apis_mellifera_bi.jpg	665	BEE
Ogden-1930-200-16	16	https://simple.wikipedia.org/wiki/Bell	bell	https://simple.wikipedia.org/wiki/File:Dzwon_z_Jasnej_G%C3%B3ry.jpg	2246	BELL
Ogden-1930-200-17	17	https://simple.wikipedia.org/wiki/Berry	berry	https://simple.wikipedia.org/wiki/File:Alaska_wild_berries.jpg	904	BERRY
Ogden-1930-200-18	18	https://simple.wikipedia.org/wiki/Bird	bird	https://simple.wikipedia.org/wiki/File:Sterna_maxima_flight.jpg	937	BIRD
Ogden-1930-200-19	19	https://simple.wikipedia.org/wiki/Blade	blade	https://simple.wikipedia.org/wiki/File:Blade.agr.jpg	869	BLADE
Ogden-1930-200-20	20	https://simple.wikipedia.org/wiki/Board	board	https://simple.wikipedia.org/wiki/File:Board.agr.jpg	1227	BOARD
Ogden-1930-200-21	21	https://simple.wikipedia.org/wiki/Boat	boat	https://simple.wikipedia.org/wiki/File:Fishing_boat_ORL-3_Gdynia_Poland_2003_ubt.JPG	1844	BOAT
Ogden-1930-200-22	22	https://simple.wikipedia.org/wiki/Bone	bone	https://simple.wikipedia.org/wiki/File:Humerus_ant.jpg	1394	BONE
Ogden-1930-200-23	23	https://simple.wikipedia.org/wiki/Book	book	https://simple.wikipedia.org/wiki/File:Buchmann.jpg	963	BOOK
Ogden-1930-200-24	24	https://simple.wikipedia.org/wiki/Boot	boot	https://simple.wikipedia.org/wiki/File:Boot.agr.jpg	585	BOOT
Ogden-1930-200-25	25	https://simple.wikipedia.org/wiki/Bottle	bottle	https://simple.wikipedia.org/wiki/File:Bottle.agr.jpg	1321	BOTTLE
Ogden-1930-200-26	26	https://simple.wikipedia.org/wiki/Box	box	https://simple.wikipedia.org/wiki/File:Box.agr.jpg	1465	BOX
Ogden-1930-200-27	27	https://simple.wikipedia.org/wiki/Boy	boy	https://simple.wikipedia.org/wiki/File:Babasteve-three_boys.jpg	1366	BOY
Ogden-1930-200-28	28	https://simple.wikipedia.org/wiki/Brain	brain	https://simple.wikipedia.org/wiki/File:Human_brain_NIH.jpg	1583	BRAIN
Ogden-1930-200-29	29	https://simple.wikipedia.org/wiki/Brake	brake	https://simple.wikipedia.org/wiki/File:Brake.agr.jpg	966	BRAKE
Ogden-1930-200-30	30	https://simple.wikipedia.org/wiki/Branch	branch	https://simple.wikipedia.org/wiki/File:Branch.agr.jpg	1531	BRANCH
Ogden-1930-200-31	31	https://simple.wikipedia.org/wiki/Brick	brick	https://simple.wikipedia.org/wiki/File:Brick.agr.jpg	1006	BRICK
Ogden-1930-200-32	32	https://simple.wikipedia.org/wiki/Bridge	bridge	https://simple.wikipedia.org/wiki/File:Maslenica_Bridge_(D_8),_Croatia.JPG	1011	BRIDGE
Ogden-1930-200-33	33	https://simple.wikipedia.org/wiki/Brush	brush	https://simple.wikipedia.org/wiki/File:Hairbrush.jpg	1821	BRUSH
Ogden-1930-200-34	34	https://simple.wikipedia.org/wiki/Bucket	bucket	https://simple.wikipedia.org/wiki/File:Bucket.agr.jpg	2052	BUCKET
Ogden-1930-200-35	35	https://simple.wikipedia.org/wiki/Bulb	bulb	https://simple.wikipedia.org/wiki/File:Bulb.jpg	2617	BULB
Ogden-1930-200-36	36	https://simple.wikipedia.org/wiki/Button	button	https://simple.wikipedia.org/wiki/File:Buttons.jpg	757	BUTTON
Ogden-1930-200-37	37	https://simple.wikipedia.org/wiki/Cake	cake	https://simple.wikipedia.org/wiki/File:ACJziegfeld_cake.jpg	2408	CAKE
Ogden-1930-200-38	38	https://simple.wikipedia.org/wiki/Camera	camera	https://simple.wikipedia.org/wiki/File:Canon_Digital_Ixus_430.jpg	2618	CAMERA
Ogden-1930-200-39	39	https://simple.wikipedia.org/wiki/Card	card	https://simple.wikipedia.org/wiki/File:Christopher_Columbus_whaleback_tintedPostcard_ebay_back.jpg	2619	CARD
Ogden-1930-200-40	40	https://simple.wikipedia.org/wiki/Cart	cart	https://simple.wikipedia.org/wiki/File:Australian_cart.jpg	122	CART
Ogden-1930-200-41	41	https://simple.wikipedia.org/wiki/Carriage	carriage	https://simple.wikipedia.org/wiki/File:Wroclaw_rynek_kon_2005.jpg	2620	CARRIAGE
Ogden-1930-200-42	42	https://simple.wikipedia.org/wiki/Chain	chain	https://simple.wikipedia.org/wiki/File:Chaine.jpg	1627	CHAIN
Ogden-1930-200-43	43	https://simple.wikipedia.org/wiki/Chair	chair	https://simple.wikipedia.org/wiki/File:Chair.png	1476	CHAIR
Ogden-1930-200-44	44	https://simple.wikipedia.org/wiki/Cheese	cheese	https://simple.wikipedia.org/wiki/File:Emmentaler.jpg	1569	CHEESE
