ID	NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CATEGORY	AoA	FAMILIARITY	TYPICALITY	VISUALCOMPLEXITY	LEXICALFREQ
MorenoMartinez-2012-360-1	1	Armadillo	Armadillo	1885	ARMADILLO	ANIMALS	6.03	1.86	2.10	3.62	13.80
MorenoMartinez-2012-360-2	2	Bat	Murciélago	1793	BAT	ANIMALS	3.39	2.95	2.87	3.41	14.87
MorenoMartinez-2012-360-3	3	Cat	Gato	1208	CAT	ANIMALS	1.58	4.29	4.86	3.13	17.78
MorenoMartinez-2012-360-4	4	Cheetah 	Guepardo	3146	CHEETAH	ANIMALS	4.85	2.23	3.15	3.48	13.11
MorenoMartinez-2012-360-5	5	Cow	Vaca	1007	COW	ANIMALS	2.00	4.10	4.73	2.55	17.00
MorenoMartinez-2012-360-6	6	Crocodile	Cocodrilo	1857	CROCODILE	ANIMALS	2.96	2.73	3.77	3.38	15.46
MorenoMartinez-2012-360-7	7	Dromedary 	Dromedario	1871	CAMEL	ANIMALS	4.34	2.48	3.19	2.99	12.45
MorenoMartinez-2012-360-8	8	Elephant	Elefante	1290	ELEPHANT	ANIMALS	2.35	3.29	4.46	3.06	16.15
MorenoMartinez-2012-360-9	9	Giraffe	Jirafa	3089	GIRAFFE	ANIMALS	2.49	3.41	4.18	3.24	14.39
MorenoMartinez-2012-360-10	10	Hippopotamus 	Hipopótamo	3145	HIPPOPOTAMUS	ANIMALS	3.00	2.86	3.59	2.33	13.81
MorenoMartinez-2012-360-11	11	Horse	Caballo	615	HORSE	ANIMALS	2.00	3.85	4.68	3.34	17.53
MorenoMartinez-2012-360-12	12	Kangaroo	Canguro	164	KANGAROO	ANIMALS	3.37	2.67	3.37	3.13	15.50
MorenoMartinez-2012-360-13	13	Lioness	Leona	1386	LION	ANIMALS	2.72	3.28	4.44	3.20	16.86
MorenoMartinez-2012-360-14	14	Lynx	Lince	3314	LYNX	ANIMALS	4.80	2.52	3.29	3.65	15.67
MorenoMartinez-2012-360-15	15	Platypus 	Ornitorrinco			ANIMALS	5.76	1.76	2.21	3.72	13.59
MorenoMartinez-2012-360-16	16	Rhino	Rinoceronte	2591	RHINOCEROS	ANIMALS	3.59	2.63	3.49	3.32	13.90
MorenoMartinez-2012-360-17	17	Snake	Serpiente	730	SNAKE	ANIMALS	2.52	2.95	3.46	2.48	16.12
MorenoMartinez-2012-360-18	18	Tapir	Tapir	312	TAPIR	ANIMALS	6.48	1.35	1.86	3.35	12.60
MorenoMartinez-2012-360-19	19	Tiger	Tigre	846	TIGER	ANIMALS	2.59	3.35	4.53	3.35	17.28
MorenoMartinez-2012-360-20	20	Turtle	Tortuga	112	TURTLE	ANIMALS	2.66	3.27	3.68	3.19	16.13
MorenoMartinez-2012-360-21	21	Zebra	Cebra	3675	ZEBRA	ANIMALS	3.15	3.21	3.77	3.17	15.64
MorenoMartinez-2012-360-22	22	Barn owl	Lechuza	735	OWL	BIRDS	4.09	2.62	3.30	3.29	14.83
MorenoMartinez-2012-360-23	23	Duck	Pato	1360	DUCK	BIRDS	2.03	3.99	4.18	3.49	16.82
MorenoMartinez-2012-360-24	24	Goldfinch	Jilguero			BIRDS	4.59	2.81	3.56	3.63	13.80
