ID	ENGLISH	NUMBER	IDS_ID	URL	FRENCH	PORTUGUESE	RUSSIAN	SPANISH	CHAPTER	SUBCODE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Key-2016-1310-1	often	1	14-320	http://ids.clld.org/parameters/14-320	souvent	amiúde	часто	a menudo, frecuentemente	14	320	1852	OFTEN
Key-2016-1310-2	always	2	14-310	http://ids.clld.org/parameters/14-310	toujours	sempre	всегда	siempre	14	310	1676	ALWAYS
Key-2016-1310-3	ready	3	14-290	http://ids.clld.org/parameters/14-290	prêt	pronto	готовый	listo	14	290	790	READY
Key-2016-1310-4	cease, stop	4	14-280	http://ids.clld.org/parameters/14-280	cesser, s'arrêter	parar, cessar	прекращать, останавливаться	terminar, detenerse	14	280	1928	CEASE
Key-2016-1310-5	finish	5	14-270	http://ids.clld.org/parameters/14-270	finir, terminer	completar, acabar	заканчивать	acabar, terminar, finalizar	14	270	1766	FINISH
Key-2016-1310-6	end (temporal)	6	14-260	http://ids.clld.org/parameters/14-260	fin	fim	кончать	fin	14	260	743	END (OF TIME)
Key-2016-1310-7	last, endure	7	14-252	http://ids.clld.org/parameters/14-252	durer	durar, suportar	продолжаться, длиться	durar	14	252	1186	LAST (ENDURE)
Key-2016-1310-8	begin, beginning	8	14-250	http://ids.clld.org/parameters/14-250	commencement, début	começar	начинать, начало	empezar, comienzo, inicio	14	250	3447	BEGIN OR START
Key-2016-1310-9	retard, delay	9	14-240	http://ids.clld.org/parameters/14-240	différer, retarder	demorar, atrasar	замедлять, задерживать	demorar, retrasar	14	240	425	BE LATE
Key-2016-1310-10	hasten, hurry	10	14-230	http://ids.clld.org/parameters/14-230	se dépêcher	apressar	спешить, торопить(ся)	apurarse, darse prisa	14	230	754	HURRY
Key-2016-1310-11	slow	11	14-220	http://ids.clld.org/parameters/14-220	lent	vagaroso, devagar	медленный	despacio, lentamente	14	220	701	SLOW
Key-2016-1310-12	swift, fast, quick	12	14-210	http://ids.clld.org/parameters/14-210	vite, rapide	rápido, ligeiro	быстрый	rápido	14	210	1631	FAST
Key-2016-1310-13	immediately	13	14-190	http://ids.clld.org/parameters/14-190	tout de suite	de imediato	немедленно	en seguida, inmediatamente	14	190	1963	IMMEDIATELY
Key-2016-1310-14	now	14	14-180	http://ids.clld.org/parameters/14-180	maintenant	agora	сейчас	ahora	14	180	1376	NOW
Key-2016-1310-15	late	15	14-170	http://ids.clld.org/parameters/14-170	tard	tarde	поздно	tarde	14	170	477	LATE
Key-2016-1310-16	early	16	14-160	http://ids.clld.org/parameters/14-160	tôt, de bonne heure	cedo	рано	temprano	14	160	672	EARLY
Key-2016-1310-17	old	17	14-150	http://ids.clld.org/parameters/14-150	vieux, âgé	velho	старый	viejo	14	150	1229	OLD
Key-2016-1310-18	young	18	14-140	http://ids.clld.org/parameters/14-140	jeune	jovem, novo	молодой	tierno, joven	14	140	1207	YOUNG
Key-2016-1310-19	age	19	14-120	http://ids.clld.org/parameters/14-120	âge	idade	возраст, век, эпоха	edad	14	120	1789	AGE
Key-2016-1310-20	new	20	14-130	http://ids.clld.org/parameters/14-130	nouveau	novo	новый	nuevo	14	130	1231	NEW
Key-2016-1310-21	time	21	14-110	http://ids.clld.org/parameters/14-110	heure, temps	tempo	время	tiempo	14	110	892	TIME
Key-2016-1310-22	three times	22	13-440	http://ids.clld.org/parameters/13-440	trois fois	três vezes	три раза	tres veces	13	440	417	THREE TIMES
Key-2016-1310-23	third	23	13-420	http://ids.clld.org/parameters/13-420	troisième	terceiro	третий	tercero	13	420	1859	THIRD
Key-2016-1310-24	two times	24	13-380	http://ids.clld.org/parameters/13-380	deux fois	duas vezes	два раза	dos veces	13	380	1546	TWICE
Key-2016-1310-25	pair	25	13-370	http://ids.clld.org/parameters/13-370	couple, paire	par	пара	par	13	370	1888	PAIR
Key-2016-1310-26	second	26	13-360	http://ids.clld.org/parameters/13-360	deuxième	segundo	второй	segundo	13	360	1384	SECOND
Key-2016-1310-27	last	27	13-350	http://ids.clld.org/parameters/13-350	dernier	último	последний	último	13	350	1529	LAST (FINAL)
Key-2016-1310-28	first	28	13-340	http://ids.clld.org/parameters/13-340	premier	primeiro	первый	primero	13	340	728	FIRST
Key-2016-1310-29	alone, only	29	13-330	http://ids.clld.org/parameters/13-330	seul, seulement	só, somente	один, единственный	solo, solamente	13	330	1580	ONLY
Key-2016-1310-30	half	30	13-240	http://ids.clld.org/parameters/13-240	moitié	metade	половина	mitad	13	240	816	HALF
Key-2016-1310-31	part, piece	31	13-230	http://ids.clld.org/parameters/13-230	morceau, partie	parte, pedaço, peça	часть, кусок	pedazo	13	230	779	PART
Key-2016-1310-32	empty	32	13-220	http://ids.clld.org/parameters/13-220	vide	vazio	пустой	vacío	13	220	1624	EMPTY
Key-2016-1310-33	full	33	13-210	http://ids.clld.org/parameters/13-210	plein	cheio	полный	lleno	13	210	1429	FULL
Key-2016-1310-34	multitude, crowd	34	13-190	http://ids.clld.org/parameters/13-190	foule	multidão	множество	multitud	13	190	2023	CROWD
Key-2016-1310-35	some	35	13-181	http://ids.clld.org/parameters/13-181	un peu	alguns	несколько	un poco, algo, alguno	13	181	1241	SOME
Key-2016-1310-36	little (quantity), few	36	13-170	http://ids.clld.org/parameters/13-170	peu	pouco, poucos	мало	poco	13	170	1242	FEW
Key-2016-1310-37	enough	37	13-180	http://ids.clld.org/parameters/13-180	assez	bastante, suficiente	достаточно	bastante, suficiente	13	180	1881	ENOUGH
Key-2016-1310-38	more	38	13-160	http://ids.clld.org/parameters/13-160	encore, plus	mais	больше	más	13	160	1992	MORE
Key-2016-1310-39	much, many	39	13-150	http://ids.clld.org/parameters/13-150	beaucoup	muito, muitos	много	mucho	13	150	1198	MANY
Key-2016-1310-40	every, all	40	13-140	http://ids.clld.org/parameters/13-140	chaque, tous	cada, tudo	все	cada uno, todo	13	140	98	ALL
