ID	NUMBER	DUTCH	ENGLISH	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	AROUSAL_MEAN	DOMINANCE_MEAN	VALENCE_MEAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Speed-2017-485-123	123	glas	glass	1.5	0	0.0625	3.125	3.8125	zien	0.448529412	3.25	3.833333333	4.333333333	604	GLASS
Speed-2017-485-124	124	glitter	glitter	0	0	0	1.6875	4.625	zien	0.732673267	4.75	4.333333333	4.5		
Speed-2017-485-125	125	gloeilamp	incandescent bulb	0	0	0	1.466666667	4.2	zien	0.741176471	3.416666667	3.833333333	3.666666667		
Speed-2017-485-126	126	golven	waves	2.9375	0.4375	0.875	2.5625	3.9375	zien	0.325581395	3.833333333	4.666666667	5.166666667	978	WAVE
Speed-2017-485-127	127	graffiti	graffiti	1.266666667	0	1.266666667	0.133333333	4.266666667	zien	0.615384615	4.333333333	4.416666667	3.666666667		
Speed-2017-485-128	128	gras	grass	0.333333333	0.333333333	3.133333333	3.133333333	3.8	zien	0.322981366	3.416666667	3	4.583333333	606	GRASS
Speed-2017-485-129	129	grasmaaier	lawnmower	3.266666667	0	1.666666667	1.133333333	3.533333333	zien	0.368055556	4.333333333	4.583333333	3.75		
Speed-2017-485-130	130	grind	gravel	1.933333333	0	0.133333333	2.2	3.6	zien	0.457627119	3.916666667	4.166666667	3.083333333	3028	GRAVEL
Speed-2017-485-131	131	haan	rooster	3.875	0.5625	0.75	1.3125	3.9375	zien	0.323353293	5.166666667	4.833333333	3.833333333	1511	ROOSTER
Speed-2017-485-132	132	haar	hair	0.125	0	1.8125	3.8125	4	zien	0.41025641	3.166666667	3.75	4.416666667	1040	HAIR
Speed-2017-485-133	133	haarlak	hairspray	2.466666667	0.4	3.8	1.866666667	3	ruiken	0.294797688	3.833333333	4.083333333	3.25		
Speed-2017-485-134	134	hagel	hail	2.9375	0.125	0.4375	3.3125	3.9375	zien	0.354651163	4.75	5	2.583333333	609	HAIL
Speed-2017-485-135	135	hakken	chop	2.933333333	0	0	1.933333333	3.333333333	zien	0.406504065	5.083333333	4.75	4		
Speed-2017-485-136	136	hamer	hammer	1.4	0	0.066666667	2.8	3.6	zien	0.457627119	5.25	5.416666667	3.083333333	1481	HAMMER
Speed-2017-485-137	137	handdroger	hand dryer	3.785714286	0.071428571	1	3.642857143	3.357142857	horen	0.313253012	4.25	3.666666667	3.833333333		
Speed-2017-485-138	138	handdruk	handshake	0.2	0	0	4.4	3.2	voelen	0.564102564	5	5.25	4.916666667		
Speed-2017-485-139	139	harmonica	harmonica	4.375	0.125	0	1.9375	3.25	horen	0.451612903	3.25	3.916666667	3.666666667	2590	HARMONICA
Speed-2017-485-140	140	harp	harp	3.8	0	0.2	1.533333333	3.133333333	horen	0.438461538	2.75	3.25	4.916666667	2597	HARP
Speed-2017-485-141	141	hazelnoot	hazelnut	0.066666667	4.333333333	1.466666667	1.733333333	3.466666667	proeven	0.385542169	3.333333333	3.5	4		
Speed-2017-485-142	142	helikopter	helicopter	4.266666667	0	0.2	0.533333333	3.266666667	horen	0.516129032	5.333333333	5.333333333	4.583333333	2580	HELICOPTER
Speed-2017-485-143	143	heuvel	hill	0	0	0	1.533333333	4.4	zien	0.741573034	4.25	4.666666667	4.416666667	614	HILL
Speed-2017-485-144	144	hobo	oboe	3.428571429	0	0	0.571428571	2.928571429	horen	0.494845361	4	3.333333333	3.333333333		
Speed-2017-485-145	145	hoed	hat	0.071428571	0	0	2.642857143	3.857142857	zien	0.586956522	3.583333333	3.333333333	4.25	771	HAT
Speed-2017-485-146	146	hoestsiroop	cough syrup	0	4.066666667	2.2	0.6	2.266666667	proeven	0.445255474	3.75	4.416666667	3.666666667		
Speed-2017-485-147	147	hoeven	hooves	2.9375	0	0.1875	1.4375	3.3125	zien	0.420634921	4.5	4.833333333	3.833333333		
Speed-2017-485-148	148	hond	dog	3.142857143	0	2.857142857	3.357142857	4.5	zien	0.324742268	5.083333333	5	5	2009	DOG
Speed-2017-485-149	149	honig	honey	0	3.466666667	2.533333333	1.933333333	3.666666667	zien	0.316091954	3	2.833333333	4.666666667	942	HONEY
Speed-2017-485-150	150	hooi	hay	0.6	0	2.6	2.4	3.133333333	zien	0.358778626	3.333333333	3.166666667	4.25	342	HAY
Speed-2017-485-151	151	hout	wood	0.375	0.0625	2.3125	3.0625	3.9375	zien	0.397435897	3	4.333333333	3.916666667	1803	WOOD
Speed-2017-485-152	152	huid	skin	0	0.466666667	0.6	3.933333333	4	zien	0.444444444	3.333333333	4	4.75	763	SKIN
Speed-2017-485-153	153	huidcrème	skin cream	0.066666667	0	3.133333333	3.466666667	2.466666667	voelen	0.379562044	3.083333333	2.916666667	4.833333333		
