ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FAMILY_FREQUENCY	LANGUAGE_FREQUENCY	WORD_FREQUENCY	RANK	COMMUNITY	CENTRAL_CONCEPT	DEGREE	WEIGHTED_FAMILY_DEGREE	WEIGHTED_LANGUAGE_DEGREE
Rzymski-2020-1624-245	245	KNEAD	274	KNEAD	55	458	551	245	9	RUB	6	31	47
Rzymski-2020-1624-246	246	LAST (FINAL)	1529	LAST (FINAL)	72	607	736	246	10	EDGE	6	48	64
Rzymski-2020-1624-247	247	LEARN	504	LEARN	73	795	965	247	32	READ	6	83	331
Rzymski-2020-1624-248	248	FEW	1242	FEW	83	1088	1323	248	68	NARROW	6	67	172
Rzymski-2020-1624-249	249	MARRY	203	MARRY	61	443	689	249	36	SLEEP	6	33	45
Rzymski-2020-1624-250	250	NARROW	1267	NARROW	91	958	1143	250	68	NARROW	6	67	101
Rzymski-2020-1624-251	251	OLD	1229	OLD	134	1396	1883	251	50	OLD	6	77	185
Rzymski-2020-1624-252	252	PEOPLE	789	PEOPLE	83	581	746	252	14	MAN	6	70	118
Rzymski-2020-1624-253	253	PERSON	683	PERSON	137	1853	2222	253	14	MAN	6	92	286
Rzymski-2020-1624-254	254	ARRIVE	1387	ARRIVE	79	773	1046	254	3	GO	6	51	135
Rzymski-2020-1624-255	255	RUN	1519	RUN	104	1324	1527	255	90	RUN	6	57	145
Rzymski-2020-1624-256	256	SELL	1571	SELL	79	948	1035	256	19	GIVE	6	48	112
Rzymski-2020-1624-257	257	SHORT	1645	SHORT	122	1916	2221	257	70	LOW	6	56	94
Rzymski-2020-1624-258	258	SINK (DESCEND)	1088	SINK (DESCEND)	71	616	974	258	81	SINK (DESCEND)	6	48	72
Rzymski-2020-1624-259	259	SOUND OR NOISE	1811	SOUND OR NOISE	69	473	732	259	5	SPEAK	6	49	221
Rzymski-2020-1624-260	260	STEPFATHER	237	STEPFATHER	49	305	354	260	6	FATHER-IN-LAW (OF MAN)	6	26	28
