ID	NUMBER	ENGLISH	POSKey	UniversalPos	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pereira-2018-180-1	1	ability	1	noun	2527	ABILITY
Pereira-2018-180-2	2	accomplished	3	adj		
Pereira-2018-180-3	3	angry	3	adj	1826	ANGRY
Pereira-2018-180-4	4	apartment	1	noun		
Pereira-2018-180-5	5	applause	1	noun		
Pereira-2018-180-6	6	argument	1	noun		
Pereira-2018-180-7	7	argumentatively	4	adv		
Pereira-2018-180-8	8	art	1	noun		
Pereira-2018-180-9	9	attitude	1	noun		
Pereira-2018-180-10	10	bag	1	noun	2468	BAG
Pereira-2018-180-11	11	ball	1	noun	1845	BALL
Pereira-2018-180-12	12	bar	1	noun		
Pereira-2018-180-13	13	bear	1	noun	1820	BEAR
Pereira-2018-180-14	14	beat	1	noun		
Pereira-2018-180-15	15	bed	1	noun	1663	BED
Pereira-2018-180-16	16	beer	1	noun	1639	BEER
Pereira-2018-180-17	17	big	1	noun	1202	BIG
Pereira-2018-180-18	18	bird	1	noun	937	BIRD
Pereira-2018-180-19	19	blood	1	noun	946	BLOOD
Pereira-2018-180-20	20	body	1	noun	1480	BODY
Pereira-2018-180-21	21	brain	1	noun	1583	BRAIN
Pereira-2018-180-22	22	broken	3	adj	588	BROKEN
Pereira-2018-180-23	23	building	1	noun	3396	BUILDING
Pereira-2018-180-24	24	burn	2	verb	141	BURN (SOMETHING)
Pereira-2018-180-25	25	business	1	noun	2931	BUSINESS
Pereira-2018-180-26	26	camera	1	noun	2618	CAMERA
Pereira-2018-180-27	27	carefully	4	adv		
Pereira-2018-180-28	28	challenge	1	noun		
Pereira-2018-180-29	29	charity	1	noun	3953	CHARITY
Pereira-2018-180-30	30	charming	3	adj		
Pereira-2018-180-31	31	clothes	1	noun	1895	CLOTHES
Pereira-2018-180-32	32	cockroach	1	noun	1575	COCKROACH
Pereira-2018-180-33	33	code	1	noun		
Pereira-2018-180-34	34	collection	1	noun		
Pereira-2018-180-35	35	computer	1	noun	3086	COMPUTER
Pereira-2018-180-36	36	construction	1	noun		
Pereira-2018-180-37	37	cook	2	verb	1100	COOK (SOMETHING)
Pereira-2018-180-38	38	counting	2	verb	1420	COUNT
Pereira-2018-180-39	39	crazy	3	adj	1899	MAD
Pereira-2018-180-40	40	damage	1	noun	2947	DAMAGE (INJURY)
Pereira-2018-180-41	41	dance	1	noun	3472	DANCE (MOVEMENT)
Pereira-2018-180-42	42	dangerous	3	adj	3466	DANGEROUS
Pereira-2018-180-43	43	deceive	2	verb	3230	DECEIVE
Pereira-2018-180-44	44	dedication	1	noun		
Pereira-2018-180-45	45	deliberately	4	adv		
Pereira-2018-180-46	46	delivery	1	noun		
Pereira-2018-180-47	47	dessert	1	noun		
Pereira-2018-180-48	48	device	1	noun		
Pereira-2018-180-49	49	dig	2	verb	1418	DIG
Pereira-2018-180-50	50	dinner	1	noun	1833	DINNER (SUPPER)
Pereira-2018-180-51	51	disease	1	noun	1986	DISEASE
Pereira-2018-180-52	52	dissolve	2	verb		
Pereira-2018-180-53	53	disturb	2	verb	2883	DISTURB
Pereira-2018-180-54	54	do	2	verb	813	DO
Pereira-2018-180-55	55	doctor	1	noun	597	PHYSICIAN
Pereira-2018-180-56	56	dog	1	noun	2009	DOG
Pereira-2018-180-57	57	dressing	1	noun		
Pereira-2018-180-58	58	driver	1	noun		
Pereira-2018-180-59	59	economy	1	noun		
Pereira-2018-180-60	60	election	1	noun	240	ELECTION
Pereira-2018-180-61	61	electron	1	noun		
Pereira-2018-180-62	62	elegance	1	noun		
Pereira-2018-180-63	63	emotion	1	noun	2573	FEELING (EMOTION)
Pereira-2018-180-64	64	emotionally	4	adv		
Pereira-2018-180-65	65	engine	1	noun	2622	ENGINE
Pereira-2018-180-66	66	event	1	noun		
Pereira-2018-180-67	67	experiment	1	noun		
Pereira-2018-180-68	68	extremely	4	adv		
Pereira-2018-180-69	69	feeling	1	noun	2521	FEELING (HAPTIC SENSE)
Pereira-2018-180-70	70	fight	2	verb	1423	FIGHT
Pereira-2018-180-71	71	fish	1	noun	227	FISH
Pereira-2018-180-72	72	flow	1	noun		
Pereira-2018-180-73	73	food	1	noun	256	FOOD
Pereira-2018-180-74	74	garbage	1	noun	909	GARBAGE
Pereira-2018-180-75	75	gold	1	noun	1369	GOLD
Pereira-2018-180-76	76	great	3	adj	1202	BIG
Pereira-2018-180-77	77	gun	1	noun	1566	GUN
Pereira-2018-180-78	78	hair	1	noun	1040	HAIR
Pereira-2018-180-79	79	help	1	noun	3467	HELP (ASSISTANCE)
Pereira-2018-180-80	80	hurting	2	verb		
Pereira-2018-180-81	81	ignorance	1	noun		
Pereira-2018-180-82	82	illness	1	noun	1986	DISEASE
Pereira-2018-180-83	83	impress	2	verb		
Pereira-2018-180-84	84	invention	1	noun		
Pereira-2018-180-85	85	investigation	1	noun		
Pereira-2018-180-86	86	invisible	3	adj		
Pereira-2018-180-87	87	job	1	noun		
Pereira-2018-180-88	88	jungle	1	noun	3808	JUNGLE
Pereira-2018-180-89	89	kindness	1	noun	3468	KINDNESS
Pereira-2018-180-90	90	king	1	noun	1508	KING
Pereira-2018-180-91	91	lady	1	noun	2471	LADY
