ID	NUMBER	ENGLISH	VALENCE	ACTIVATION	DOMINANCE	CERTAINTY	APPROACH_AVOIDANCE	SOCIALITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Jackson-2019-24-1	1	ANGER	3.19	7.915	7.265	6.285	6.13	5.76	82	ANGER
Jackson-2019-24-2	2	SHAME	3.03	6.165	3.805	3.82	3.69	4.435	1776	SHAME
Jackson-2019-24-3	3	BAD							1292	BAD
Jackson-2019-24-4	4	DESIRE	7.34	7.49	7.405	7.26	7.645	7.545	2117	DESIRE
Jackson-2019-24-5	5	JOY	8.275	7.615	7.665	8.05	7.835	7.89	2524	JOY
Jackson-2019-24-6	6	PITY	4.335	5.69	5.63	5.705	5.78	6.275	1141	PITY
Jackson-2019-24-7	7	ANXIETY	3.395	7.515	4.48	4.09	4.325	4.605	1000	ANXIETY
Jackson-2019-24-8	8	REGRET	3.385	6.045	4.54	4.655	4.305	4.87	1875	REGRET
Jackson-2019-24-9	9	WORRY							150	WORRY
Jackson-2019-24-10	10	SURPRISED	6.775	7.755	6.535	5.435	6.62	7.065	1572	SURPRISED
Jackson-2019-24-11	11	FEAR (FRIGHT)	3.17	7.35	4.445	3.91	3.885	4.65	781	FEAR (FRIGHT)
Jackson-2019-24-12	12	GLOOMY							1552	GLOOMY
Jackson-2019-24-13	13	MERRY	8.125	7.29	7.21	7.585	7.745	7.95	1976	MERRY
Jackson-2019-24-14	14	LOVE	8.565	6.88	7.445	8.055	8.18	8.435	923	LOVE
Jackson-2019-24-15	15	LIKE							1117	LIKE
Jackson-2019-24-16	16	SAD	2.84	4.64	3.73	3.935	3.855	4.245	699	SAD
Jackson-2019-24-17	17	GOOD	8.245	6.405	7.38	7.975	7.75	7.685	1035	GOOD
Jackson-2019-24-18	18	HATE	2.815	7.375	6.65	6.145	5.425	5.185	1607	HATE
Jackson-2019-24-19	19	ENVY	3.73	7.165	5.35	5.36	5.575	5.775	40	ENVY
Jackson-2019-24-20	20	HOPE	7.92	6.555	7.165	7.005	7.6	7.415	1092	HOPE
Jackson-2019-24-21	21	WANT	6.08	7.26	6.525	6.785	7.225	6.67	1784	WANT
Jackson-2019-24-22	22	HAPPY	8.335	7.045	7.675	7.98	7.91	7.795	1495	HAPPY
Jackson-2019-24-23	23	PROUD	7.885	7.485	7.995	8.045	7.765	7.71	174	PROUD
Jackson-2019-24-24	24	GRIEF	3.32	6.285	4.595	4.645	4.395	4.515	1668	GRIEF
