ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	RANK	GLOSS	BORROWED SCORE	AGE SCORE	ANALYZABILITY SCORE	REPRESENTATION SCORE	COMPOSITE SCORE	OMEGAWIKI
Tadmor-2009-100-63	cb33c1ad-a7b9-4a7d-a7f9-b19a6e696fce	EARTH, SOIL	63	63	soil	0.900	0.883	0.954	0.951	0.722	5481
Tadmor-2009-100-64	e762f6b4-988c-40bf-81e3-f116cf2ee61c	LEAF	64	64	leaf	0.897	0.823	0.977	1.000	0.721	2124
Tadmor-2009-100-65	8d5aef04-d63a-4f35-95ac-21e82b2abf19	RED	65	64	red	0.926	0.864	0.900	1.000	0.721	1333710
Tadmor-2009-100-66	4c757d6a-cabe-4007-b67d-796b5b669d54	LIVER	66	66	liver	0.869	0.857	0.967	1.000	0.720	5476
Tadmor-2009-100-67	fac61fac-d413-4963-94bc-63a84d609537	HIDE, CONCEAL	67	67	to hide	0.928	0.847	0.913	1.000	0.718	161806
Tadmor-2009-100-68	873cce95-a413-4e27-a7b1-e17570c6866d	SKIN	68	67	skin/hide	0.889	0.875	0.924	1.000	0.718	3430
Tadmor-2009-100-69	4a4a52f7-6311-4b67-afdd-e1b4a589462d	SUCK	69	67	to suck	0.940	0.860	0.888	1.000	0.718	6027
Tadmor-2009-100-70	fba8285e-c7a7-43af-b834-2314b27fae24	CARRY	70	70	to carry	0.919	0.838	0.953	0.976	0.717	335263
Tadmor-2009-100-71	34eb4f7d-2f9d-4f71-a29f-044e425d0e00	ANT	71	71	ant	0.865	0.850	0.975	1.000	0.716	160271
Tadmor-2009-100-72	3e90f871-f3f7-4ad0-8c98-7099457bbb50	HEAVY	72	71	heavy	0.911	0.874	0.901	1.000	0.716	5451
Tadmor-2009-100-73	76fc9215-3a43-48a7-a673-3befba509c09	TAKE	73	71	to take	0.900	0.898	0.887	1.000	0.716	7077
Tadmor-2009-100-74	df3eb2a4-3b46-4ffe-8bfa-5e27ec8e00f4	OLD	74	74	old	0.896	0.867	0.920	1.000	0.715	5482
Tadmor-2009-100-75	e497c28d-54bb-4600-9708-2a512dda77a3	EAT	75	75	to eat	0.920	0.840	0.925	1.000	0.714	5827
Tadmor-2009-100-76	37eee5a9-d235-4a8f-84d4-aa80634cd802	THIGH	76	76	thigh	0.906	0.856	0.918	1.000	0.712	348189
Tadmor-2009-100-77	78abbbce-9713-4b6c-bc5e-6771c9a1d64f	THICK	77	76	thick	0.950	0.827	0.906	1.000	0.712	5503
Tadmor-2009-100-78	8f5d5298-0b47-4877-a522-bdd368d1a3f6	LONG	78	78	long	0.956	0.824	0.898	1.000	0.707	5438
Tadmor-2009-100-79	4a402c5e-fb81-4da5-919c-e97ff7d8b180	BLOW	79	79	to blow	0.962	0.857	0.878	0.976	0.706	1375415
Tadmor-2009-100-80	39f73f16-6ea0-4b3c-99e7-633bf2b01b70	WOOD	80	80	wood	0.860	0.871	0.940	1.000	0.705	741520
Tadmor-2009-100-81	258df14a-ab6e-487b-b75f-f48ad224671a	RUN	81	81	to run	0.976	0.833	0.867	1.000	0.704	6323
Tadmor-2009-100-82	cf327b30-80a9-4959-955d-cf719c21a48a	FALL	82	81	to fall	0.946	0.825	0.903	1.000	0.704	5622
Tadmor-2009-100-83	95519ce3-89be-4eab-9d70-e4a66a14679a	EYE	83	83	eye	0.904	0.847	0.918	1.000	0.703	5511
Tadmor-2009-100-84	1e7a7abf-2ae4-41fa-8ead-d8daf5d4c253	ASH	84	84	ash	0.853	0.891	0.921	1.000	0.699	264
Tadmor-2009-100-85	e77b4dd1-7f64-4312-b3eb-fde79f435bd5	TAIL	85	84	tail	0.883	0.813	0.973	1.000	0.699	5468
Tadmor-2009-100-86	b2f874bc-ab83-4c15-9726-a511aab9e38f	DOG	86	84	dog	0.838	0.869	0.960	1.000	0.699	966
