ID	NUMBER	ENGLISH	CATEGORY	STABILITY_SCORE	CONCEPTICON_ID	CONCEPTICON_GLOSS	RANK
Swadesh-1955-215-1	1	*all	quantitatives	92	98	ALL	34
Swadesh-1955-215-2	2	and	correlatives	57	1577	AND	142
Swadesh-1955-215-3	3	animal	animals	42	619	ANIMAL	180
Swadesh-1955-215-4	4	*ashes	natural objects and phenomena	66	646	ASH	123
Swadesh-1955-215-5	5	at	locatives	100	1461	AT	26
Swadesh-1955-215-6	6	back	body parts and substances	83	1291	BACK	66
Swadesh-1955-215-7	7	bad	descriptives	40	1292	BAD	187
Swadesh-1955-215-8	8	*bark	plants and plant parts	100	1204	BARK	30
Swadesh-1955-215-9	9	because	correlatives	25	1157	BECAUSE	208
Swadesh-1955-215-10	10	*belly	body parts and substances	50	1251	BELLY	162
Swadesh-1955-215-11	11	berry (fruit)	plants and plant parts	59	904	BERRY	131
Swadesh-1955-215-12	12	*big	size	48	1202	BIG	173
Swadesh-1955-215-13	13	*bird	animals	40	937	BIRD	184
Swadesh-1955-215-14	14	*bite	body sensations and activities	57	1403	BITE	141
Swadesh-1955-215-15	15	*black	colors	83	163	BLACK	56
Swadesh-1955-215-16	16	*blood	body parts and substances	100	946	BLOOD	11
Swadesh-1955-215-17	17	blow	miscellaneous	66	175	BLOW (OF WIND)	121
Swadesh-1955-215-18	18	*bone	body parts and substances	71	1394	BONE	100
Swadesh-1955-215-19	19	breathe	body sensations and activities	25	1407	BREATHE	206
Swadesh-1955-215-20	20	brother	kinship	100	1262	BROTHER	19
Swadesh-1955-215-21	21	*burn	miscellaneous	67	2102	BURN	114
Swadesh-1955-215-22	22	child	persons	50	2099	CHILD	167
Swadesh-1955-215-23	23	clothing	cultural objects and activities	42	1895	CLOTHES	179
Swadesh-1955-215-24	24	*cloud	natural objects and phenomena	83	1489	CLOUD	64
Swadesh-1955-215-25	25	*cold	descriptives	65	1287	COLD	126
Swadesh-1955-215-26	26	*come	position and movement	100	1446	COME	23
Swadesh-1955-215-27	27	cook	cultural objects and activities	58	1100	COOK (SOMETHING)	140
Swadesh-1955-215-28	28	count	cultural objects and activities	51	1420	COUNT	160
Swadesh-1955-215-29	29	cry	oral activities	68	1839	CRY	111
Swadesh-1955-215-30	30	cut	manipulations	56	1432	CUT	146
Swadesh-1955-215-31	31	dance	cultural objects and activities	33	1879	DANCE	195
Swadesh-1955-215-32	32	day	time periods	85	1225	DAY (NOT NIGHT)	48
Swadesh-1955-215-33	33	*die	body sensations and activities	92	1494	DIE	39
Swadesh-1955-215-34	34	dig	manipulations	42	1418	DIG	181
Swadesh-1955-215-35	35	dirty	descriptives	10	1230	DIRTY	213
Swadesh-1955-215-36	36	*dog	animals	50	2009	DOG	168
Swadesh-1955-215-37	37	*drink	body sensations and activities	92	1401	DRINK	40
Swadesh-1955-215-38	38	*dry	descriptives	89	1398	DRY	44
Swadesh-1955-215-39	39	dull	descriptives	20	379	BLUNT	209
Swadesh-1955-215-40	40	dust	natural objects and phenomena	56	2	DUST	147
Swadesh-1955-215-41	41	*ear	body parts and substances	100	1247	EAR	24
Swadesh-1955-215-42	42	*earth	natural objects and phenomena	66	1228	EARTH (SOIL)	124
Swadesh-1955-215-43	43	*eat	body sensations and activities	68	1336	EAT	112
Swadesh-1955-215-44	44	*egg	body parts and substances	84	744	EGG	51
Swadesh-1955-215-45	45	eight	numerals	100	1705	EIGHT	25
Swadesh-1955-215-46	46	*eye	body parts and substances	74	1248	EYE	96
Swadesh-1955-215-47	47	fall	position and movement	67	1280	FALL	116
Swadesh-1955-215-48	48	far	location	74	1406	FAR	97
Swadesh-1955-215-49	49	*fat (grease) / fat	body parts and substances	56	323	FAT (ORGANIC SUBSTANCE)	148
Swadesh-1955-215-50	50	father	kinship	83	1217	FATHER	65
Swadesh-1955-215-51	51	fear	body sensations and activities	43	1419	FEAR (BE AFRAID)	177
Swadesh-1955-215-52	52	*feather	body parts and substances	74	1201	FEATHER	98
Swadesh-1955-215-53	53	few	quantitatives	74	1242	FEW	99
Swadesh-1955-215-54	54	fight	cultural objects and activities	9	1423	FIGHT	214
Swadesh-1955-215-55	55	*fire	natural objects and phenomena	33	221	FIRE	196
Swadesh-1955-215-56	56	*fish	animals	66	227	FISH	125
Swadesh-1955-215-57	57	five	numerals	100	493	FIVE	27
Swadesh-1955-215-58	58	float	position and movement	40	1574	FLOAT	186
Swadesh-1955-215-59	59	flow	position and movement	33	2003	FLOW	197
Swadesh-1955-215-60	60	flower	plants and plant parts	82	239	FLOWER	76
Swadesh-1955-215-61	61	*fly	position and movement	82	1441	FLY (MOVE THROUGH AIR)	77
Swadesh-1955-215-62	62	fog	natural objects and phenomena	51	249	FOG	161
Swadesh-1955-215-63	63	*foot	body parts and substances	90	1301	FOOT	43
Swadesh-1955-215-64	64	four	numerals	100	1500	FOUR	28
Swadesh-1955-215-65	65	freeze	miscellaneous	65	1431	FREEZE	127
Swadesh-1955-215-66	66	*give	position and movement	85	1447	GIVE	49
Swadesh-1955-215-67	67	*good	descriptives	83	1035	GOOD	67
Swadesh-1955-215-68	68	grass	plants and plant parts	83	606	GRASS	68
Swadesh-1955-215-69	69	*green	colors	83	1425	GREEN	69
