ID	NUMBER	CATEGORY	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Ferguson-1964-30-1	1	KIN	mother	1216	MOTHER
Ferguson-1964-30-2	2	KIN	father	1217	FATHER
Ferguson-1964-30-3	3	KIN	baby	1289	BABY
Ferguson-1964-30-4	4	BODY	food	256	FOOD
Ferguson-1964-30-5	5	BODY	drink, water	1401	DRINK
Ferguson-1964-30-6	6	BODY	sleep	1585	SLEEP
Ferguson-1964-30-7	7	BODY	urination	592	PISS
Ferguson-1964-30-8	8	BODY	defecation	676	SHIT (DEFECATE)
Ferguson-1964-30-9	9	BODY	bath	138	BATHE
Ferguson-1964-30-10	10	BODY	hurt	2411	HURT (SOMEBODY)
Ferguson-1964-30-11	11	BODY	walk, foot	2450	FOOT OR WALK
Ferguson-1964-30-12	12	BODY	breast, milk	2129	BREAST OR MILK
Ferguson-1964-30-13	13	BODY	penis	1222	PENIS
Ferguson-1964-30-14	14	BODY	vagina	1836	VAGINA
Ferguson-1964-30-15	15	QUALITIES	nice	1035	GOOD
Ferguson-1964-30-16	16	QUALITIES	bad, don't!	1292	BAD
Ferguson-1964-30-17	17	QUALITIES	dirty	1230	DIRTY
Ferguson-1964-30-18	18	QUALITIES	hot	1286	HOT
Ferguson-1964-30-19	19	QUALITIES	cold	1287	COLD
Ferguson-1964-30-20	20	QUALITIES	nothing left	687	NOTHING
Ferguson-1964-30-21	21	QUALITIES	little	1246	SMALL
Ferguson-1964-30-22	22	QUALITIES	dog	2009	DOG
Ferguson-1964-30-23	23	ANIMALS & GAMES	cat	1208	CAT
Ferguson-1964-30-24	24	ANIMALS & GAMES	bird	937	BIRD
Ferguson-1964-30-25	25	ANIMALS & GAMES	goblin		
Ferguson-1964-30-26	26	ANIMALS & GAMES	going out	1107	GO OUT
Ferguson-1964-30-27	27	ANIMALS & GAMES	peek-a-boo		
Ferguson-1964-30-28	28	ANIMALS & GAMES	carry on back	465	CARRY ON BACK
Ferguson-1964-30-29	29	ANIMALS & GAMES	noise, ear	1247	EAR
Ferguson-1964-30-30	30	ANIMALS & GAMES	goodies, candy	874	CANDY
