ID	NUMBER	BULGARIAN	BULGARIAN_LATIN	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Simko-2020-205-1	1	бял	bjal	white	common adjectives	1335	WHITE
Simko-2020-205-2	2	цял	cjal	whole	common adjectives	2277	WHOLE
Simko-2020-205-3	3	чист	čist	clean	common adjectives	704	CLEAN
Simko-2020-205-4	4	черен	čeren	black	common adjectives	163	BLACK
Simko-2020-205-5	5	червен	červen	red	common adjectives	156	RED
Simko-2020-205-6	6	дълъг	dălăg	long	common adjectives	1203	LONG
Simko-2020-205-7	7	добър	dobăr	good	common adjectives	1035	GOOD
Simko-2020-205-8	8	горък	gorăk	bitter	common adjectives	887	BITTER
Simko-2020-205-9	9	кисел	kisel	sour	common adjectives	1906	SOUR
Simko-2020-205-10	10	красен	krasen	beautiful	common adjectives	1427	BEAUTIFUL
Simko-2020-205-11	11	либе	libe	beloved	common adjectives		
Simko-2020-205-12	12	малък	malăk	small	common adjectives	1246	SMALL
Simko-2020-205-13	13	мек	mek	soft	common adjectives	1856	SOFT
Simko-2020-205-14	14	млад	mlad	young	common adjectives	1207	YOUNG
Simko-2020-205-15	15	пълен	pălen	full	common adjectives	1429	FULL
Simko-2020-205-16	16	здрав	zdrav	healthy	common adjectives	1364	HEALTHY
Simko-2020-205-17	17	слаб	slab	weak	common adjectives	1601	WEAK
Simko-2020-205-18	18	стар	star	old	common adjectives	1229	OLD
Simko-2020-205-19	19	чужд	čužd	strange, foreign	common adjectives	109	FOREIGN
Simko-2020-205-20	20	велик	velik	great	common adjectives	1202	BIG
Simko-2020-205-21	21	зелен	zelen	green	common adjectives	1425	GREEN
Simko-2020-205-22	22	зъл	zăl	angry	common adjectives	1826	ANGRY
Simko-2020-205-23	23	жив	živ	alive	common adjectives		
Simko-2020-205-24	24	жълт	žălt	yellow	common adjectives	1424	YELLOW
Simko-2020-205-25	25	агне	agne	lamb	common animals and birds	820	LAMB
Simko-2020-205-26	26	яйце	jajce	egg	common animals and birds	744	EGG
Simko-2020-205-27	27	бобър	bobăr	beaver	common animals and birds	1194	BEAVER
Simko-2020-205-28	28	пчела	pčela	bee	common animals and birds	665	BEE
Simko-2020-205-29	29	бик	bik	bull	common animals and birds	1008	BULL
Simko-2020-205-30	30	червей	červej	worm	common animals and birds	1219	WORM
Simko-2020-205-31	31	елен	elen	deer	common animals and birds	1936	DEER
Simko-2020-205-32	32	есетра	esetra	sturgeon	common animals and birds	3606	STURGEON
Simko-2020-205-33	33	гъска	găska	goose	common animals and birds	1187	GOOSE
Simko-2020-205-34	34	еж	ež	hedgehog	common animals and birds	1797	HEDGEHOG
Simko-2020-205-35	35	кобила	kobila	mare	common animals and birds	938	MARE
Simko-2020-205-36	36	кон	kon	horse	common animals and birds	615	HORSE
Simko-2020-205-37	37	крава	krava	cow	common animals and birds	1007	COW
Simko-2020-205-38	38	коза	koza	goat	common animals and birds	1502	GOAT
Simko-2020-205-39	39	кур	kur	penis, rooster	common animals and birds	1511	ROOSTER
Simko-2020-205-40	40	мравка	mravka	ant	common animals and birds	587	ANT
Simko-2020-205-41	41	лебед	lebed	swan	common animals and birds	2837	SWAN
Simko-2020-205-42	42	орел	orel	eagle	common animals and birds	1905	EAGLE
Simko-2020-205-43	43	оса	osa	wasp	common animals and birds	1517	WASP
Simko-2020-205-44	44	овца	ovca	sheep	common animals and birds	1331	SHEEP
Simko-2020-205-45	45	пес	pes	dog	common animals and birds	2009	DOG
Simko-2020-205-46	46	прасе	prase	pig	common animals and birds	1337	PIG
Simko-2020-205-47	47	риба	riba	fish	common animals and birds	227	FISH
Simko-2020-205-48	48	скот	skot	cattle	common animals and birds	1153	CATTLE
Simko-2020-205-49	49	свиня	svinja	sow	common animals and birds	1351	SOW (FEMALE PIG)
Simko-2020-205-50	50	сврака	svraka	magpie	common animals and birds	2039	MAGPIE
Simko-2020-205-51	51	теле	tele	calf	common animals and birds	1989	CALF
Simko-2020-205-52	52	тур	tur	aurochs	common animals and birds		
Simko-2020-205-53	53	вепър	vepăr	swine	common animals and birds	1337	PIG
Simko-2020-205-54	54	вълк	vălk	wolf	common animals and birds	522	WOLF
Simko-2020-205-55	55	вол	vol	ox	common animals and birds	1169	OX
Simko-2020-205-56	56	врана	vrana	crow	common animals and birds	913	CROW
Simko-2020-205-57	57	жребец	žrebec	stallion	common animals and birds	936	STALLION
Simko-2020-205-58	58	змия	zmija	snake	common animals and birds	730	SNAKE
Simko-2020-205-59	59	звяр	zvjar	wild animal	common animals and birds	958	WILD ANIMAL
Simko-2020-205-60	60	ябълка	jabălka	apple	common plants	1320	APPLE
Simko-2020-205-61	61	ягода	jagoda	strawberry	common plants	3138	STRAWBERRY
Simko-2020-205-62	62	бреза	breza	birch	common plants	1855	BIRCH
Simko-2020-205-63	63	боб	bob	bean	common plants	832	BEAN
