ID	NUMBER	ENGLISH	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hantgan-2022-351-1	1	guest or stranger	étranger	2908	GUEST OR STRANGER
Hantgan-2022-351-2	2	age	(être vivant) devenir vieux, âgé	1789	AGE
Hantgan-2022-351-3	3	ancestors	aïeul, ancêtre	1669	ANCESTORS
Hantgan-2022-351-4	4	animal	animal	619	ANIMAL
Hantgan-2022-351-5	5	answer	répondre	1275	ANSWER
Hantgan-2022-351-6	6	ARMPIT	aisselle	1886	ARMPIT
Hantgan-2022-351-7	7	ARRIVE	arriver	1387	ARRIVE
Hantgan-2022-351-8	8	ASH	cendre	646	ASH
Hantgan-2022-351-9	9	BACK	dos	1291	BACK
Hantgan-2022-351-10	10	BAD	mauvais	1292	BAD
Hantgan-2022-351-11	11	BARK	coque (de noix); écorce	1204	BARK
Hantgan-2022-351-12	12	BE ALIVE	ê. vivant, vivre (ne pas ê. décédé)	1422	BE ALIVE
Hantgan-2022-351-13	13	BEARD	barbe	678	BEARD
Hantgan-2022-351-14	14	BEAUTIFUL	beau	1427	BEAUTIFUL
Hantgan-2022-351-15	15	BEGIN	commencer	1806	BEGIN
Hantgan-2022-351-16	16	BELLY	estomac	1251	BELLY
Hantgan-2022-351-17	17	BELT	ceinture	772	BELT
Hantgan-2022-351-18	18	BESIDE	à côté de (qch)	1816	BESIDE
Hantgan-2022-351-19	19	BIG	grand	1202	BIG
Hantgan-2022-351-20	20	BIRD	(tout) oiseau	937	BIRD
Hantgan-2022-351-21	21	BITE	(qn, mammifère) mordre (qch, qn)	1403	BITE
Hantgan-2022-351-22	22	BITTER	(goût) amer	887	BITTER
Hantgan-2022-351-23	23	BLACKSMITH	forgeron	1001	BLACKSMITH
Hantgan-2022-351-24	24	BLANKET	couverture	806	BLANKET
Hantgan-2022-351-25	25	BLINK	cligner des yeux	1655	BLINK
Hantgan-2022-351-26	26	BLOOD	sang	946	BLOOD
Hantgan-2022-351-27	27	BLUNT	(lame) émoussé	379	BLUNT
Hantgan-2022-351-28	28	BOAT	barque, pirogue, chaland	379	BLUNT
Hantgan-2022-351-29	29	BODY	corps	1480	BODY
Hantgan-2022-351-30	30	BONE	os	1394	BONE
Hantgan-2022-351-31	31	BOW	arc	994	BOW
Hantgan-2022-351-32	32	BREAKFAST	donner à déjeuner, déjeuner	1322	BREAKFAST
Hantgan-2022-351-33	33	BREAST	sein	1402	BREAST
Hantgan-2022-351-34	34	BREATHE	respirer	1407	BREATHE
Hantgan-2022-351-35	35	BROOM	balai	245	BROOM
Hantgan-2022-351-36	36	BUILD	bâtir, construire	1840	BUILD
Hantgan-2022-351-37	37	BURN (SOMETHING)	brûler	141	BURN (SOMETHING)
Hantgan-2022-351-38	38	BURY	déposer; enterrer (cadavre)	1719	BURY
Hantgan-2022-351-39	39	BUY	acheter	1869	BUY
Hantgan-2022-351-40	40	CALL	appel	1084	CALL
Hantgan-2022-351-41	41	CAMEL	chameau	1871	CAMEL
Hantgan-2022-351-42	42	CARRY ON HEAD	porter (qch, à la tête)	414	CARRY ON HEAD
Hantgan-2022-351-43	43	CARVE	tailler (bois)	228	CARVE
Hantgan-2022-351-44	44	CASSAVA	Manihot esculenta, manioc	1030	NECESSARY
Hantgan-2022-351-45	45	CAT	chat	1208	CAT
Hantgan-2022-351-46	46	CAUSE	cause, faute	860	CAUSE
Hantgan-2022-351-47	47	CAVE	grotte	1155	CAVE
Hantgan-2022-351-48	48	CHEEK	joue	1730	CHEEK
Hantgan-2022-351-49	49	CHEST	poitrine	1592	CHEST
Hantgan-2022-351-50	50	CHICKEN	poule, coq, poulet	1318	CHICKEN
Hantgan-2022-351-51	51	CHIEFTAIN	chef	301	CHIEFTAIN
Hantgan-2022-351-52	52	CHILD	enfant	2099	CHILD
Hantgan-2022-351-53	53	CHIN	menton	1510	CHIN
Hantgan-2022-351-54	54	CLOUD	nuage	1489	CLOUD
Hantgan-2022-351-55	55	COLD	(le) froid	1287	COLD
Hantgan-2022-351-56	56	COME	venir	1446	COME
Hantgan-2022-351-57	57	COME BACK	retourner	581	COME BACK
Hantgan-2022-351-58	58	COTTON	coton	1850	COTTON
Hantgan-2022-351-59	59	COUNT	calcul, (dé-)compte.	1420	COUNT
Hantgan-2022-351-60	60	COUNTRY	pais, terre, sol	1300	COUNTRY
Hantgan-2022-351-61	61	COW	bovin (vache ou taureau)	1007	COW
Hantgan-2022-351-62	62	CRY	pleurer	1839	CRY
Hantgan-2022-351-63	63	DAY (NOT NIGHT)	daytime (not night)	1225	DAY (NOT NIGHT)
Hantgan-2022-351-64	64	DEW	humidité, roséé	1977	DEW
Hantgan-2022-351-65	65	DIE	mourir	1494	DIE
Hantgan-2022-351-66	66	DIG	creuser	1418	DIG
Hantgan-2022-351-67	67	DINNER (SUPPER)	dîner	1833	DINNER (SUPPER)
Hantgan-2022-351-68	68	DISEASE	maladie	1986	DISEASE
Hantgan-2022-351-69	69	DIVIDE	diviser	1119	DIVIDE
Hantgan-2022-351-70	70	DOG	chien	2009	DOG
Hantgan-2022-351-71	71	DONKEY	âne	1862	DONKEY
Hantgan-2022-351-72	72	DOOR	battant (de porte)	1567	DOOR
Hantgan-2022-351-73	73	DOORPOST	porte (passage)	80	DOORPOST
Hantgan-2022-351-74	74	DOVE	pigeon	1853	DOVE
Hantgan-2022-351-75	75	DRINK	boire	1401	DRINK
Hantgan-2022-351-76	76	DRIP (FALL IN GLOBULES)	(eau) goutter	808	DRIP (FALL IN GLOBULES)
Hantgan-2022-351-77	77	DRY	(bois) mort, sec	1398	DRY
Hantgan-2022-351-78	78	DUST	poussière	2	DUST
Hantgan-2022-351-79	79	DYE	tissu noirâtre teinté d'indigo	157	DYE
Hantgan-2022-351-80	80	EAR	oreille	1247	EAR
Hantgan-2022-351-81	81	EARRING	bague ou boucle d’oreille -cpd: see [kàmb-ù]-[kòrb-ò] , hà.è-[kòrb-ò] , cè:-[kòrb-ò] .	770	EARRING
Hantgan-2022-351-82	82	EASY	ê. facile, pas cher	686	EASY
Hantgan-2022-351-83	83	EAT	manger	1336	EAT
Hantgan-2022-351-84	84	EGG	oeuf	744	EGG
Hantgan-2022-351-85	85	EIGHT	huit	1705	EIGHT
