ID	NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gerardi-2022-705-1	1	ABIU	NA		
Gerardi-2022-705-2	2	ABOVE	SPATIAL_RELATIONS	1741	ABOVE
Gerardi-2022-705-3	3	ACAI PALM	AGRICULTURE_AND_VEGETATION	2437	ACAI PALM
Gerardi-2022-705-4	4	AGOUTI	ANIMALS	313	AGOUTI
Gerardi-2022-705-5	5	AIMARA	NA		
Gerardi-2022-705-6	6	ALL	QUANTITY	98	ALL
Gerardi-2022-705-7	7	ALLIGATOR	ANIMALS	1581	ALLIGATOR
Gerardi-2022-705-8	8	AMAZON RIVER DOLPHIN	ANIMALS		
Gerardi-2022-705-9	9	ANACONDA (WATER BOA)	ANIMALS	896	ANACONDA (WATER BOA)
Gerardi-2022-705-10	10	ANGER	EMOTIONS_AND_VALUES	82	ANGER
Gerardi-2022-705-11	11	ANGRY	EMOTIONS_AND_VALUES	1826	ANGRY
Gerardi-2022-705-12	12	ANIMAL	ANIMALS	619	ANIMAL
Gerardi-2022-705-13	13	ANT	ANIMALS	587	ANT
Gerardi-2022-705-14	14	ANT (SPECIES)	ANIMALS		
Gerardi-2022-705-15	15	ANTEATER	ANIMALS	181	ANTEATER
Gerardi-2022-705-16	16	ANUS	THE_BODY	1935	ANUS
Gerardi-2022-705-17	17	APUNÃ	NA		
Gerardi-2022-705-18	18	ARACUÃ	ANIMALS		
Gerardi-2022-705-19	19	ARM	THE_BODY	1673	ARM
Gerardi-2022-705-20	20	ARMADILLO	ANIMALS	1885	ARMADILLO
Gerardi-2022-705-21	21	ARRIVE	MOTION	1387	ARRIVE
Gerardi-2022-705-22	22	ARROW	WARFARE_AND_HUNTING	977	ARROW
Gerardi-2022-705-23	23	ARUANÃ	NA		
Gerardi-2022-705-24	24	ASH	THE_PHYSICAL_WORLD	646	ASH
Gerardi-2022-705-25	25	AWAKE	THE_BODY	825	AWAKE
Gerardi-2022-705-26	26	AXE	BASIC_ACTIONS_AND_TECHNOLOGY	677	AXE
Gerardi-2022-705-27	27	BACK	THE_BODY	1291	BACK
Gerardi-2022-705-28	28	BACURI	NA		
Gerardi-2022-705-29	29	BAD	EMOTIONS_AND_VALUES	1292	BAD
Gerardi-2022-705-30	30	BAMBOO	AGRICULTURE_AND_VEGETATION	1927	BAMBOO
Gerardi-2022-705-31	31	BANANA	AGRICULTURE_AND_VEGETATION	868	BANANA
Gerardi-2022-705-32	32	BARK	AGRICULTURE_AND_VEGETATION	1204	BARK
Gerardi-2022-705-33	33	BAT	ANIMALS	1793	BAT
Gerardi-2022-705-34	34	BATHE	THE_BODY	138	BATHE
Gerardi-2022-705-35	35	BE	MISCELLANEOUS_FUNCTION_WORDS	1579	BE
