ID	NUMBER	MEANING	LATIN	SPANISH	ENGLISH	SCORE	POS	NO_OF_STATES	RATE_MEAN	RATE_SD	MSP_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wilson-2015-173-54	54	KNOW	scio	saber	know	4	Verb	13	2.11	0.04	2906,47	3626	KNOW
Wilson-2015-173-55	55	LAKE	lacus	lago	lake	1	Noun	25	3.5	0.03	19,71	624	LAKE
Wilson-2015-173-56	56	LEAF	folium	hoja	leaf	1	Noun	19	2.43	0.03	40,15	628	LEAF
Wilson-2015-173-57	57	LEFT (HAND)	sinister	izquierda	left (hand)	5	Adj.	30	4.41	0.03	191,62	2182	LEFT HAND
Wilson-2015-173-58	58	LEG	crus	pierna	leg	4	Noun	25	3.73	0.03	70,88	1297	LEG
Wilson-2015-173-59	59	LIVER	iecur	hígado	liver	4	Noun	17	2.66	0.04	6,03	1224	LIVER
Wilson-2015-173-60	60	LONG	longus	largo	long	4	Adj.	12	1.22	0.03	237,94	1203	LONG
Wilson-2015-173-61	61	LOUSE	pediculus	piojo	louse	1	Noun	12	1.74	0.04	3,53	1392	LOUSE
Wilson-2015-173-62	62	MAN	vir	hombre	man	4	Noun	18	3.38	0.04	964,12	1554	MAN
Wilson-2015-173-63	63	MANY	multus	mucho	many	2	Adj.	32	5.6	0.04	2866,32	1198	MANY
Wilson-2015-173-64	64	MEAT (FLESH)	caro	carne	meat (flesh)	1	Noun	15	1.62	0.03	78,53	2615	FLESH OR MEAT
Wilson-2015-173-65	65	MOTHER	mater	madre	mother	1	Pronoun	10	2.36	0.07	447,94	1216	MOTHER
Wilson-2015-173-66	66	MOUNTAIN	mons	montaña	mountain	4	Noun	20	2.75	0.03	34,56	639	MOUNTAIN
Wilson-2015-173-67	67	MOUTH	oris	boca	mouth	4	Noun	19	2.78	0.03	102,21	674	MOUTH
Wilson-2015-173-68	68	NAME	nomen	nombre	name	1	Noun	4	0.47	0.06	280,74	1405	NAME
Wilson-2015-173-69	69	NARROW	angustus	estrecho	narrow	4	Adj.	19	2.89	0.04	20,59	1267	NARROW
Wilson-2015-173-70	70	NEAR	circa	cerca	near	2	Adj.	35	4.86	0.03	138,24	1942	NEAR
Wilson-2015-173-71	71	NECK	collum	cuello	neck	1	Noun	21	3.57	0.04	32,5	1333	NECK
Wilson-2015-173-72	72	NEW	novus	nuevo	new	0	Adj.	5	0.6	0.05	589,85	1231	NEW
Wilson-2015-173-73	73	NIGHT	nox	noche	night	1	Noun	6	0.76	0.05	391,32	1233	NIGHT
Wilson-2015-173-74	74	NOSE	nasus	nariz	nose	4	Noun	14	1.49	0.03	23,97	1221	NOSE
Wilson-2015-173-75	75	OLD	vetus	viejo	old	4	Adj.	18	2.53	0.03	215,59	1229	OLD
Wilson-2015-173-76	76	ONE	unus	uno	one	1	Number	2	0.43	0.14	22858,68	1493	ONE
Wilson-2015-173-77	77	PERSON	homo	persona	person	4	Noun	28	4.81	0.04	829,26	683	PERSON
Wilson-2015-173-78	78	RED	russus	rojo	red	2	Adj.	14	2.26	0.04	96,03	156	RED
Wilson-2015-173-79	79	RIGHT (CORRECT)	rectus	correcto	right (correct)	4	Adj.	25	3.91	0.03	62,65	1725	CORRECT (RIGHT)
Wilson-2015-173-80	80	RIGHT (HAND)	dexter	derecha	right (hand)	4	Adj.	18	2.61	0.03	456,03	2183	RIGHT HAND
Wilson-2015-173-81	81	RIVER	rivus	río	river	2	Noun	23	3.69	0.03	109,71	666	RIVER
Wilson-2015-173-82	82	ROAD	via	carretera	road	4	Noun	31	4.86	0.03	172,5	667	ROAD
Wilson-2015-173-83	83	ROOT	radix	raíz	root	1	Noun	13	1.75	0.04	41,91	670	ROOT
Wilson-2015-173-84	84	ROPE	funis	cuerda	rope	4	Noun	35	06.09	0.03	27,35	1218	ROPE
Wilson-2015-173-85	85	ROTTEN (LOG)	puter	podrido	rotten (log)	2	Adj.	32	4.76	0.03	6,76	1728	ROTTEN
Wilson-2015-173-86	86	RUB	frico	frotar	rub	5	Verb	27	3.57	0.03	8,38	1449	RUB
Wilson-2015-173-87	87	SALT	sal	sal	salt	0	Noun	10	01.01	0.03	17,06	1274	SALT
Wilson-2015-173-88	88	SAND	harena	arena	sand	1	Noun	27	4.26	0.03	38,38	671	SAND
Wilson-2015-173-89	89	SEA (OCEAN)	mare	mar	sea (ocean)	0	Noun	15	2.53	0.04	98,82	1474	SEA
Wilson-2015-173-90	90	SEED	semen	semilla	seed	4	Noun	14	2.56	0.04	11,76	714	SEED
Wilson-2015-173-91	91	SHARP (KNIFE)	acutus	agudo	sharp (knife)	0	Adj.	24	3.76	0.03	14,12	1396	SHARP
Wilson-2015-173-92	92	SHORT	brevis	corto	short	4	Adj.	24	3.39	0.03	105,44	1645	SHORT
Wilson-2015-173-93	93	SKIN (OF PERSON)	cutis	piel	skin (of person)	4	Noun	17	2.73	0.04	51,47	2613	SKIN (HUMAN)
Wilson-2015-173-94	94	SKY	caelum	cielo	sky	1	Noun	18	2.52	0.03	65,44	1732	SKY
Wilson-2015-173-95	95	SMALL	paucus	poco	small	0	Adj.	26	3.7	0.03	318,68	1246	SMALL
Wilson-2015-173-96	96	SMOKE	fumus	humo	smoke	1	Noun	11	1.7	0.04	15,88	778	SMOKE (EXHAUST)
Wilson-2015-173-97	97	SNAKE	colubra	culebra	snake	2	Noun	20	3.11	0.04	7,21	730	SNAKE
Wilson-2015-173-98	98	SNOW	nix	nieve	snow	2	Noun	11	1.62	0.04	21,91	784	SNOW
Wilson-2015-173-99	99	SOME	paulum	alguno	some	4	Adj.	26	2.57	0.02	1543,82	1241	SOME
Wilson-2015-173-100	100	STAR	stella	estrella	star	2	Noun	7	0.72	0.04	73,38	1430	STAR
Wilson-2015-173-101	101	STONE	petra	piedra	stone	1	Noun	21	2.73	0.03	59,85	857	STONE
Wilson-2015-173-102	102	SUN	sol	sol	sun	0	Noun	8	0.98	0.04	115,74	1343	SUN
Wilson-2015-173-103	103	TAIL	cauda	cola	tail	2	Noun	28	4.16	0.03	36,18	1220	TAIL
Wilson-2015-173-104	104	THICK	grossus	grueso	thick	0	Adj.	29	5.41	0.04	36,18	1244	THICK
Wilson-2015-173-105	105	THIN	tenuis	delgado	thin	4	Adj.	25	2.99	0.03	12,06	2308	THIN
Wilson-2015-173-106	106	THREE	tres	tres	three	0	Number	1	0.09	0.09	734,41	492	THREE
Wilson-2015-173-107	107	TO BITE	mordeo	morder	to bite	0	Verb	26	4.67	0.04	17,35	1403	BITE
Wilson-2015-173-108	108	TO BLOW	flo	soplar	to blow	4	Verb	24	4.31	0.04	8,82	176	BLOW (WITH MOUTH)
Wilson-2015-173-109	109	TO BREATHE	spiro	respirar	to breathe	4	Verb	18	2.48	0.04	33,68	1407	BREATHE
Wilson-2015-173-110	110	TO BURN (INTRANSITIVE)	ardeo	quemar	to burn (intransitive)	4	Verb	20	2.94	0.03	33,53	1428	BURNING
Wilson-2015-173-111	111	TO COME	venio	venir	to come	0	Verb	14	1.9	0.04	1043,53	1446	COME
Wilson-2015-173-112	112	TO COUNT	numero	contar	to count	4	Verb	27	04.07	0.03	853,97	1420	COUNT
Wilson-2015-173-113	113	TO CUT	seco	cortar	to cut	4	Verb	23	3.36	0.03	70	1432	CUT
Wilson-2015-173-114	114	TO DIE	morior	morir	to die	2	Verb	8	0.82	0.04	348,53	1494	DIE
Wilson-2015-173-115	115	TO DIG	fodio	cavar	to dig	4	Verb	27	3.86	0.03	2,21	1418	DIG
Wilson-2015-173-116	116	TO DRINK	bibo	beber	to drink	0	Verb	12	1.49	0.03	71,76	1401	DRINK
Wilson-2015-173-117	117	TO EAT	edo	comer	to eat	4	Verb	15	1.77	0.03	270,29	1336	EAT
Wilson-2015-173-118	118	TO FALL (DROP)	cado	caer	to fall (drop)	0	Verb	23	2.97	0.03	225,88	1280	FALL
Wilson-2015-173-119	119	TO FIGHT	pugno	luchar	to fight	4	Verb	29	4.21	0.03	35,29	1423	FIGHT
Wilson-2015-173-120	120	TO FLOAT	fluito	flotar	to float	5	Verb	27	04.04	0.03	7,06	1574	FLOAT
Wilson-2015-173-121	121	TO FLOW	fluo	fluir	to flow	0	Verb	27	3.4	0.03	8,24	2003	FLOW
Wilson-2015-173-122	122	TO FLY	volo	volar	to fly	0	Verb	21	2.83	0.03	53,38	1441	FLY (MOVE THROUGH AIR)
Wilson-2015-173-123	123	TO GIVE	do	dar	to give	0	Verb	7	0.76	0.04	2657,21	1447	GIVE
Wilson-2015-173-124	124	TO HEAR	audio	oír	to hear	1	Verb	15	2.35	0.04	471,32	1408	HEAR
Wilson-2015-173-125	125	TO HIT	verbero	golpear	to hit	4	Verb	40	5.51	0.03	44,41	1433	HIT
Wilson-2015-173-126	126	TO HUNT (GAME)	venor	cazar	to hunt (game)	4	Verb	23	3.33	0.03	16,03	1435	HUNT
Wilson-2015-173-127	127	TO KILL	interficio	matar	to kill	4	Verb	28	3.5	0.03	163,97	1417	KILL
Wilson-2015-173-128	128	TO LAUGH	rideo	reír	to laugh	1	Verb	13	1.61	0.03	106,76	1355	LAUGH
Wilson-2015-173-129	129	TO LIVE	vivo	vivir	to live	0	Verb	10	1.1	0.04	668,24	1422	BE ALIVE
