ID	NUMBER	CHINESE	ENGLISH	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Castro-2010-511-1	1	太阳*	sun*	1	1343	SUN
Castro-2010-511-2	2	月亮*	moon*	1	1313	MOON
Castro-2010-511-3	3	星星*	star*	1	1430	STAR
Castro-2010-511-4	4	天,天空*	sky*	1	1732	SKY
Castro-2010-511-5	5	云朵*	cloud*	1	1489	CLOUD
Castro-2010-511-6	6	风*	wind*	1	960	WIND
Castro-2010-511-7	7	雨*	rain*	1	658	RAIN (PRECIPITATION)
Castro-2010-511-8	8	雾*	fog*	1	249	FOG
Castro-2010-511-9	9	雪*	snow*	1	784	SNOW
Castro-2010-511-10	10	土壤*	soil*	1	1228	EARTH (SOIL)
Castro-2010-511-11	11	石头*	stone*	1	857	STONE
Castro-2010-511-12	12	沙*	sand(fine)*	1	671	SAND
Castro-2010-511-13	13	尘土*	dust*	1	2	DUST
Castro-2010-511-14	14	火*	fire*	1	221	FIRE
Castro-2010-511-15	15	灰*	ash*	1	646	ASH
Castro-2010-511-16	16	烟*	smoke*	1	778	SMOKE (EXHAUST)
Castro-2010-511-17	17	水*	water*	1	948	WATER
Castro-2010-511-18	18	河*	river*	1	3311	FLOWING BODY OF WATER
Castro-2010-511-19	19	湖*	lake*	1	624	LAKE
Castro-2010-511-20	20	海*	sea*	1	1474	SEA
Castro-2010-511-21	21	土山	mountain(earth)	0		
Castro-2010-511-22	22	石山*	mountain(stone)*	1	639	MOUNTAIN
Castro-2010-511-23	23	草*	grass*	1	606	GRASS
Castro-2010-511-24	24	树*	tree*	1	906	TREE
Castro-2010-511-25	25	树林*	forest,woods*	1	420	FOREST
Castro-2010-511-26	26	树皮*	bark*	1	1204	BARK
Castro-2010-511-27	27	叶子(小)*	leaf*	1	628	LEAF
Castro-2010-511-28	28	根*	root*	1	670	ROOT
Castro-2010-511-29	29	花*	flower*	1	239	FLOWER
Castro-2010-511-30	30	种子*	seed*	1	714	SEED
Castro-2010-511-31	31	水果*	fruit*	1	1507	FRUIT
Castro-2010-511-32	32	绳子*	string*	1	1218	ROPE
Castro-2010-511-33	33	棍子*	stick*	1	1295	STICK
Castro-2010-511-34	34	村子	village	0	930	VILLAGE
Castro-2010-511-35	35	路*	road*	1	667	ROAD
Castro-2010-511-36	36	稻田*	field*	0	140	PADDY FIELD
Castro-2010-511-37	37	白天*	daytime*	1	1225	DAY (NOT NIGHT)
Castro-2010-511-38	38	夜*	night*	1	1233	NIGHT
Castro-2010-511-39	39	年*	year*	1	1226	YEAR
Castro-2010-511-40	40	水牛*	waterbuffalo*	1	2516	WATER BUFFALO
Castro-2010-511-41	41	鸡*	chicken*	1	1318	CHICKEN
