ID	NUMBER	ENGLISH	LEIPZIG_JAKARTA	SWADESH_1955_100	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
Sidwell-2021-116-37	37	fire/firewood	1	28	The physical world	2675	FIRE OR FIREWOOD
Sidwell-2021-116-38	38	fish	40	29	Animals	227	FISH
Sidwell-2021-116-39	39	flesh/meat	18	30	Food and drink	2615	FLESH OR MEAT
Sidwell-2021-116-40	40	fly (v)	20	31	Motion	1441	FLY (MOVE THROUGH AIR)
Sidwell-2021-116-41	41	foot/lower leg	37	32	The body	1301	FOOT
Sidwell-2021-116-42	42	full (of a container) (v)		33	Quantity	1429	FULL
Sidwell-2021-116-43	43	give	53	34	Possession	1447	GIVE
Sidwell-2021-116-44	44	good		35	Emotions and values	1035	GOOD
Sidwell-2021-116-45	45	green/blue		36	Sense perception	2382	BLUE OR GREEN
Sidwell-2021-116-46	46	hand/arm	19	38	The body	2121	ARM OR HAND
Sidwell-2021-116-47	47	hard/solid	99		Sense perception	1884	HARD
Sidwell-2021-116-48	48	head		39	The body	1256	HEAD
Sidwell-2021-116-49	49	hear/listen	62	40	Sense and perception	3862	HEAR OR LISTEN
Sidwell-2021-116-50	50	heart		41	The body	1223	HEART
Sidwell-2021-116-51	51	heavy	72		Sense perception	1210	HEAVY
Sidwell-2021-116-52	52	horn (of deer, not tusk)	38	42	The body	1393	HORN (ANATOMY)
Sidwell-2021-116-53	53	house	26		The house	1252	HOUSE
Sidwell-2021-116-54	54	in/inside	98		Spatial relations	1606	INSIDE
Sidwell-2021-116-55	55	kill (v)		44	The body	1417	KILL
Sidwell-2021-116-56	56	knee	59	45	The body	1371	KNEE
Sidwell-2021-116-57	57	know (a fact, not a person)	58	46	Cognition	1410	KNOW (SOMETHING)
Sidwell-2021-116-58	58	leaf	64	47	Agriculture and vegetation	628	LEAF
Sidwell-2021-116-59	59	lie/recline (v)		48	Spatial relations	1411	LIE (REST)
Sidwell-2021-116-60	60	liver	66	49	The body	1224	LIVER
Sidwell-2021-116-61	61	long (of objects)	78	50	Spatial relations	1203	LONG
Sidwell-2021-116-62	62	louse (headlice)		51	Animals	310	HEAD LOUSE
Sidwell-2021-116-63	63	louse (bodylice)	16		Animals	311	BODY LOUSE
Sidwell-2021-116-64	64	make/do (v)	25		Basic actions and technology	2575	DO OR MAKE
Sidwell-2021-116-65	65	moon		54	The physical world	1313	MOON
Sidwell-2021-116-66	66	mountain		55	The physical world	639	MOUNTAIN
Sidwell-2021-116-67	67	mouth	5	56	The body	674	MOUTH
Sidwell-2021-116-68	68	navel/umbilicous	42		the body	1838	NAVEL
Sidwell-2021-116-69	69	neck	23	58	The body	1333	NECK
Sidwell-2021-116-70	70	new	54	59	Time	1231	NEW
Sidwell-2021-116-71	71	night	21	60	Time	1233	NIGHT
Sidwell-2021-116-72	72	nose	2	61	The body	1221	NOSE
Sidwell-2021-116-73	73	old (of things/objects)	74		Time	2113	OLD (USED)
Sidwell-2021-116-74	74	one	33	63	Quantity	1493	ONE
Sidwell-2021-116-75	75	path/road		64	Motion	2457	PATH OR ROAD
Sidwell-2021-116-76	76	person (or classifier for humans)		65	Kinship	683	PERSON
Sidwell-2021-116-77	77	rain	13	66	The physical world	658	RAIN (PRECIPITATION)
Sidwell-2021-116-78	78	red	65	67	Sense perception	156	RED
Sidwell-2021-116-79	79	root	10	68	Agriculture and vegetation	670	ROOT
Sidwell-2021-116-80	80	rope/cord	91		Basic actions and technology	1218	ROPE
Sidwell-2021-116-81	81	round		69	Spatial relations	1395	ROUND
Sidwell-2021-116-82	82	run (v)	81		Motion	1519	RUN
Sidwell-2021-116-83	83	salt	94		Food and drink	1274	SALT
Sidwell-2021-116-84	84	sand	60	70	The physical world	671	SAND
Sidwell-2021-116-85	85	say/speak/talk (v)	29	71	Speech and language	1623	SPEAK
Sidwell-2021-116-86	86	see (v)	89	72	Sense perception	1409	SEE
Sidwell-2021-116-87	87	shade/shadow	92		The physical world	1388	SHADE
Sidwell-2021-116-88	88	sit (v)		74	Motion	1416	SIT
Sidwell-2021-116-89	89	skin	68	75	The body	763	SKIN
Sidwell-2021-116-90	90	sleep (v)		76	Motion	1585	SLEEP
Sidwell-2021-116-91	91	small	95	77	Spatial relations	1246	SMALL
Sidwell-2021-116-92	92	smoke	49	78	The physical world	778	SMOKE (EXHAUST)
Sidwell-2021-116-93	93	stand/stand up (intr.) (v)	45	79	Motion	570	STAND UP
Sidwell-2021-116-94	94	star	97	80	The physical world	1430	STAR
Sidwell-2021-116-95	95	stone	27	81	The physical world	857	STONE
Sidwell-2021-116-96	96	sweet	90		Sense perception	717	SWEET
Sidwell-2021-116-97	97	suckle/suck on breast for milk (v)	69		Food and drink	2472	SUCKLE (BREASTFEED, NURSE)
Sidwell-2021-116-98	98	swim (v)		83	Motion	1439	SWIM
Sidwell-2021-116-99	99	tail	85	84	The body	1220	TAIL
Sidwell-2021-116-100	100	thick	77		Spatial relations	1244	THICK
Sidwell-2021-116-101	101	thigh	76		The body	471	UPPER LEG (THIGH)
Sidwell-2021-116-102	102	this (proximal demonstrative)		86	Pronoun	1214	THIS
Sidwell-2021-116-103	103	tie/bind (v)	88		Basic actions and technology	1917	TIE
Sidwell-2021-116-104	104	tongue	6	88	The body	1205	TONGUE
Sidwell-2021-116-105	105	tooth	30	89	The body	1380	TOOTH
Sidwell-2021-116-106	106	tree		90	Agricultural and vegetation	906	TREE
Sidwell-2021-116-107	107	two		91	Quantity	1498	TWO
Sidwell-2021-116-108	108	walk/go by foot (v)	3	92	Motion	1443	WALK
Sidwell-2021-116-109	109	warm			Sense perception	1232	WARM
Sidwell-2021-116-110	110	water	4	94	The physical world	948	WATER
Sidwell-2021-116-111	111	weep/cry (v)	87		Basic actions and technology	1839	CRY
Sidwell-2021-116-112	112	what (interrogative)	50	96	Pronoun	1236	WHAT
Sidwell-2021-116-113	113	white		97	Sense perception	1335	WHITE
Sidwell-2021-116-114	114	who (interrogative)	34	98	Pronoun	1235	WHO
Sidwell-2021-116-115	115	wide	96		Spatial relations	1243	WIDE
Sidwell-2021-116-116	116	wind/air	48		The physical world	960	WIND
