ID	NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPOS	HUANG_1992_1888	CATEGORY
Chen-2012-888-1	1	天	sky	567	1732	SKY		1	天文地理
Chen-2012-888-2	2	太阳	sun	567	1343	SUN		2	天文地理
Chen-2012-888-3	3	月亮	moon	567	1313	MOON		4	天文地理
Chen-2012-888-4	4	星星	star	568	1430	STAR		5	天文地理
Chen-2012-888-5	5	云	cloud	568	1489	CLOUD		7	天文地理
Chen-2012-888-6	6	虹	rainbow	568	1733	RAINBOW		11	天文地理
Chen-2012-888-7	7	雷	thunder	569	1150	THUNDER		8	天文地理
Chen-2012-888-8	8	闪	lightning	569	1654	LIGHTNING		0	天文地理
Chen-2012-888-9	9	风	wind	569	960	WIND		9	天文地理
Chen-2012-888-10	10	雨	rain	570	658	RAIN (PRECIPITATION)		10	天文地理
Chen-2012-888-11	11	雪	snow	570	784	SNOW		12	天文地理
Chen-2012-888-12	12	露水	dew	570	1977	DEW		15	天文地理
Chen-2012-888-13	13	霜	frost	571	2034	FROST		14	天文地理
Chen-2012-888-14	14	火	fire	571	221	FIRE		18	天文地理
Chen-2012-888-15	15	灰	ash	571	646	ASH		63	天文地理
Chen-2012-888-16	16	烟	smoke	572	778	SMOKE (EXHAUST)		19	天文地理
Chen-2012-888-17	17	扬尘	dust	572	2	DUST		45	天文地理
Chen-2012-888-18	18	地	ground	572	2159	GROUND		22	天文地理
Chen-2012-888-19	19	山	mountain	573	639	MOUNTAIN		23	天文地理
Chen-2012-888-20	20	洞	cave/ hole	573	1667	HOLE		29	天文地理
Chen-2012-888-21	21	河	river	573	666	RIVER		30	天文地理
Chen-2012-888-22	22	池塘	pond	574	2035	POND		33	天文地理
Chen-2012-888-23	23	沟	ditch (gully)	574	2002	DITCH		34	天文地理
Chen-2012-888-24	24	井	well	574	954	WELL		35	天文地理
Chen-2012-888-25	25	路	road	575	667	ROAD		38	天文地理
Chen-2012-888-26	26	水田	paddy field	575	140	PADDY FIELD		42	天文地理
Chen-2012-888-27	27	旱地	field	575	212	FIELD		41	天文地理
Chen-2012-888-28	28	石头	stone	576	857	STONE		43	天文地理
Chen-2012-888-29	29	沙子	sand	576	671	SAND		44	天文地理
Chen-2012-888-30	30	泥巴	mud	576	640	MUD		46	天文地理
Chen-2012-888-31	31	水	water	577	948	WATER		47	天文地理
Chen-2012-888-32	32	铁	iron	577	621	IRON		54	天文地理
Chen-2012-888-33	33	煤	coal	577	2658	COAL		58	天文地理
Chen-2012-888-34	34	村寨	village	578	930	VILLAGE		66	天文地理
Chen-2012-888-35	35	集市	market	578	633	MARKET		0	天文地理
