ID	NUMBER	ENGLISH	PART_OF_SPEECH	STATES	MEAN_RATE	RATE_SD	ENGLISH_FREQUENCY	SPANISH_FREQUENCY	RUSSIAN_FREQUENCY	GREEK_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS	RANK
Pagel-2007-200-1	1	ALL	Adj.	15	2.02	0.03	2629.00	5477.21	8512.22	2874.09	98	ALL	58
Pagel-2007-200-2	2	AND	Conj.	25	3.39	0.03	26817.00	25203.09	36209.75	35683.41	1577	AND	126
Pagel-2007-200-3	3	ANIMAL	Noun	23	3.40	0.03	153.00	89.56	85.26	60.33	619	ANIMAL	128
Pagel-2007-200-4	4	ASHES	Noun	21	2.65	0.03	13.00	5.74	8.88	6.99	646	ASH	91
Pagel-2007-200-5	5	AT	Prep.	28	5.69	0.04	4790.00	23610.29	4956.00	7955.55	1461	AT	184
Pagel-2007-200-6	6	BACK	Noun	26	4.29	0.03	212.00	48.38	297.72	34.05	1291	BACK	158
Pagel-2007-200-7	7	BAD	Adj.	40	6.87	0.04	264.00	237.50	101.03	269.39	1292	BAD	190
Pagel-2007-200-8	8	BARK (OF A TREE)	Noun	27	3.79	0.03	5.00	3.82	15.85	7.50	1204	BARK	146
Pagel-2007-200-9	9	BECAUSE	Conj.	39	7.11	0.04	852.00	3855.15	777.33	365.24	1157	BECAUSE	193
Pagel-2007-200-10	10	BELLY	Noun	28	4.39	0.03	10.00	2.94	104.28	9.12	1251	BELLY	161
Pagel-2007-200-11	11	BIG	Adj.	24	3.41	0.03	338.00	478.09	1617.51	2040.45	1202	BIG	130
Pagel-2007-200-12	12	BIRD	Noun	15	2.15	0.03	93.00	28.53	111.44	20.10	937	BIRD	63
Pagel-2007-200-13	13	BLACK	Adj.	15	1.91	0.03	264.00	145.15	276.36	126.06	163	BLACK	56
Pagel-2007-200-14	14	BLOOD	Noun	15	2.19	0.04	102.00	95.00	255.31	74.50	946	BLOOD	66
Pagel-2007-200-15	15	BONE	Noun	13	1.34	0.03	47.00	26.32	79.55	30.43	1394	BONE	34
Pagel-2007-200-16	16	CHILD (YOUNG)	Verb	36	6.31	0.03	710.00	735.88	557.01	500.84	1304	CHILD (YOUNG HUMAN)	187
Pagel-2007-200-17	17	CLOUD	Noun	24	3.25	0.03	37.00	19.71	45.52	22.16	1489	CLOUD	120
Pagel-2007-200-18	18	COLD (WEATHER)	Adj.	22	3.58	0.03	103.00	104.85	156.77	19.88	2483	COLD (OF WEATHER)	137
Pagel-2007-200-19	19	DAY (NOT NIGHT)	Noun	10	1.04	0.03	940.00	1459.56	1281.93	827.10	1225	DAY (NOT NIGHT)	27
Pagel-2007-200-20	20	DIRTY	Adj.	46	9.27	0.04	27.00	31.18	93.41	11.27	1230	DIRTY	200
Pagel-2007-200-21	21	DOG	Noun	15	1.79	0.03	124.00	128.82	209.56	19.62	2009	DOG	52
Pagel-2007-200-22	22	DRY (SUBSTANCE)	Adj.	13	1.83	0.04	56.00	23.97	113.62	9.58	1398	DRY	53
Pagel-2007-200-23	23	DULL (KNIFE)	Adj.	34	6.79	0.04	18.00	0.29	32.88	0.18	379	BLUNT	189
Pagel-2007-200-24	24	DUST	Noun	26	3.63	0.03	26.00	20.44	98.08	14.14	2	DUST	140
Pagel-2007-200-25	25	EAR	Noun	6	0.88	0.05	59.00	101.91	244.40	21.07	1247	EAR	23
Pagel-2007-200-26	26	EARTH (SOIL)	Noun	23	3.52	0.03	97.00	137.65	622.47	110.93	1228	EARTH (SOIL)	133
Pagel-2007-200-27	27	EGG	Noun	13	1.57	0.04	62.00	22.35	45.75	5.44	744	EGG	39
Pagel-2007-200-28	28	EYE	Noun	8	0.93	0.04	392.00	235.59	1308.72	141.69	1248	EYE	24
Pagel-2007-200-29	29	FAR	Adj.	19	3.14	0.04	288.00	90.88	396.38	84.16	1406	FAR	118
Pagel-2007-200-30	30	FAT (SUBSTANCE)	Noun	31	4.89	0.03	21.00	14.71	34.22	8.64	323	FAT (ORGANIC SUBSTANCE)	175
Pagel-2007-200-31	31	FATHER	Pronoun	9	2.30	0.06	252.00	499.12	542.12	132.02	1217	FATHER	70
Pagel-2007-200-32	32	FEATHER (LARGE)	Noun	15	2.35	0.04	13.00	18.68	45.94	13.94	1201	FEATHER	72
Pagel-2007-200-33	33	FEW	Adj.	31	4.45	0.03	450.00	1169.85	250.25	940.23	1242	FEW	164
Pagel-2007-200-34	34	FIRE	Noun	15	1.75	0.03	145.00	50.59	224.03	72.74	221	FIRE	47
Pagel-2007-200-35	35	FISH	Noun	11	1.45	0.04	105.00	18.97	111.70	19.82	227	FISH	36
Pagel-2007-200-36	36	FIVE	Number	1	0.09	0.09	409.00	377.50	318.89	256.31	493	FIVE	1
Pagel-2007-200-37	37	FLOWER	Noun	18	2.29	0.03	76.00	109.56	129.13	17.17	239	FLOWER	69
Pagel-2007-200-38	38	FOG	Noun	32	4.97	0.04	11.00	5.15	77.37	6.03	249	FOG	176
Pagel-2007-200-39	39	FOOT	Noun	12	1.39	0.03	214.00	142.21	732.34	87.56	1301	FOOT	35
Pagel-2007-200-40	40	FOUR	Number	2	0.38	0.13	465.00	406.32	260.93	273.19	1500	FOUR	7
Pagel-2007-200-41	41	FRUIT	Noun	23	2.95	0.03	51.00	22.65	37.98	10.96	1507	FRUIT	112
Pagel-2007-200-42	42	GOOD	Adj.	25	3.04	0.03	1276.00	2433.68	824.88	1368.02	1035	GOOD	116
Pagel-2007-200-43	43	GRASS	Noun	22	2.73	0.03	45.00	7.94	141.19	2.92	606	GRASS	97
Pagel-2007-200-44	44	GREEN	Adj.	19	2.46	0.03	101.00	58.82	205.69	99.51	1425	GREEN	80
Pagel-2007-200-45	45	GUTS	Noun	35	6.89	0.04	5.00	5.44	24.50	4.21	1334	GUTS	191
Pagel-2007-200-46	46	HAIR	Noun	24	3.61	0.03	150.00	69.26	177.09	21.20	1040	HAIR	139
Pagel-2007-200-47	47	HAND	Noun	8	0.82	0.04	532.00	446.18	1772.56	254.92	1277	HAND	19
Pagel-2007-200-48	48	HE	Pronoun	11	2.45	0.05	8469.00	1201.62	18972.22	389.45	1211	HE	79
Pagel-2007-200-49	49	HEAD	Noun	17	2.32	0.03	402.00	195.29	1112.87	75.09	1256	HEAD	71
Pagel-2007-200-50	50	HEART	Noun	13	1.69	0.03	152.00	106.47	280.73	72.39	1223	HEART	43
Pagel-2007-200-51	51	HEAVY	Adj.	20	2.89	0.03	105.00	32.65	246.08	91.11	1210	HEAVY	107
Pagel-2007-200-52	52	HERE	Adv.	24	3.25	0.03	699.00	1438.97	927.16	676.66	136	HERE	121
Pagel-2007-200-53	53	HOLD (IN HAND)	Verb	29	4.48	0.03	481.00	71.47	266.87	262.12	1448	HOLD	166
Pagel-2007-200-54	54	HOW	Adv.	3	0.41	0.08	1016.00	1206.47	7165.64	427.02	1239	HOW	8
Pagel-2007-200-55	55	HUSBAND	Noun	28	4.74	0.03	123.00	126.18	226.56	191.30	1200	HUSBAND	170
Pagel-2007-200-56	56	I	Pronoun	1	0.09	0.09	10241.00	5990.29	15227.54	430.75	1209	I	2
Pagel-2007-200-57	57	ICE	Noun	20	2.58	0.03	41.00	16.32	62.09	41.06	617	ICE	88
Pagel-2007-200-58	58	IF	Conj.	27	4.32	0.03	2369.00	3533.97	1979.70	2504.48	1459	IF	160
Pagel-2007-200-59	59	IN	Prep.	12	1.78	0.04	18214.00	22657.50	27965.58	7955.55	1460	IN	50
Pagel-2007-200-60	60	KNOW (FACTS)	Verb	13	2.11	0.04	1882.00	2906.47	1985.18	532.19	1410	KNOW (SOMETHING)	61
Pagel-2007-200-61	61	LAKE	Noun	25	3.50	0.03	51.00	19.71	72.66	21.00	624	LAKE	131
Pagel-2007-200-62	62	LEAF	Noun	19	2.43	0.03	51.00	40.15	135.37	55.29	628	LEAF	78
Pagel-2007-200-63	63	LEFT (HAND)	Adj.	30	4.41	0.03	95.00	191.62	130.47	173.70	244	LEFT	162
Pagel-2007-200-64	64	LEG	Noun	25	3.73	0.03	118.00	70.88	732.34	87.56	1297	LEG	144
Pagel-2007-200-65	65	LIVER	Noun	17	2.66	0.04	17.00	6.03	22.93	3.09	1224	LIVER	92
Pagel-2007-200-66	66	LONG	Adj.	12	1.22	0.03	573.00	237.94	368.04	142.79	1203	LONG	31
Pagel-2007-200-67	67	LOUSE	Noun	12	1.74	0.04	2.00	3.53	2.99	0.77	1392	LOUSE	46
Pagel-2007-200-68	68	MAN (MALE)	Noun	18	3.38	0.04	1003.00	964.12	239.15	347.29	1554	MAN	125
Pagel-2007-200-69	69	MANY	Adj.	32	5.60	0.04	902.00	2866.32	137.93	865.82	1198	MANY	183
Pagel-2007-200-70	70	MEAT (FLESH)	Noun	15	1.62	0.03	38.00	78.53	83.57	27.54	634	MEAT	41
Pagel-2007-200-71	71	MOTHER	Pronoun	10	2.36	0.07	295.00	447.94	423.52	97.89	1216	MOTHER	75
Pagel-2007-200-72	72	MOUNTAIN	Noun	20	2.75	0.03	68.00	34.56	191.37	33.61	639	MOUNTAIN	101
Pagel-2007-200-73	73	MOUTH	Noun	19	2.78	0.03	99.00	102.21	105.47	45.12	674	MOUTH	104
Pagel-2007-200-74	74	NAME	Noun	4	0.47	0.06	326.00	280.74	348.41	214.85	1405	NAME	10
Pagel-2007-200-75	75	NARROW	Adj.	19	2.89	0.04	54.00	20.59	104.40	114.44	1267	NARROW	108
Pagel-2007-200-76	76	NEAR	Adj.	35	4.86	0.03	44.00	138.24	172.00	188.69	1942	NEAR	173
Pagel-2007-200-77	77	NECK	Noun	21	3.57	0.04	60.00	32.50	140.38	17.60	1333	NECK	135
