ID	NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Castro-2010-540-1	1	sky	天(天空)	1732	SKY
Castro-2010-540-2	2	sun*	太阳	1343	SUN
Castro-2010-540-3	3	moon*	月亮	1313	MOON
Castro-2010-540-4	4	star*	星星	1430	STAR
Castro-2010-540-5	5	cloud*	云	1489	CLOUD
Castro-2010-540-6	6	wind	风	960	WIND
Castro-2010-540-7	7	rain*	雨	658	RAIN (PRECIPITATION)
Castro-2010-540-8	8	lightning	闪电	1654	LIGHTNING
Castro-2010-540-9	9	thunder	雷(声)	1150	THUNDER
Castro-2010-540-10	10	rainbow	彩虹	1733	RAINBOW
Castro-2010-540-11	11	water*	水	948	WATER
Castro-2010-540-12	12	land	地(大地)	626	LAND
Castro-2010-540-13	13	earth*	土(土壤)	1228	EARTH (SOIL)
Castro-2010-540-14	14	mud	泥(巴)	640	MUD
Castro-2010-540-15	15	river*	河	3311	FLOWING BODY OF WATER
Castro-2010-540-16	16	lake	湖	624	LAKE
Castro-2010-540-17	17	mountain*	山	639	MOUNTAIN
Castro-2010-540-18	18	gold	金(子)	1369	GOLD
Castro-2010-540-19	19	silver	银(子)	759	SILVER
Castro-2010-540-20	20	iron	铁	621	IRON
Castro-2010-540-21	21	stone*	石头	857	STONE
Castro-2010-540-22	22	fire*	火	221	FIRE
Castro-2010-540-23	23	flame	火焰	889	FLAME
Castro-2010-540-24	24	smoke*	烟(炊烟)	778	SMOKE (EXHAUST)
Castro-2010-540-25	25	night*	夜	1233	NIGHT
Castro-2010-540-26	26	day	日(子)，天	1260	DAY (24 HOURS)
Castro-2010-540-27	27	today	今天	1283	TODAY
Castro-2010-540-28	28	yesterday	昨天	1174	YESTERDAY
Castro-2010-540-29	29	day before yesterday	前天	1180	DAY BEFORE YESTERDAY
Castro-2010-540-30	30	tomorrow	明天	1329	TOMORROW
Castro-2010-540-31	31	day after tomorrow	后天	1179	DAY AFTER TOMORROW
Castro-2010-540-32	32	year	年	1226	YEAR
Castro-2010-540-33	33	morning	早晨	1339	MORNING
Castro-2010-540-34	34	ox	牛(黄牛)	1169	OX
Castro-2010-540-35	35	water buffalo	水牛	2516	WATER BUFFALO
Castro-2010-540-36	36	horse	马	615	HORSE
Castro-2010-540-37	37	pig	猪	1337	PIG
Castro-2010-540-38	38	goat	山羊	1502	GOAT
Castro-2010-540-39	39	sheep	绵羊	1331	SHEEP
Castro-2010-540-40	40	dog*	狗	2009	DOG
Castro-2010-540-41	41	cat	猫	1208	CAT
Castro-2010-540-42	42	rabbit	兔子	1136	RABBIT
Castro-2010-540-43	43	dragon	龙	2038	DRAGON
Castro-2010-540-44	44	wild animal	野生动物	958	WILD ANIMAL
Castro-2010-540-45	45	bear	熊	1820	BEAR
Castro-2010-540-46	46	tiger	老虎	846	TIGER
Castro-2010-540-47	47	wolf	狼	522	WOLF
Castro-2010-540-48	48	monkey	猴子	1350	MONKEY
Castro-2010-540-49	49	otter	水獭	15	OTTER
Castro-2010-540-50	50	rat	老鼠	1490	RAT
Castro-2010-540-51	51	chicken	鸡	1318	CHICKEN
Castro-2010-540-52	52	cockerel	公鸡	1511	ROOSTER
Castro-2010-540-53	53	duck	鸭子	1360	DUCK
Castro-2010-540-54	54	goose	鹅	1187	GOOSE
Castro-2010-540-55	55	bird*	鸟	937	BIRD
Castro-2010-540-56	56	dove	鸽	1853	DOVE
Castro-2010-540-57	57	eagle	老鹰	1905	EAGLE
Castro-2010-540-58	58	bat	蝙蝠	1793	BAT
Castro-2010-540-59	59	frog	青蛙	503	FROG
Castro-2010-540-60	60	fish*	鱼	227	FISH
Castro-2010-540-61	61	snake	蛇	730	SNAKE
Castro-2010-540-62	62	leech	蚂蟥/水蛭	2273	LEECH
Castro-2010-540-63	63	spider	蜘蛛	843	SPIDER
Castro-2010-540-64	64	insect	昆虫	620	INSECT
Castro-2010-540-65	65	ant	蚂蚁	587	ANT
Castro-2010-540-66	66	fly	苍蝇	1504	FLY (INSECT)
Castro-2010-540-67	67	bee	蜜蜂	665	BEE
Castro-2010-540-68	68	mosquito	蚊子	1509	MOSQUITO
Castro-2010-540-69	69	butterfly	蝴蝶	1791	BUTTERFLY
Castro-2010-540-70	70	louse*	虱子(衣上)	1392	LOUSE
Castro-2010-540-71	71	egg*	蛋	744	EGG
Castro-2010-540-72	72	wing	翅膀	1257	WING
Castro-2010-540-73	73	horn*	角	1393	HORN (ANATOMY)
Castro-2010-540-74	74	tail*	尾巴	1220	TAIL
Castro-2010-540-75	75	tree*	树	906	TREE
Castro-2010-540-76	76	pine tree	松树	1740	PINE
Castro-2010-540-77	77	bamboo	竹子	1927	BAMBOO
Castro-2010-540-78	78	wheat	小麦	1077	WHEAT
Castro-2010-540-79	79	buckwheat	荞麦/荞子	2040	BUCKWHEAT
Castro-2010-540-80	80	barley	大麦	932	BARLEY
Castro-2010-540-81	81	maize	玉米	506	MAIZE
Castro-2010-540-82	82	cooked rice	饭	1191	COOKED RICE
Castro-2010-540-83	83	rice	大米	926	RICE
Castro-2010-540-84	84	dish (vegetables)	菜(饭菜)	3542	PREPARED FOOD
Castro-2010-540-85	85	soup	汤(菜汤)	1547	SOUP
Castro-2010-540-86	86	peanut	花生	2364	PEANUT
Castro-2010-540-87	87	walnut	核桃	2042	WALNUT
Castro-2010-540-88	88	bean	豆子	832	BEAN
Castro-2010-540-89	89	gourd	葫芦	411	GOURD
Castro-2010-540-90	90	aubergine	茄子	1146	AUBERGINE
Castro-2010-540-91	91	garlic	蒜	2368	GARLIC
Castro-2010-540-92	92	ginger	姜	2500	GINGER
Castro-2010-540-93	93	chilli pepper	辣椒	919	CHILI PEPPER
Castro-2010-540-94	94	fruit	果子(水果)	1507	FRUIT
Castro-2010-540-95	95	banana	香蕉(芭蕉)	868	BANANA
Castro-2010-540-96	96	taro	芋头	351	TARO
Castro-2010-540-97	97	tobacco	烟(烟草)	974	TOBACCO
Castro-2010-540-98	98	grass	草(青草)	606	GRASS
Castro-2010-540-99	99	mushroom	菌子	641	MUSHROOM
Castro-2010-540-100	100	seed*	种子	714	SEED
Castro-2010-540-101	101	root*	根(树根)	670	ROOT
Castro-2010-540-102	102	leaf*	叶子	628	LEAF
Castro-2010-540-103	103	branch	树枝	1531	BRANCH
Castro-2010-540-104	104	shoot	芽(种子芽)	1684	BUD
Castro-2010-540-105	105	flower	花	239	FLOWER
Castro-2010-540-106	106	board	板子(木板)	1227	BOARD
Castro-2010-540-107	107	stick	棍子	1295	STICK
Castro-2010-540-108	108	bark*	树皮	1204	BARK
Castro-2010-540-109	109	thorn	刺	124	THORN
Castro-2010-540-110	110	ash*	灰(火灰、草木灰)	646	ASH
Castro-2010-540-111	111	body	身体	1480	BODY
Castro-2010-540-112	112	head*	头	1256	HEAD
Castro-2010-540-113	113	brain	脑髓	1583	BRAIN
Castro-2010-540-114	114	hair (on head)*	头发	2648	HAIR (HEAD)
Castro-2010-540-115	115	face	脸	1560	FACE
Castro-2010-540-116	116	eye*	眼睛	1248	EYE
Castro-2010-540-117	117	nose*	鼻子	1221	NOSE
Castro-2010-540-118	118	ear*	耳朵	1247	EAR
Castro-2010-540-119	119	mouth*	嘴(里面)	674	MOUTH
Castro-2010-540-120	120	tooth*	牙齿	1380	TOOTH
Castro-2010-540-121	121	tongue*	舌头	1205	TONGUE
Castro-2010-540-122	122	beard	胡子	678	BEARD
Castro-2010-540-123	123	chin	下巴	1510	CHIN
Castro-2010-540-124	124	neck*	脖子	1333	NECK
Castro-2010-540-125	125	shoulder	肩膀	1482	SHOULDER
Castro-2010-540-126	126	hand+arm *	手·胳臂	2121	ARM OR HAND
Castro-2010-540-127	127	hand	手	1277	HAND
Castro-2010-540-128	128	arm	胳臂	1673	ARM
Castro-2010-540-129	129	palm	手掌	1183	PALM OF HAND
Castro-2010-540-130	130	wrist	手腕	799	WRIST
Castro-2010-540-131	131	elbow	肘	981	ELBOW
Castro-2010-540-132	132	finger	手指	1303	FINGER
Castro-2010-540-133	133	thumb	拇指	1781	THUMB
Castro-2010-540-134	134	fingernail*	指甲	1258	FINGERNAIL
