ID	NUMBER	ENGLISH	MALAY	CONCEPTICON_ID	CONCEPTICON_GLOSS
vanDort-2007-50-1	1	House	Rumah	1252	HOUSE
vanDort-2007-50-2	2	Flower	Bunga	239	FLOWER
vanDort-2007-50-3	3	Tree	Pokok	906	TREE
vanDort-2007-50-4	4	Pencil	Pensel/kalε/	2578	PENCIL
vanDort-2007-50-5	5	Scissors	Gunting	356	SHEARS
vanDort-2007-50-6	6	Comb	Sikat/ Sisir	1475	COMB
vanDort-2007-50-7	7	Saw	Gergaji/Gaji	1948	SAW
vanDort-2007-50-8	8	Camel	Unta/untç/	1871	CAMEL
vanDort-2007-50-9	9	Kris	Keris		
vanDort-2007-50-10	10	Cane	Tongkat	146	SUGAR CANE
vanDort-2007-50-11	11	Bed	Katil	1663	BED
vanDort-2007-50-12	12	Toothbrush	Berus gigi	2579	TOOTHBRUSH
vanDort-2007-50-13	13	Swing	Buai/Buaian/əndo/	3101	SWING
vanDort-2007-50-14	14	Flag	Bendera	2623	FLAG
vanDort-2007-50-15	15	Squid	Sotong		
vanDort-2007-50-16	16	Ketupat	Ketupat		
vanDort-2007-50-17	17	Top	Gasing	3996	TOP (TOY)	
vanDort-2007-50-18	18	Rickshaw/Taxi	Beca/Teksi		
vanDort-2007-50-19	19	Antenna	Antena/Aerial		
vanDort-2007-50-20	20	Tent	Khemah	1316	TENT
vanDort-2007-50-21	21	Raft	Rakit	1664	RAFT
vanDort-2007-50-22	22	Guitar	Gitar	3090	GUITAR
vanDort-2007-50-23	23	Rhinoceros	Badak sumbu	2591	RHINOCEROS
vanDort-2007-50-24	24	Grasshopper	Belalang	607	GRASSHOPPER
vanDort-2007-50-25	25	Helicopter	Helikopter	2580	HELICOPTER
vanDort-2007-50-26	26	Snail	Siput	1543	SNAIL
vanDort-2007-50-27	27	Noose	Tali gantung	2604	NOOSE
vanDort-2007-50-28	28	Squirrel	Tupai	1628	SQUIRREL
vanDort-2007-50-29	29	Sickle	Sabit/Sadak/ Penyabit	341	SICKLE
vanDort-2007-50-30	30	Whistle	Wisel	3107	WHISTLE (INSTRUMENT)
vanDort-2007-50-31	31	Volcano	Gunung berapi	2291	VOLCANO
vanDort-2007-50-32	32	Mask	Topeng	2005	MASK
vanDort-2007-50-33	33	Padlock/Lock/ Chicken pedal	Mangga/Ibu kunci/ Pedal ayam		
vanDort-2007-50-34	34	Giraffe	Zirafah	3089	GIRAFFE
vanDort-2007-50-35	35	Peacock	Burung merak	3382	PEACOCK
vanDort-2007-50-36	36	Gong	Gong	2502	GONG
vanDort-2007-50-37	37	Stingray	Ikan pari/Tuko	1910	STINGRAY
vanDort-2007-50-38	38	Scorpion	Kala jengking/Kala/Jengking	1538	SCORPION
vanDort-2007-50-39	39	Flute	Seruling/Suna	777	FLUTE
vanDort-2007-50-40	40	Chisel	Pahat/Pemahat	1979	CHISEL
vanDort-2007-50-41	41	Lantern	Tanglung		
vanDort-2007-50-42	42	Cactus	Kaktus	2595	CACTUS
vanDort-2007-50-43	43	Seahorse	Kuda laut	2586	SEAHORSE
vanDort-2007-50-44	44	Funnel	Corong/Copofng/Calong	2602	FUNNEL
vanDort-2007-50-45	45	Pyramid	Piramid	2600	PYRAMID
vanDort-2007-50-46	46	Compass	Kompas	2606	COMPASS
vanDort-2007-50-47	47	Medal	Pingat		
vanDort-2007-50-48	48	Hornbill/Kenyalang	Burong enggang/Kenyalang	3260	HORNBILL
vanDort-2007-50-49	49	Angklung	Angklung		
vanDort-2007-50-50	50	Abacus/Sepua	Sempoa/Sepua	2489	ABACUS
