ID	NUMBER	RANK	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pozdniakov-2014-100a-1	1	1	I	1209	I
Pozdniakov-2014-100a-2	2	2	you sg.	1215	THOU
Pozdniakov-2014-100a-3	3	3	two	1498	TWO
Pozdniakov-2014-100a-4	4	4	eye	1248	EYE
Pozdniakov-2014-100a-5	5	5	we	1212	WE
Pozdniakov-2014-100a-6	6	6	tongue	1205	TONGUE
Pozdniakov-2014-100a-7	7	7	name	1405	NAME
Pozdniakov-2014-100a-8	8	8	one++	1493	ONE
Pozdniakov-2014-100a-9	9	9	dog+	2009	DOG
Pozdniakov-2014-100a-10	10	10	nail+	2128	CLAW OR NAIL
Pozdniakov-2014-100a-11	11	11	die	1494	DIE
Pozdniakov-2014-100a-12	12	12	water+	948	WATER
Pozdniakov-2014-100a-13	13	13	tooth+	1380	TOOTH
Pozdniakov-2014-100a-14	14	14	louse	1392	LOUSE
Pozdniakov-2014-100a-15	15	15	fire-	221	FIRE
Pozdniakov-2014-100a-16	16	16	blood	946	BLOOD
Pozdniakov-2014-100a-17	17	17	hand	1277	HAND
Pozdniakov-2014-100a-18	18	18	moon	1313	MOON
Pozdniakov-2014-100a-19	19	19	nose++	1221	NOSE
Pozdniakov-2014-100a-20	20	20	liver-	1224	LIVER
Pozdniakov-2014-100a-21	21	21	ear-	1247	EAR
Pozdniakov-2014-100a-22	22	22	eat	1336	EAT
Pozdniakov-2014-100a-23	23	23	heart-	1223	HEART
Pozdniakov-2014-100a-24	24	24	sun+	1343	SUN
Pozdniakov-2014-100a-25	25	25	star++	1430	STAR
Pozdniakov-2014-100a-26	26	26	stone--	857	STONE
Pozdniakov-2014-100a-27	27	27	new	1231	NEW
Pozdniakov-2014-100a-28	28	28	what-	1236	WHAT
Pozdniakov-2014-100a-29	29	29	who--	1235	WHO
Pozdniakov-2014-100a-30	30	30	smoke+	778	SMOKE (EXHAUST)
Pozdniakov-2014-100a-31	31	31	bone	1394	BONE
Pozdniakov-2014-100a-32	32	32	full	1429	FULL
Pozdniakov-2014-100a-33	33	33	hair-	1040	HAIR
Pozdniakov-2014-100a-34	34	34	give+	1447	GIVE
Pozdniakov-2014-100a-35	35	35	rain+	2108	RAINING OR RAIN
Pozdniakov-2014-100a-36	36	36	tail-	1220	TAIL
Pozdniakov-2014-100a-37	37	37	tree+	906	TREE
Pozdniakov-2014-100a-38	38	38	fish+	227	FISH
Pozdniakov-2014-100a-39	39	39	stand-	1442	STAND
Pozdniakov-2014-100a-40	40	40	drink--	1401	DRINK
Pozdniakov-2014-100a-41	41	41	no-	1269	NO
Pozdniakov-2014-100a-42	42	42	leaf	628	LEAF
Pozdniakov-2014-100a-43	43	43	foot+	1301	FOOT
Pozdniakov-2014-100a-44	44	44	this--	1214	THIS
Pozdniakov-2014-100a-45	45	45	dry--	1398	DRY
Pozdniakov-2014-100a-46	46	46	horn+	1393	HORN (ANATOMY)
Pozdniakov-2014-100a-47	47	47	head++	1256	HEAD
Pozdniakov-2014-100a-48	48	48	hear+	1408	HEAR
Pozdniakov-2014-100a-49	49	49	black++	163	BLACK
Pozdniakov-2014-100a-50	50	50	come+	1446	COME
Pozdniakov-2014-100a-51	51	51	sleep+	1585	SLEEP
Pozdniakov-2014-100a-52	52	52	ground++	1228	EARTH (SOIL)
Pozdniakov-2014-100a-53	53	53	egg+	744	EGG
Pozdniakov-2014-100a-54	54	54	knee+	1371	KNEE
Pozdniakov-2014-100a-55	55	55	long	1203	LONG
Pozdniakov-2014-100a-56	56	56	skin	763	SKIN
Pozdniakov-2014-100a-57	57	57	road+	667	ROAD
