ID	NUMBER	ENGLISH	JAPANESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lee-2013-200-1	1	I	ワタシ	1209	I
Lee-2013-200-2	2	thou	アナタ	1215	THOU
Lee-2013-200-3	3	we	ワタシタチ	1212	WE
Lee-2013-200-4	4	this	コレ	1214	THIS
Lee-2013-200-5	5	that	アレ	78	THAT
Lee-2013-200-6	6	who	ダレ	1235	WHO
Lee-2013-200-7	7	what	ナニ	1236	WHAT
Lee-2013-200-8	8	not	ナイ	1240	NOT
Lee-2013-200-9	9	all	ミンナ	98	ALL
Lee-2013-200-10	10	many	タクサン	1198	MANY
Lee-2013-200-11	11	one	ヒトツ	1493	ONE
Lee-2013-200-12	12	two	フタツ	1498	TWO
Lee-2013-200-13	13	big	オーキイ	1202	BIG
Lee-2013-200-14	14	long	ナガイ	1203	LONG
Lee-2013-200-15	15	small	チッチャイ	1246	SMALL
Lee-2013-200-16	16	woman	オンナ	962	WOMAN
Lee-2013-200-17	17	man	オトコ	1554	MAN
Lee-2013-200-18	18	person	ヒト	683	PERSON
Lee-2013-200-19	19	fish	サカナ	227	FISH
Lee-2013-200-20	20	bird	トリ	937	BIRD
Lee-2013-200-21	21	dog	イヌ	2009	DOG
Lee-2013-200-22	22	louse	シラミ	1392	LOUSE
Lee-2013-200-23	23	tree	キ	906	TREE
Lee-2013-200-24	24	seed	タネ	714	SEED
Lee-2013-200-25	25	leaf	ハッパ	628	LEAF
Lee-2013-200-26	26	root	ネッコ	670	ROOT
Lee-2013-200-27	27	bark	カワ	1204	BARK
Lee-2013-200-28	28	skin	カワ	763	SKIN
Lee-2013-200-29	29	meat	ニク	634	MEAT
Lee-2013-200-30	30	blood	チ	946	BLOOD
Lee-2013-200-31	31	bone	ホネ	1394	BONE
Lee-2013-200-32	32	grease(fat)	アブラ	323	FAT (ORGANIC SUBSTANCE)
Lee-2013-200-33	33	egg	タマゴ	744	EGG
Lee-2013-200-34	34	horn	ツノ	1393	HORN (ANATOMY)
Lee-2013-200-35	35	tail	シッポ	1220	TAIL
Lee-2013-200-36	36	feather	ハネ	1201	FEATHER
Lee-2013-200-37	37	hair	ケ	1040	HAIR
Lee-2013-200-38	38	head	アタマ	1256	HEAD
Lee-2013-200-39	39	ear	ミミ	1247	EAR
Lee-2013-200-40	40	eye	メ	1248	EYE
Lee-2013-200-41	41	nose	ハナ	1221	NOSE
Lee-2013-200-42	42	mouth	クチ	674	MOUTH
Lee-2013-200-43	43	tooth	ハ	1380	TOOTH
Lee-2013-200-44	44	tongue	シタ	1205	TONGUE
Lee-2013-200-45	45	claw	ツメ	72	CLAW
Lee-2013-200-46	46	foot	アシ	1301	FOOT
Lee-2013-200-47	47	knee	ヒザ	1371	KNEE
Lee-2013-200-48	48	hand	テ	1277	HAND
Lee-2013-200-49	49	belly	オナカ	1251	BELLY
Lee-2013-200-50	50	neck	クビ	1333	NECK
Lee-2013-200-51	51	breast	ムネ	1402	BREAST
Lee-2013-200-52	52	heart	シンゾー	1223	HEART
Lee-2013-200-53	53	liver	キモ	1224	LIVER
Lee-2013-200-54	54	to drink	ノム	1401	DRINK
Lee-2013-200-55	55	to eat	タベル	1336	EAT
Lee-2013-200-56	56	to eat	タベル	1336	EAT
Lee-2013-200-57	57	to bite	カミツク	1403	BITE
Lee-2013-200-58	58	to see	ミル	1409	SEE
Lee-2013-200-59	59	to hear	キク	1408	HEAR
Lee-2013-200-60	60	to know	シッテル	1410	KNOW (SOMETHING)
Lee-2013-200-61	61	to sleep	ネムル	1585	SLEEP
Lee-2013-200-62	62	to die	シヌ	1494	DIE
Lee-2013-200-63	63	to kill	コロス	1417	KILL
Lee-2013-200-64	64	to swim	オヨグ	1439	SWIM
Lee-2013-200-65	65	to fly	トブ	1441	FLY (MOVE THROUGH AIR)
Lee-2013-200-66	66	to walk	アルク	1443	WALK
Lee-2013-200-67	67	to come	クル	1446	COME
Lee-2013-200-68	68	to lie	ネテル	1411	LIE (REST)
Lee-2013-200-69	69	to sit	スワッテル	1416	SIT
Lee-2013-200-70	70	to stand	タッテル	1442	STAND
Lee-2013-200-71	71	to give	アゲル	1447	GIVE
Lee-2013-200-72	72	to say	ユウ	1458	SAY
Lee-2013-200-73	73	sun	オヒサマ	1343	SUN
Lee-2013-200-74	74	moon	ツキ	1313	MOON
Lee-2013-200-75	75	star	ホシ	1430	STAR
Lee-2013-200-76	76	water	ミズ	948	WATER
Lee-2013-200-77	77	to rain	アメガフル	1253	RAIN (RAINING)
Lee-2013-200-78	78	stone	イシ	857	STONE
Lee-2013-200-79	79	sand	スナ	671	SAND
Lee-2013-200-80	80	earth	ツチ	1228	EARTH (SOIL)
Lee-2013-200-81	81	cloud	クモ	1489	CLOUD
Lee-2013-200-82	82	smoke	ケムリ	778	SMOKE (EXHAUST)
Lee-2013-200-83	83	fire	ヒ	221	FIRE
Lee-2013-200-84	84	ashes	ハイ	646	ASH
Lee-2013-200-85	85	to burn	モエル	2102	BURN
Lee-2013-200-86	86	path	ミチ	2252	PATH
Lee-2013-200-87	87	mountain	ヤマ	639	MOUNTAIN
Lee-2013-200-88	88	red	アカイ	156	RED
Lee-2013-200-89	89	green	アオイ	1425	GREEN
Lee-2013-200-90	90	yellow	キイロイ	1424	YELLOW
Lee-2013-200-91	91	white	シロイ	1335	WHITE
Lee-2013-200-92	92	black	クロイ	163	BLACK
Lee-2013-200-93	93	night	ヨル	1233	NIGHT
Lee-2013-200-94	94	hot	アツイ	1286	HOT
Lee-2013-200-95	95	cold	サムイ	1287	COLD
Lee-2013-200-96	96	full	イッパイ	1429	FULL
Lee-2013-200-97	97	new	アタラシイ	1231	NEW
Lee-2013-200-98	98	good	イイ	1035	GOOD
Lee-2013-200-99	99	round	マルイ	1395	ROUND
Lee-2013-200-100	100	dry	カワイタ	1398	DRY
Lee-2013-200-101	101	name	オマエ	1405	NAME
Lee-2013-200-102	102	ye	アナタタチ	1213	YOU
Lee-2013-200-103	103	he	アノヒト	1211	HE
Lee-2013-200-104	104	they	アノヒトタチ	817	THEY
Lee-2013-200-105	105	how	ドー	1239	HOW
Lee-2013-200-106	106	when	イツ	1238	WHEN
Lee-2013-200-107	107	where	ドコニ	1237	WHERE
Lee-2013-200-108	108	here	ココニ	136	HERE
Lee-2013-200-109	109	there	アソコ	1937	THERE
Lee-2013-200-110	110	other	ホカノ	197	OTHER
Lee-2013-200-111	111	three	ミッツ	492	THREE
Lee-2013-200-112	112	four	ヨッツ	1500	FOUR
Lee-2013-200-113	113	five	イツツ	493	FIVE
Lee-2013-200-114	114	few	スコシ	1242	FEW
Lee-2013-200-115	115	sky	ソラ	1732	SKY
Lee-2013-200-116	116	day	ヒルマ	1225	DAY (NOT NIGHT)
Lee-2013-200-117	117	fog	キリ	249	FOG
Lee-2013-200-118	118	wind	カゼ	960	WIND
Lee-2013-200-119	119	flow	ナガレル	2003	FLOW
Lee-2013-200-120	120	sea	ウミ	1474	SEA
Lee-2013-200-121	121	lake	ミズウミ	624	LAKE
Lee-2013-200-122	122	river	カワ	666	RIVER
Lee-2013-200-123	123	wet	ヌレタ	1726	WET
Lee-2013-200-124	124	wash	アラウ	1453	WASH
Lee-2013-200-125	125	snake	ヘビ	730	SNAKE
Lee-2013-200-126	126	worm	ムシ	1219	WORM
Lee-2013-200-127	127	back	セナカ	1291	BACK
Lee-2013-200-128	128	leg	アシ	1297	LEG
Lee-2013-200-129	129	arm	ウデ	1673	ARM
Lee-2013-200-130	130	wing	ハネ	1257	WING
Lee-2013-200-131	131	lip	クチビル	478	LIP
Lee-2013-200-132	132	fur	ケガワ	3232	PELT
Lee-2013-200-133	133	navel	オヘソ	1838	NAVEL
Lee-2013-200-134	134	guts	ハラワタ	1334	GUTS
Lee-2013-200-135	135	saliva	ツバ	1503	SALIVA
Lee-2013-200-136	136	milk	オッパイ	635	MILK
Lee-2013-200-137	137	fruit	ミ	1507	FRUIT
Lee-2013-200-138	138	flower	ハナ	239	FLOWER
Lee-2013-200-139	139	grass	クサ	606	GRASS
Lee-2013-200-140	140	with	ト	1340	WITH
Lee-2013-200-141	141	in	ニ	1460	IN
Lee-2013-200-142	142	at	デ	1461	AT
Lee-2013-200-143	143	if	モシ；タラ	1459	IF
Lee-2013-200-144	144	mother	オカーサン	1216	MOTHER
Lee-2013-200-145	145	father	オトーサン	1217	FATHER
Lee-2013-200-146	146	husband	シュジン	1200	HUSBAND
Lee-2013-200-147	147	wife	カナイ	1199	WIFE
Lee-2013-200-148	148	salt	シオ	1274	SALT
Lee-2013-200-149	149	ice	コーリ	617	ICE
Lee-2013-200-150	150	snow	ユキ	784	SNOW
Lee-2013-200-151	151	freeze	コール	1431	FREEZE
Lee-2013-200-152	152	child	コドモ	2099	CHILD
Lee-2013-200-153	153	dark	クライ	706	DARK
Lee-2013-200-154	154	cut	キル	1432	CUT
Lee-2013-200-155	155	wide	ヒロイ	1243	WIDE
Lee-2013-200-156	156	narrow	セマイ	1267	NARROW
Lee-2013-200-157	157	far	トーイ	1406	FAR
Lee-2013-200-158	158	near	チカイ	1942	NEAR
Lee-2013-200-159	159	thick	アツイ	1244	THICK
Lee-2013-200-160	160	thin	ウスイ	2308	THIN
Lee-2013-200-161	161	short	ミジカイ	1645	SHORT
Lee-2013-200-162	162	heavy	オモイ	1210	HEAVY
Lee-2013-200-163	163	dull	キレナイ	379	BLUNT
Lee-2013-200-164	164	sharp	キレル	1396	SHARP
Lee-2013-200-165	165	dirty	キタナイ	1230	DIRTY
Lee-2013-200-166	166	bad	ワルイ	1292	BAD
Lee-2013-200-167	167	rotten	クサッタ	1728	ROTTEN
Lee-2013-200-168	168	smooth	スベッコイ	1234	SMOOTH
Lee-2013-200-169	169	straight	マッスグナ	1404	STRAIGHT
Lee-2013-200-170	170	good	イイ	1035	GOOD
Lee-2013-200-171	171	left	ヒダリ	244	LEFT
Lee-2013-200-172	172	right	ミギ	1019	RIGHT
Lee-2013-200-173	173	old	フルイ	1229	OLD
Lee-2013-200-174	174	to rub	コスル	1449	RUB
Lee-2013-200-175	175	to pull	ヒッパル	1455	PULL
Lee-2013-200-176	176	to push	オス	1452	PUSH
Lee-2013-200-177	177	to throw	ナゲル	1456	THROW
Lee-2013-200-178	178	to hit	ナグル	1433	HIT
Lee-2013-200-179	179	to split	サケル	1437	SPLIT
Lee-2013-200-180	180	to pierce (to stab)	ツキサス	398	PIERCE
Lee-2013-200-181	181	to dig	ホル	1418	DIG
Lee-2013-200-182	182	to tie	ムスブ	1917	TIE
Lee-2013-200-183	183	to sew	ヌウ	1457	SEW
Lee-2013-200-184	184	to fall	オッコチル	1280	FALL
Lee-2013-200-185	185	to swell	フクレル	1573	SWELL
Lee-2013-200-186	186	to think	カンガエル	2271	THINK
Lee-2013-200-187	187	to sing	ウタウ	1261	SING
Lee-2013-200-188	188	to smell	カグ	2124	SMELL
Lee-2013-200-189	189	to vomit	ハク	1278	VOMIT
Lee-2013-200-190	190	to suck	スウ	1421	SUCK
Lee-2013-200-191	191	to blow	フク	175	BLOW (OF WIND)
Lee-2013-200-192	192	to fear	コワガル	1419	FEAR (BE AFRAID)
Lee-2013-200-193	193	to squeeze	シメツケル	1094	FASTEN
Lee-2013-200-194	194	to hold	モツ	1448	HOLD
Lee-2013-200-195	195	below	シタエ	1485	BELOW OR UNDER
Lee-2013-200-196	196	above	ウエエ	1741	ABOVE
Lee-2013-200-197	197	ripe	ジュクシタ	178	RIPE
Lee-2013-200-198	198	dust	ホコリ	2	DUST
Lee-2013-200-199	199	to live	イキテル	1422	BE ALIVE
Lee-2013-200-200	200	rope	ツナ	1218	ROPE
