ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CODE	MEAN_SWISS_GERMAN	MEAN_SECOND_L1	MEAN_TRANSLATIONAL_EQUIV	MEAN_CONCEP_VOCAB
Gampe-2017-48-1	1	cat	1208	CAT	ch_a11	0.906593407	0.816091954	0.75862069	0.93373494
Gampe-2017-48-2	2	snake	730	SNAKE	ch_a12	0.923076923	0.770114943	0.735632184	0.945783133
Gampe-2017-48-3	3	church	1349	CHURCH	ch_a21	0.335164835	0.459770115	0.149425287	0.524096386
Gampe-2017-48-4	4	castle	1938	FORTRESS	ch_a22	0.368131868	0.264367816	0.091954023	0.469879518
Gampe-2017-48-5	5	tomato	986	TOMATO	ch_b11	0.901098901	0.873563218	0.827586207	0.915662651
Gampe-2017-48-6	6	onion	2366	ONION	ch_b12	0.565934066	0.655172414	0.333333333	0.734939759
Gampe-2017-48-7	7	chair	1476	CHAIR	ch_b21	0.967032967	0.701149425	0.666666667	0.981927711
Gampe-2017-48-8	8	lamp	625	LAMP	ch_b22	0.873626374	0.770114943	0.666666667	0.939759036
Gampe-2017-48-9	9	bus	1070	BUS	ch_c11	0.912087912	0.827586207	0.747126437	0.951807229
Gampe-2017-48-10	10	boat	1844	BOAT	ch_c12	0.928571429	0.75862069	0.712643678	0.945783133
Gampe-2017-48-11	11	spider	843	SPIDER	ch_c21	0.571428571	0.712643678	0.494252874	0.680722892
Gampe-2017-48-12	12	butterfly	1791	BUTTERFLY	ch_c22	0.868131868	0.712643678	0.586206897	0.927710843
Gampe-2017-48-13	13	lemon	3091	LEMON	ch_d11	0.873626374	0.712643678	0.655172414	0.921686747
Gampe-2017-48-14	14	strawberry	3138	STRAWBERRY	ch_d12	0.620879121	0.747126437	0.459770115	0.771084337
Gampe-2017-48-15	15	eye	1248	EYE	ch_d21	0.923076923	0.827586207	0.770114943	0.957831325
Gampe-2017-48-16	16	leg	1297	LEG	ch_d22	0.714285714	0.793103448	0.551724138	0.837349398
Gampe-2017-48-17	17	table	1775	TABLE	ch_e11	0.851648352	0.770114943	0.632183908	0.909638554
Gampe-2017-48-18	18	sofa	3099	SOFA	ch_e12	0.912087912	0.75862069	0.701149425	0.957831325
Gampe-2017-48-19	19	horse	615	HORSE	ch_e21	0.807692308	0.770114943	0.609195402	0.903614458
Gampe-2017-48-20	20	tiger	846	TIGER	ch_e22	0.802197802	0.770114943	0.597701149	0.915662651
Gampe-2017-48-21	21	ant	587	ANT	ch_f11	0.549450549	0.471264368	0.310344828	0.638554217
Gampe-2017-48-22	22	ladybird	3139	LADYBUG	ch_f12	0.879120879	0.666666667	0.574712644	0.927710843
Gampe-2017-48-23	23	sword	1535	SWORD	ch_f21	0.461538462	0.390804598	0.264367816	0.530120482
Gampe-2017-48-24	24	arrow	977	ARROW	ch_f22	0.225274725	0.310344828	0.126436782	0.331325301
Gampe-2017-48-25	25	arm	1673	ARM	ch_g11	0.296703297	0.655172414	0.218390805	0.524096386
Gampe-2017-48-26	26	mouth	674	MOUTH	ch_g12	0.637362637	0.632183908	0.448275862	0.722891566
Gampe-2017-48-27	27	car	1111	CAR	ch_g21	0.956043956	0.781609195	0.747126437	0.975903614
Gampe-2017-48-28	28	plane	1597	AIRPLANE	ch_g22	0.912087912	0.770114943	0.735632184	0.927710843
Gampe-2017-48-29	29	elephant	1290	ELEPHANT	ch_h11	0.945054945	0.862068966	0.850574713	0.951807229
Gampe-2017-48-30	30	turtle	112	TURTLE	ch_h12	0.82967033	0.67816092	0.563218391	0.891566265
Gampe-2017-48-31	31	sock	1522	SOCK	ch_h21	0.758241758	0.689655172	0.505747126	0.885542169
Gampe-2017-48-32	32	vest	3140	VEST	ch_h22	0.615384615	0.563218391	0.310344828	0.746987952
Gampe-2017-48-33	33	fork	1302	FORK	ch_i11	0.851648352	0.804597701	0.632183908	0.945783133
Gampe-2017-48-34	34	cup	476	CUP	ch_i12	0.857142857	0.735632184	0.609195402	0.921686747
Gampe-2017-48-35	35	rooster	1511	ROOSTER	ch_i21	0.862637363	0.609195402	0.517241379	0.909638554
Gampe-2017-48-36	36	duck	1360	DUCK	ch_i22	0.725274725	0.724137931	0.597701149	0.807228916
Gampe-2017-48-37	37	shoe	1381	SHOE	ch_k11	0.934065934	0.931034483	0.873563218	0.957831325
Gampe-2017-48-38	38	trousers	809	TROUSERS	ch_k12	0.785714286	0.747126437	0.586206897	0.897590361
Gampe-2017-48-39	39	grapes	920	GRAPE	ch_k21	0.648351648	0.620689655	0.425287356	0.771084337
Gampe-2017-48-40	40	pear	922	PEAR	ch_k22	0.708791209	0.563218391	0.413793103	0.777108434
Gampe-2017-48-41	41	fly	1504	FLY (INSECT)	ch_l11	0.395604396	0.402298851	0.195402299	0.5
Gampe-2017-48-42	42	wasp	1517	WASP	ch_l12	0.412087912	0.471264368	0.229885057	0.554216867
Gampe-2017-48-43	43	shovel	1901	SHOVEL	ch_l21	0.813186813	0.574712644	0.528735632	0.831325301
Gampe-2017-48-44	44	hammer	1481	HAMMER	ch_l22	0.752747253	0.67816092	0.494252874	0.837349398
Gampe-2017-48-45	45	guitar	3090	GUITAR	ch_m11	0.802197802	0.83908046	0.701149425	0.891566265
Gampe-2017-48-46	46	tambourine	3141	TAMBOURINE	ch_m12	0.401098901	0.367816092	0.264367816	0.439759036
Gampe-2017-48-47	47	cow	1007	COW	ch_m21	0.868131868	0.793103448	0.67816092	0.927710843
Gampe-2017-48-48	48	giraffe	3089	GIRAFFE	ch_m22	0.884615385	0.804597701	0.724137931	0.927710843
