NUMBER	ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	Nurse-1975-1589-1	(Sw: uji)	1167	GRUEL
2	Nurse-1975-1589-2	(brass) wire	2631	WIRE
3	Nurse-1975-1589-3	(cattle or dog) tick	1527	TICK
4	Nurse-1975-1589-4	(court)yard	736	YARD
5	Nurse-1975-1589-5	(crippling) illness	1986	DISEASE
6	Nurse-1975-1589-6	(disembodied) spirit	53	SPIRIT
7	Nurse-1975-1589-7	(dry) land	626	LAND
8	Nurse-1975-1589-8	(earthen) cooking pot	1462	POT
9	Nurse-1975-1589-9	(earthenware vessel for servin	1462	POT
10	Nurse-1975-1589-10	(his) father	1217	FATHER
11	Nurse-1975-1589-11	(his) sister, (her) brother	3039	DIFFERENT-SEX OLDER SIBLING
12	Nurse-1975-1589-12	(his) sister/(her) brother	3039	DIFFERENT-SEX OLDER SIBLING
13	Nurse-1975-1589-13	(kind of bean)		
14	Nurse-1975-1589-14	(kind of pigeon)		
15	Nurse-1975-1589-15	(kind of poisonous snake)		
16	Nurse-1975-1589-16	(kind of rat)		
17	Nurse-1975-1589-17	(older) brother	1759	OLDER BROTHER
18	Nurse-1975-1589-18	(our) country	1300	COUNTRY
19	Nurse-1975-1589-19	(professional) hunter	1053	HUNTER
20	Nurse-1975-1589-20	(red-eyed) dove	1853	DOVE
21	Nurse-1975-1589-21	(reddish-brown biting) ant	587	ANT
22	Nurse-1975-1589-22	(runner) bean		
23	Nurse-1975-1589-23	(small lightish-coloured) monk		
24	Nurse-1975-1589-24	(small) ant	587	ANT
25	Nurse-1975-1589-25	(sweet) potato	593	POTATO
26	Nurse-1975-1589-26	(very large long-tailed rat)		
27	Nurse-1975-1589-27	-self	1993	SELF
28	Nurse-1975-1589-28	1	1493	ONE
29	Nurse-1975-1589-29	10	1515	TEN
30	Nurse-1975-1589-30	100	1634	HUNDRED
31	Nurse-1975-1589-31	1000	1843	THOUSAND
32	Nurse-1975-1589-32	11	1706	ELEVEN
33	Nurse-1975-1589-33	12	1707	TWELVE
34	Nurse-1975-1589-34	13	1708	THIRTEEN
35	Nurse-1975-1589-35	2	1498	TWO
36	Nurse-1975-1589-36	20	1710	TWENTY
37	Nurse-1975-1589-37	200		TWO HUNDRED
38	Nurse-1975-1589-38	21	1734	TWENTY ONE
39	Nurse-1975-1589-39	3	492	THREE
40	Nurse-1975-1589-40	4	1500	FOUR
41	Nurse-1975-1589-41	40	1716	FORTY
42	Nurse-1975-1589-42	5	493	FIVE
43	Nurse-1975-1589-43	50	1717	FIFTY
44	Nurse-1975-1589-44	6	1703	SIX
45	Nurse-1975-1589-45	7	1704	SEVEN
46	Nurse-1975-1589-46	8	1705	EIGHT
47	Nurse-1975-1589-47	80	1722	EIGHTY
48	Nurse-1975-1589-48	9	1483	NINE
49	Nurse-1975-1589-49	90	1724	NINETY
50	Nurse-1975-1589-50	East African goshawk		
51	Nurse-1975-1589-51	Grant's gazelle	5	GAZELLE
52	Nurse-1975-1589-52	I	1209	I
53	Nurse-1975-1589-53	a few, not much	1242	FEW
54	Nurse-1975-1589-54	a song	1096	SONG
55	Nurse-1975-1589-55	a thief	1160	THIEF
56	Nurse-1975-1589-56	abdomen	1251	BELLY
57	Nurse-1975-1589-57	abound		
58	Nurse-1975-1589-58	above	1741	ABOVE
59	Nurse-1975-1589-59	abstain		
60	Nurse-1975-1589-60	abundant		
61	Nurse-1975-1589-61	abuse	1953	ABUSE
62	Nurse-1975-1589-62	accept		
63	Nurse-1975-1589-63	act	813	DO
64	Nurse-1975-1589-64	act; make	813	DO
65	Nurse-1975-1589-65	add to		
66	Nurse-1975-1589-66	add up		
67	Nurse-1975-1589-67	affair	2214	AFFAIR
68	Nurse-1975-1589-68	agriculture		
69	Nurse-1975-1589-69	all	98	ALL
70	Nurse-1975-1589-70	all day		
71	Nurse-1975-1589-71	alter (act)	1264	CHANGE
72	Nurse-1975-1589-72	alter, change	1264	CHANGE
73	Nurse-1975-1589-73	and	1577	AND
74	Nurse-1975-1589-74	animal	619	ANIMAL
75	Nurse-1975-1589-75	animal skin	2614	SKIN (ANIMAL)
76	Nurse-1975-1589-76	answer	1275	ANSWER
77	Nurse-1975-1589-77	answer (maswali)	1275	ANSWER
78	Nurse-1975-1589-78	answer a call		
79	Nurse-1975-1589-79	answer call		
80	Nurse-1975-1589-80	ant	587	ANT
81	Nurse-1975-1589-81	ant-hill	1873	ANTHILL
82	Nurse-1975-1589-82	anteater	181	ANTEATER
83	Nurse-1975-1589-83	antelope		
84	Nurse-1975-1589-84	anvil	1648	ANVIL
85	Nurse-1975-1589-85	apply by stretching spread ove		
86	Nurse-1975-1589-86	apply by stretching, spread ov		
87	Nurse-1975-1589-87	apply, spread over		
88	Nurse-1975-1589-88	approach	1778	APPROACH
89	Nurse-1975-1589-89	arm	1673	ARM
90	Nurse-1975-1589-90	arm, hand	2121	ARM OR HAND
91	Nurse-1975-1589-91	armpit	1886	ARMPIT
92	Nurse-1975-1589-92	arrange	1568	ARRANGE
93	Nurse-1975-1589-93	arrange, put in order	1568	ARRANGE
