ID	NUMBER	MITTERHOFER_2013_300	MITTERHOFER_2013_92	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mitterhofer-2013-355-1	1	1	25	eye	1248	EYE
Mitterhofer-2013-355-2	2	2	26	eyebrow	1173	EYEBROW
Mitterhofer-2013-355-3	3	3		ear	1247	EAR
Mitterhofer-2013-355-4	4	4		mouth	674	MOUTH
Mitterhofer-2013-355-5	5	5		jawbone	798	JAW
Mitterhofer-2013-355-6	6	6		nose	1221	NOSE
Mitterhofer-2013-355-7	7	7		chin	1510	CHIN
Mitterhofer-2013-355-8	8	8		beard	678	BEARD
Mitterhofer-2013-355-9	9	9		tooth	1380	TOOTH
Mitterhofer-2013-355-10	10	10		tongue	1205	TONGUE
Mitterhofer-2013-355-11	11	11		head	1256	HEAD
Mitterhofer-2013-355-12	12	12		hair (human)	1040	HAIR
Mitterhofer-2013-355-13	13	13		neck	1333	NECK
Mitterhofer-2013-355-14	14	14		belly	1251	BELLY
Mitterhofer-2013-355-15	15	15		back	1291	BACK
Mitterhofer-2013-355-16	16	16		backbone	805	SPINE
Mitterhofer-2013-355-17	17	17		knee	1371	KNEE
Mitterhofer-2013-355-18	18	18		leg	1297	LEG
Mitterhofer-2013-355-19	19	19		foot	1301	FOOT
Mitterhofer-2013-355-20	20	20	2	arm	1673	ARM
Mitterhofer-2013-355-21	21	21		hand	1277	HAND
Mitterhofer-2013-355-22	22	22		fingernail	1258	FINGERNAIL
Mitterhofer-2013-355-23	23	23	29	finger	1303	FINGER
Mitterhofer-2013-355-24	24	24		armpit	1886	ARMPIT
Mitterhofer-2013-355-25	25	25		skin (human)	2613	SKIN (HUMAN)
Mitterhofer-2013-355-26	26	26		skin (animal)	2614	SKIN (ANIMAL)
Mitterhofer-2013-355-27	27	27		bone	1394	BONE
Mitterhofer-2013-355-28	28	28	12	blood	946	BLOOD
Mitterhofer-2013-355-29	29	29		heart	1223	HEART
Mitterhofer-2013-355-30	30	30		lung	688	LUNG
Mitterhofer-2013-355-31	31	31		liver	1224	LIVER
Mitterhofer-2013-355-32	32	32		voice	1363	VOICE
Mitterhofer-2013-355-33	33	33		horn (of animal)	1393	HORN (ANATOMY)
Mitterhofer-2013-355-34	34	34		wing (of bird)	1257	WING
Mitterhofer-2013-355-35	35	35		feathers	1201	FEATHER
Mitterhofer-2013-355-36	36	36		tail (of mammal)	1220	TAIL
Mitterhofer-2013-355-37	37	37	23	egg	744	EGG
Mitterhofer-2013-355-38	38	38	10	honey	942	HONEY
Mitterhofer-2013-355-39	39	39		milk (of cow)	635	MILK
Mitterhofer-2013-355-40	40	40		meat	634	MEAT
Mitterhofer-2013-355-41	41	41		person	683	PERSON
Mitterhofer-2013-355-42	42	42	57	man	1554	MAN
Mitterhofer-2013-355-43	43	43	47	husband	1200	HUSBAND
Mitterhofer-2013-355-44	44	44	84	woman	962	WOMAN
Mitterhofer-2013-355-45	45	45		wife	1199	WIFE
Mitterhofer-2013-355-46	46	46		father	1217	FATHER
Mitterhofer-2013-355-47	47	47		mother	1216	MOTHER
Mitterhofer-2013-355-48	48	48	63	brother (older, same sex)	1759	OLDER BROTHER
Mitterhofer-2013-355-49	49	49		mother's brother	1984	MOTHER'S BROTHER
