ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	STABILITY
Peust-2013-54-1	1	all	98	ALL	6
Peust-2013-54-2	2	to bear (give birth)	1195	GIVE BIRTH	6
Peust-2013-54-3	3	blood	946	BLOOD	5
Peust-2013-54-4	4	brother	1262	BROTHER	6
Peust-2013-54-5	5	to die	1494	DIE	3
Peust-2013-54-6	6	to do	813	DO	6
Peust-2013-54-7	7	dream	2374	DREAM	4
Peust-2013-54-8	8	dry	1398	DRY	6
Peust-2013-54-9	9	ear	1247	EAR	6
Peust-2013-54-10	10	to eat	1336	EAT	4
Peust-2013-54-11	11	egg	744	EGG	6
Peust-2013-54-12	12	eye	1248	EYE	5
Peust-2013-54-13	13	finger	1303	FINGER	6
Peust-2013-54-14	14	fire	221	FIRE	6
Peust-2013-54-15	15	fish	227	FISH	6
Peust-2013-54-16	16	five	493	FIVE	1
Peust-2013-54-17	17	fly (animal)	1504	FLY (INSECT)	2
Peust-2013-54-18	18	four	1500	FOUR	1
Peust-2013-54-19	19	full	1429	FULL	3
Peust-2013-54-20	20	to give	1447	GIVE	4
Peust-2013-54-21	21	hand	1277	HAND	3
Peust-2013-54-22	22	head	1256	HEAD	6
Peust-2013-54-23	23	to hear	1408	HEAR	6
Peust-2013-54-24	24	heart	1223	HEART	5
Peust-2013-54-25	25	horn	1393	HORN (ANATOMY)	3
Peust-2013-54-26	26	hunger	1864	HUNGER	6
Peust-2013-54-27	27	I	1209	I	2
Peust-2013-54-28	28	ice	617	ICE	6
Peust-2013-54-29	29	to laugh	1355	LAUGH	4
Peust-2013-54-30	30	moon	1313	MOON	5
Peust-2013-54-31	31	nail	1258	FINGERNAIL	4
Peust-2013-54-32	32	name	1405	NAME	4
Peust-2013-54-33	33	new	1231	NEW	4
Peust-2013-54-34	34	night	1233	NIGHT	5
Peust-2013-54-35	35	one	1493	ONE	3
Peust-2013-54-36	36	right (side)	1019	RIGHT	6
Peust-2013-54-37	37	shadow	1388	SHADE	6
Peust-2013-54-38	38	to sit	1416	SIT	5
Peust-2013-54-39	39	son	1620	SON	6
Peust-2013-54-40	40	star	1430	STAR	3
Peust-2013-54-41	41	stone	857	STONE	4
Peust-2013-54-42	42	sun	1343	SUN	6
Peust-2013-54-43	43	sweet	717	SWEET	6
Peust-2013-54-44	44	ten	1515	TEN	3
Peust-2013-54-45	45	three	492	THREE	2
Peust-2013-54-46	46	tongue	1205	TONGUE	3
Peust-2013-54-47	47	tooth	1380	TOOTH	6
Peust-2013-54-48	48	two	1498	TWO	1
Peust-2013-54-49	49	water	948	WATER	4
Peust-2013-54-50	50	we	1212	WE	4
Peust-2013-54-51	51	who?	1235	WHO	4
Peust-2013-54-52	52	year	1226	YEAR	5
Peust-2013-54-53	53	yesterday	1174	YESTERDAY	6
Peust-2013-54-54	54	you (sg.)	1215	THOU	2
