ID	NUMBER	ENGLISH	CHINESE	SUBLIST	CONCEPTICON_ID	CONCEPTICON_GLOSS
Wang-2004-200-1	1	I	我	A	1209	I
Wang-2004-200-2	2	you	你	A	1213	YOU
Wang-2004-200-3	3	we	我們	A	1212	WE
Wang-2004-200-4	4	this	這	A	1214	THIS
Wang-2004-200-5	5	that	那	A	78	THAT
Wang-2004-200-6	6	who	誰	A	1235	WHO
Wang-2004-200-7	7	what	什麼	A	1236	WHAT
Wang-2004-200-8	8	not	不	A	1240	NOT
Wang-2004-200-9	9	all	全部	A	98	ALL
Wang-2004-200-10	10	many	多	A	1198	MANY
Wang-2004-200-11	11	one	一	A	1493	ONE
Wang-2004-200-12	12	two	二	A	1498	TWO
Wang-2004-200-13	13	big	大	A	1202	BIG
Wang-2004-200-14	14	long	長	A	1203	LONG
Wang-2004-200-15	15	small	小	A	1246	SMALL
Wang-2004-200-16	16	women	女人	A	962	WOMAN
Wang-2004-200-17	17	man	男人	A	1554	MAN
Wang-2004-200-18	18	person	人	A	683	PERSON
Wang-2004-200-19	19	fish	魚	A	227	FISH
Wang-2004-200-20	20	bird	鳥	A	937	BIRD
Wang-2004-200-21	21	dog	狗	A	2009	DOG
Wang-2004-200-22	22	louse	蝨子	A	1392	LOUSE
Wang-2004-200-23	23	tree	樹	A	906	TREE
Wang-2004-200-24	24	seed	種子	A	714	SEED
Wang-2004-200-25	25	leaf	葉子	A	628	LEAF
Wang-2004-200-26	26	root	根	A	670	ROOT
Wang-2004-200-27	27	bark	樹皮	A	1204	BARK
Wang-2004-200-28	28	skin	皮膚	A	763	SKIN
Wang-2004-200-29	29	flesh	肉	A	2615	FLESH OR MEAT
Wang-2004-200-30	30	blood	血	A	946	BLOOD
Wang-2004-200-31	31	bone	骨頭	A	1394	BONE
Wang-2004-200-32	32	grease	脂肪	A	323	FAT (ORGANIC SUBSTANCE)
Wang-2004-200-33	33	egg	雞蛋	A	744	EGG
Wang-2004-200-34	34	horn	角	A	1393	HORN (ANATOMY)
Wang-2004-200-35	35	tail	尾巴	A	1220	TAIL
Wang-2004-200-36	36	feather	羽毛	A	1201	FEATHER
Wang-2004-200-37	37	hair	頭髮	A	1040	HAIR
Wang-2004-200-38	38	head	頭	A	1256	HEAD
Wang-2004-200-39	39	ear	耳朵	A	1247	EAR
Wang-2004-200-40	40	eye	眼睛	A	1248	EYE
Wang-2004-200-41	41	nose	鼻子	A	1221	NOSE
Wang-2004-200-42	42	mouth	嘴	A	674	MOUTH
Wang-2004-200-43	43	tooth	牙齒	A	1380	TOOTH
Wang-2004-200-44	44	tongue	舌頭	A	1205	TONGUE
Wang-2004-200-45	45	claw	爪子	A	72	CLAW
Wang-2004-200-46	46	foot	腳	A	1301	FOOT
Wang-2004-200-47	47	knee	膝蓋	A	1371	KNEE
Wang-2004-200-48	48	hand	手	A	1277	HAND
Wang-2004-200-49	49	belly	肚子	A	1251	BELLY
Wang-2004-200-50	50	neck	脖子	A	1333	NECK
Wang-2004-200-51	51	breasts	乳房	A	1402	BREAST
Wang-2004-200-52	52	heart	心臟	A	1223	HEART
Wang-2004-200-53	53	liver	肝	A	1224	LIVER
Wang-2004-200-54	54	drink	喝	A	1401	DRINK
Wang-2004-200-55	55	eat	吃	A	1336	EAT
Wang-2004-200-56	56	bite	咬	A	1403	BITE
Wang-2004-200-57	57	see	看見	A	1409	SEE
Wang-2004-200-58	58	hear	聽到	A	1408	HEAR
Wang-2004-200-59	59	know	知道	A	1410	KNOW (SOMETHING)
Wang-2004-200-60	60	sleep	睡	A	1585	SLEEP
Wang-2004-200-61	61	die	死	A	1494	DIE
Wang-2004-200-62	62	kill	殺	A	1417	KILL
Wang-2004-200-63	63	swim	游水	A	1439	SWIM
Wang-2004-200-64	64	fly	飛	A	1441	FLY (MOVE THROUGH AIR)
Wang-2004-200-65	65	walk	走	A	1443	WALK
Wang-2004-200-66	66	come	來	A	1446	COME
Wang-2004-200-67	67	lie	躺	A	1411	LIE (REST)
Wang-2004-200-68	68	sit	坐	A	1416	SIT
Wang-2004-200-69	69	stand	站	A	1442	STAND
Wang-2004-200-70	70	give	給	A	1447	GIVE
Wang-2004-200-71	71	say	說	A	1458	SAY
Wang-2004-200-72	72	sun	太陽	A	1343	SUN
Wang-2004-200-73	73	moon	月亮	A	1313	MOON
Wang-2004-200-74	74	star	星星	A	1430	STAR
Wang-2004-200-75	75	water	水	A	948	WATER
Wang-2004-200-76	76	rain	雨	A	658	RAIN (PRECIPITATION)
Wang-2004-200-77	77	stone	石頭	A	857	STONE
Wang-2004-200-78	78	sand	沙子	A	671	SAND
Wang-2004-200-79	79	earth	土地	A	1228	EARTH (SOIL)
Wang-2004-200-80	80	cloud	雲	A	1489	CLOUD
Wang-2004-200-81	81	smoke	煙	A	778	SMOKE (EXHAUST)
Wang-2004-200-82	82	fire	火	A	221	FIRE
Wang-2004-200-83	83	ash	灰	A	646	ASH
Wang-2004-200-84	84	burn	燒	A	141	BURN (SOMETHING)
