ID	NUMBER	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN_POS	GERMAN_VALENCE_MEAN	GERMAN_AROUSAL_MEAN	GERMAN_POTENCY_MEAN	GERMAN_AUTHORITY_MEAN	GERMAN_COMMUNITY_MEAN
Schauenburg-2015-858-1	1	Abendessen	dinner	1833	DINNER (SUPPER)	noun	7.512	3.738	4.854	4.125	7.375
Schauenburg-2015-858-2	2	Abenteuer	adventure			noun	7.444	7.333	7	4.409	3.909
Schauenburg-2015-858-3	3	Abfuhr	rejection			noun	2.622	6.784	5.865	6.087	3.957
Schauenburg-2015-858-4	4	Abgeordneter	delegate			noun	4.333	4.857	4.944	6.273	4.182
Schauenburg-2015-858-5	5	abhängig	dependent			adjective	2.63	6.074	3.852	6.391	5.304
Schauenburg-2015-858-6	6	Abiturient	High school graduate			noun	6.3	5.034	5.9	5.105	4.842
Schauenburg-2015-858-7	7	ablehnen	to reject			verb	3.529	5.971	6.059	5.913	4.391
Schauenburg-2015-858-8	8	Absage	rejection			noun	2.606	6.636	6	5.87	4.522
Schauenburg-2015-858-9	9	Abweichler	daviator			noun	4.333	5.694	4.861	6	3.3
Schauenburg-2015-858-10	10	adelig	aristocratic			adjective	4.561	5.293	5.146	7.167	3.5
Schauenburg-2015-858-11	11	Affäre	affair	2214	AFFAIR	noun	3.907	7.488	5.744	4.87	4.261
Schauenburg-2015-858-12	12	aggressiv	aggressive			adjective	2.75	7.875	7.179	7.174	3.565
Schauenburg-2015-858-13	13	Akademiker	academic			noun	6.243	4.892	5.703	6.357	3.429
Schauenburg-2015-858-14	14	Aktivist	activist			noun	4.966	6.862	6.379	4.944	5.444
Schauenburg-2015-858-15	15	allein	alone	1964	ALONE	adjective	3.367	5.3	4.667	4.87	2.565
Schauenburg-2015-858-16	16	alleinerziehend	to be a single parent			adjective	4.161	5.774	4.867	5.4	3.467
Schauenburg-2015-858-17	17	Alleinsein	loneliness			noun	4.044	4.778	5	5.235	3
Schauenburg-2015-858-18	18	alleinstehend	single			adjective	4.688	4.906	4.281	5.333	3.444
Schauenburg-2015-858-19	19	Altar	altar	853	ALTAR	noun	4.615	4.718	5.897	5.682	6.773
Schauenburg-2015-858-20	20	Altenpfleger	geriatric nurse (male)			noun	5.718	4.077	4.872	4.571	6.571
Schauenburg-2015-858-21	21	amerikanisch	American			adjective	4.737	5.583	5.684	4.833	4.333
Schauenburg-2015-858-22	22	Amt	department			noun	4.2	5.333	5.567	7.043	6.391
Schauenburg-2015-858-23	23	Anarchist	anarchist			noun	4.386	6.455	5.75	3.174	4
Schauenburg-2015-858-24	24	Anführer	leader			noun	3.857	6.607	7.071	8	5.182
Schauenburg-2015-858-25	25	angeben	to boast	101	BOAST	verb	3.378	6.162	4.297	6.174	3
Schauenburg-2015-858-26	26	Angeber	braggart			noun	3.297	6.595	4.622	6.292	2.833
Schauenburg-2015-858-27	27	angepasst	adjusted			adjective	4.828	3.621	3.655	5.727	6.318
Schauenburg-2015-858-28	28	Angestellter	employer			noun	4.968	4.633	4.333	5.071	5.286
Schauenburg-2015-858-29	29	ängstlich	cautious	3033	SCARED	adjective	3.444	6.5	4.111	5.478	3.826
Schauenburg-2015-858-30	30	angstvoll	scared			adjective	2.769	7.205	4.59	5.545	4.182
Schauenburg-2015-858-31	31	Animateur	holiday rep			noun	4.545	5.727	4.25	4.733	5.667
Schauenburg-2015-858-32	32	anleiten	to direct			verb	5.933	4.517	5.5	5.846	4.769
Schauenburg-2015-858-33	33	anmeckern*	to slang sb.			verb	3	6.925	5.436	6.6	4.04
Schauenburg-2015-858-34	34	anonym	anonymous			adjective	4.722	4.294	4.143	3.75	4.042
Schauenburg-2015-858-35	35	anordnen	to impose			verb	4.861	4.972	5.861	7.318	5.682
Schauenburg-2015-858-36	36	anpassen	to adapt			verb	4.432	4.833	4.333	4.5	6.923
Schauenburg-2015-858-37	37	anpumpen	to bum			verb	3.375	6.313	3.7	4.773	4.591
Schauenburg-2015-858-38	38	Anschiss	dressing-down			noun	2.375	7.25	6.05	7.125	4.292
Schauenburg-2015-858-39	39	Ansehen	reputation			noun	6.381	4.19	6.5	6.609	4.739
Schauenburg-2015-858-40	40	Anstand	decency			noun	6.306	4.194	5.75	5.043	5.522
Schauenburg-2015-858-41	41	anständig	decent			adjective	6.762	3.293	5.317	4.708	5.417
Schauenburg-2015-858-42	42	anvertrauen	to confide			verb	6.724	3.862	6.138	3.267	5.267
Schauenburg-2015-858-43	43	anweisen	to order			verb	4.5	5.75	6.214	7.24	4.56
Schauenburg-2015-858-44	44	Arbeit	work	984	WORK (LABOUR)	noun	5.174	5.5	6.043	5.304	5.957
Schauenburg-2015-858-45	45	arbeitslos	unemployed			adjective	2.588	6.647	4.029	5.5	4.1
Schauenburg-2015-858-46	46	Arbeitsloser	unemployee			noun	3.297	5.514	3.811	5.692	4.615
Schauenburg-2015-858-47	47	Architekt	architect			noun	5.806	5	5.241	5.105	4.105
Schauenburg-2015-858-48	48	Armee	army	1561	ARMY	noun	2.946	6.946	7.459	7.737	7.053
Schauenburg-2015-858-49	49	Armut	poverty	4066	POVERTY	noun	2.355	7.065	5.161	5.217	5.783
Schauenburg-2015-858-50	50	arrogant	arrogant	4067	ARROGANT	adjective	2.811	6.73	5.784	6.87	2.826
Schauenburg-2015-858-51	51	Arroganz	arrogance			noun	2.818	6.909	5.656	6.8	2.64
Schauenburg-2015-858-52	52	asozial	antisocial			adjective	2.406	7.063	5.031	5.913	3.609
Schauenburg-2015-858-53	53	assimiliert	assimilated			adjective	4.296	5.222	5.37	6.227	5.955
Schauenburg-2015-858-54	54	Asyl	asylum			noun	4.406	5.094	4.258	5.13	6.304
Schauenburg-2015-858-55	55	Asylrecht	asylum law			noun	4.564	5.744	5.718	5.435	6.696
Schauenburg-2015-858-56	56	Atheist	atheist			noun	5.61	4.683	5.683	4.571	3.357
Schauenburg-2015-858-57	57	aufhetzen	to agitate			verb	2.472	7.75	6.611	7.316	5.789
Schauenburg-2015-858-58	58	aufmüpfig	impertinent			adjective	4.595	6.214	5.619	5.292	3.125
Schauenburg-2015-858-59	59	aufopfern	to sacrifice			verb	4.313	6.344	5.813	4.625	5.708
Schauenburg-2015-858-60	60	aufrichtig	honest			adjective	7.971	3.486	6.686	3.882	4.294
Schauenburg-2015-858-61	61	Aufseher	warden			noun	3.2	6.025	6.525	7.684	4.737
Schauenburg-2015-858-62	62	Aufstand	rebllion			noun	4.371	7.471	7.4	5.435	7.261
Schauenburg-2015-858-63	63	ausbeuten	to exploit			verb	2.053	7.216	6.342	7.636	3.5
Schauenburg-2015-858-64	64	Ausbilder	instructor			noun	5.067	5.044	6.156	6.462	5.154
Schauenburg-2015-858-65	65	Ausflug	trip	2393	JOURNEY	noun	6.861	4.806	5.194	4.083	7.583
Schauenburg-2015-858-66	66	ausgrenzen	to exclude			verb	2.514	7.088	6.371	7.25	5.25
Schauenburg-2015-858-67	67	Aushilfskraft	temp			noun	4.742	5.033	3.7	5.35	4.25
Schauenburg-2015-858-68	68	auslachen	to laugh at			verb	2.471	7.118	5.853	6.455	4.818
Schauenburg-2015-858-69	69	ausländisch	foreign	109	FOREIGN	adjective	5.5	5.464	4.893	5.412	5.235
Schauenburg-2015-858-70	70	auszeichnen	to award			verb	6.256	5.78	6.209	4.833	4.167
Schauenburg-2015-858-71	71	autark	autarkic			adjective	6.156	5.097	6.563	4.364	3.318
Schauenburg-2015-858-72	72	authentisch	authentic			adjective	6.917	4.028	6.361	4.5	3.313
Schauenburg-2015-858-73	73	autonom	autonomous			adjective	6.056	4.886	6.389	5.043	3.217
Schauenburg-2015-858-74	74	Autonomie	autonomy			noun	6.425	4.35	6.85	3.308	4.769
Schauenburg-2015-858-75	75	Autor	author			noun	6.457	4.657	5.857	5.5	2.2
Schauenburg-2015-858-76	76	autoritär	authoritarian			adjective	3.241	6.414	7.069	7.611	4.167
Schauenburg-2015-858-77	77	Autorität	authority	1637	AUTHORITY	noun	4.136	6.068	7.523	7.643	4.214
Schauenburg-2015-858-78	78	Azubi	apprentice			noun	5.171	5.171	4.029	5.3	5.9
Schauenburg-2015-858-79	79	Babysitter	babysitter			noun	5.541	4.595	4.622	5.125	3.875
Schauenburg-2015-858-80	80	Bande	gang			noun	4.639	5.778	6.333	4.526	6.842
Schauenburg-2015-858-81	81	Bankangestellter	bank employee			noun	4.583	4.472	5.029	6.056	3.944
Schauenburg-2015-858-82	82	bankrott	bankrupt			adjective	2.333	7.051	5.103	5.36	3.76
Schauenburg-2015-858-83	83	Bar	bar			noun	6.2	5.7	4.833	3.813	5.75
Schauenburg-2015-858-84	84	Barkeeper	bartender			noun	5.821	5.429	5.036	4.7	4.2
Schauenburg-2015-858-85	85	Bauer	farmer	979	FARMER	noun	5.676	4.378	5.243	4.533	5.733
Schauenburg-2015-858-86	86	beaufsichtigen	to watch	1650	WATCH	verb	4.55	5.125	5.6	7.1	4.65
Schauenburg-2015-858-87	87	bedrohen	to threaten	1192	THREATEN	verb	2.367	7.267	6.933	7.667	4
Schauenburg-2015-858-88	88	bedürftig	indigent			adjective	3.424	6	3.939	5.286	5.286
Schauenburg-2015-858-89	89	Befehl	order			noun	3	6.97	6.727	8.231	4.615
Schauenburg-2015-858-90	90	befehlen	to order	1128	ORDER	verb	3.085	6.574	6.766	8.12	5.08
Schauenburg-2015-858-91	91	Befehlshaber	commander			noun	2.794	6.813	7.063	7.905	3.238
Schauenburg-2015-858-92	92	befolgen	to obey			verb	3.741	6.037	5.074	7.174	5.522
Schauenburg-2015-858-93	93	befördern	to transport	2711	TRANSPORT	verb	6.107	5.593	5.75	6.708	4.417
Schauenburg-2015-858-94	94	Befreiung	liberation			noun	7.75	5.5	7.528	3.087	5.783
Schauenburg-2015-858-95	95	begabt	talented			adjective	6.854	4.95	6.341	5.125	2.625
Schauenburg-2015-858-96	96	Begleiter	companion			noun	6.519	3.308	5.654	3.933	6.467
Schauenburg-2015-858-97	97	begrüßen	to greet	3552	GREET	verb	7.031	4.375	5.344	4.933	6.067
Schauenburg-2015-858-98	98	behindern	to hinder	554	HINDER	verb	3.343	6.257	5.086	6.7	3.2
Schauenburg-2015-858-99	99	behindert	disabled			adjective	3.628	5.349	4.233	5.789	4.053
Schauenburg-2015-858-100	100	Behinderter	disabled person	3621	DISABLED PERSON	noun	4.233	5.256	4.143	5.294	4.412
Schauenburg-2015-858-101	101	Bekannter	acquantaince			noun	6.375	4.219	5.25	4.556	5.333
Schauenburg-2015-858-102	102	belohnen	to reward			verb	7.211	4.316	5.868	5.818	5.364
Schauenburg-2015-858-103	103	beneiden	to envy			verb	3.645	5.71	4.29	5.458	3.542
Schauenburg-2015-858-104	104	benoten	to grade			verb	4.455	6.152	6.121	7.44	4.52
Schauenburg-2015-858-105	105	Berater	advisor			noun	5.788	4.091	5.576	5.267	4.4
Schauenburg-2015-858-106	106	bereichern	to enrich			verb	5	5.139	5.917	6.808	2.654
Schauenburg-2015-858-107	107	bereuen	to regret	1875	REGRET	verb	4.237	5.757	5.297	4.625	4.042
Schauenburg-2015-858-108	108	Berufsausbildung	apprenticeship			noun	5.865	5.081	5.459	5.471	5.412
Schauenburg-2015-858-109	109	berühren	to touch	1892	TOUCH	verb	7.75	4.583	6.146	3.545	6.182
Schauenburg-2015-858-110	110	berührt	touched			adjective	6.656	4.813	5.29	4.364	4
Schauenburg-2015-858-111	111	besaufen	to get hammered			verb	3.214	6.571	5.179	4.217	5.565
Schauenburg-2015-858-112	112	bescheiden	modest	4053	MODEST	adjective	6.477	2.909	4.523	3.625	5
Schauenburg-2015-858-113	113	beschimpfen	to insult	3204	INSULT	verb	2.5	7.344	4.906	6.538	3.769
Schauenburg-2015-858-114	114	beschuldigen	to accuse	1814	ACCUSE	verb	2.731	6.577	6.346	6	3.8
Schauenburg-2015-858-115	115	beschützen	to protect	2900	PROTECT	verb	7.091	3.424	6.636	5.083	5.833
Schauenburg-2015-858-116	116	Beschützer	guardian			noun	6.879	3.364	6.97	6.722	3.611
Schauenburg-2015-858-117	117	beschweren	to complain	3642	COMPLAIN	verb	3.552	6.552	5.107	5.059	4
Schauenburg-2015-858-118	118	besiegen	to defeat			verb	5.122	7.024	7.463	7	4.261
Schauenburg-2015-858-119	119	Besitzer	owner	1036	OWNER	noun	4.92	4.2	6.12	6.938	2.688
Schauenburg-2015-858-120	120	bestrafen	to punish			verb	2.649	7.162	6.892	8.217	4.957
Schauenburg-2015-858-121	121	Besucher	visitor	1782	GUEST	noun	5.694	5.194	4.824	4.429	5.143
Schauenburg-2015-858-122	122	beten	to pray	24	PRAY	verb	5.364	3.5	4.939	5	5.091
Schauenburg-2015-858-123	123	betreuen	to take care			verb	5.286	4.036	5.036	4.706	6.588
Schauenburg-2015-858-124	124	Betriebsrat	worker's council			noun	4.974	4.842	5.474	4	6.25
Schauenburg-2015-858-125	125	Betrug	fraud			noun	2.27	7.351	5.622	5.958	3.875
Schauenburg-2015-858-126	126	betrügen	to betray	1902	BETRAY	verb	2.265	7.265	5.412	5.652	3.304
Schauenburg-2015-858-127	127	Bettler	beggar	1934	BEGGAR	noun	3.889	5.741	3.444	5.273	3.636
Schauenburg-2015-858-128	128	betucht	monied			adjective	4.967	4.867	5.586	5.875	3.438
Schauenburg-2015-858-129	129	bewaffnet	armed			adjective	2.057	7.788	7.265	7.063	3.75
Schauenburg-2015-858-130	130	Bewährungshelfer	probationer			noun	4.516	5.29	5.065	5.615	6
Schauenburg-2015-858-131	131	Bewerber	applicant			noun	5.184	5.579	4.211	4.786	3.714
Schauenburg-2015-858-132	132	bewundern	to admire			verb	6.333	4.857	5.952	6	3.875
Schauenburg-2015-858-133	133	Beziehung	relationship	3959	RELATIONSHIP	noun	6.903	4.484	6.226	3.542	6.833
Schauenburg-2015-858-134	134	Bibel	bible	4068	BIBLE	noun	5.318	3.929	5.535	6.609	7.043
Schauenburg-2015-858-135	135	bitten	to request	1828	ASK (REQUEST)	verb	5.182	4.909	4.636	5.087	5.217
Schauenburg-2015-858-136	136	Blamage	embarrassment			noun	2.816	7.026	5.289	5.958	4.958
Schauenburg-2015-858-137	137	Bösewicht	villain			noun	3.37	6.481	5.963	6.429	2.786
Schauenburg-2015-858-138	138	Bourgeoisie	bourgeoisie			noun	4.645	5.129	5.452	6.313	3.688
Schauenburg-2015-858-139	139	brauchen	to need	2339	NEED (SOMETHING)	verb	4.767	5.581	5.349	4.304	5.609
Schauenburg-2015-858-140	140	Briefträger	postman	3095	POSTMAN	noun	5.579	4.526	4.263	4.778	4.5
Schauenburg-2015-858-141	141	Bruder	brother	1262	BROTHER	noun	6.824	4.059	5.424	3.737	5.842
Schauenburg-2015-858-142	142	brüderlich	brotherly			adjective	6.483	3.931	6.069	4	7.067
Schauenburg-2015-858-143	143	brutal	brutal			adjective	2.026	8.026	6.763	6.923	3.462
Schauenburg-2015-858-144	144	Bundestag	(German) Bundestag			noun	4.667	5.077	6.346	5.786	6.643
Schauenburg-2015-858-145	145	Bündnis	alliance			noun	6.361	4.083	6.444	3.389	6.889
Schauenburg-2015-858-146	146	Bürger	citizen	1032	CITIZEN	noun	5.5	4.585	5.073	4.471	5.941
Schauenburg-2015-858-147	147	Bürgerinitiative	popular initiative			noun	6.345	5.103	5.714	3.538	7.231
Schauenburg-2015-858-148	148	bürgerlich	civil			adjective	4.667	4.31	4.833	4.769	4.769
Schauenburg-2015-858-149	149	Bürgermeister	major			noun	4.919	5.027	5.676	5.688	4.625
Schauenburg-2015-858-150	150	Bürgerrechte	civil rights			noun	6.846	4.821	6.385	3	7.28
Schauenburg-2015-858-151	151	Bürgerrechtler	civil rights activist			noun	6.083	5.708	6.167	3.667	5.667
Schauenburg-2015-858-152	152	Bürgertum	bourgeoisie			noun	5.111	4.528	5.694	5.467	5.2
Schauenburg-2015-858-153	153	Busfahrer	bus driver			noun	4.979	4.426	4.739	5.75	5.5
Schauenburg-2015-858-154	154	Café	café			noun	7.241	3.655	5.138	3.818	6.364
Schauenburg-2015-858-155	155	Chaos	chaos	4056	CHAOS	noun	3.974	7.158	6.579	4.174	4.609
Schauenburg-2015-858-156	156	Chaot	slob			noun	4.75	6.6	5.229	4.348	2.957
Schauenburg-2015-858-157	157	Charakter	character			noun	6.714	4.976	6.833	5.167	3
Schauenburg-2015-858-158	158	charismatisch	charismatic			adjective	6.974	5.211	6.816	6	2.875
Schauenburg-2015-858-159	159	Chef	boss	2930	BOSS	noun	4.194	6.278	6.886	7.867	4.067
Schauenburg-2015-858-160	160	Chirurg	surgeon			noun	5.375	5.5	6.156	6.154	3.231
Schauenburg-2015-858-161	161	Chor	choir			noun	5.926	4.148	5.407	4.385	7.077
Schauenburg-2015-858-162	162	Christ	christian			noun	4.829	4.45	4.95	4.923	6.077
Schauenburg-2015-858-163	163	Clan	clan	302	CLAN	noun	4.703	5.432	6.459	6.778	7.778
Schauenburg-2015-858-164	164	Clique	clique			noun	5.065	5.8	6.161	5.364	6.182
Schauenburg-2015-858-165	165	Cop	cop			noun	4.525	5.975	5.45	7.063	4.813
Schauenburg-2015-858-166	166	Dank	thanks			noun	7.722	3.722	6.389	4.125	5.792
Schauenburg-2015-858-167	167	danken	to thank	2412	THANK (SOMEBODY)	verb	7.479	3.396	6.042	4	5.92
Schauenburg-2015-858-168	168	dazu gehören*	to belong to			verb	6.811	4.027	5.865	4.545	7.182
Schauenburg-2015-858-169	169	defensiv	defensive			adjective	4.229	4.886	4	5	4.696
