ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	IDS_ID	ENGLISH	RELATION	PWN_WORD_SENSE_ID	PWN_DEFINITION	PWN_SYNSET	PWN_POS	OMW_URL
Borin-2015-1532-1	1379	TELEPHONE	1	S23.1200	the telephone	ss	telephone%1:06:00::	electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds; &quot;I talked to him on the telephone&quot;	n04401088	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=04401088-n
Borin-2015-1532-2	1787	LOOM	2	S06.340	the loom	ss	loom%1:06:00::	a textile machine for weaving yarn into a textile	n03689157	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03689157-n
Borin-2015-1532-3	2024	PLOT	3	S19.630	the plot	ss	plot%1:09:00::	a secret scheme to do something (especially something underhand or illegal); &quot;they concocted a plot to discredit the governor&quot;; &quot;I saw through his little game from the start&quot;	n05907682	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=05907682-n
Borin-2015-1532-4	2014	GO DOWN, DESCEND	4	S10.473	to go down	ss	go_down%2:38:02::	move downward and lower, but not necessarily all the way; &quot;The temperature is going down&quot;; &quot;The barometer is falling&quot;; &quot;The curtain fell on the diva&quot;; &quot;Her hand went up and then fell again&quot;	v01970826	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01970826-v
Borin-2015-1532-5	1439	SWIM	5	S10.350	to swim	ss	swim%2:38:00::	travel through water; &quot;We had to swim for 20 minutes to reach the shore&quot;; &quot;a big fish was swimming in the tank&quot;	v01960911	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01960911-v
Borin-2015-1532-6	1088	SINK, DESCEND	6	S10.330	to sink	ss	sink%2:38:01::	fall or descend to a lower place or level; &quot;He sank to his knees&quot;	v01985923	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=01985923-v
Borin-2015-1532-7	1899	MAD	7	S17.230	mad	ss	mad%5:00:00:insane:00	affected with madness or insanity; &quot;a man who had gone mad&quot;	a02075321	a	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02075321-a
Borin-2015-1532-8	906	TREE	8	S08.600	the tree	ss	tree%1:20:00::	a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms	n13104059	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=13104059-n
Borin-2015-1532-9	1521	SEEM	9	S17.180	to seem	ss	seem%2:39:00::	give a certain impression or have a certain outward aspect; &quot;She seems to be sleeping&quot;; &quot;This appears to be a very difficult problem&quot;; &quot;This project looks fishy&quot;; &quot;They appeared like people who had not eaten or slept for a long time&quot;	v02133435	v	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=02133435-v
Borin-2015-1532-10	1763	CLUB	10	S20.220	the club	ss	club%1:06:00::	stout stick that is larger at one end; &quot;he carried a club in self defense&quot;; &quot;he felt as if he had been hit with a club&quot;	n03053474	n	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?synset=03053474-n
