ID	NUMBER	ENGLISH	ALTERNATIVE_NAME	CONCEPTICON_ID	CONCEPTICON_GLOSS
LSDO-2019-462-1	1	sky	sky	1732	SKY
LSDO-2019-462-2	2	sun	sun	1343	SUN
LSDO-2019-462-3	3	moon	moon	1313	MOON
LSDO-2019-462-4	4	star	star	1430	STAR
LSDO-2019-462-5	5	cloud	cloud (rain)	1489	CLOUD
LSDO-2019-462-6	6	mist, fog	mist/fog	249	FOG
LSDO-2019-462-7	7	rain	rain	658	RAIN (PRECIPITATION)
LSDO-2019-462-8	8	rainbow	rainbow	1733	RAINBOW
LSDO-2019-462-9	9	lightning	lightning (flashing)	1654	LIGHTNING
LSDO-2019-462-10	10	thunder	thunder	1150	THUNDER
LSDO-2019-462-11	11	shadow	shadow/shade	1388	SHADE
LSDO-2019-462-12	12	wind	wind	960	WIND
LSDO-2019-462-13	13	night	night	1233	NIGHT
LSDO-2019-462-14	14	day	day	1225	DAY (NOT NIGHT)
LSDO-2019-462-15	15	morning	morning	1339	MORNING
LSDO-2019-462-16	16	noon	noon	12	MIDDAY
LSDO-2019-462-17	17	yesterday	yesterday	1174	YESTERDAY
LSDO-2019-462-18	18	tomorrow	tomorrow	1329	TOMORROW
LSDO-2019-462-19	19	year	year	1226	YEAR
LSDO-2019-462-20	20	east	east	1877	EAST
LSDO-2019-462-21	21	west	west	1817	WEST
LSDO-2019-462-22	22	water	water	948	WATER
LSDO-2019-462-23	23	to be hot (water)	to be hot (water)	1286	HOT
LSDO-2019-462-24	24	to be hot (person)	to be hot (person)	3818	HOT (FEELING HOT)
LSDO-2019-462-25	25	to be warm(water)	to be warm (water)	1232	WARM
LSDO-2019-462-26	26	to be cold (person)	to be cold (person)	3819	COLD (FEELING COLD)
LSDO-2019-462-27	27	to be cold (water)	to be cool (water)	1287	COLD
LSDO-2019-462-28	28	stream	stream	947	STREAM
LSDO-2019-462-29	29	river	river	666	RIVER
LSDO-2019-462-30	30	sea	sea	1474	SEA
LSDO-2019-462-31	31	soil (earth)	soil (earth)	1228	EARTH (SOIL)
LSDO-2019-462-32	32	mud	mud	640	MUD
LSDO-2019-462-33	33	dust	dust	2	DUST
LSDO-2019-462-34	34	stone	stone	857	STONE
LSDO-2019-462-35	35	sand	sand	671	SAND
LSDO-2019-462-36	36	lime	lime (for betel chew)	2540	LIME (MATERIAL)
LSDO-2019-462-37	37	gold	gold	1369	GOLD
LSDO-2019-462-38	38	silver	silver	759	SILVER
LSDO-2019-462-39	39	iron	iron	621	IRON
LSDO-2019-462-40	40	mountain	mountain	639	MOUNTAIN
LSDO-2019-462-41	41	cave	cave (natural)	1155	CAVE
LSDO-2019-462-42	42	forest	jungle/forest	420	FOREST
LSDO-2019-462-43	43	tree	tree	906	TREE
LSDO-2019-462-44	44	branch	branch (tree)	1531	BRANCH
LSDO-2019-462-45	45	tree bark	tree bark	1204	BARK
LSDO-2019-462-46	46	thorn	thorn	124	THORN
LSDO-2019-462-47	47	root	root (tree)	670	ROOT
LSDO-2019-462-48	48	leaf	leaf (tree)	628	LEAF
LSDO-2019-462-49	49	flower	flower	239	FLOWER
LSDO-2019-462-50	50	fruit	fruit (tree)	1507	FRUIT
LSDO-2019-462-51	51	seed	seed (tree)	714	SEED
LSDO-2019-462-52	52	grass	grass (field/jungle)	606	GRASS
LSDO-2019-462-53	53	bamboo shoot	bamboo shoot (edible)	2494	BAMBOO SHOOT
LSDO-2019-462-54	54	mushroom	mushroom	641	MUSHROOM
LSDO-2019-462-55	55	cane/	cane/rattan		
LSDO-2019-462-56	56	kapok	kapok	2499	KAPOK TREE
LSDO-2019-462-57	57	sugercane	sugarcane	146	SUGAR CANE
LSDO-2019-462-58	58	betel nut	betel nut	217	BETELNUT
LSDO-2019-462-59	59	opium	opium	2498	OPIUM
LSDO-2019-462-60	60	bamboo plant	bamboo plant (large)	1927	BAMBOO
LSDO-2019-462-61	61	rice, millet beer	(rice/millet) beer		
LSDO-2019-462-62	62	banana	banana (fruit)	868	BANANA
LSDO-2019-462-63	63	mango	mango (fruit)	2398	MANGO
LSDO-2019-462-64	64	egg plant	eggplant (fruit)	1146	AUBERGINE
LSDO-2019-462-65	65	soy bean	soy bean	2027	SOYA
LSDO-2019-462-66	66	ginger	ginger	2500	GINGER
LSDO-2019-462-67	67	garlic	garlic	2368	GARLIC
LSDO-2019-462-68	68	corn	corn	506	MAIZE
LSDO-2019-462-69	69	red pepper	red pepper	919	CHILI PEPPER
LSDO-2019-462-70	70	dry field	dry (burned) field	2794	FIELD (UPLAND)
LSDO-2019-462-71	71	wet rice field	wet rice field	140	PADDY FIELD
LSDO-2019-462-72	72	paddy rice	paddy rice	3390	WILD RICE
LSDO-2019-462-73	73	rice seedling	rice seedling	3050	SEEDLING
LSDO-2019-462-74	74	to be ripe	to be ripe	178	RIPE
LSDO-2019-462-75	75	pounded rice	pounded rice	926	RICE
LSDO-2019-462-76	76	cooked rice	cooked rice	1191	COOKED RICE
LSDO-2019-462-77	77	to winow	to winnow (rice)	2462	WINNOWING
LSDO-2019-462-78	78	to dry (rice)	to dry (rice)	1786	DRY UP
LSDO-2019-462-79	79	to pound (rice)	to pound (rice)	354	POUND
LSDO-2019-462-80	80	to grind	to grind	1033	GRIND
LSDO-2019-462-81	81	to cook (rice)	to cook (rice)	1100	COOK (SOMETHING)
LSDO-2019-462-82	82	to boil	to boil (rice)	792	BOIL (OF LIQUID)
LSDO-2019-462-83	83	rice husk	rice husk (powder)	2501	RICE HUSK
LSDO-2019-462-84	84	salt	salt	1274	SALT
LSDO-2019-462-85	85	animal	animal (tame/wild)	619	ANIMAL
LSDO-2019-462-86	86	tiger	tiger	846	TIGER
LSDO-2019-462-87	87	pangolin	pangolin	2508	PANGOLIN
LSDO-2019-462-88	88	bear	bear	1820	BEAR
LSDO-2019-462-89	89	barking deer	barking deer	3152	MUNTJACS
LSDO-2019-462-90	90	monkey	monkey	1350	MONKEY
LSDO-2019-462-91	91	gibbon	gibbon	2511	GIBBON
LSDO-2019-462-92	92	rabbit	rabbit	1136	RABBIT
LSDO-2019-462-93	93	porcupine	porcupine	2510	PORCUPINE
LSDO-2019-462-94	94	rat	rat	1490	RAT
LSDO-2019-462-95	95	dog	dog	2009	DOG
LSDO-2019-462-96	96	to bark	to bark	1206	BARKING
LSDO-2019-462-97	97	to bite	to bite	1403	BITE
LSDO-2019-462-98	98	cat	cat	1208	CAT
LSDO-2019-462-99	99	pig	pig	1337	PIG
LSDO-2019-462-100	100	cow	cow	1007	COW
LSDO-2019-462-101	101	milk	milk (cow)	93	DRAW MILK
LSDO-2019-462-102	102	buffalo	buffalo	934	BUFFALO
LSDO-2019-462-103	103	horn (buffalo)	horn (of buffalo)	1393	HORN (ANATOMY)
LSDO-2019-462-104	104	tail	tail	1220	TAIL
LSDO-2019-462-105	105	elephant	elephant	1290	ELEPHANT
LSDO-2019-462-106	106	elephant task	elephant tusk	2495	ELEPHANT TUSK
LSDO-2019-462-107	107	bird	bird	937	BIRD
LSDO-2019-462-108	108	pigeon	pigeon	1853	DOVE
LSDO-2019-462-109	109	birdʼs nest	bird's nest	539	NEST
LSDO-2019-462-110	110	wing	wing	1257	WING
LSDO-2019-462-111	111	feather	feather (body hair)	1201	FEATHER
LSDO-2019-462-112	112	to fly	to fly	1441	FLY (MOVE THROUGH AIR)
LSDO-2019-462-113	113	egg	egg	744	EGG
LSDO-2019-462-114	114	chicken	chicken	2512	CHICK
LSDO-2019-462-115	115	crest	crest (of chicken or bird)		
LSDO-2019-462-116	116	fish	fish	227	FISH
LSDO-2019-462-117	117	snake	snake	730	SNAKE
LSDO-2019-462-118	118	poison	poison (from snake)	655	POISON
LSDO-2019-462-119	119	house lizard	house lizard	632	LIZARD
LSDO-2019-462-120	120	turtle	turtle	112	TURTLE
LSDO-2019-462-121	121	crocodile	crocodile	1857	CROCODILE
LSDO-2019-462-122	122	otter	otter	15	OTTER
LSDO-2019-462-123	123	frog	frog	503	FROG
LSDO-2019-462-124	124	insect	insect	620	INSECT
LSDO-2019-462-125	125	spider	spider	843	SPIDER
LSDO-2019-462-126	126	spider web	spider web	1065	SPIDER WEB
LSDO-2019-462-127	127	louse (head)	louse (head)	310	HEAD LOUSE
LSDO-2019-462-128	128	termite	termite	883	TERMITE
LSDO-2019-462-129	129	ant	ant	587	ANT
LSDO-2019-462-130	130	cocroach	cockroach	1575	COCKROACH
LSDO-2019-462-131	131	snail	snail	1543	SNAIL
LSDO-2019-462-132	132	mosquito	mosquito	1509	MOSQUITO
LSDO-2019-462-133	133	bee	bee	665	BEE
LSDO-2019-462-134	134	fly	fly	1504	FLY (INSECT)
LSDO-2019-462-135	135	butterfly	butterfly	1791	BUTTERFLY
LSDO-2019-462-136	136	scorpion	scorpion	1538	SCORPION
LSDO-2019-462-137	137	water leech	water leech	949	WATER LEECH
LSDO-2019-462-138	138	land leech	land leech	2273	LEECH
LSDO-2019-462-139	139	earth worm	earthworm	2350	EARTHWORM
LSDO-2019-462-140	140	head	head	1256	HEAD
LSDO-2019-462-141	141	face	face	1560	FACE
LSDO-2019-462-142	142	brain	brain	1583	BRAIN
LSDO-2019-462-143	143	hair (head)	hair (head)	2648	HAIR (HEAD)
LSDO-2019-462-144	144	hair (body)	body hair	189	HAIR (BODY)
LSDO-2019-462-145	145	forehead	forehead	123	FOREHEAD
LSDO-2019-462-146	146	eyebrow	eyebrow	1173	EYEBROW
LSDO-2019-462-147	147	eye	eye	1248	EYE
LSDO-2019-462-148	148	eyelid	eyelid	17	EYELID
LSDO-2019-462-149	149	nose	nose	1221	NOSE
LSDO-2019-462-150	150	cheek	cheek	1730	CHEEK
LSDO-2019-462-151	151	ear	ear	1247	EAR
LSDO-2019-462-152	152	mouth	mouth	674	MOUTH
LSDO-2019-462-153	153	tongue	tongue	1205	TONGUE
LSDO-2019-462-154	154	spit (N)	spit (noun)	1503	SALIVA
LSDO-2019-462-155	155	tooth	tooth	1380	TOOTH
LSDO-2019-462-156	156	guᵐs	gums	139	GUMS
LSDO-2019-462-157	157	chin	chin	1510	CHIN
LSDO-2019-462-158	158	beard	beard	678	BEARD
LSDO-2019-462-159	159	to shave	to shave (beard)	231	SHAVE
LSDO-2019-462-160	160	neck	neck	1333	NECK
LSDO-2019-462-161	161	shoulder	shoulder	1482	SHOULDER
LSDO-2019-462-162	162	back	back	1291	BACK
LSDO-2019-462-163	163	belly	belly	1251	BELLY
LSDO-2019-462-164	164	navel	navel	1838	NAVEL
LSDO-2019-462-165	165	heart	heart	1223	HEART
LSDO-2019-462-166	166	liver	liver	1224	LIVER
LSDO-2019-462-167	167	intestines	intestines	1991	INTESTINES
