ID	NUMBER	PARAGRAPH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Comrie-1977-207-1	1	5.2.1	all	98	ALL
Comrie-1977-207-2	2	5.2.2	and	1577	AND
Comrie-1977-207-3	3	5.2.3	animal	619	ANIMAL
Comrie-1977-207-4	4	5.2.4	ashes	646	ASH
Comrie-1977-207-5	5	5.2.5	at	1461	AT
Comrie-1977-207-6	6	5.2.6	back	1291	BACK
Comrie-1977-207-7	7	5.2.7	bad	1292	BAD
Comrie-1977-207-8	8	5.2.8	bark	1204	BARK
Comrie-1977-207-9	9	5.2.9	because	1157	BECAUSE
Comrie-1977-207-10	10	5.2.10	belly	1251	BELLY
Comrie-1977-207-11	11	5.2.11	big	1202	BIG
Comrie-1977-207-12	12	5.2.12	bird	937	BIRD
Comrie-1977-207-13	13	5.2.13	bite	1403	BITE
Comrie-1977-207-14	14	5.2.14	black	163	BLACK
Comrie-1977-207-15	15	5.2.15	blood	946	BLOOD
Comrie-1977-207-16	16	5.2.16	blow	175	BLOW (OF WIND)
Comrie-1977-207-17	17	5.2.17	bone	1394	BONE
Comrie-1977-207-18	18	5.2.18	breast	1402	BREAST
Comrie-1977-207-19	19	5.2.19	breathe	1407	BREATHE
Comrie-1977-207-20	20	5.2.20	burn	2102	BURN
Comrie-1977-207-21	21	5.2.21	child	2099	CHILD
Comrie-1977-207-22	22	5.2.22	claw	72	CLAW
Comrie-1977-207-23	23	5.2.23	cloud	1489	CLOUD
Comrie-1977-207-24	24	5.2.24	cold	1287	COLD
Comrie-1977-207-25	25	5.2.25	come	1446	COME
Comrie-1977-207-26	26	5.2.26	count	1420	COUNT
Comrie-1977-207-27	27	5.2.27	cut	1432	CUT
Comrie-1977-207-28	28	5.2.28	day	1225	DAY (NOT NIGHT)
Comrie-1977-207-29	29	5.2.29	die	1494	DIE
Comrie-1977-207-30	30	5.2.20	dig	1418	DIG
Comrie-1977-207-31	31	5.2.31	dirty	1230	DIRTY
Comrie-1977-207-32	32	5.2.32	dog	2009	DOG
Comrie-1977-207-33	33	5.2.33	drink	1401	DRINK
Comrie-1977-207-34	34	5.2.34	dry	1398	DRY
Comrie-1977-207-35	35	5.2.35	dull	379	BLUNT
Comrie-1977-207-36	36	5.2.36	dust	2	DUST
Comrie-1977-207-37	37	5.2.37	ear	1247	EAR
Comrie-1977-207-38	38	5.2.38	earth	1228	EARTH (SOIL)
Comrie-1977-207-39	39	5.2.39	eat	1336	EAT
Comrie-1977-207-40	40	5.2.40	egg	744	EGG
Comrie-1977-207-41	41	5.2.41	eye	1248	EYE
Comrie-1977-207-42	42	5.2.42	fall	1280	FALL
Comrie-1977-207-43	43	5.2.43	far	1406	FAR
Comrie-1977-207-44	44	5.2.44	fat/grease	323	FAT (ORGANIC SUBSTANCE)
Comrie-1977-207-45	45	5.2.45	father	1217	FATHER
Comrie-1977-207-46	46	5.2.46	fear	1419	FEAR (BE AFRAID)
Comrie-1977-207-47	47	5.2.47	feather	1201	FEATHER
Comrie-1977-207-48	48	5.2.48	few	1242	FEW
Comrie-1977-207-49	49	5.2.49	fight	1423	FIGHT
Comrie-1977-207-50	50	5.2.50	fire	221	FIRE
Comrie-1977-207-51	51	5.2.51	fish	227	FISH
Comrie-1977-207-52	52	5.2.52	five	493	FIVE
Comrie-1977-207-53	53	5.2.53	float	1574	FLOAT
Comrie-1977-207-54	54	5.2.54	flow	2003	FLOW
Comrie-1977-207-55	55	5.2.55	flower	239	FLOWER
Comrie-1977-207-56	56	5.2.56	fly	1441	FLY (MOVE THROUGH AIR)
Comrie-1977-207-57	57	5.2.57	fog	249	FOG
Comrie-1977-207-58	58	5.2.58	foot	1301	FOOT
Comrie-1977-207-59	59	5.2.59	four	1500	FOUR
Comrie-1977-207-60	60	5.2.60	freeze	1431	FREEZE
Comrie-1977-207-61	61	5.2.61	fruit	1507	FRUIT
Comrie-1977-207-62	62	5.2.62	full	1429	FULL
Comrie-1977-207-63	63	5.2.63	give	1447	GIVE
Comrie-1977-207-64	64	5.2.64	good	1035	GOOD
Comrie-1977-207-65	65	5.2.65	grass	606	GRASS
Comrie-1977-207-66	66	5.2.66	green	1425	GREEN
Comrie-1977-207-67	67	5.2.67	guts	1334	GUTS
Comrie-1977-207-68	68	5.2.68	hair	1040	HAIR
Comrie-1977-207-69	69	5.2.69	hand	1277	HAND
Comrie-1977-207-70	70	5.2.70	he	1211	HE
Comrie-1977-207-71	71	5.2.71	head	1256	HEAD
Comrie-1977-207-72	72	5.2.72	hear	1408	HEAR
Comrie-1977-207-73	73	5.2.73	heart	1223	HEART
Comrie-1977-207-74	74	5.2.74	heavy	1210	HEAVY
Comrie-1977-207-75	75	5.2.75	here	136	HERE
Comrie-1977-207-76	76	5.2.76	hit	1433	HIT
Comrie-1977-207-77	77	5.2.77	hold/take	2104	HOLD OR TAKE
Comrie-1977-207-78	78	5.2.78	horn	1393	HORN (ANATOMY)
Comrie-1977-207-79	79	5.2.79	how	1239	HOW
Comrie-1977-207-80	80	5.2.80	hunt	1435	HUNT
Comrie-1977-207-81	81	5.2.81	husband	1200	HUSBAND
Comrie-1977-207-82	82	5.2.82	I	1209	I
Comrie-1977-207-83	83	5.2.83	ice	617	ICE
Comrie-1977-207-84	84	5.2.84	if	1459	IF
Comrie-1977-207-85	85	5.2.85	in	1460	IN
Comrie-1977-207-86	86	5.2.86	kill	1417	KILL
Comrie-1977-207-87	87	5.2.87	knee	1371	KNEE
Comrie-1977-207-88	88	5.2.88	know	3626	KNOW
Comrie-1977-207-89	89	5.2.89	lake	624	LAKE
Comrie-1977-207-90	90	5.2.90	laugh	1355	LAUGH
Comrie-1977-207-91	91	5.2.91	leaf	628	LEAF
Comrie-1977-207-92	92	5.2.92	leftside	244	LEFT
Comrie-1977-207-93	93	5.2.93	leg	1297	LEG
Comrie-1977-207-94	94	5.2.94	lie (i.e. be in lying position)	1411	LIE (REST)
Comrie-1977-207-95	95	5.2.95	live	1422	BE ALIVE
Comrie-1977-207-96	96	5.2.96	liver	1224	LIVER
Comrie-1977-207-97	97	5.2.97	long	1203	LONG
Comrie-1977-207-98	98	5.2.98	louse	1392	LOUSE
Comrie-1977-207-99	99	5.2.99	man/male	2106	MALE PERSON
