ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Josserand-1983-188-1	1	lluvia	rain	658	RAIN (PRECIPITATION)
Josserand-1983-188-2	2	maguey	agave		
Josserand-1983-188-3	3	petate	straw mat	195	MAT
Josserand-1983-188-4	4	cuatro	four	1500	FOUR
Josserand-1983-188-5	5	pluma	feather	1201	FEATHER
Josserand-1983-188-6	6	cola	tail	1220	TAIL
Josserand-1983-188-7	7	cera	wax	1931	BEESWAX
Josserand-1983-188-8	8	nariz	nose	1221	NOSE
Josserand-1983-188-9	9	palabra	word	1599	WORD
Josserand-1983-188-10	10	está cerca	near	1942	NEAR
Josserand-1983-188-11	11	árbol	tree	906	TREE
Josserand-1983-188-12	12	venado	deer	1936	DEER
Josserand-1983-188-13	13	manteca	lard	1282	FAT (FROM ANIMALS)
Josserand-1983-188-14	14	olor	smell	2124	SMELL
Josserand-1983-188-15	15	tortilla	tortilla		
Josserand-1983-188-16	16	vomita	vomits	1278	VOMIT
Josserand-1983-188-17	17	flojo	lazy	1564	LAZY
Josserand-1983-188-18	18	cama	bed	1663	BED
Josserand-1983-188-19	19	comal	griddle	31	PAN
Josserand-1983-188-20	20	culpa	sin	2971	SIN
Josserand-1983-188-21	21	frijol	bean	832	BEAN
Josserand-1983-188-22	22	agua	water	948	WATER
Josserand-1983-188-23	23	río	river	3311	FLOWING BODY OF WATER
Josserand-1983-188-24	24	lodo	mud	640	MUD
Josserand-1983-188-25	25	hermano de hombre	brother of man	559	BROTHER (OF MAN)
Josserand-1983-188-26	26	tres	three	492	THREE
Josserand-1983-188-27	27	diente	tooth	1380	TOOTH
Josserand-1983-188-28	28	cinco	five	493	FIVE
Josserand-1983-188-29	29	amargo	bitter	887	BITTER
Josserand-1983-188-30	30	carne	meat	2615	FLESH OR MEAT
Josserand-1983-188-31	31	rojo	red	156	RED
Josserand-1983-188-32	32	se fue	(he) went	695	GO
Josserand-1983-188-33	33	siete	seven	1704	SEVEN
Josserand-1983-188-34	34	hilo	thread	1161	THREAD
Josserand-1983-188-35	35	animal	animal	619	ANIMAL
Josserand-1983-188-36	36	se acaba	it finishes	1766	FINISH
Josserand-1983-188-37	37	blanquillo	egg	744	EGG
Josserand-1983-188-38	38	espuma	foam	1768	FOAM
Josserand-1983-188-39	39	sangre	blood	946	BLOOD
Josserand-1983-188-40	40	marido	husband	1200	HUSBAND
Josserand-1983-188-41	41	sal	salt	1274	SALT
Josserand-1983-188-42	42	red	net bag	293	NETBAG
Josserand-1983-188-43	43	jícara	gourd	411	GOURD
Josserand-1983-188-44	44	calabaza	squash		
Josserand-1983-188-45	45	tejón coatí	coati	2389	COATI (COATIMUNDI)
Josserand-1983-188-46	46	comida	food	256	FOOD
Josserand-1983-188-47	47	salado	salty	1091	SALTY
Josserand-1983-188-48	48	huipil	blouse		
Josserand-1983-188-49	49	trabajo	work	1086	WORK (ACTIVITY)
Josserand-1983-188-50	50	algodón	cotton	1850	COTTON
Josserand-1983-188-51	51	viento 	wind	960	WIND
Josserand-1983-188-52	52	hombre	man	1554	MAN
Josserand-1983-188-53	53	redondo	round	1395	ROUND
Josserand-1983-188-54	54	horno	oven	1143	OVEN
Josserand-1983-188-55	55	cajón	box, drawer	1465	BOX
Josserand-1983-188-56	56	zancudo	mosquito	1509	MOSQUITO
Josserand-1983-188-57	57	esperar	wait for	1590	WAIT (FOR)
Josserand-1983-188-58	58	podrido	rotten	1728	ROTTEN
Josserand-1983-188-59	59	agarrar	grab	855	SEIZE
Josserand-1983-188-60	60	tendón	tendon	1137	TENDON
Josserand-1983-188-61	61	soplar	blow	176	BLOW (WITH MOUTH)
Josserand-1983-188-62	62	cuarta	handspan		
Josserand-1983-188-63	63	dueño	owner	1036	OWNER
Josserand-1983-188-64	64	poner (huevo)	lay (egg)	2464	LAY EGGS
Josserand-1983-188-65	65	grande (sg.)	big (sg.)	1202	BIG
Josserand-1983-188-66	66	cuello	neck	1333	NECK
Josserand-1983-188-67	67	va a venir	will come	1446	COME
Josserand-1983-188-68	68	cuerno	horn	1393	HORN (ANATOMY)
Josserand-1983-188-69	69	culebra	snake	730	SNAKE
Josserand-1983-188-70	70	feo	ugly	1548	UGLY
Josserand-1983-188-71	71	cerro	hill	614	HILL
Josserand-1983-188-72	72	armadillo	armadillo	1885	ARMADILLO
Josserand-1983-188-73	73	chueco	crooked	297	CROOKED
Josserand-1983-188-74	74	año	year	1226	YEAR
Josserand-1983-188-75	75	ceja	eyebrow	1173	EYEBROW
Josserand-1983-188-76	76	pus	pus	1808	PUS
Josserand-1983-188-77	77	demonio	demon	1973	DEMON
Josserand-1983-188-78	78	amarillo	yellow	1424	YELLOW
Josserand-1983-188-79	79	coser	sew	1457	SEW
Josserand-1983-188-80	80	va a cargar	will carry	700	CARRY
Josserand-1983-188-81	81	aquel	that	78	THAT
Josserand-1983-188-82	82	abajo	below	1485	BELOW OR UNDER
Josserand-1983-188-83	83	toda la noche	all night	1233	NIGHT
Josserand-1983-188-84	84	caliente	hot	1286	HOT
Josserand-1983-188-85	85	maíz	grain of corn	506	MAIZE
Josserand-1983-188-86	86	pared	wall	933	WALL (OF HOUSE)
Josserand-1983-188-87	87	temprano	early	672	EARLY
Josserand-1983-188-88	88	abierto	open	3235	OPEN (STATE)
Josserand-1983-188-89	89	ocho	eight	1705	EIGHT
Josserand-1983-188-90	90	jitomate	tomato	986	TOMATO
Josserand-1983-188-91	91	ejote	green bean		
Josserand-1983-188-92	92	mitad	half	816	HALF
Josserand-1983-188-93	93	caña	cane	146	SUGAR CANE
Josserand-1983-188-94	94	olla	clay pot	2055	CLAY POT
Josserand-1983-188-95	95	aguardiente	liquor	842	LIQUOR
Josserand-1983-188-96	96	miel	honey	942	HONEY
Josserand-1983-188-97	97	sobaco	armpit	1886	ARMPIT
Josserand-1983-188-98	98	espiga	tassel		
Josserand-1983-188-99	99	gente	people	789	PEOPLE
Josserand-1983-188-100	100	pueblo	town	930	VILLAGE
Josserand-1983-188-101	101	humo	smoke	778	SMOKE (EXHAUST)
Josserand-1983-188-102	102	comer	eat	1336	EAT
Josserand-1983-188-103	103	gavilan	hawk	307	HAWK
Josserand-1983-188-104	104	verdad	truth	1638	TRUTH
Josserand-1983-188-105	105	lumbre	fire	221	FIRE
Josserand-1983-188-106	106	seis	six	1703	SIX
Josserand-1983-188-107	107	uña	fingernail	1258	FINGERNAIL
Josserand-1983-188-108	108	rastrojo	cornstalk		
Josserand-1983-188-109	109	masa	cornmeal		
Josserand-1983-188-110	110	hijo	child	1801	CHILD (DESCENDANT)
Josserand-1983-188-111	111	catarro	cold, phlegm	102	COMMON COLD (DISEASE)
Josserand-1983-188-112	112	bueno	good	1035	GOOD
Josserand-1983-188-113	113	porque	because	1157	BECAUSE
Josserand-1983-188-114	114	este mismo	this one		
Josserand-1983-188-115	115	ya viene	is coming	1446	COME
Josserand-1983-188-116	116	basura	trash	909	GARBAGE
Josserand-1983-188-117	117	gato	cat	1208	CAT
Josserand-1983-188-118	118	nopal	prickly pear cactus		
Josserand-1983-188-119	119	pie	foot	1301	FOOT
Josserand-1983-188-120	120	corta	cuts	1432	CUT
Josserand-1983-188-121	121	quince	fifteen	1709	FIFTEEN
Josserand-1983-188-122	122	tripas	guts	1334	GUTS
Josserand-1983-188-123	123	diez	ten	1515	TEN
Josserand-1983-188-124	124	frio	cold	1287	COLD
Josserand-1983-188-125	125	huarache	sandal	1381	SHOE
Josserand-1983-188-126	126	horcon	housepost	281	POST
Josserand-1983-188-127	127	nombre	name	1405	NAME
Josserand-1983-188-128	128	cacao	cacao		
Josserand-1983-188-129	129	oreja	ear	1247	EAR
Josserand-1983-188-130	130	sabroso	tasty	1813	TASTY
Josserand-1983-188-131	131	cerrado	closed	589	CLOSED
Josserand-1983-188-132	132	pasado mañana	day after tomorrow	1179	DAY AFTER TOMORROW
Josserand-1983-188-133	133	dulce	sweet	717	SWEET
Josserand-1983-188-134	134	abora	now	1376	NOW
Josserand-1983-188-135	135	agujero	hole	1667	HOLE
Josserand-1983-188-136	136	tiene miedo	afraid	1419	FEAR (BE AFRAID)
Josserand-1983-188-137	137	pobre	poor	1674	POOR
Josserand-1983-188-138	138	dos	two	1498	TWO
Josserand-1983-188-139	139	alacran	scorpion	1538	SCORPION
Josserand-1983-188-140	140	salir	go out	1107	GO OUT
Josserand-1983-188-141	141	pintar	paint	3122	PAINT (SOMETHING)
Josserand-1983-188-142	142	rata	rat	1490	RAT
Josserand-1983-188-143	143	hinchazon	swelling	1903	SWELLING
Josserand-1983-188-144	144	grano	pimple	1809	PIMPLE
Josserand-1983-188-145	145	truena	it thunders	2378	THUNDER (VERB)
Josserand-1983-188-146	146	arco iris	rainbow	1733	RAINBOW
Josserand-1983-188-147	147	pajaro	bird	937	BIRD
Josserand-1983-188-148	148	rana	frog	503	FROG
Josserand-1983-188-149	149	ombligo	navel	1838	NAVEL
Josserand-1983-188-150	150	orina	urine	1142	URINE
Josserand-1983-188-151	151	chachalaca	chachalaca		
Josserand-1983-188-152	152	liso	smooth	1234	SMOOTH
Josserand-1983-188-153	153	chico	little	1246	SMALL
Josserand-1983-188-154	154	dia	day	1225	DAY (NOT NIGHT)
Josserand-1983-188-155	155	cuando	when	1238	WHEN
Josserand-1983-188-156	156	llano	plain	652	PLAIN
Josserand-1983-188-157	157	como	how	1239	HOW
Josserand-1983-188-158	158	cargar	carry	700	CARRY
Josserand-1983-188-159	159	cucaracha	cockroach	1575	COCKROACH
Josserand-1983-188-160	160	pegameuto	glue	1069	GLUE
Josserand-1983-188-161	161	enfermedad	sickness	1986	DISEASE
Josserand-1983-188-162	162	ver	see	1409	SEE
Josserand-1983-188-163	163	despacio	slow	701	SLOW
Josserand-1983-188-164	164	casa	house	1252	HOUSE
Josserand-1983-188-165	165	mamey	mamey		
Josserand-1983-188-166	166	moler	grind	1033	GRIND
Josserand-1983-188-167	167	ala	wing	1257	WING
Josserand-1983-188-168	168	banquito	stool	2058	STOOL
