ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH
Rzymski-2020-1647-1	1	10	FIREWOOD	FIREWOOD
Rzymski-2020-1647-2	2	100	FAITHFUL	FAITHFUL
Rzymski-2020-1647-3	3	1000	ANXIETY	ANXIETY
Rzymski-2020-1647-4	4	1001	BLACKSMITH	BLACKSMITH
Rzymski-2020-1647-5	5	1002	STATUE	STATUE
Rzymski-2020-1647-6	6	1003	PERMIT	PERMIT
Rzymski-2020-1647-7	7	1005	TWINS	TWINS
Rzymski-2020-1647-8	8	1006	BRICK	BRICK
Rzymski-2020-1647-9	9	1007	COW	COW
Rzymski-2020-1647-10	10	1008	BULL	BULL
Rzymski-2020-1647-11	11	101	BOAST	BOAST
Rzymski-2020-1647-12	12	1010	BOUNDARY	BOUNDARY
Rzymski-2020-1647-13	13	1011	BRIDGE	BRIDGE
Rzymski-2020-1647-14	14	1012	LATCH	LATCH
Rzymski-2020-1647-15	15	1014	OR	OR
Rzymski-2020-1647-16	16	1018	MEMORY	MEMORY
Rzymski-2020-1647-17	17	1019	RIGHT	RIGHT
Rzymski-2020-1647-18	18	102	COMMON COLD (DISEASE)	COMMON COLD (DISEASE)
Rzymski-2020-1647-19	19	1021	TOWEL	TOWEL
Rzymski-2020-1647-20	20	1025	WHISTLE	WHISTLE
Rzymski-2020-1647-21	21	1026	LOW TIDE	LOW TIDE
Rzymski-2020-1647-22	22	1029	JEWEL	JEWEL
Rzymski-2020-1647-23	23	1032	CITIZEN	CITIZEN
Rzymski-2020-1647-24	24	1033	GRIND	GRIND
Rzymski-2020-1647-25	25	1034	DEFENDANT	DEFENDANT
Rzymski-2020-1647-26	26	1035	GOOD	GOOD
Rzymski-2020-1647-27	27	1038	TEACHER	TEACHER
Rzymski-2020-1647-28	28	1039	SHOW	SHOW
Rzymski-2020-1647-29	29	1040	HAIR	HAIR
Rzymski-2020-1647-30	30	1041	INCREASE	INCREASE
Rzymski-2020-1647-31	31	1042	CARPENTER	CARPENTER
Rzymski-2020-1647-32	32	1043	BRAID	BRAID
Rzymski-2020-1647-33	33	1046	SHUT	SHUT
Rzymski-2020-1647-34	34	1047	PURSUE	PURSUE
Rzymski-2020-1647-35	35	1048	LINE	LINE
