ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SPANISH
Blum-2024-501-1	1	2	DUST	dust	polvo
Blum-2024-501-2	2	2006	FILL	fill	llenar
Blum-2024-501-3	3	7	GATHER	gather	colectar, reunir, compilar, recopilar
Blum-2024-501-4	4	10	FIREWOOD	firewood	leña
Blum-2024-501-5	5	11	DARKNESS	darkness	oscuridad, tinieblas
Blum-2024-501-6	6	38	SPREAD OUT	spread out	extender, esparcir
Blum-2024-501-7	7	42	STINKING	stinking	apestando, apestoso
Blum-2024-501-8	8	48	BE SILENT	be silent	callarse
Blum-2024-501-9	9	52	SHIVER	shiver	temblar
Blum-2024-501-10	10	66	KNEEL	kneel	arrodillarse
Blum-2024-501-11	11	72	CLAW	claw	garra, pezuña, pinza, zarpa
Blum-2024-501-12	12	76	YOUNG MAN	young man	muchacho, jóven
Blum-2024-501-13	13	77	YOUNG WOMAN	young woman	muchacha, jóven mujer
Blum-2024-501-14	14	98	ALL	all	todo
Blum-2024-501-15	15	112	TURTLE	turtle	tortuga, motelo
Blum-2024-501-16	16	119	DIVE	dive	sumergirse, zambullirse
Blum-2024-501-17	17	121	SPIN	spin	hilar
Blum-2024-501-18	18	123	FOREHEAD	forehead	frente (la)
Blum-2024-501-19	19	124	THORN	thorn	espina
Blum-2024-501-20	20	127	EXTINGUISH	extinguish	apagar
Blum-2024-501-21	21	133	WEAVE	weave	tejer
Blum-2024-501-22	22	136	HERE	here	aquí, acá
Blum-2024-501-23	23	138	BATHE	bathe	bañarse
Blum-2024-501-24	24	141	BURN (SOMETHING)	burn (something)	quemar, quemarse
Blum-2024-501-25	25	156	RED	red	rojo
Blum-2024-501-26	26	159	SWEET POTATO	sweet potato, yam	camote, papa dulce
Blum-2024-501-27	27	163	BLACK	black	negro
Blum-2024-501-28	28	168	REST	rest	descansar
Blum-2024-501-29	29	175	BLOW (OF WIND)	blow (of wind)	soplar
Blum-2024-501-30	30	178	RIPE	ripe	maduro
Blum-2024-501-31	31	189	HAIR (BODY)	hair (body)	pelo, vello (del cuerpo)
Blum-2024-501-32	32	203	MARRY	marry	casarse
Blum-2024-501-33	33	208	NASAL MUCUS (SNOT)	nasal mucus (snot)	moco
Blum-2024-501-34	34	212	FIELD	field	chacra, campo
Blum-2024-501-35	35	214	STRETCH	stretch	tender, alargar, estirar
Blum-2024-501-36	36	215	LIE DOWN	lie down	acostarse, echarse
Blum-2024-501-37	37	221	FIRE	fire	fuego
Blum-2024-501-38	38	227	FISH	fish	pez, pescado
Blum-2024-501-39	39	239	FLOWER	flower	flor
Blum-2024-501-40	40	244	LEFT	left	izquierdo
Blum-2024-501-41	41	249	FOG	fog	niebla, neblina
Blum-2024-501-42	42	251	SHARPEN (SOMETHING)	sharpen (something)	afilar
Blum-2024-501-43	43	256	FOOD	food	comida
Blum-2024-501-44	44	275	PEEL	peel	pelar
Blum-2024-501-45	45	297	CROOKED	crooked	torcido
Blum-2024-501-46	46	301	CHIEFTAIN	chieftain	jefe, cacique
Blum-2024-501-47	47	307	HAWK	hawk	halcón
Blum-2024-501-48	48	318	FOOTPRINT	footprint	huella
Blum-2024-501-49	49	319	LICK	lick	lamer
Blum-2024-501-50	50	321	CHEW	chew	masticar
Blum-2024-501-51	51	323	FAT (ORGANIC SUBSTANCE)	fat (organic substance)	grasa
Blum-2024-501-52	52	352	UNTIE	untie	desatar
Blum-2024-501-53	53	360	FAN (ACTION)	fan (action)	abanicar, aventar
Blum-2024-501-54	54	371	PICK UP	pick up	recoger
Blum-2024-501-55	55	378	PINCH	pinch	pellizcar
Blum-2024-501-56	56	380	WRINKLED	wrinkled	arrugado
Blum-2024-501-57	57	404	ALCOHOL (FERMENTED DRINK)	alcohol (fermented drink)	bebida fermentada
Blum-2024-501-58	58	406	OLD MAN	old man	anciano, hombre viejo
Blum-2024-501-59	59	420	FOREST	forest	monte, selva
Blum-2024-501-60	60	423	GET LOST	get lost	perderse
Blum-2024-501-61	61	471	UPPER LEG (THIGH)	upper leg (thigh)	muslo
Blum-2024-501-62	62	478	LIP	lip	labio
Blum-2024-501-63	63	479	GROW	grow	crecer
Blum-2024-501-64	64	489	KIDNEY	kidney	riñón
Blum-2024-501-65	65	492	THREE	three	tres
Blum-2024-501-66	66	499	CURE	cure	curar
Blum-2024-501-67	67	501	LIFT	lift	levantar
Blum-2024-501-68	68	503	FROG	frog	rana
Blum-2024-501-69	69	506	MAIZE	maize	maíz
Blum-2024-501-70	70	539	NEST	nest	nido
Blum-2024-501-71	71	549	COPULATE	copulate	tener relaciones sexuales, tener sexo
Blum-2024-501-72	72	581	COME BACK	come back	volver, regresar
Blum-2024-501-73	73	587	ANT	ant	hormiga
Blum-2024-501-74	74	590	NAKED	naked	desnudo
Blum-2024-501-75	75	592	PISS	piss	orinar
Blum-2024-501-76	76	593	POTATO	potato	papa
Blum-2024-501-77	77	601	LIE (MISLEAD)	lie (mislead)	mentir
