ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	WOLD_ID	URL	IDS_ID	DESCRIPTION	CONTEXT	PART_OF_SPEECH	SEMANTIC_FIELD	AGE_SCORE	BORROWING_SCORE	SIMPLICITY_SCORE	REPRESENTATION	RANK
Haspelmath-2009-1460-33	1145	SWAMP	33	the swamp	1-38	http://wold.clld.org/meaning/1-38	1.38	-	Be careful, there are crocodiles in the swamp.	Noun	1	0.8097087379	0.2087378641	0.854368932	54	915
Haspelmath-2009-1460-34	943	WATERFALL	34	the waterfall	1-39	http://wold.clld.org/meaning/1-39	1.39	-	The waterfall runs dry in the summer.	Noun	1	0.8056179775	0.2247191011	0.6797752809	45	968
Haspelmath-2009-1460-35	420	FOREST	35	the woods or forest	1-41	http://wold.clld.org/meaning/1-41	1.41	-	There are many wild animals in the forest.	Noun	1	0.8637982196	0.1646884273	0.9421364985	59	207
Haspelmath-2009-1460-36	1803	WOOD	36	the wood	1-43	http://wold.clld.org/meaning/1-43	1.43	‘material that people get from trees’	The table is made of wood.	Noun	1	0.9310872894	0.1401225115	0.9402756508	43	5
Haspelmath-2009-1460-37	2125	STONE OR ROCK	37	the stone or rock	1-44	http://wold.clld.org/meaning/1-44	1.44	-	-	Noun	1	0.894	0.105	0.9575	54	44
Haspelmath-2009-1460-38	6	EARTHQUAKE	38	the earthquake	1-45	http://wold.clld.org/meaning/1-45	1.45	-	The house was destroyed by an earthquake.	Noun	1	0.8075	0.25	0.66875	40	947
Haspelmath-2009-1460-39	1732	SKY	39	the sky	1-51	http://wold.clld.org/meaning/1-51	1.51	-	There were white clouds in the blue sky.	Noun	1	0.9118086697	0.2735426009	0.9065769806	46	13
Haspelmath-2009-1460-40	1343	SUN	40	the sun	1-52	http://wold.clld.org/meaning/1-52	1.52	-	The sun rises in the east.	Noun	1	0.8932790224	0.1390020367	0.8716904277	48	46
Haspelmath-2009-1460-41	1313	MOON	41	the moon	1-53	http://wold.clld.org/meaning/1-53	1.53	-	The moon shone brightly in the clear night sky.	Noun	1	0.8938679245	0.2841981132	0.9575471698	49	45
Haspelmath-2009-1460-42	1430	STAR	42	the star	1-54	http://wold.clld.org/meaning/1-54	1.54	-	The stars shone brightly in the clear night sky.	Noun	1	0.8852589641	0.1703187251	0.9701195219	43	76
Haspelmath-2009-1460-43	1654	LIGHTNING	43	the lightning	1-55	http://wold.clld.org/meaning/1-55	1.55	-	I was momentarily blinded by the lightening.	Noun	1	0.8186666667	0.16	0.77	49	770
