ID	NUMBER	PAGE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Kansakar-2013-210-1	1	80	body	1480	BODY
Kansakar-2013-210-2	2	80	head	1256	HEAD
Kansakar-2013-210-3	3	80	hair	1040	HAIR
Kansakar-2013-210-4	4	80	face	1560	FACE
Kansakar-2013-210-5	5	80	eye	1248	EYE
Kansakar-2013-210-6	6	80	ear	1247	EAR
Kansakar-2013-210-7	7	80	nose	1221	NOSE
Kansakar-2013-210-8	8	80	mouth	674	MOUTH
Kansakar-2013-210-9	9	80	teeth	1380	TOOTH
Kansakar-2013-210-10	10	80	tongue	1205	TONGUE
Kansakar-2013-210-11	11	80	breast	1402	BREAST
Kansakar-2013-210-12	12	80	belly	1251	BELLY
Kansakar-2013-210-13	13	80	arm/ hand	2121	ARM OR HAND
Kansakar-2013-210-14	14	80	elbow	981	ELBOW
Kansakar-2013-210-15	15	80	palm	1183	PALM OF HAND
Kansakar-2013-210-16	16	80	finger	1303	FINGER
Kansakar-2013-210-17	17	80	fingernail	1258	FINGERNAIL
Kansakar-2013-210-18	18	80	leg	1297	LEG
Kansakar-2013-210-19	19	80	skin	763	SKIN
Kansakar-2013-210-20	20	80	bone	1394	BONE
Kansakar-2013-210-21	21	80	heart	1223	HEART
Kansakar-2013-210-22	22	81	blood	946	BLOOD
Kansakar-2013-210-23	23	81	urine	1142	URINE
Kansakar-2013-210-24	24	81	feces	675	FAECES (EXCREMENT)
Kansakar-2013-210-25	25	81	village	930	VILLAGE
Kansakar-2013-210-26	26	81	house	1252	HOUSE
Kansakar-2013-210-27	27	81	roof	769	ROOF
Kansakar-2013-210-28	28	81	door	1567	DOOR
Kansakar-2013-210-29	29	81	firewood	10	FIREWOOD
Kansakar-2013-210-30	30	81	broom	245	BROOM
Kansakar-2013-210-31	31	81	mortar	224	MORTAR
Kansakar-2013-210-32	32	81	pestle	225	PESTLE
Kansakar-2013-210-33	33	81	hammer	1481	HAMMER
Kansakar-2013-210-34	34	81	knife	1352	KNIFE
Kansakar-2013-210-35	35	81	axe	677	AXE
Kansakar-2013-210-36	36	81	rope	1218	ROPE
Kansakar-2013-210-37	37	81	thread	1161	THREAD
Kansakar-2013-210-38	38	81	needle	1382	NEEDLE (FOR SEWING)
Kansakar-2013-210-39	39	81	cloth	1616	CLOTH
Kansakar-2013-210-40	40	81	ring	1374	RING
