ID	NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
Tryon-1983-324-1	1	one	Numerals	1493	ONE
Tryon-1983-324-2	2	two	Numerals	1498	TWO
Tryon-1983-324-3	3	three	Numerals	492	THREE
Tryon-1983-324-4	4	four	Numerals	1500	FOUR
Tryon-1983-324-5	5	five	Numerals	493	FIVE
Tryon-1983-324-6	6	six	Numerals	1703	SIX
Tryon-1983-324-7	7	seven	Numerals	1704	SEVEN
Tryon-1983-324-8	8	eight	Numerals	1705	EIGHT
Tryon-1983-324-9	9	nine	Numerals	1483	NINE
Tryon-1983-324-10	10	ten	Numerals	1515	TEN
Tryon-1983-324-11	11	hundred	Numerals	1634	HUNDRED
Tryon-1983-324-12	12	thousand	Numerals	1843	THOUSAND
Tryon-1983-324-13	13	arm	Body Parts	1673	ARM
Tryon-1983-324-14	14	back	Body Parts	1291	BACK
Tryon-1983-324-15	15	beard	Body Parts	678	BEARD
Tryon-1983-324-16	16	belly	Body Parts	1251	BELLY
Tryon-1983-324-17	17	blood	Body Parts	946	BLOOD
Tryon-1983-324-18	18	body	Body Parts	1480	BODY
Tryon-1983-324-19	19	bone	Body Parts	1394	BONE
Tryon-1983-324-20	20	brain	Body Parts	1583	BRAIN
Tryon-1983-324-21	21	breast	Body Parts	1402	BREAST
Tryon-1983-324-22	22	ear	Body Parts	1247	EAR
Tryon-1983-324-23	23	egg	Body Parts	744	EGG
Tryon-1983-324-24	24	eye	Body Parts	1248	EYE
Tryon-1983-324-25	25	fat	Body Parts	323	FAT (ORGANIC SUBSTANCE)
Tryon-1983-324-26	26	feather	Body Parts	1201	FEATHER
Tryon-1983-324-27	27	guts	Body Parts	1334	GUTS
Tryon-1983-324-28	28	hair	Body Parts	1040	HAIR
Tryon-1983-324-29	29	head	Body Parts	1256	HEAD
Tryon-1983-324-30	30	heart	Body Parts	1223	HEART
Tryon-1983-324-31	31	knee	Body Parts	1371	KNEE
